Iteration,Time,AUC
1,1.398823,0.6468238
2,2.443567,0.6468164
3,3.19088,0.6469528
4,3.937253,0.6469512
5,3.682961,0.6467428
6,4.492465,0.6593394
7,5.251218,0.6602773
8,6.016856,0.6602743
9,6.727422,0.6610701
10,7.583169,0.6603422
11,8.435179,0.6625334
12,9.166118,0.661893
13,9.947838,0.6622328
14,10.7419,0.662252
15,11.56649,0.6656973
16,12.43881,0.6657055
17,13.21027,0.6650509
18,14.01496,0.6654755
19,14.85744,0.6655088
20,15.66586,0.6656545
21,16.48368,0.6661659
22,17.27333,0.6657028
23,18.06999,0.6657193
24,18.86961,0.6654884
25,19.62029,0.6653869
26,20.37544,0.6657123
27,21.09193,0.66764
28,20.85688,0.6667285
29,21.57331,0.6664875
30,22.34846,0.6664926
31,23.12066,0.6667425
32,23.85217,0.6663944
33,24.56537,0.6663952
34,25.41553,0.6664235
35,26.15399,0.6669987
36,26.90032,0.6665103
37,27.69448,0.6668042
38,28.44658,0.6668237
39,29.28272,0.6670814
40,30.11891,0.666724
41,30.89342,0.6667201
42,31.64037,0.6672032
43,32.39233,0.6672719
44,33.28748,0.6668838
45,34.09623,0.6672426
46,34.89083,0.6676746
47,35.7014,0.6676451
48,36.45882,0.6676174
49,37.39196,0.66765
50,38.33184,0.6676015
51,39.13533,0.6676114
52,39.97172,0.6677096
53,40.7991,0.6677275
54,41.59405,0.6676649
55,42.43034,0.6728102
56,42.24521,0.6722137
57,43.0487,0.6759485
58,43.88645,0.6762751
59,44.75767,0.6760361
60,45.61811,0.6779964
61,46.50531,0.6776572
62,47.37157,0.6775615
63,48.19752,0.6777895
64,49.13914,0.6782553
65,50.07371,0.6783874
66,51.02595,0.67943
67,51.90764,0.6796949
68,52.82895,0.6796362
69,53.74603,0.6800736
70,54.612,0.679819
71,55.49837,0.6804765
72,56.3711,0.6801151
73,57.30476,0.6794086
74,58.25059,0.6802725
75,59.1806,0.6810414
76,60.07167,0.6806773
77,59.92823,0.6812817
78,60.82262,0.6817745
79,61.74935,0.6814906
80,62.63333,0.6813205
81,63.50082,0.6819308
82,64.37226,0.6820429
83,65.30641,0.6819643
84,66.16442,0.6819345
85,67.17615,0.6840394
86,68.03238,0.683981
87,68.96307,0.6875682
88,69.92117,0.6876376
89,70.83979,0.6875725
90,71.79112,0.6884806
91,72.72514,0.6882464
92,73.70896,0.6889307
93,74.61907,0.6891448
94,75.53042,0.6888948
95,76.5239,0.6887142
96,77.47892,0.6886803
97,78.47629,0.6886487
98,79.64457,0.6901124
99,79.59859,0.6878703
100,80.54274,0.6880561
101,81.51224,0.6886992
102,82.50216,0.6878341
103,83.49709,0.6887357
104,84.42943,0.6887537
105,85.33943,0.688664
106,86.30154,0.6890094
107,87.2619,0.689022
108,88.18022,0.6897632
109,89.21067,0.6898251
110,90.17662,0.6899565
111,91.16145,0.6897016
112,92.17415,0.6896089
113,93.14815,0.6901835
114,94.08761,0.6922331
115,95.07936,0.6926941
116,96.06804,0.6912218
117,96.96874,0.6924203
118,98.06419,0.6932101
119,99.00895,0.6923868
120,98.99212,0.6931646
121,100.0133,0.6927575
122,101.0133,0.6929412
123,102.0356,0.6932392
124,102.9666,0.692791
125,103.9474,0.6930858
126,105.1533,0.6941324
127,106.0905,0.6947158
128,107.1331,0.69433
129,108.0775,0.6954832
130,109.0759,0.6948524
131,110.0323,0.6953834
132,111.0444,0.6956475
133,112.1051,0.6954359
134,113.1551,0.6955624
135,114.2026,0.6958739
136,115.3973,0.6960718
137,116.2814,0.6961127
138,117.3426,0.6975789
139,118.3456,0.6972527
140,119.3391,0.6966614
141,120.413,0.697665
142,121.4581,0.6967634
143,122.4618,0.6970904
144,122.5391,0.6972461
145,123.5702,0.6975758
146,124.6054,0.6978142
147,125.7009,0.6976412
148,126.7556,0.6977992
149,127.7833,0.6975988
150,128.8685,0.697636
151,129.8761,0.6973037
152,130.9946,0.6970194
153,132.0209,0.697276
154,133.0453,0.6974693
155,134.0713,0.6980264
156,135.2256,0.6976997
157,136.3065,0.6983415
158,137.2905,0.6979676
159,138.3768,0.6988869
160,139.4164,0.6989548
161,140.5504,0.6977451
162,141.6305,0.6979923
163,142.7482,0.6975834
164,143.986,0.6979202
165,145.109,0.697336
166,145.2627,0.6971209
167,146.4279,0.6978344
168,147.5232,0.6977851
169,148.6029,0.6985356
170,149.8282,0.6987312
171,150.946,0.6986525
172,152.0481,0.6985347
173,153.088,0.6986156
174,154.322,0.6988902
175,155.5652,0.6987547
176,156.763,0.6991707
177,157.8368,0.6996163
178,159.1723,0.699806
179,160.4109,0.7004207
180,161.4393,0.7003118
181,162.6049,0.7001553
182,163.7038,0.7003504
183,164.9018,0.7009196
184,166.0506,0.7009485
185,167.3282,0.7006404
186,167.4665,0.7009272
187,168.5887,0.700961
188,169.8796,0.7009894
189,171.0285,0.7014641
190,172.0484,0.7012264
191,173.2086,0.7011453
192,174.4926,0.7012112
193,175.7003,0.7014149
194,176.905,0.7015073
195,178.0809,0.7015243
196,179.4025,0.7019304
197,180.7255,0.7018906
198,181.9211,0.7027058
199,183.1668,0.7029495
200,184.3052,0.7031287
201,185.4782,0.7035864
202,186.6017,0.7037362
203,188.003,0.7037488
204,189.1173,0.7041491
205,189.3067,0.704251
206,190.3954,0.7043905
207,191.5577,0.7050076
208,192.8352,0.70532
209,194.041,0.7051578
210,195.4541,0.7055101
211,196.6689,0.7064226
212,197.911,0.7063917
213,199.2974,0.7065434
214,200.6336,0.7067783
215,201.9705,0.7072869
216,203.2845,0.7076549
217,204.5642,0.7079945
218,205.8483,0.707827
219,207.2092,0.7080016
220,208.4629,0.7083714
221,209.7264,0.7089916
222,209.9525,0.709204
223,211.1294,0.7092045
224,212.3314,0.7097721
225,213.6981,0.7095943
226,214.8803,0.7098017
227,216.1696,0.7100385
228,217.4898,0.710007
229,218.7633,0.7099778
230,220.1281,0.7099466
231,221.4367,0.7101103
232,222.7063,0.7100797
233,224.1207,0.7100459
234,225.3645,0.7101832
235,226.6718,0.7100952
236,228.14,0.7100335
237,229.5032,0.7099804
238,230.6917,0.709893
239,231.9825,0.7098546
240,233.2947,0.709707
241,234.6092,0.7097076
242,234.7681,0.709544
243,235.9921,0.709757
244,237.1684,0.7097824
245,238.4671,0.7097943
246,239.7788,0.7098594
247,241.0575,0.7100478
248,242.3332,0.7097957
249,243.6488,0.7097779
250,245.0527,0.7098616
251,246.5129,0.7097086
252,247.83,0.7096344
253,249.1655,0.7095319
254,250.4924,0.7094305
255,251.759,0.7093856
256,253.1015,0.7094478
257,254.3449,0.7096299
258,255.6918,0.7096647
259,257.1021,0.7096241
260,258.3912,0.7095949
261,259.5915,0.709684
262,260.8394,0.7094902
263,262.1994,0.7093892
264,262.7141,0.7095929
265,264.028,0.7095239
266,265.401,0.7093697
267,266.705,0.7095445
268,267.926,0.7095594
269,269.224,0.7094646
270,270.5786,0.7097749
271,271.9822,0.7095792
272,273.3291,0.7095121
273,274.4499,0.7096778
274,275.7338,0.7097528
275,277.0775,0.7099952
276,278.2178,0.7100147
277,279.4639,0.7100476
278,280.5177,0.7100552
279,281.7052,0.7099112
280,282.8105,0.709904
281,283.9194,0.709853
282,284.1324,0.7097362
283,285.1302,0.709812
284,286.296,0.709743
285,287.4508,0.7094762
286,288.604,0.7095908
287,289.9465,0.7094379
288,291.0364,0.7094943
289,292.1586,0.7097227
290,293.2932,0.70964
291,294.4301,0.7099535
292,295.6019,0.7099602
293,296.6774,0.7099292
294,297.8277,0.7099932
295,299.0544,0.710009
296,300.1792,0.7101096
297,301.3963,0.7099323
298,302.5161,0.7099688
299,303.672,0.7100266
300,304.7914,0.7100592
301,305.8816,0.7100095
302,307.0476,0.7097965
303,308.1411,0.7098858
304,308.4689,0.7096676
305,309.5701,0.7099268
306,310.5969,0.7099737
307,311.7259,0.7100269
308,313.0957,0.7098308
309,314.1185,0.7100075
310,315.1939,0.7099182
311,316.4909,0.709941
312,317.469,0.7098483
313,318.5459,0.7099199
314,319.816,0.7098782
315,320.8291,0.7098573
316,321.9516,0.7096039
317,323.3697,0.709519
318,324.4154,0.7094661
319,325.5936,0.7093978
320,327.0142,0.7093506
321,327.9113,0.7094173
322,329.1257,0.7095063
323,330.5685,0.709424
324,331.6919,0.7092676
325,332.5932,0.7093365
326,332.8207,0.7092337
327,334.1091,0.7092226
328,335.1687,0.7092869
329,336.2438,0.7093015
330,337.4187,0.7091974
331,338.5865,0.7090629
332,339.6571,0.7090455
333,340.6993,0.7089012
334,341.8179,0.7088586
335,342.6548,0.7087458
336,343.5756,0.7086393
337,344.3642,0.7086173
338,345.2951,0.7086885
339,346.437,0.7088137
340,347.3697,0.708696
341,348.3059,0.7086797
342,349.4664,0.7087106
343,350.335,0.7086406
344,351.1471,0.7086445
345,352.0351,0.7085411
346,353.009,0.7083165
347,353.986,0.7082725
348,354.9745,0.7080845
349,355.822,0.7079187
350,356.785,0.708314
351,357.7214,0.7083009
352,358.5432,0.7082883
353,358.5398,0.708042
354,359.599,0.7082455
355,360.5602,0.7083708
356,361.4581,0.7081754
357,362.3352,0.7081221
358,363.0961,0.708017
359,363.8756,0.7079369
360,364.7307,0.7078923
361,365.8866,0.7080456
362,366.6778,0.7079392
363,367.8459,0.7077989
364,368.7652,0.7077476
365,369.6404,0.7078289
366,370.37,0.7077521
367,371.2836,0.7076672
368,371.9951,0.7076846
369,373.0738,0.7077602
370,373.852,0.7079344
371,374.7699,0.707765
372,375.6046,0.7078353
373,376.3621,0.7079708
374,377.1194,0.7081421
375,378.1032,0.7083197
376,379.1492,0.7082236
377,379.8811,0.7084147
378,380.5886,0.7084553
379,381.6498,0.7083499
380,382.3224,0.7084517
381,383.0911,0.7084268
382,382.8406,0.7085521
383,383.7031,0.7085442
384,384.6374,0.7084447
385,385.7634,0.7086592
386,386.6703,0.7086567
387,387.6544,0.7084401
388,388.4814,0.7082563
389,389.1884,0.7082197
390,390.5156,0.7081745
391,391.4102,0.7082055
392,392.0899,0.7081513
393,392.946,0.7082144
394,393.9731,0.7081459
395,394.8434,0.7080893
396,395.7285,0.7079483
397,396.5253,0.7079671
398,397.2049,0.7080438
399,397.9506,0.7079396
400,399.0131,0.7081752
401,399.7181,0.7081589
402,400.6039,0.7082896
403,401.483,0.7081049
404,402.1864,0.7080856
