Iteration,Time,AUC
1,2.085066,0.6677979
2,3.241491,0.6696417
3,4.085364,0.668107
4,4.950852,0.6680982
5,5.860223,0.6679476
6,6.758358,0.6646933
7,7.663381,0.6650783
8,8.537779,0.665284
9,9.381331,0.66584
10,10.24613,0.6651283
11,11.12693,0.6666227
12,11.92126,0.6664819
13,12.75513,0.6666418
14,12.7782,0.6684814
15,13.60022,0.6690359
16,14.51097,0.6689942
17,15.38918,0.6684203
18,16.29477,0.6686884
19,17.20928,0.6684064
20,18.08574,0.6684059
21,18.94261,0.6688782
22,19.89442,0.6693343
23,20.89011,0.6693185
24,21.77933,0.6692865
25,21.75718,0.6697152
26,22.73844,0.669846
27,23.67421,0.6699677
28,24.55118,0.6720886
29,25.51673,0.6713145
30,26.38747,0.6723072
31,27.30976,0.6730882
32,28.23711,0.6736344
33,29.18722,0.6736571
34,30.00416,0.673971
35,30.96729,0.6734996
36,31.92019,0.6745735
37,32.83289,0.6740181
38,32.90117,0.6740528
39,33.80368,0.6740647
40,34.87408,0.6744358
41,35.70653,0.6750304
42,36.65468,0.6746771
43,37.64207,0.6807429
44,38.49083,0.6807681
45,39.42773,0.6807313
46,40.38148,0.6809698
47,41.28134,0.6814694
48,42.21516,0.6805377
49,43.17095,0.6805924
50,43.99025,0.6801648
51,44.89217,0.6804848
52,45.89498,0.6808166
53,45.89321,0.6821369
54,46.88777,0.6818012
55,47.90533,0.6818201
56,48.9787,0.6818176
57,50.00858,0.687152
58,50.96076,0.6882321
59,51.97062,0.6887966
60,52.98861,0.6899634
61,53.94773,0.6899821
62,54.94714,0.6895114
63,55.92585,0.6904999
64,56.88876,0.690792
65,57.09459,0.6904767
66,58.12363,0.6908504
67,59.09932,0.6907571
68,60.103,0.6905628
69,61.06597,0.6905676
70,62.01969,0.6904826
71,63.03328,0.6905216
72,64.02705,0.6901689
73,65.10474,0.6903605
74,66.07603,0.6900345
75,67.07353,0.6904523
76,68.15794,0.6898669
77,69.13576,0.690629
78,69.27756,0.6906113
79,70.37757,0.6904297
80,71.40302,0.6909227
81,72.40516,0.690868
82,73.41819,0.690795
83,74.38954,0.6909774
84,75.56554,0.6912333
85,76.54742,0.6916664
86,77.57803,0.691447
87,78.55367,0.6927519
88,79.61848,0.6929815
89,80.69058,0.6929786
90,81.76262,0.6931752
91,81.83949,0.6934787
92,83.02375,0.694149
93,84.19705,0.6936533
94,85.30496,0.6940495
95,86.42935,0.6940513
96,87.51272,0.6941308
97,88.70269,0.6945566
98,89.8738,0.6943356
99,91.07825,0.6946735
100,92.23215,0.6953145
101,92.73257,0.6951062
102,93.85125,0.6949221
103,95.00812,0.6955641
104,96.13621,0.6957277
105,97.23746,0.6958139
106,98.37434,0.6960023
107,99.55814,0.6959737
108,100.7775,0.69641
109,101.9483,0.6971552
110,103.1209,0.6974244
111,104.1951,0.6970838
112,104.3448,0.6976294
113,105.5159,0.6973166
114,106.5768,0.6980884
115,107.7193,0.6981402
116,108.8498,0.6977196
117,110.1437,0.6976546
118,111.3,0.6988218
119,112.5136,0.6990517
120,113.7152,0.6985759
121,114.9325,0.6990409
122,116.1127,0.6988756
123,117.3547,0.6995085
124,117.5405,0.7001999
125,118.7084,0.7003031
126,119.9462,0.7005885
127,121.3518,0.7010507
128,122.5512,0.7008908
129,123.7606,0.700977
130,125.0354,0.7004687
131,126.2421,0.7009296
132,127.4444,0.7010542
133,128.8532,0.7021564
134,129.1344,0.70279
135,130.4087,0.7026877
136,131.6629,0.7030474
137,132.9704,0.703055
138,134.2332,0.7031594
139,135.5058,0.703655
140,136.7733,0.7036036
141,138.1091,0.7032294
142,139.3609,0.7036823
143,139.6874,0.7033972
144,141.0555,0.7034405
145,142.3995,0.7037094
146,143.7439,0.7038531
147,145.1408,0.7040032
148,146.592,0.7037523
149,147.917,0.7034327
150,149.3128,0.7037417
151,149.7245,0.7041353
152,151.1127,0.7043449
153,152.5459,0.7050996
154,153.9655,0.7051447
155,155.4089,0.7058655
156,156.9284,0.7060778
157,158.3263,0.7060824
158,158.8427,0.7062192
159,160.2761,0.7064048
160,161.8079,0.706353
161,163.1724,0.7067193
