Iteration,Time,AUC
1,0.9172407,0.583015
2,1.744361,0.5830232
3,2.264364,0.5839188
4,2.773821,0.5839178
5,2.335086,0.5839228
6,2.861141,0.5847857
7,3.368722,0.5847906
8,3.907471,0.5847938
9,4.437052,0.5862543
10,4.953738,0.5862541
11,5.464714,0.5862579
12,5.979093,0.5862585
13,6.495127,0.586268
14,7.019476,0.591093
15,7.581874,0.5862677
16,8.110648,0.5862677
17,8.625789,0.5862692
18,9.17015,0.586268
19,9.660913,0.5862702
20,10.30029,0.6405643
21,10.97754,0.6405294
22,11.57315,0.6405397
23,12.18003,0.6420581
24,12.8094,0.6420593
25,12.43084,0.6405324
26,12.91396,0.6405321
27,13.51895,0.6426799
28,14.17343,0.6426805
29,14.82717,0.6426804
30,15.442,0.6435927
31,16.14259,0.6533804
32,16.73898,0.6542908
33,17.4017,0.6548297
34,18.06107,0.6551814
35,18.83746,0.654424
36,19.49424,0.6544337
37,20.10272,0.6544255
38,20.72644,0.6544254
39,21.43709,0.6535165
40,22.06648,0.654426
41,22.72148,0.6544252
42,23.36085,0.6538808
43,24.00459,0.6544252
44,24.6796,0.6544256
45,25.37939,0.6544251
46,26.02009,0.6543911
47,26.69083,0.6543802
48,27.43947,0.6543799
49,28.05965,0.6549253
50,27.75221,0.6543805
51,28.57566,0.6543804
52,29.30726,0.6543804
53,30.0266,0.6543764
54,30.70722,0.6543766
55,31.39043,0.6543343
56,32.09401,0.6537734
57,32.84464,0.6539542
58,33.5312,0.6546419
59,34.25665,0.6551008
60,34.97854,0.6546417
61,35.64724,0.6546405
62,36.34418,0.6552007
63,37.06481,0.6557573
64,37.75296,0.6549791
65,38.42641,0.6559799
66,39.11142,0.6559807
67,39.89454,0.6562832
68,40.62642,0.6562855
69,40.32143,0.6562849
70,41.01892,0.6562397
71,41.66346,0.6562154
72,42.29846,0.6556822
73,42.98785,0.6562165
74,43.63046,0.6562181
75,44.22717,0.6562409
76,44.84655,0.6552304
77,45.51154,0.6562336
78,46.19342,0.6562288
79,46.86721,0.6562284
80,47.53904,0.6562295
81,48.32294,0.6562446
82,48.97669,0.6562452
83,49.63607,0.6562464
84,50.3298,0.6562427
85,51.00606,0.6567738
86,51.69507,0.6562408
87,52.41887,0.6557079
88,53.12512,0.6562412
89,53.82344,0.6562596
90,54.48408,0.65572
91,55.16646,0.6562848
92,55.83983,0.6564965
93,56.47358,0.6562854
94,56.29989,0.6568097
95,56.95166,0.6562839
96,57.62791,0.6549331
97,58.37286,0.6559848
98,59.04413,0.6559847
99,59.71414,0.6561956
100,60.32351,0.6559895
101,61.05977,0.6565219
102,61.79289,0.6559825
103,62.42227,0.6570257
104,63.11976,0.6606859
105,63.87433,0.6617361
106,64.5137,0.6620345
107,65.14307,0.6617366
108,65.85243,0.661748
109,66.47617,0.6617418
110,67.20003,0.6627725
111,67.93987,0.661775
112,68.66176,0.6636132
113,69.46921,0.6635839
114,70.23369,0.6635215
115,70.99996,0.6637696
116,71.70118,0.6638099
117,72.48994,0.6634643
118,73.25182,0.6635142
119,72.97494,0.6636463
120,73.64557,0.6635038
121,74.40432,0.6636134
122,75.11156,0.6630754
123,75.89155,0.6639075
124,76.67904,0.6634516
125,77.39413,0.6629485
126,78.23294,0.6695466
127,79.1567,0.6698825
128,79.96425,0.6697926
129,80.66397,0.669819
130,81.49277,0.6700844
131,82.25715,0.6698313
132,83.12604,0.6748158
133,83.92159,0.6745627
134,84.77503,0.6752383
135,85.58712,0.6751573
136,86.51203,0.6762106
137,87.29851,0.6764059
138,88.04382,0.6763234
139,88.78258,0.6759616
140,88.74305,0.6762843
141,89.68374,0.6768099
142,90.49304,0.6769462
143,91.37976,0.6770837
144,92.14413,0.6770006
145,92.98967,0.6769055
146,93.88851,0.6782304
147,94.69148,0.6782307
148,95.51243,0.6781755
149,96.29436,0.6788126
150,97.09751,0.6789129
151,97.98257,0.6792939
152,98.7836,0.6794126
153,99.66736,0.6797226
154,100.481,0.6790865
155,101.3135,0.6796241
156,102.2072,0.6806358
157,103.0966,0.6813889
158,104.0329,0.6813767
159,105.0612,0.6813652
160,104.985,0.6831122
161,105.8587,0.6870883
162,106.8101,0.6869162
163,107.7607,0.6868593
164,108.7133,0.6873368
165,109.6323,0.6866618
166,110.5173,0.6869732
167,111.47,0.6866708
168,112.3814,0.6866025
169,113.3028,0.6866766
170,114.2547,0.6881953
171,115.1185,0.6883254
172,116.0503,0.6876777
173,117.07,0.6883038
174,117.98,0.6882969
175,118.9197,0.6887083
176,119.8208,0.6888278
177,120.8588,0.6888474
178,121.8506,0.6887106
179,122.6754,0.6888143
180,123.5461,0.6887512
181,124.4744,0.6886869
182,125.4634,0.6890325
183,126.5153,0.688825
184,127.4582,0.6891671
185,128.4157,0.6892338
186,129.3945,0.6894394
187,129.3828,0.6894682
188,130.2565,0.689734
189,131.3645,0.6895535
190,132.3251,0.6897755
191,133.2124,0.6897995
192,134.0705,0.690098
193,135.5767,0.6900588
194,136.5974,0.6898701
195,137.5912,0.6898986
196,138.6306,0.6902449
197,139.6299,0.6904761
198,140.6317,0.6905534
199,141.5879,0.6904772
200,142.4517,0.6903461
201,143.4479,0.6905504
202,144.4944,0.6906734
203,145.4919,0.6906013
204,146.5185,0.6908414
205,147.5199,0.6911826
206,147.5531,0.6945015
207,148.5781,0.6952874
208,149.5516,0.6967928
209,150.4892,0.6969895
210,151.6033,0.6968043
211,152.5776,0.6974694
212,153.6889,0.6973981
213,154.6528,0.6968777
214,155.7136,0.6976157
215,156.7118,0.6976045
216,157.8819,0.6976641
217,158.8446,0.6981586
218,159.8553,0.698742
219,161.1211,0.6984977
220,162.1192,0.6989397
221,163.2339,0.6989019
222,164.2981,0.6991399
223,165.3312,0.6994054
224,166.3252,0.699717
225,166.3233,0.6997831
226,167.4437,0.6996407
227,168.4549,0.6999342
228,169.5381,0.6999962
229,170.6113,0.7005395
230,171.7175,0.7012958
231,172.7948,0.7006941
232,173.989,0.7019231
233,174.9799,0.7019749
234,176.0496,0.7024075
235,177.127,0.7032021
236,178.2819,0.7031294
237,179.4108,0.7032427
238,180.4644,0.7035101
239,181.5961,0.7037176
240,182.6139,0.7038711
241,183.6552,0.7038475
242,184.7129,0.7038229
243,185.9174,0.7039521
244,186.9223,0.7041287
245,187.9978,0.7039474
246,188.0643,0.7040824
247,189.294,0.7038832
248,190.4095,0.7039885
249,191.4215,0.7036385
250,192.3385,0.7040937
251,193.8805,0.7039757
252,194.9595,0.7039055
253,196.0197,0.7043442
254,197.0397,0.7045409
255,198.1322,0.7043595
256,199.3207,0.7041635
257,200.2309,0.7042121
258,201.4059,0.704378
259,202.341,0.7042708
260,203.5271,0.7044335
261,204.6552,0.7042299
262,205.7621,0.7046061
263,206.6046,0.7044336
264,207.824,0.7044692
265,208.943,0.7042163
266,210.0261,0.7041308
267,210.9754,0.7041823
268,211.9261,0.7049342
269,211.9579,0.7046816
270,212.9354,0.7046345
271,213.9371,0.7045365
272,214.9521,0.7044853
273,215.9428,0.70577
274,216.7765,0.7056403
275,217.8097,0.7064463
276,218.9122,0.7061377
277,219.8206,0.706313
278,220.825,0.706084
279,221.777,0.7061968
280,222.782,0.7062766
281,223.8343,0.7065523
282,224.7058,0.7066386
283,225.6272,0.7066842
284,226.55,0.7066121
285,227.4791,0.7067349
286,228.3685,0.7068975
287,229.3998,0.7067687
288,230.3529,0.7072812
289,231.5039,0.7077459
290,232.6072,0.7079512
291,233.6235,0.7078197
292,233.6728,0.7079265
293,234.6975,0.7080255
294,235.7618,0.7079007
295,236.7535,0.7080957
296,237.8479,0.7082098
297,238.9353,0.7079889
298,239.9502,0.7083358
299,240.7229,0.7083047
300,241.6624,0.7082357
301,242.6107,0.7081185
302,243.7946,0.7083035
303,244.8866,0.7085162
304,245.6941,0.708365
305,246.6578,0.7083636
306,247.7545,0.7083776
307,248.6896,0.7084377
308,249.6894,0.7081956
309,250.6376,0.7080735
310,251.5972,0.7079168
311,252.5681,0.7080428
312,252.46,0.7081052
313,253.4664,0.7078908
314,254.3665,0.7078462
315,255.3188,0.707734
316,256.2887,0.707703
317,257.2782,0.7079102
318,258.1889,0.7081243
319,259.1725,0.707999
320,260.1394,0.7079752
321,260.9441,0.7080038
322,261.9906,0.7080286
323,262.8451,0.7081647
324,263.9027,0.7080461
325,264.7627,0.7078975
326,265.7277,0.707791
327,266.654,0.7076786
328,267.614,0.7078339
329,268.5959,0.7077245
330,269.5953,0.7075114
331,270.4847,0.7077937
332,271.4153,0.7078086
333,272.4159,0.7078214
334,272.4272,0.7078978
335,273.3189,0.7080426
336,274.2651,0.708018
337,275.1216,0.7081119
338,276.0915,0.7080465
339,277.1291,0.7080911
