Iteration,Time,AUC
1,1.02317,0.6412703
2,1.808383,0.6412703
3,2.338383,0.6413307
4,2.838475,0.641493
5,3.345987,0.6414967
6,3.813484,0.6414963
7,4.282221,0.6418884
8,4.858395,0.6431721
9,4.424757,0.6424655
10,4.902251,0.6424675
11,5.413334,0.6424478
12,5.962525,0.6424346
13,6.410699,0.6410744
14,6.882555,0.6424347
15,7.360305,0.6424346
16,7.836664,0.6410736
17,8.313239,0.6424359
18,8.813316,0.642436
19,9.348947,0.6424369
20,9.797599,0.6424361
21,10.37761,0.6424349
22,10.85418,0.6424343
23,11.35294,0.6440678
24,11.82113,0.642435
25,12.25737,0.6424345
26,12.71489,0.6424353
27,13.19439,0.6424345
28,13.70627,0.6408012
29,14.26846,0.6424442
30,14.75159,0.6424359
31,15.29352,0.6424294
32,15.73539,0.6424448
33,15.17165,0.6424448
34,15.70219,0.6424439
35,16.15406,0.6424439
36,16.59264,0.6426325
37,17.02452,0.6426319
38,17.49494,0.6426322
39,18.00368,0.642631
40,18.50023,0.6426309
41,19.03792,0.6426306
42,19.57051,0.6442637
43,20.05801,0.6409973
44,20.51988,0.6442633
45,21.00738,0.6426302
46,21.53616,0.6439532
47,22.13426,0.6425977
48,22.6474,0.6425977
49,23.09927,0.6439594
50,23.55708,0.6425584
51,24.00957,0.642538
52,24.49583,0.6425249
53,24.99333,0.642525
54,25.49083,0.6425503
55,25.92963,0.6425251
56,25.43155,0.6425253
57,25.86157,0.6425257
58,26.34282,0.6441828
59,26.79594,0.6424767
60,27.23344,0.6425024
61,27.83272,0.6411155
62,28.29819,0.6425017
63,28.8482,0.6424992
64,29.46728,0.6424789
65,29.98038,0.6424792
66,30.46588,0.6455968
67,30.94775,0.6442038
68,31.5023,0.6442043
69,32.02776,0.6442046
70,32.51526,0.6442046
71,32.97714,0.6442054
72,33.46466,0.6455971
73,33.97933,0.6428136
74,34.44682,0.6438305
75,34.94716,0.6442363
76,35.44467,0.6442373
77,34.92942,0.6456409
78,35.44381,0.6442412
79,35.98136,0.6442164
80,36.53012,0.6442162
81,37.01325,0.6442158
82,37.47839,0.6442171
83,38.05528,0.6442182
84,38.67298,0.6446748
85,39.23423,0.6444842
86,39.85707,0.6444788
87,40.50282,0.6444799
88,41.08407,0.6444809
89,41.74749,0.6444815
90,42.38767,0.6444456
91,42.99898,0.6428906
92,43.56849,0.6444461
93,44.23155,0.6444341
94,44.80874,0.6444364
95,45.4325,0.6447172
96,46.03501,0.6447193
97,46.65311,0.6451203
98,47.39062,0.6446996
99,48.01314,0.65822
100,48.6879,0.6559686
101,48.25477,0.6564923
102,48.90858,0.655958
103,49.51266,0.6559717
104,50.07225,0.6559728
105,50.70245,0.6559758
106,51.27561,0.6576983
107,52.03557,0.6603687
108,52.72619,0.6603999
109,53.37787,0.6603185
110,54.029,0.6603081
111,54.71964,0.6620873
112,55.57908,0.6592326
113,56.21423,0.6609099
114,56.84797,0.6591711
115,57.58866,0.659707
116,58.29219,0.6607412
117,59.04407,0.6602094
118,59.67561,0.660229
119,60.34936,0.6607635
120,61.06123,0.6592071
121,61.70272,0.6602369
122,62.39206,0.6609713
123,62.08269,0.6613415
124,62.80905,0.6642137
125,63.52212,0.6642298
126,64.22488,0.6642292
127,64.97534,0.6642299
128,65.69159,0.6642462
129,66.31225,0.6644421
130,67.00356,0.664232
131,67.70954,0.6649306
132,68.41213,0.6647525
133,69.05023,0.6647699
134,69.8146,0.6649633
135,70.52831,0.6659829
136,71.21256,0.6663138
137,71.94303,0.6663116
138,72.64694,0.6665259
139,73.43514,0.6671029
140,74.24635,0.6680743
141,74.00381,0.6680763
142,74.72979,0.6683589
143,75.38703,0.669193
144,76.12513,0.6684639
145,76.76392,0.6685703
146,77.42644,0.6682803
147,78.08142,0.6696623
148,78.79197,0.6695793
149,79.64885,0.6691004
150,80.30947,0.6709717
151,80.94447,0.6709916
152,81.62255,0.6709614
153,82.35438,0.6715234
154,83.03126,0.6716282
155,83.73184,0.6717106
156,84.4481,0.6719052
157,85.15118,0.6718807
158,85.82305,0.672547
159,86.5368,0.6732111
160,87.23742,0.6731306
161,87.95805,0.6737267
162,88.7068,0.6737276
163,89.51795,0.6725032
164,90.22635,0.6730573
165,89.98512,0.673098
166,90.80861,0.6730565
167,91.46046,0.6730687
168,92.11149,0.6736916
169,92.8346,0.6733224
170,93.53523,0.6734015
171,94.23795,0.6728765
172,94.85196,0.6786909
173,95.49134,0.6788009
174,96.18634,0.6787512
175,96.93134,0.6795154
176,97.61792,0.6795963
177,98.24167,0.679529
178,98.9788,0.6796908
179,99.70067,0.6803303
180,100.41,0.6794597
181,101.087,0.6787043
182,101.7876,0.6795865
183,101.4965,0.679572
184,102.1915,0.6803555
185,102.9731,0.6803713
186,103.6486,0.6798264
187,104.3405,0.6803206
188,104.9955,0.681402
189,105.6662,0.6814937
190,106.4135,0.6815763
191,107.2186,0.6816137
192,107.9423,0.6830126
193,108.6135,0.6834088
194,109.3702,0.6842134
195,110.1182,0.6835213
196,110.8699,0.6833982
197,111.5792,0.6844306
198,112.2942,0.6830612
199,113.0102,0.6846434
200,112.8465,0.6839925
201,113.5398,0.6840154
202,114.2284,0.683672
203,114.9759,0.6839148
204,115.6147,0.6839772
205,116.3508,0.6843662
206,117.1496,0.6838036
207,117.7727,0.6840929
208,118.4865,0.6842165
209,119.1809,0.6847371
210,119.8671,0.6848268
211,120.6502,0.6894716
212,121.3709,0.6886385
213,122.0432,0.6886156
214,122.9128,0.6886635
215,123.6702,0.6890001
216,124.3724,0.6889269
217,125.2155,0.6885231
218,125.9779,0.6882857
219,126.6908,0.6886136
220,126.5808,0.6891274
