Iteration,Time,AUC
1,6.041837,0.656548
2,7.9084,0.6632599
3,8.492709,0.6620238
4,10.06603,0.6615743
5,11.85543,0.6641383
6,13.49041,0.6615003
7,15.0298,0.6641077
8,15.38105,0.664431
9,16.831,0.6648448
10,18.38151,0.6654952
11,19.79613,0.6659909
12,21.30106,0.6658709
13,22.74949,0.6670279
14,24.10229,0.6670435
15,25.66975,0.6671973
16,26.16611,0.667587
17,27.66801,0.668608
18,29.22642,0.669937
19,30.474,0.6700237
20,31.92061,0.6699199
21,33.27218,0.6699735
22,34.81979,0.669831
23,35.14176,0.6694979
24,36.59666,0.669372
25,38.01422,0.669417
26,39.31888,0.6696289
27,40.74918,0.6698481
28,42.19855,0.6699805
29,43.68689,0.6702082
30,45.03315,0.6723248
31,46.54511,0.6723782
32,47.90361,0.6720609
33,49.28538,0.6716716
34,50.08552,0.6717288
35,51.56059,0.6725305
36,53.11628,0.6723544
37,54.77245,0.6728748
38,56.39222,0.6729739
39,57.86361,0.6729397
40,59.50445,0.6737898
41,60.06359,0.6739512
42,61.60232,0.6741328
43,63.14323,0.6737989
44,64.77045,0.6738573
45,66.39694,0.674034
46,68.09757,0.678435
47,68.87067,0.6790184
48,70.46739,0.6793585
49,72.01329,0.6840283
50,73.5926,0.6840326
51,75.17841,0.6842157
52,76.85284,0.6841728
53,77.58144,0.6840936
54,79.13055,0.6844253
55,80.85711,0.6849428
56,82.66762,0.6851774
57,84.32608,0.6853431
58,86.23158,0.6870595
59,86.91566,0.6871296
60,88.47154,0.6876596
61,90.06518,0.6876626
62,91.8407,0.6877127
63,93.58524,0.6885953
64,95.26575,0.6892598
65,95.9986,0.6893234
66,97.78101,0.690281
67,99.44075,0.6911346
68,101.1984,0.6912152
69,102.9231,0.6924395
70,104.6224,0.6927674
71,105.3204,0.6928261
72,107.0625,0.6931809
73,108.7235,0.693137
74,110.4845,0.6929611
75,112.1748,0.6927298
76,114.0287,0.6924963
77,114.9199,0.6926114
78,116.5961,0.6926213
79,118.4584,0.6925983
80,120.3678,0.6926268
81,122.3349,0.6923552
82,124.1761,0.6930474
83,125.034,0.6934835
84,126.9565,0.6950514
85,128.8688,0.6949604
86,130.9488,0.6960555
87,132.9203,0.6958768
88,134.8431,0.696138
89,135.8086,0.6962656
90,137.7998,0.6968285
91,139.8257,0.6968138
92,141.8141,0.6967839
93,143.8954,0.6971091
94,145.9292,0.6966888
95,147.0908,0.6966267
96,149.242,0.6965804
97,151.2349,0.6964681
98,153.2396,0.6963551
99,155.4122,0.6962772
100,157.3382,0.6962803
101,158.5461,0.6959842
102,160.5635,0.6962088
103,162.4906,0.6968177
104,164.6262,0.6968532
105,166.6867,0.6972237
106,168.6762,0.6973073
107,169.8382,0.6977336
108,171.9036,0.6976857
109,173.9735,0.6984325
110,176.1734,0.6984248
111,178.2628,0.6983233
112,179.493,0.6988954
113,181.7009,0.6991354
114,184.0973,0.6988457
115,186.3507,0.6989073
116,188.4972,0.6990908
117,189.6987,0.6990319
118,192.0501,0.6988653
119,194.3437,0.6988632
120,196.6689,0.6989767
121,198.0015,0.6988018
122,200.2979,0.6991539
123,202.6473,0.6993755
124,204.8444,0.6994605
125,206.2666,0.6998297
126,208.8533,0.6998539
127,211.2494,0.6998078
128,213.8467,0.6995407
129,215.4155,0.6994252
130,217.9156,0.6996846
131,220.5673,0.7002658
132,223.0514,0.7003367
133,224.501,0.7008344
134,227.1438,0.700331
135,229.7054,0.7007569
136,232.2931,0.7006575
137,233.7352,0.700601
138,236.2221,0.7011919
139,238.8068,0.7014329
140,240.4863,0.7013538
141,243.1031,0.701631
142,245.7843,0.7013547
143,247.4877,0.7015263
144,249.935,0.701662
145,252.4009,0.7024374
146,255.0768,0.7024894
147,257.5681,0.7025845
148,259.3101,0.7027069
149,262.1632,0.7032056
150,264.8652,0.7032708
151,266.4898,0.7034823
152,269.1709,0.7039423
153,271.8185,0.7043335
154,274.5451,0.704402
155,276.3993,0.7046565
156,279.4802,0.7048808
157,282.3582,0.7053906
158,284.2947,0.7063495
159,287.3813,0.707207
160,289.2597,0.7074246
161,292.0006,0.7074583
162,294.6935,0.7074948
163,297.6256,0.708169
164,299.4214,0.708348
165,302.2402,0.7079835
166,304.2464,0.7077557
167,307.1439,0.7074951
168,310.1166,0.7074632
169,312.0185,0.7072686
170,314.8577,0.7073085
171,317.7394,0.7071798
172,319.6828,0.7070787
173,322.6824,0.7071668
174,325.7968,0.7073971
175,327.8515,0.7075175
176,331.0261,0.7075204
177,333.0412,0.7084954
178,335.9821,0.7088308
179,339.2529,0.7087258
180,341.1256,0.7084744
181,344.3492,0.7084784
182,346.4559,0.7085094
183,349.3724,0.7084877
184,352.4642,0.7081356
185,354.6543,0.7083134
186,357.5886,0.7078395
187,360.6425,0.7077037
188,362.3832,0.7077983
189,365.4548,0.7077942
190,368.4094,0.7075668
191,370.525,0.7077693
192,373.8295,0.7082665
193,376.3621,0.7088146
194,379.4001,0.7086508
195,382.4306,0.7089619
196,384.8413,0.7089181
197,388.0153,0.7096316
198,390.4337,0.7095527
199,393.2946,0.709472
200,396.5021,0.7094751
201,398.8691,0.7088706
202,402.0717,0.7096693
203,404.8776,0.7090784
204,406.8673,0.7091107
205,410.2211,0.708453
206,413.3402,0.7083696
207,415.3701,0.7079384
208,418.7628,0.708089
209,420.7963,0.7083078
210,423.97,0.7083323
211,427.4133,0.7087702
212,430.5303,0.7095369
213,433.1145,0.7091472
214,436.2277,0.7097373
215,439.6386,0.710135
216,442.2017,0.7098896
217,445.4472,0.7095023
218,447.5972,0.7095061
219,450.4644,0.7095393
220,453.5303,0.7095678
221,455.4654,0.7095827
222,458.6828,0.7094995
223,461.8141,0.7092439
224,464.0442,0.7093136
225,467.3198,0.7092352
226,469.5306,0.709368
227,472.7271,0.7092739
228,475.9055,0.7090949
229,478.1915,0.7090876
230,480.9579,0.7090057
231,484.0059,0.7088012
232,486.3757,0.7088904
233,489.6331,0.7086662
234,491.7337,0.7086028
235,494.6842,0.7088848
236,497.9535,0.7088181
237,500.2409,0.7089613
238,503.5636,0.7091765
239,505.7644,0.7091926
240,509.1264,0.7096086
241,511.9921,0.7099741
242,514.4322,0.7101362
243,517.4954,0.7102595
244,520.5572,0.7102546
245,523.8082,0.7104328
246,525.9014,0.710327
247,529.4337,0.7106275
248,531.4683,0.7104018
249,534.9336,0.710824
250,538.1346,0.7108351
251,540.1424,0.7108936
252,543.5714,0.7112934
253,546.4351,0.7115462
254,549.8916,0.7113713
255,553.6303,0.7116523
256,556.1073,0.7117048
257,559.0921,0.7117772
258,562.5683,0.7117343
259,565.156,0.7117518
260,568.1624,0.7117342
261,571.1471,0.7121634
262,573.2387,0.7117738
263,576.4878,0.7119495
264,578.7226,0.7121466
265,581.5659,0.7119292
266,584.8043,0.7120433
267,587.6691,0.7121616
268,589.7859,0.7121871
269,592.975,0.7122219
270,595.3124,0.7121869
271,598.0967,0.7124038
272,601.0079,0.7124755
273,602.662,0.7126381
274,605.6497,0.7127793
275,608.7451,0.7128131
276,610.6578,0.7131234
277,613.7352,0.7131126
278,616.8163,0.7133131
279,618.6293,0.7131165
280,621.6212,0.7132302
281,624.5033,0.7133716
282,626.5186,0.7134292
283,629.2288,0.714097
284,632.3239,0.7138863
285,635.0566,0.7137774
286,636.8765,0.7139562
287,639.5987,0.7138692
288,642.1078,0.7138968
289,643.7931,0.7138304
290,646.6764,0.7138721
291,649.5268,0.7138207
292,652.6092,0.7141708
293,654.7588,0.7142166
294,657.8249,0.7141498
295,661.1174,0.7141146
296,663.37,0.7145808
297,665.8303,0.7146236
298,668.7787,0.7146153
299,671.2286,0.7149281
300,673.6194,0.7148192
301,676.7607,0.7147332
302,679.7858,0.7147641
303,681.9378,0.7147698
304,684.5836,0.7146449
305,687.5054,0.7145069
306,690.9611,0.7143589
307,692.741,0.7145084
308,695.1409,0.7146103
309,698.3648,0.7143808
310,699.8358,0.71437
311,702.6219,0.7142766
312,705.2757,0.7145709
313,708.1125,0.7146935
314,709.5912,0.7145974
315,712.3665,0.7147766
316,714.5632,0.7147846
317,716.9036,0.7149693
318,719.2201,0.7148141
319,720.5351,0.7145851
320,723.332,0.7146955
321,725.4143,0.7146922
322,727.4674,0.7147602
323,729.6917,0.7147173
324,730.9294,0.7148389
325,733.3354,0.7147051
326,735.4029,0.7147109
327,737.4938,0.7145791
328,739.819,0.7145995
329,742.0594,0.7146222
330,743.4094,0.7144456
331,745.6675,0.7146815
332,747.9811,0.7143467
333,750.2893,0.7144453
334,752.7503,0.7142865
335,754.2409,0.713885
336,756.0505,0.7136735
337,758.2783,0.7134941
338,760.6941,0.7133667
339,761.8964,0.713441
340,763.82,0.7132333
341,766.5776,0.7132932
342,768.4301,0.7131873
343,769.9906,0.7132851
344,771.0194,0.7131085
345,773.0931,0.7130183
346,774.7434,0.7127
347,776.5945,0.7126865
348,778.9919,0.7122801
349,780.2097,0.7127067
350,782.2867,0.7125019
351,784.1657,0.7124327
352,785.9567,0.7125555
353,788.1958,0.7122788
354,789.8958,0.7121847
355,791.3532,0.7119878
356,793.229,0.7118038
357,795.5041,0.7115097
358,797.9342,0.7115812
359,799.8267,0.7113725
360,800.2379,0.7113083
361,801.7689,0.7112433
362,804.1511,0.7109447
363,806.3679,0.7110623
364,808.0314,0.7110532
365,809.7031,0.7109355
366,811.5265,0.7109015
367,812.4959,0.7108539
368,814.1021,0.7108007
369,815.5527,0.7107804
370,818.0275,0.7109517
371,819.4157,0.7106429
372,820.93,0.7111873
373,823.0161,0.7112632
374,823.5712,0.7112619
375,825.5412,0.7113548
376,826.9424,0.7114279
377,828.2547,0.7114939
378,829.8638,0.711695
379,831.674,0.7117462
380,832.9408,0.7116856
381,834.5692,0.7117197
382,835.5155,0.7116418
383,837.3827,0.7119919
384,838.9351,0.7119396
385,840.8504,0.7121531
386,842.3978,0.71214
387,843.6968,0.7121198
388,845.0542,0.7121439
389,845.5242,0.7120638
390,847.573,0.7119633
391,849.1928,0.7118189
392,851.0964,0.7119987
393,853.1508,0.7118947
394,855.1453,0.7119831
395,856.5548,0.7122801
396,856.7081,0.7123227
397,858.4683,0.7124441
398,859.8972,0.7124959
399,861.3009,0.7127974
400,862.7553,0.7129718
