Iteration,Time,AUC
1,1.662411,0.7175357
2,3.547249,0.7302103
3,5.335008,0.7396361
4,7.305936,0.7468017
5,9.168503,0.754192
6,11.13453,0.7627014
7,13.01794,0.76548
8,13.82304,0.7697025
9,15.83171,0.7727583
10,17.62651,0.7761954
11,19.6936,0.779012
12,21.65175,0.7810395
13,23.63592,0.782927
14,25.64827,0.7848293
15,27.57413,0.7860815
16,29.59227,0.7878883
17,31.64108,0.7890308
18,33.51875,0.7905157
19,35.38813,0.7914146
20,37.38894,0.7922286
21,39.17829,0.7931497
22,41.11162,0.7939094
23,42.88602,0.7945947
24,44.82956,0.7954443
25,46.85195,0.7959607
26,48.70394,0.7965787
27,50.7843,0.7972704
28,52.70402,0.7977487
29,54.36875,0.7982923
30,56.31814,0.7987533
31,58.21483,0.7992502
32,60.01201,0.799579
33,61.84748,0.8000484
34,63.7317,0.8003465
35,65.51163,0.8007387
36,67.41152,0.8013228
37,68.26098,0.8017052
38,70.14994,0.8021301
39,71.9505,0.802381
40,73.74945,0.8026525
41,75.59785,0.8029637
42,77.30387,0.8032411
43,79.09244,0.8035456
44,80.8506,0.8040299
45,82.53848,0.8042033
46,84.31234,0.804463
47,86.14675,0.8047319
48,87.88654,0.8049726
49,89.84332,0.8052559
50,91.56877,0.8053359
51,93.29298,0.8056203
52,95.08732,0.8057856
53,97.04237,0.8060807
54,99.04149,0.8062717
55,100.8674,0.8064233
56,102.4015,0.8065628
57,104.0151,0.8068288
58,105.9105,0.8071386
59,107.7234,0.8073401
60,109.4463,0.8076057
61,111.3247,0.8079049
62,113.1813,0.8080436
63,114.7137,0.8082409
64,115.404,0.8083594
65,117.4191,0.8085243
66,119.1705,0.8086581
67,120.697,0.808823
68,122.5302,0.8089873
69,124.2825,0.8090608
70,126.1482,0.8092126
71,127.758,0.809368
72,129.6509,0.8096195
73,131.2296,0.8097956
74,132.8193,0.8099246
75,134.3706,0.8100325
76,136.036,0.810079
77,137.6423,0.8102185
78,139.275,0.8103305
79,141.0134,0.8105137
80,142.4455,0.8106116
81,144.5482,0.8108258
82,146.5021,0.8110268
83,148.2241,0.8111066
84,149.8074,0.8111897
85,151.5486,0.8112815
86,153.1797,0.8113602
87,153.866,0.8115442
88,155.7181,0.8116378
89,157.3076,0.8117262
90,158.7957,0.8118184
91,160.5747,0.8120208
92,162.2974,0.8121846
93,164.0613,0.8122607
94,165.6647,0.8123216
95,167.2961,0.8123788
96,168.9902,0.8124291
97,170.5607,0.8124922
98,172.2755,0.8125796
99,173.901,0.8126484
100,175.731,0.8127656
101,177.4725,0.812962
102,179.3409,0.8130973
103,181.1607,0.8132533
104,183.0991,0.813393
105,184.7685,0.8134264
106,185.2799,0.8134761
107,186.8736,0.8135356
108,188.4233,0.8136111
109,189.9498,0.8136493
110,191.5586,0.8137496
111,193.3299,0.8138727
112,194.7205,0.8139241
113,196.5569,0.8141135
114,198.3968,0.8142468
115,199.8568,0.814305
116,201.5034,0.8144004
117,203.3366,0.814522
118,204.8796,0.8145538
119,206.3669,0.8146419
120,207.9032,0.8146919
121,209.3641,0.8147132
122,211.0199,0.8148268
123,212.685,0.8148985
124,214.3396,0.8149737
125,216.1009,0.8151165
126,217.9214,0.8151461
127,219.3742,0.8151711
128,220.9962,0.8151977
129,221.4477,0.8152536
130,223.0632,0.8153443
131,224.5113,0.8153705
132,226.1143,0.8154173
133,227.6988,0.8154636
134,229.4191,0.815617
135,231.1851,0.8157516
136,232.7961,0.81581
137,234.6049,0.8158695
138,236.4002,0.8160298
139,238.1213,0.8160978
140,239.5582,0.8161185
141,241.0926,0.8161565
142,242.8253,0.816225
143,244.2148,0.8162484
144,245.6758,0.816263
145,247.2691,0.8164359
146,248.7907,0.816538
147,250.7593,0.8167112
148,252.4114,0.8167494
149,254.1563,0.8167956
150,256.0038,0.8169455
151,257.4976,0.816985
152,259.384,0.8170694
153,260.8851,0.8171079
154,262.5643,0.8172055
155,264.4158,0.8173675
156,265.912,0.8174687
157,266.42,0.817543
158,267.8083,0.8175639
159,269.5185,0.8176692
160,271.3577,0.8177243
161,272.8053,0.8177791
162,274.3916,0.8178519
163,275.936,0.8179103
164,277.7704,0.8180167
