Iteration,Time,AUC
1,3.048453,0.5828378
2,4.772,0.5828538
3,5.935009,0.5833747
4,6.544358,0.5833908
5,7.169822,0.5833747
6,7.746768,0.5833726
7,8.373946,0.5833731
8,8.905185,0.5833645
9,9.442756,0.584791
10,10.00524,0.5852391
11,10.55308,0.5852415
12,11.1812,0.5852409
13,11.7663,0.5852631
14,12.34058,0.5852703
15,12.96566,0.5852731
16,13.51389,0.5852698
17,14.38637,0.5852599
18,14.91462,0.5852669
19,15.52018,0.5852777
20,16.10268,0.5852721
21,16.74035,0.5852749
22,17.34408,0.5852733
23,17.95911,0.5838436
24,18.4904,0.5852765
25,19.10932,0.5861658
26,19.66381,0.5861451
27,20.19942,0.5861636
28,20.77388,0.5861613
29,21.3343,0.5849707
30,21.86569,0.5861683
31,22.55318,0.5861497
32,23.09443,0.586169
33,23.69132,0.5861671
34,24.27049,0.5861672
35,24.93829,0.5861679
36,25.57295,0.5861836
37,26.1019,0.5861813
38,26.72786,0.5862003
39,26.35446,0.5861886
40,26.95943,0.5861856
41,27.53189,0.5861858
42,28.1084,0.5861887
43,28.66815,0.5861943
44,29.23826,0.5861893
45,30.00565,0.5861774
46,30.57856,0.5861931
47,31.18406,0.586194
48,31.74459,0.5861922
49,32.36673,0.5861766
50,32.97202,0.5861933
51,33.52901,0.5861931
52,34.15498,0.5861931
53,34.68312,0.5862008
54,35.296,0.5862017
55,35.83725,0.5861938
56,36.40035,0.5862029
57,36.93158,0.5862031
58,37.51445,0.5862032
59,38.12897,0.5862167
60,38.76566,0.5862039
61,39.30962,0.586123
62,39.93463,0.5861249
63,40.48588,0.5861442
64,41.02947,0.5861277
65,41.60073,0.586141
66,42.17454,0.5861415
67,42.76123,0.5861259
68,43.32092,0.5861261
69,43.86556,0.5861262
70,44.41682,0.5861272
71,44.95807,0.5861275
72,45.62871,0.5861268
73,46.40306,0.5861272
74,46.99578,0.5861258
75,47.60529,0.5861276
76,48.16841,0.5861277
77,48.73107,0.5861269
78,49.2704,0.5879107
79,49.84373,0.5879269
80,50.42247,0.5879254
81,50.98121,0.587938
82,51.5857,0.5879386
83,52.14913,0.5879389
84,52.69359,0.5891327
85,53.38192,0.5879391
86,53.95386,0.5879395
87,54.48555,0.5879536
88,55.12048,0.5879514
89,55.70918,0.5879496
90,56.26782,0.5881115
91,56.87597,0.5868041
92,57.46579,0.5881129
93,58.04078,0.5894191
94,58.6389,0.588104
95,59.4005,0.6420327
96,60.21356,0.6419609
97,60.77604,0.6420897
98,61.49248,0.6420332
99,62.28694,0.6420335
100,62.84941,0.6412395
101,63.56548,0.6420335
102,64.31617,0.6420337
103,64.88868,0.6420338
104,65.65316,0.6412376
105,65.56252,0.6418462
106,66.2862,0.6410046
107,67.07768,0.6410098
108,67.84327,0.64101
109,68.44638,0.6409949
110,69.1807,0.6410271
111,69.89725,0.6409947
112,70.46725,0.6401695
113,71.20601,0.6410109
114,71.93713,0.6410111
115,72.63902,0.6430747
116,73.37339,0.6431465
117,74.09897,0.6430743
118,74.84335,0.6422327
119,75.39021,0.6430899
120,76.15088,0.6439173
121,76.88962,0.6430732
122,77.66837,0.6435324
123,78.64014,0.6435332
124,79.41717,0.6435331
125,80.24813,0.643533
126,80.99867,0.6435324
127,81.85234,0.6433145
128,82.58671,0.6435542
129,83.40999,0.6435222
130,84.1766,0.6435382
131,84.92716,0.643538
132,85.69714,0.643538
133,86.51686,0.648212
134,87.3336,0.6482121
135,88.08793,0.6483215
136,88.84835,0.6483182
137,89.60233,0.6480827
138,90.45186,0.6478798
139,91.18374,0.6482081
140,92.01953,0.648208
141,92.76952,0.6482084
142,93.51423,0.648422
143,94.24005,0.6483141
144,95.08264,0.659576
145,95.92423,0.6595758
146,96.72659,0.6600602
147,97.59468,0.6595757
148,98.34156,0.6595759
149,99.19839,0.6598476
150,99.95963,0.6595907
151,100.8482,0.6595596
152,101.6418,0.6595753
153,102.5096,0.6595731
154,103.3782,0.6594642
155,104.1583,0.6595738
156,104.9707,0.6595798
157,105.7639,0.6594661
158,106.5515,0.6595773
159,107.3082,0.6594707
160,108.0328,0.6595936
161,108.8265,0.6595785
162,109.5759,0.659578
163,110.4827,0.659737
164,111.3196,0.6596827
165,112.0879,0.6598782
