Iteration,Time,AUC
1,0.834885,0.6488571
2,1.808538,0.6547804
3,2.527713,0.6554054
4,3.231704,0.6625045
5,3.984738,0.6632466
6,4.738841,0.664042
7,5.476047,0.6639209
8,6.256257,0.6653142
9,6.921705,0.6653193
10,7.633576,0.6657449
11,8.421699,0.6658151
12,9.087855,0.6667877
13,9.740464,0.6671112
14,10.46738,0.6675126
15,11.18246,0.6672775
16,11.82497,0.6666088
17,12.52389,0.6673946
18,13.28193,0.667031
19,13.97008,0.6678607
20,14.73407,0.6673112
21,15.53864,0.6681624
22,16.20678,0.6685604
23,15.84798,0.6691915
24,16.66397,0.6685596
25,17.42293,0.6685225
26,18.17847,0.6694591
27,18.88657,0.6710226
28,19.63134,0.6731389
29,20.33519,0.6735964
30,21.02193,0.6739916
31,21.8122,0.6734054
32,22.51281,0.6738212
33,23.19607,0.6740266
34,23.89069,0.6735148
35,24.52879,0.6730485
36,25.27764,0.6732068
37,26.07677,0.6726207
38,26.81308,0.6736949
39,27.59868,0.6743454
40,28.31557,0.6746104
41,29.07232,0.6738706
42,29.75856,0.6740306
43,30.52605,0.6737622
44,31.27224,0.6745189
45,32.02528,0.6746402
46,32.73152,0.6740949
47,32.48758,0.674757
48,33.3076,0.6750117
49,34.06806,0.6749601
50,34.82555,0.6750281
51,35.54742,0.6749093
52,36.21804,0.6738735
53,36.9265,0.674039
54,37.65955,0.6757764
55,38.4718,0.6752817
56,39.22493,0.6751329
57,40.04989,0.6770396
58,40.8263,0.6769416
59,41.63808,0.6769872
60,42.3554,0.6772531
61,43.11179,0.6765038
62,43.89026,0.6768502
63,44.62008,0.6767692
64,45.3992,0.6769872
65,46.14477,0.6772202
66,46.89022,0.6771509
67,47.79332,0.6777552
68,47.5741,0.6789413
69,48.38184,0.6787452
70,49.23381,0.6784107
71,50.00629,0.6782133
72,50.75527,0.6786444
73,51.61545,0.6796185
74,52.36178,0.6796885
75,53.13571,0.6822149
76,53.92052,0.6828287
77,54.7693,0.6821824
78,55.5822,0.6822898
79,56.33772,0.6823162
80,57.13491,0.6824244
81,57.89257,0.6827149
82,58.6588,0.6820826
83,59.48204,0.6821257
84,60.32542,0.6823675
85,61.10037,0.682648
86,61.9225,0.6825736
87,62.74079,0.6820655
88,63.57028,0.6810798
89,63.42603,0.6852808
90,64.24549,0.6866602
91,65.09856,0.686472
92,65.9661,0.6901602
93,66.81068,0.6908533
94,67.5703,0.6905752
95,68.33118,0.6902394
96,69.1462,0.6905456
97,69.90932,0.6913029
98,70.75223,0.6914455
99,71.65011,0.6920654
100,72.51981,0.6920482
101,73.35544,0.6906244
102,74.23875,0.6918008
103,75.06624,0.6912977
104,75.97891,0.690523
105,76.80643,0.690766
106,77.75734,0.6920085
107,78.58607,0.6927143
108,79.41213,0.691829
109,79.22057,0.6921577
110,80.09251,0.6925656
111,80.85731,0.6924491
112,81.57606,0.6930786
113,82.42786,0.6938487
114,83.32718,0.6939114
115,84.17672,0.6936367
116,85.08357,0.6927202
117,85.88329,0.6921783
118,86.75252,0.692737
119,87.62992,0.6933443
120,88.39946,0.6940172
121,89.17763,0.6936404
122,90.12883,0.6931272
123,90.89122,0.6929891
124,91.81555,0.6932023
125,92.60603,0.6928528
126,93.4237,0.693104
127,94.23198,0.6927957
128,95.13314,0.6924724
129,95.89034,0.6925524
130,95.76179,0.6944809
131,96.56734,0.6957912
132,97.35902,0.6956964
133,98.13847,0.6954908
134,98.90204,0.6949931
135,99.69233,0.6943149
136,100.6993,0.6945105
137,101.5093,0.6953606
138,102.2904,0.6951008
139,103.1582,0.6944667
140,103.8995,0.6952764
141,104.6635,0.6951368
142,105.4903,0.6948588
143,106.2622,0.6948581
144,107.0897,0.6955077
145,107.9565,0.6958199
146,108.8174,0.6966877
147,109.6107,0.6963709
148,110.4129,0.6967877
149,111.3811,0.6970174
150,112.1202,0.6970511
151,112.9821,0.6971951
152,113.6972,0.6973469
153,114.4447,0.6970674
154,115.2334,0.696994
155,115.9597,0.6962727
156,115.6977,0.6962057
157,116.6103,0.6967846
158,117.4198,0.6970117
159,118.1512,0.6969748
160,118.8964,0.6971145
161,119.6169,0.6971039
162,120.3805,0.6976466
163,121.1935,0.697497
164,121.8803,0.6981546
165,122.5876,0.6981822
166,123.4569,0.6981501
167,124.277,0.6981595
168,124.9891,0.6980469
169,125.6857,0.6982525
170,126.4276,0.6986573
171,127.2207,0.6982914
172,128.1254,0.6985196
173,128.9211,0.6986826
174,129.8397,0.6994741
175,130.6696,0.6999671
176,131.4283,0.7003967
177,132.1919,0.7004101
178,132.9312,0.7011245
179,132.7312,0.7008714
180,133.3941,0.7009414
181,134.2347,0.7012176
182,134.8986,0.7013494
183,135.5244,0.7013268
184,136.4219,0.7013368
185,137.0758,0.7008733
186,137.7545,0.7005512
187,138.5416,0.700538
188,139.2368,0.7010367
189,140.0558,0.7008587
190,140.8768,0.7010222
191,141.7135,0.7012549
192,142.4755,0.7018585
193,143.2729,0.7021712
194,144.0887,0.7023771
195,144.797,0.7025708
196,145.5747,0.7024227
197,146.3348,0.7022463
198,147.021,0.7023918
199,147.7826,0.7021621
200,148.5011,0.7020992
201,149.3442,0.7027881
202,150.1185,0.7032012
203,149.8695,0.7038514
204,150.5892,0.7039054
205,151.3558,0.7040986
206,152.0944,0.7040421
207,152.8293,0.7037571
208,153.6904,0.7041608
209,154.548,0.7039077
210,155.2922,0.7043267
211,156.0145,0.7044118
212,156.6561,0.7048258
213,157.347,0.7051848
214,158.2075,0.7053344
215,158.937,0.7048448
216,159.7612,0.7041341
217,160.4673,0.7044297
218,161.2809,0.7044252
219,162.0355,0.7044232
220,162.7855,0.7040948
221,163.6274,0.7038809
222,164.3606,0.7046569
223,165.1246,0.7047459
224,166.065,0.7050826
225,166.7965,0.7051133
226,167.5408,0.7049987
227,168.3162,0.7056106
228,168.9668,0.7056273
229,169.7168,0.7060592
230,169.5407,0.7056411
231,170.287,0.7055379
232,171.0631,0.7055194
233,171.8989,0.7054358
234,172.6954,0.705254
235,173.485,0.7053897
236,174.4001,0.7057391
237,175.101,0.7058676
238,175.8152,0.7059235
239,176.6462,0.7063803
240,177.3809,0.7064488
241,178.1171,0.7061702
242,179.0265,0.7065164
243,179.7852,0.7064446
244,180.4715,0.706685
245,181.2731,0.7067392
246,182.0217,0.7074101
247,182.725,0.7072859
248,183.4007,0.7072694
249,184.0329,0.707408
250,184.7487,0.7074517
251,185.6493,0.7075692
252,186.3993,0.7071597
253,187.0912,0.7069768
254,187.7911,0.706947
255,188.5721,0.7069653
256,189.3393,0.7069537
257,190.2706,0.7071142
258,190.986,0.7071416
259,191.6766,0.7071777
260,192.3604,0.70729
261,192.1256,0.7070718
262,192.7296,0.7069746
263,193.5742,0.7069213
264,194.1904,0.7070885
265,194.8655,0.706846
266,195.5942,0.7074037
267,196.4364,0.7079128
268,197.2763,0.7076663
269,197.9898,0.7077148
270,198.7647,0.7079034
271,199.5491,0.7074478
272,200.1709,0.7074114
273,200.914,0.707235
274,201.7828,0.7072126
275,202.6665,0.7072855
276,203.549,0.7070516
277,204.1941,0.7071828
278,204.9072,0.7070755
279,205.6079,0.7071255
280,206.3419,0.7069993
281,207.0876,0.7069234
282,207.8063,0.7068568
283,208.4282,0.7068328
284,209.1135,0.7067435
285,210.0985,0.7065962
286,210.8457,0.7069859
287,210.6892,0.7067606
288,211.5803,0.7069039
289,212.2822,0.7067333
290,213.0318,0.7070551
291,213.9651,0.707197
292,214.7225,0.7071443
293,215.489,0.7072975
294,216.1709,0.7073054
295,216.8912,0.707289
296,217.6056,0.7073787
297,218.3533,0.7075184
298,219.1147,0.7076693
299,219.8507,0.707845
300,220.5882,0.7079519
301,221.2669,0.7080065
302,221.9994,0.7077034
303,222.7538,0.7079397
304,223.4671,0.707841
305,224.3926,0.7076295
306,225.1105,0.7076926
307,225.8436,0.7074017
308,226.6272,0.7074398
309,227.3843,0.7072522
310,228.1799,0.7069393
311,228.8782,0.7071157
312,229.733,0.707033
313,230.4208,0.707386
314,231.0659,0.7070619
315,231.7868,0.7073343
316,232.5561,0.7069239
317,233.3205,0.707162
318,233.9767,0.7069123
319,234.6599,0.7069863
320,235.4287,0.7065903
321,236.1761,0.7068312
322,236.9562,0.7070529
323,236.6533,0.707273
324,237.4151,0.7072915
325,238.0901,0.7072679
326,238.8523,0.7074412
327,239.7069,0.7071845
328,240.42,0.7073181
329,241.1293,0.7071439
330,241.8401,0.7071552
331,242.5976,0.7069017
332,243.2979,0.7067339
333,244.1109,0.7064585
334,244.8628,0.7062443
335,245.737,0.706986
336,246.4289,0.7076448
337,247.1733,0.7074567
338,247.9232,0.7072812
339,248.7194,0.7079515
340,249.5987,0.7077991
341,250.2437,0.7076902
342,251.0405,0.7076786
343,251.8313,0.7074355
344,252.6531,0.7073177
345,253.497,0.7071479
346,254.1887,0.7070049
347,253.8668,0.7068573
348,254.5045,0.7069812
349,255.2108,0.706728
350,255.9773,0.7067203
351,256.7297,0.7068911
352,257.4508,0.7066982
353,258.3344,0.7066296
354,258.9884,0.7064699
355,259.7219,0.7063667
356,260.5105,0.7064066
357,261.2357,0.7061585
358,262.0288,0.7078588
359,262.92,0.7085735
360,263.7082,0.7086522
361,264.5328,0.7088206
362,265.386,0.7088441
363,266.0898,0.7088828
364,266.837,0.7091653
365,267.5476,0.7096346
366,268.2305,0.7098756
367,269.0289,0.7099377
368,269.8669,0.7095994
369,270.6522,0.7097669
370,271.4039,0.7096976
371,272.1151,0.7100691
372,272.8454,0.7101037
373,273.5975,0.7102841
374,273.4083,0.7101841
375,274.1558,0.7100014
376,274.8795,0.7101657
377,275.8023,0.7102274
378,276.5298,0.7101039
379,277.1919,0.7101895
380,277.899,0.7099982
381,278.6163,0.7103458
382,279.4319,0.7108132
383,280.0869,0.7107593
384,280.8889,0.7111519
385,281.5747,0.7108025
386,282.3997,0.7123715
387,283.0879,0.7126722
388,284.0259,0.7132567
389,284.7376,0.71312
390,285.4869,0.7132901
391,286.2463,0.7130482
392,287.0294,0.7131206
393,287.8996,0.7128929
394,288.656,0.7125078
395,288.3779,0.7126217
396,289.0998,0.7130507
397,289.7866,0.7131195
398,290.417,0.7128888
399,291.1221,0.7128181
400,291.9909,0.7132936
401,292.8169,0.7132916
402,293.6375,0.7132247
403,294.3756,0.7131201
