Iteration,Time,AUC
1,1.936886,0.7440543
2,3.816895,0.7528156
3,5.503143,0.7617504
4,7.327533,0.7683281
5,8.234001,0.7730979
6,9.936062,0.7785883
7,11.80107,0.7820326
8,13.62785,0.7859504
9,15.32616,0.7884041
10,16.10771,0.790503
11,17.85542,0.7926558
12,19.63775,0.7943594
13,21.46785,0.7958207
14,23.38175,0.7972014
15,25.18382,0.798139
16,27.05824,0.7994692
17,27.78397,0.8003042
18,29.50792,0.8010368
19,31.18695,0.8017091
20,32.98414,0.8024834
21,34.79972,0.8030687
22,35.45465,0.803714
23,37.11681,0.8043067
24,38.66325,0.8048688
25,40.17192,0.8052147
26,41.92577,0.8055945
27,43.8723,0.8066877
28,45.54422,0.8072824
29,46.30722,0.807609
30,47.84836,0.8078828
31,49.38951,0.8081526
32,51.35643,0.8089243
33,52.92254,0.8092862
34,54.48795,0.8094918
35,55.21808,0.8102495
36,56.66946,0.810502
37,58.3437,0.8107674
38,60.1942,0.811262
39,61.6146,0.8114152
40,63.40091,0.811673
41,65.23714,0.8119341
42,65.72297,0.812047
43,67.32415,0.8122184
44,68.99504,0.8127231
45,70.51841,0.812945
46,72.2995,0.8134499
47,73.93952,0.8136827
48,75.43113,0.8138025
49,76.06627,0.8138605
50,77.68336,0.8140189
51,79.34096,0.8141963
52,81.03316,0.8147242
53,82.71433,0.8150232
54,84.42932,0.8153511
55,85.04188,0.8154643
56,86.65861,0.8156751
57,88.25181,0.8158868
58,89.85525,0.8160009
59,91.62312,0.8163839
60,93.17063,0.816514
61,94.60909,0.8167054
62,95.1911,0.8168605
63,96.76274,0.8170079
64,98.32756,0.817151
65,99.74275,0.817229
66,101.3214,0.8174831
67,103.2362,0.8177802
68,104.8224,0.8180902
69,105.7484,0.8185249
70,107.5645,0.8187348
71,109.3169,0.8188596
72,111.03,0.8190354
73,112.7097,0.8191347
74,114.4631,0.8193731
75,115.2105,0.8195267
76,116.7234,0.8196409
77,118.1786,0.8196847
78,119.4586,0.8197132
79,120.9444,0.8197914
80,122.4737,0.8198642
81,124.0612,0.819979
82,125.5237,0.8201513
83,126.3626,0.8204744
84,128.0783,0.8206098
85,129.6711,0.8207884
86,131.452,0.8210324
87,132.8551,0.8210872
88,134.1495,0.8211303
89,135.684,0.8211879
90,137.4679,0.8214537
91,138.3704,0.8215893
92,139.8185,0.8216492
93,141.2853,0.8217076
94,142.584,0.8217657
95,143.9427,0.8218928
96,145.2847,0.8219401
97,146.7255,0.8219994
98,148.4015,0.8221028
99,149.8798,0.8221859
100,151.3961,0.8223813
101,152.1674,0.822569
102,153.7773,0.822642
103,155.4395,0.822681
104,157.1904,0.8228769
105,158.8831,0.8231
106,160.3884,0.8231985
107,162.0947,0.8234013
108,162.7993,0.8235528
109,164.3454,0.8236733
110,165.9261,0.8239153
111,167.5749,0.8240374
112,169.248,0.8241776
113,171.0986,0.8243573
114,171.7573,0.8243937
115,173.1848,0.8244196
116,174.7501,0.8244594
117,176.1346,0.824491
