Iteration,Time,AUC
1,6.089262,0.7779505
2,11.56232,0.7873193
3,16.80767,0.7923441
4,22.85453,0.7968495
5,28.24439,0.8000677
6,33.31385,0.8028672
7,39.40089,0.8056994
8,44.41401,0.8076535
9,49.59982,0.8095121
10,55.07244,0.8114425
11,60.16698,0.8130277
12,65.50419,0.8143751
13,70.01225,0.8155597
14,75.41087,0.8167146
15,80.19125,0.8178398
16,85.20021,0.8187465
17,88.0511,0.8194248
18,93.10824,0.8199833
19,97.45607,0.8206868
20,101.757,0.8212676
21,105.7233,0.8217186
22,111.5703,0.8225426
23,116.3272,0.8233039
24,119.6666,0.8236545
25,123.5074,0.8241405
26,127.6619,0.8247288
27,131.73,0.8249887
28,135.4413,0.825484
29,141.0528,0.825984
30,144.4574,0.8261744
31,148.3518,0.8265737
32,152.6748,0.8272008
33,156.3405,0.8274109
34,160.2218,0.8277323
35,163.1648,0.8278991
36,166.789,0.8280982
37,170.7505,0.8285599
38,175.0742,0.8288249
39,177.5703,0.8289109
40,182.8785,0.8293614
41,186.6558,0.8296411
42,191.0014,0.8298784
43,195.4056,0.8302648
44,198.7149,0.8304735
45,202.0771,0.8306558
46,206.2512,0.8308962
47,208.7225,0.8310072
48,211.9043,0.831071
49,215.1456,0.8313319
50,219.0593,0.8315715
51,222.2976,0.8317051
52,226.4228,0.8319046
53,230.195,0.8320591
54,233.6981,0.8321975
55,237.3443,0.832349
56,240.1548,0.8324231
57,244.1422,0.8327341
58,247.8553,0.8329398
59,250.8115,0.8330727
60,255.1167,0.833289
61,259.5116,0.8336507
62,263.8429,0.8338005
63,267.0188,0.8339716
64,270.2938,0.8340676
65,275.5772,0.8344016
66,280.5456,0.8348281
67,284.1676,0.8349653
68,287.7382,0.8350182
69,291.4409,0.8352637
70,294.7955,0.8353749
71,297.825,0.8354105
72,299.7393,0.8354497
73,304.0249,0.8356059
74,308.2292,0.8357658
75,313.5028,0.8360769
76,316.0547,0.8361637
77,319.3772,0.8362146
78,321.771,0.8362451
79,325.6968,0.8364732
80,331.2832,0.8367166
81,335.2983,0.8368707
82,338.6923,0.8369861
83,341.8459,0.8370915
84,346.664,0.8373167
85,349.8174,0.8373775
86,353.0268,0.8374987
87,355.2538,0.8375387
88,357.7998,0.837571
89,363.1111,0.8377237
90,365.6218,0.8377794
91,369.1986,0.8378995
92,373.075,0.8380289
93,376.1015,0.8380805
94,380.6389,0.8382139
95,385.7937,0.8385886
96,388.9076,0.8386659
97,390.6276,0.8387155
98,393.7843,0.8387856
99,396.5055,0.8388202
100,399.6822,0.8388762
101,402.3579,0.8388954
102,407.8355,0.8392573
103,410.6149,0.8392964
104,415.2309,0.8393858
105,418.4075,0.839486
106,423.1939,0.8396852
107,427.7157,0.8398339
108,430.8942,0.839884
109,434.8837,0.8399901
110,436.9078,0.840006
111,440.7727,0.8400691
112,444.2341,0.8401501
113,447.4974,0.8402213
114,450.9377,0.8403017
115,453.322,0.840312
116,455.9884,0.8403423
117,459.4126,0.8404491
118,462.8464,0.8405479
119,467.0545,0.8406316
120,471.3421,0.8407695
121,474.9877,0.8408242
122,477.6608,0.8408518
123,481.0447,0.8408679
124,483.3182,0.8408984
125,488.7476,0.8410568
126,492.675,0.8410942
127,495.0231,0.8411154
128,498.3756,0.8412639
129,500.5223,0.841276
130,503.6085,0.8413789
131,506.8988,0.8414612
132,511.742,0.8415746
133,516.5531,0.8416762
134,520.2319,0.8417434
135,524.4656,0.8418201
136,528.3215,0.841882
137,532.7582,0.8419478
138,535.8162,0.8420237
139,539.2157,0.8420496
140,542.3943,0.8420902
141,547.5848,0.8422466
142,550.9611,0.8422957
143,554.7646,0.8423414
144,557.3158,0.8423667
145,560.1199,0.8424818
146,564.9619,0.8425623
147,569.4557,0.8426807
148,573.439,0.8427283
149,576.8313,0.8427616
150,579.7231,0.8428353
151,584.3037,0.8429099
152,586.7188,0.8429184
153,591.3544,0.8430598
154,595.5985,0.8431354
155,600.6521,0.8432438
156,604.1787,0.8432765
157,606.1455,0.8432836
158,608.7856,0.8432912
159,611.9826,0.8433422
160,615.9865,0.8434192
161,620.7682,0.8435186
162,623.5099,0.8435606
163,628.031,0.843602
164,631.4045,0.8436314
165,635.1351,0.8436868
166,638.8389,0.8437374
167,643.2869,0.8438149
168,647.4406,0.8438696
169,650.4238,0.843897
170,653.3443,0.8439084
171,655.6364,0.8439178
172,658.1832,0.8439492
173,660.9764,0.8439651
174,665.1708,0.8440091
175,669.1366,0.8440515
176,671.5172,0.8440536
177,673.8546,0.8440924
178,677.8751,0.8441416
179,681.9797,0.8441872
180,686.4278,0.8442447
181,689.0055,0.8442565
182,692.0825,0.8442714
183,694.7169,0.8442886
184,697.177,0.8443069
185,700.2809,0.8443299
186,703.5096,0.8443586
187,707.1243,0.8444248
188,710.3492,0.8444772
189,712.6974,0.844476
190,716.2642,0.8445145
191,718.1321,0.8445163
192,720.843,0.844538
193,723.6662,0.8445423
194,727.1733,0.8445955
195,731.0382,0.8446276
196,734.2618,0.8446551
197,738.3801,0.8446727
198,742.2286,0.8447127
199,746.3817,0.8448003
200,750.6735,0.8448431
201,753.9673,0.8448766
202,757.6446,0.8449274
203,760.2288,0.8449361
204,762.9651,0.8449332
205,765.2179,0.8449447
206,768.4629,0.8449736
207,771.2971,0.8449725
208,774.6004,0.8449974
209,776.4523,0.8450018
210,779.4618,0.8450054
211,781.5922,0.8450092
212,783.2709,0.8450084
213,786.9881,0.8450022
214,787.7065,0.8450045
215,789.1008,0.8450048
216,790.0327,0.8450048
217,791.1777,0.8450048
218,792.1778,0.8450048
219,793.1148,0.8450048
220,794.2906,0.8450048
221,795.3804,0.8450048
222,796.4067,0.8450048
223,797.4184,0.8450048
224,798.3871,0.8450048
225,799.418,0.8450048
226,800.3469,0.8450048
227,801.4996,0.8450048
228,802.5458,0.8450048
229,803.5707,0.8450048
230,804.6498,0.8450048
231,805.6334,0.8450048
232,806.8261,0.8450048
233,807.8443,0.8450048
234,808.825,0.8450048
235,809.8248,0.8450048
236,810.8023,0.8450048
237,810.9383,0.8450048
238,812.1053,0.8450048
239,813.0458,0.8450048
240,814.0645,0.8450048
241,815.0845,0.8450048
242,816.0164,0.8450048
243,817.0911,0.8450048
244,818.1225,0.8450048
245,819.0787,0.8450048
246,820.0506,0.8450048
247,821.1711,0.8450048
248,822.2336,0.8450048
249,823.301,0.8450048
250,824.2564,0.8450048
251,825.5385,0.8450048
252,826.5962,0.8450048
253,827.5455,0.8450048
254,828.4895,0.8450048
255,829.553,0.8450048
256,830.6067,0.8450048
257,831.5998,0.8450048
258,832.603,0.8450048
259,833.8046,0.8450048
