Iteration,Time,AUC
1,1.457375,0.743649
2,2.002231,0.7536356
3,3.579957,0.7612282
4,5.195261,0.7680801
5,6.773656,0.7737479
6,8.342256,0.7779365
7,9.833596,0.7810026
8,10.34654,0.7852719
9,11.91163,0.788006
10,13.50121,0.7904736
11,14.98368,0.7925786
12,16.42319,0.7944459
13,18.09748,0.7958446
14,19.52079,0.7973101
15,19.94481,0.7982043
16,21.387,0.7992232
17,22.98232,0.7999741
18,24.36427,0.8005101
19,25.99693,0.8018162
20,27.45019,0.8025554
21,29.00485,0.8031346
22,30.42488,0.8035923
23,30.83964,0.8048067
24,32.45969,0.8055292
25,33.98441,0.8059399
26,35.53503,0.8063383
27,36.93571,0.806602
28,38.21216,0.8069967
29,39.72709,0.807594
30,41.13122,0.8081255
31,41.68939,0.8085919
32,43.08405,0.8088017
33,44.6588,0.8092165
34,46.10857,0.8094951
35,47.62928,0.809864
36,49.00118,0.8100843
37,50.55064,0.8106703
38,50.97075,0.8110235
39,52.38788,0.8113722
40,53.80904,0.8118217
41,55.2911,0.81198
42,56.76977,0.8121692
43,58.17288,0.8126239
44,59.57757,0.8128715
45,60.23142,0.8133529
46,61.69607,0.8135346
47,63.11166,0.8136527
48,64.58448,0.813847
49,66.08821,0.8141975
50,67.5211,0.8143781
51,68.03572,0.8146031
52,69.42726,0.8149203
53,70.80967,0.8150803
54,72.14069,0.8151783
55,73.56382,0.8153809
56,74.89411,0.8156344
57,76.39232,0.8158048
58,77.85143,0.8159104
59,78.27143,0.8160616
60,79.60257,0.8161168
61,80.95981,0.816263
62,82.32337,0.8164686
63,83.74185,0.81662
64,85.19669,0.8167694
65,86.57234,0.8169321
66,87.05354,0.8170892
67,88.44632,0.8171548
68,89.83626,0.8174963
69,91.22458,0.8175651
70,92.5698,0.8176276
71,93.89513,0.817784
72,95.32763,0.8180216
73,96.71852,0.8182428
74,97.31954,0.8184759
75,98.78337,0.8185686
76,100.3391,0.8187651
77,101.8359,0.8188179
78,103.3197,0.8190633
79,104.6416,0.8191248
80,106.3064,0.8193073
81,106.5586,0.8193566
82,107.9804,0.8194726
83,109.4503,0.8197709
84,110.8984,0.8198252
85,112.2328,0.8199317
86,113.7404,0.8203113
87,115.2236,0.8204768
88,116.6404,0.8205785
89,117.0313,0.8206765
90,118.3519,0.8206933
91,119.9391,0.8208987
92,121.2898,0.82107
93,122.7666,0.8212261
94,124.1697,0.8213653
95,124.6742,0.8214385
96,125.9991,0.8216138
97,127.5437,0.8217861
98,129.0542,0.8218593
99,130.5273,0.822137
100,131.8929,0.8222009
101,133.2969,0.8223896
102,134.7317,0.8225931
103,135.2731,0.8227974
104,136.9299,0.8229608
105,138.2536,0.8230505
106,139.7608,0.823197
107,141.103,0.8232536
108,142.4286,0.8233028
109,143.7708,0.8233327
110,144.2458,0.8233813
111,145.5771,0.8234577
112,147.1343,0.8236209
113,148.5913,0.8239236
114,149.9513,0.8239296
115,151.4698,0.8241341
116,152.766,0.8242178
117,153.2517,0.8243581
118,154.5553,0.8243973
119,155.9739,0.8245297
120,157.3198,0.8245757
121,158.7004,0.8246316
122,160.1008,0.8246618
123,160.7138,0.8248605
124,162.1294,0.8249174
125,163.4616,0.8249282
126,164.8103,0.8250194
127,166.1679,0.8250977
128,167.5123,0.8251897
129,168.8243,0.8252236
130,170.267,0.8252906
131,170.8388,0.825421
132,172.1621,0.8255413
133,173.7188,0.8256834
134,175.126,0.8257246
135,176.3809,0.825788
136,177.7853,0.8258341
137,179.1058,0.8258647
138,179.5252,0.8259204
139,181.0519,0.8260545
140,182.4142,0.8261769
141,183.8354,0.8262377
142,185.3523,0.8263741
143,186.743,0.8265075
144,188.1998,0.8266677
145,188.7791,0.8268228
146,190.2047,0.826924
147,191.6332,0.8269354
148,192.9263,0.8269868
149,194.257,0.8270148
150,195.5858,0.8270622
151,197.0315,0.8271077
152,198.4896,0.8271667
153,199.8917,0.8272643
154,200.263,0.8272991
155,201.8178,0.827322
156,203.2725,0.8274353
157,204.6276,0.8275398
158,206.1432,0.8275812
159,207.4805,0.8276716
160,208.8042,0.8276905
161,210.1289,0.8277589
162,210.4453,0.82778
163,211.8944,0.8278209
164,213.3403,0.827845
165,214.7257,0.8279234
166,216.0733,0.8279637
167,217.4723,0.8279811
168,218.83,0.828101
169,220.213,0.8281828
170,221.5868,0.8282292
171,222.9023,0.8282584
172,223.2876,0.8282766
173,224.8241,0.8283654
174,226.1784,0.8284078
175,227.5116,0.8285194
176,228.8884,0.8285321
177,230.4207,0.8286052
178,231.8073,0.8287336
179,232.3156,0.8288521
180,233.8243,0.8288835
181,235.2737,0.8289922
182,236.6993,0.8290916
183,238.1646,0.8291921
184,239.5218,0.829268
185,240.9738,0.8293203
186,242.3412,0.8293596
187,242.6809,0.829402
188,243.9616,0.8294214
189,245.3035,0.8295104
190,246.5929,0.8295423
191,248.107,0.8295951
192,249.4253,0.8296206
193,250.864,0.8296885
194,252.2871,0.8297321
195,252.76,0.8297962
196,254.2161,0.8298124
197,255.7221,0.8298555
198,257.1551,0.8298938
199,258.5288,0.8299461
200,259.9929,0.8300561
201,261.3333,0.8300648
202,261.775,0.8301194
203,263.2154,0.83014
204,264.493,0.8301549
205,266.0861,0.8302423
206,267.368,0.8302631
207,268.7795,0.830358
208,270.2572,0.8304057
209,270.6561,0.8305064
210,272.0269,0.8305499
211,273.3874,0.830601
212,274.7804,0.8306451
213,276.1986,0.8306957
214,277.6967,0.8307045
215,279.0729,0.8308111
216,279.5266,0.8308695
217,280.8884,0.8308952
218,282.3533,0.8309191
219,283.8321,0.8309807
220,285.2932,0.8310856
221,286.809,0.8311477
222,288.3816,0.8312154
223,288.9511,0.8312653
224,290.2899,0.8313119
225,291.9013,0.8313432
226,293.2981,0.8313772
227,294.5843,0.8314374
228,295.0104,0.8315213
229,296.5439,0.8315985
230,298.0396,0.8316655
231,299.3651,0.8316766
232,300.7155,0.831718
233,302.1198,0.8317314
234,302.6939,0.831772
235,304.0699,0.8318095
236,305.4443,0.8318268
237,307.0194,0.8318959
238,308.351,0.8319262
239,309.6304,0.8319284
240,311.0804,0.831987
241,311.3338,0.8319975
242,312.7882,0.8320073
243,314.182,0.8320514
244,315.3956,0.8320729
245,316.799,0.8321009
246,318.3603,0.8321405
247,319.9007,0.8322152
248,320.2434,0.8322217
249,321.7128,0.8322755
250,323.1899,0.8323165
251,324.9056,0.8323624
252,326.2718,0.8324088
253,327.5649,0.8324255
254,328.0454,0.8324425
255,329.4371,0.8324571
256,330.8816,0.8325006
257,332.3264,0.8325343
258,333.7306,0.8325547
259,335.157,0.8325726
260,336.606,0.8326297
261,336.9576,0.8326432
262,338.5356,0.832686
263,339.8833,0.8327046
264,341.504,0.8327763
265,342.9606,0.8328076
266,344.383,0.8328385
267,344.7336,0.8328601
268,346.055,0.8328701
269,347.4394,0.8328874
270,349.0314,0.8329405
271,350.4388,0.8330101
272,351.8951,0.8330557
273,353.3434,0.8330845
274,353.8428,0.8331248
275,355.348,0.8331747
276,356.7388,0.8332425
277,358.2185,0.8332779
278,359.6569,0.8333311
279,361.2224,0.8333528
280,361.7741,0.8333787
281,363.2691,0.8334471
282,364.7998,0.833473
283,366.2042,0.8335014
284,367.4848,0.8335091
285,368.9083,0.8335344
286,370.4726,0.833568
287,370.9082,0.8336081
288,372.5203,0.8336344
289,373.9247,0.8336523
290,375.393,0.8336887
291,376.6722,0.8337023
292,378.1994,0.8337146
293,378.7201,0.833752
294,380.155,0.8338021
295,381.5679,0.8338701
296,383.0347,0.833919
297,384.4066,0.8339284
298,385.7475,0.8339541
299,387.2676,0.8339635
300,388.6379,0.8339936
301,389.2274,0.8340345
302,390.7082,0.8340946
303,392.1735,0.8341184
304,393.5971,0.8341494
305,395.2566,0.8342055
306,396.6691,0.8342084
307,397.0834,0.8342307
308,398.4823,0.8342457
309,399.872,0.8342556
310,401.421,0.8342917
311,402.8699,0.8343231
312,404.3677,0.8343543
313,405.8945,0.8343934
314,406.3712,0.8344343
315,407.8501,0.8344555
316,409.2279,0.8344648
317,410.6167,0.8344848
318,412.1112,0.8344891
319,413.5571,0.8345184
320,414.0082,0.8345701
321,415.5757,0.8345905
322,416.9388,0.8346181
323,418.4352,0.8346306
324,419.8892,0.8347227
325,421.5647,0.8347499
326,422.1085,0.8348272
327,423.5654,0.834858
328,424.8289,0.8348786
329,426.2833,0.8349249
330,427.6619,0.8349442
331,429.0953,0.8349693
332,430.5287,0.8349941
333,431.0108,0.8350217
334,432.369,0.8350244
335,433.6814,0.8350498
336,435.0793,0.8350768
337,436.5313,0.8350992
338,437.8221,0.835109
339,439.3529,0.8351364
340,440.6922,0.8351459
341,441.101,0.8352014
342,442.6407,0.8352057
343,444.0932,0.8352945
344,445.4158,0.8353139
345,446.8253,0.8353441
346,448.3338,0.8353955
347,449.7395,0.8354069
348,451.1618,0.8354122
349,451.6387,0.8354368
350,453.3071,0.8354601
351,454.8163,0.8354808
352,456.3738,0.8355078
353,457.8778,0.8355513
354,458.389,0.8356275
355,459.8855,0.8356714
356,461.3228,0.8356908
357,462.7163,0.835731
358,464.0769,0.8357333
359,465.7076,0.8357555
360,467.0314,0.8357765
361,467.4476,0.8358211
362,468.8865,0.8358535
363,470.2225,0.8358816
364,471.5812,0.8358845
365,473.0076,0.8359245
366,474.5446,0.8359407
367,475.9044,0.8359738
368,477.3425,0.8360028
369,477.6269,0.8360321
370,479.0013,0.8360716
371,480.3631,0.8360974
372,481.6662,0.8361105
373,482.9828,0.8361379
374,484.3556,0.8361654
375,485.7624,0.8361667
376,487.0377,0.8361821
377,488.3396,0.8362211
378,489.7362,0.8362243
379,490.1438,0.8362511
380,491.7177,0.8362696
381,493.0244,0.8362829
382,494.3162,0.8362887
383,495.9223,0.8363145
384,497.4237,0.8363216
385,498.7436,0.8363484
386,500.1636,0.8363864
387,500.4175,0.8364009
388,501.8489,0.8364071
389,503.2096,0.8364296
390,504.5934,0.8365075
391,505.9411,0.8365305
392,507.5054,0.8365541
393,508.9099,0.8365753
394,509.3379,0.8365932
395,510.5885,0.8365935
396,512.0528,0.8366133
397,513.4904,0.836639
398,514.7985,0.8366445
399,516.1405,0.8366496
400,517.503,0.8366576
401,517.9199,0.8366724
402,519.208,0.8366828
403,520.6423,0.8366855
404,522.2079,0.8367052
405,523.5421,0.8367175
406,525.0192,0.8367502
407,525.4167,0.8367529
408,526.9066,0.8367576
409,528.2532,0.8367687
410,529.5944,0.8367788
411,530.9713,0.8368104
412,532.3582,0.8368261
413,533.7694,0.8368369
414,535.0813,0.8368445
415,535.598,0.8368699
416,536.904,0.8368892
417,538.3106,0.8369254
418,539.6273,0.8369305
419,541.1577,0.8369523
420,542.4849,0.836968
421,543.7672,0.8369752
422,545.147,0.836981
423,545.5477,0.8369836
424,546.8951,0.8370107
425,548.2509,0.8370114
426,549.7482,0.8370463
427,551.021,0.8370495
428,552.4246,0.8370522
429,553.7228,0.8370609
430,555.3071,0.837075
431,556.5989,0.8370832
432,556.9652,0.8371019
433,558.4198,0.8371162
434,559.7696,0.8371275
435,561.2705,0.8371451
436,562.6588,0.837163
437,564.1484,0.837187
438,565.5707,0.8372059
439,566.0801,0.8372274
440,567.4416,0.8372434
441,568.9272,0.8372539
442,570.3865,0.8372684
443,571.6958,0.8372738
444,573.0553,0.8372835
445,574.373,0.8372982
446,574.8239,0.8373306
447,576.3922,0.83734
448,577.7943,0.8373631
449,579.2023,0.83737
450,580.5264,0.8374037
451,581.7438,0.8373989
452,583.1154,0.8374163
453,584.4578,0.8374212
454,584.9051,0.8374351
455,586.19,0.8374533
456,587.5832,0.8374673
457,588.9653,0.8374899
458,590.4165,0.837515
459,592.0086,0.8375339
