Iteration,Time,AUC
1,1.968684,0.5829853
2,3.123683,0.5829853
3,2.863713,0.5838816
4,3.484871,0.5838847
5,4.237404,0.5838847
6,5.234271,0.5838869
7,5.035588,0.5847815
8,5.771125,0.5847965
9,6.528078,0.5862256
10,7.294279,0.5862255
11,8.033612,0.5862332
12,8.714936,0.5862411
13,8.396173,0.586246
14,9.218659,0.586255
15,10.13737,0.5862548
16,10.90986,0.5862576
17,11.62241,0.5862561
18,11.39362,0.5862586
19,12.20055,0.5862587
20,13.2355,0.586261
21,13.0524,0.5861365
22,13.77799,0.5862617
23,14.8612,0.586262
24,15.49678,0.5862635
25,16.27926,0.5862615
26,16.05052,0.5862638
27,16.92298,0.586264
28,17.74861,0.5862641
29,18.3757,0.5862685
30,18.28121,0.5862661
31,18.93802,0.5862686
32,19.61055,0.586142
33,20.53301,0.5863875
34,20.24864,0.5862664
35,20.91987,0.5862673
36,21.74677,0.586267
37,22.468,0.5862669
38,23.28054,0.5862679
39,22.99738,0.5862688
40,23.65744,0.5862679
41,24.34308,0.5862681
42,25.03304,0.5862674
43,25.84239,0.5861454
44,26.52929,0.5862683
45,26.31051,0.5862682
46,27.11175,0.5863914
47,27.84425,0.5861454
48,28.44991,0.5862682
49,28.34809,0.5862689
50,29.52113,0.6405639
51,30.41862,0.6405606
52,30.53428,0.6411058
53,31.46612,0.6405601
54,32.51931,0.6405197
55,32.56808,0.6404664
56,33.24928,0.6404646
57,34.29491,0.6404647
58,35.42616,0.6404646
59,36.29366,0.6404651
60,36.14681,0.6404649
61,37.02993,0.6399198
62,38.03428,0.6420583
63,38.99674,0.6431488
64,39.90986,0.6426089
65,39.78428,0.6542637
66,40.8274,0.6534991
67,41.71495,0.6540863
68,42.72183,0.6542566
69,42.65614,0.656008
70,43.48804,0.6554642
71,44.3768,0.6561804
72,45.55929,0.6559896
73,46.06741,0.6559486
74,46.9962,0.6559904
75,48.01616,0.6559892
76,48.14174,0.656004
77,49.07614,0.6563073
78,50.10925,0.6563076
79,50.05237,0.6563089
80,51.0586,0.6563099
81,51.97177,0.6563113
82,52.92489,0.6563124
83,52.96927,0.6562718
84,54.05235,0.6562301
85,54.87552,0.6562291
86,55.99681,0.6562215
87,56.14618,0.6562224
88,57.3399,0.6561813
89,58.26865,0.6562228
90,58.22182,0.656757
91,59.43366,0.6560274
92,60.67049,0.656224
93,61.54803,0.6567608
94,61.43678,0.6562249
95,62.49683,0.6562641
96,63.54677,0.6564565
97,64.37117,0.6561941
98,64.59803,0.6562386
99,65.56384,0.6562384
100,66.62989,0.6562325
101,66.593,0.6562762
102,67.50056,0.6562357
103,68.408,0.6562377
104,69.48495,0.6562377
105,69.55059,0.6562607
106,70.57613,0.6562608
107,71.60646,0.656301
108,71.76861,0.6562979
109,72.81109,0.6562977
110,73.78556,0.6562978
111,74.80112,0.6563143
112,74.80236,0.656315
113,75.84253,0.656848
114,76.92557,0.6566095
115,77.76866,0.6564469
116,78.64175,0.6560723
117,78.57741,0.6564054
118,79.39496,0.6566656
119,80.32496,0.6566239
120,81.21801,0.656644
121,82.15677,0.656621
122,82.10552,0.6571135
123,83.003,0.6567823
124,84.27741,0.6565794
125,84.26871,0.6565822
126,85.29425,0.6565827
127,86.17181,0.6565825
128,87.11487,0.6571165
129,87.18928,0.6568939
130,88.28239,0.6569461
131,89.33989,0.6564121
132,89.23177,0.6569438
133,90.39054,0.6569437
134,91.46485,0.6569844
135,91.45237,0.6569814
136,92.42552,0.6567684
137,93.3299,0.6569838
138,94.37991,0.6588215
139,94.60991,0.6588762
140,95.83116,0.6587268
141,95.97238,0.6587615
142,96.60804,0.659012
143,97.81175,0.658767
144,98.78618,0.661672
145,99.7861,0.6616865
146,99.82995,0.6630304
147,100.8712,0.6627049
148,101.8005,0.6626734
149,103.0349,0.6626426
150,104.143,0.662171
151,104.0618,0.6623979
152,105.3911,0.6670441
