Iteration,Time,AUC
1,1.371214,0.6001397
2,2.141231,0.6053834
3,2.859964,0.6063324
4,3.609977,0.6082249
5,4.344361,0.6082759
6,5.063105,0.6082388
7,5.766222,0.6083431
8,6.484997,0.6083036
9,7.213701,0.608301
10,7.916911,0.6083066
11,8.635619,0.6083078
12,9.405642,0.609222
13,10.12442,0.6092198
14,10.8431,0.6496953
15,11.56184,0.6496338
16,12.2806,0.649624
17,12.99937,0.649625
18,13.87435,0.6496703
19,14.6344,0.6631213
20,15.38871,0.6631394
21,16.10747,0.663133
22,16.99812,0.6733943
23,17.71691,0.6735909
24,18.45125,0.6734055
25,19.23247,0.675066
26,20.10189,0.674866
27,20.85188,0.6748316
28,21.60188,0.6747956
29,22.33624,0.674792
30,23.07068,0.6748356
31,23.94566,0.6743086
32,24.85187,0.6745599
33,25.58629,0.6745621
34,26.38313,0.6745607
35,27.11754,0.6739574
36,28.02385,0.6739968
37,28.88317,0.6760873
38,29.77376,0.676337
39,30.65317,0.6772071
40,31.41877,0.6772139
41,32.29381,0.6798765
42,33.05942,0.6794636
43,33.95005,0.6799978
44,34.88198,0.6800187
45,35.83944,0.6799831
46,36.76129,0.6809559
47,37.69883,0.6804203
48,38.64071,0.6815788
49,39.62503,0.6835712
50,40.53129,0.6835564
51,41.48445,0.6833445
52,42.3907,0.6829124
53,43.35946,0.6829036
54,44.31263,0.6831113
55,45.29703,0.6830065
56,46.29703,0.6837027
57,47.3282,0.6845503
58,48.23444,0.6846643
59,49.28131,0.6843932
60,50.32819,0.6846696
61,51.34383,0.6849307
62,52.37507,0.6852484
63,53.33823,0.685428
64,54.46324,0.6903565
65,55.51454,0.6909781
66,56.60822,0.6905935
67,57.67075,0.6905975
68,58.71763,0.6913252
69,59.77451,0.6915544
70,60.80577,0.6923678
71,61.86825,0.6919257
72,62.94644,0.6933794
73,64.08704,0.6929729
74,65.16518,0.694205
75,66.25898,0.694636
76,67.40396,0.6945152
77,68.529,0.6948164
78,69.6852,0.6941734
79,70.8884,0.69415
80,71.99779,0.6939425
81,73.2009,0.6956947
82,74.40401,0.6958551
83,75.49779,0.6962131
84,76.65407,0.6963233
85,77.80468,0.6961372
86,79.03917,0.6963824
87,80.22657,0.6962653
88,81.35162,0.699016
89,82.46099,0.6989554
90,83.60598,0.6989122
91,84.8248,0.7041957
92,85.98101,0.7043194
93,87.23106,0.7045463
94,88.35605,0.704509
95,88.67299,0.7046119
96,89.90733,0.7047285
