Iteration,Time,AUC
1,2.903695,0.7700338
2,4.222465,0.7792396
3,6.31058,0.7849301
4,8.589329,0.7895392
5,10.68997,0.7925912
6,11.82498,0.7959466
7,13.92125,0.798608
8,15.6269,0.8012245
9,17.56001,0.8032834
10,19.50003,0.8051949
11,20.54255,0.8070447
12,22.28505,0.8083643
13,24.37564,0.809835
14,26.28316,0.8111226
15,27.04318,0.8122177
16,28.73879,0.8131172
17,30.10884,0.8139069
18,31.36383,0.8145999
19,32.82636,0.8152535
20,34.75386,0.816067
21,35.41825,0.8167416
22,36.67326,0.8173128
23,38.30072,0.8178942
24,39.81635,0.818369
25,41.00326,0.8188413
26,42.27703,0.8193041
27,42.68391,0.8197794
28,43.73328,0.8200182
29,44.9558,0.8203017
30,46.71447,0.8209895
31,47.7833,0.8212979
32,48.92332,0.8215677
33,49.72143,0.8219799
34,51.02831,0.8224121
35,51.94832,0.8226135
36,53.04897,0.8228003
37,54.94896,0.823552
38,55.84836,0.8239567
39,57.01271,0.8242187
40,58.07899,0.8244649
41,59.15959,0.8246431
42,59.87586,0.8247387
43,60.55022,0.8251088
44,62.41899,0.8255841
45,63.51777,0.825864
46,64.54839,0.8260471
47,65.96842,0.8262806
48,67.07712,0.8264646
49,68.54529,0.8267159
50,69.45343,0.8268431
51,69.74717,0.8270044
52,70.74656,0.8270573
53,72.42469,0.8274122
54,73.28342,0.8275223
55,74.81409,0.8277795
56,76.71722,0.8281934
57,76.53032,0.8282479
58,78.04597,0.8284811
59,79.82662,0.8287646
60,81.09036,0.8289759
61,82.34596,0.8291069
62,83.16787,0.8291444
63,83.71476,0.8291765
64,84.01415,0.8293137
65,85.06598,0.8294951
66,87.02851,0.8298422
67,88.08098,0.8299301
68,88.82849,0.830007
69,90.24977,0.8302133
70,90.68417,0.8303445
71,92.31043,0.8305946
72,94.29792,0.8308464
73,95.93542,0.8310483
74,96.61045,0.8313297
75,97.92109,0.8314833
76,98.85545,0.8315695
77,100.563,0.8319344
78,101.6549,0.8320445
79,102.4217,0.8322419
80,103.3173,0.832328
81,104.0299,0.8323518
82,105.0124,0.8324234
83,106.2393,0.8325026
84,106.3174,0.8325282
85,107.098,0.8325552
86,108.4711,0.8326531
87,110.0805,0.8327728
88,110.8268,0.8328081
89,112.6993,0.8330823
90,112.393,0.8331197
91,113.3111,0.8331587
92,114.7487,0.8332985
93,116.5318,0.8334884
94,117.6237,0.8335808
95,118.0981,0.8336892
96,119.8112,0.8339668
97,120.8431,0.8340524
98,121.4556,0.8340679
99,122.5162,0.8341422
100,123.3749,0.8341947
101,124.3174,0.8344327
102,125.4374,0.8344906
103,126.7769,0.8345603
104,127.4081,0.8345806
105,128.5738,0.8346426
106,129.5631,0.8347328
107,129.3463,0.8347491
108,130.4837,0.8348669
109,131.7619,0.8350014
110,133.6288,0.8352609
111,133.88,0.8353209
112,135.6675,0.8354907
113,136.3644,0.8355213
114,137.6381,0.8356228
115,138.9706,0.8356689
116,138.5763,0.835683
117,140.7669,0.8360515
118,142.4044,0.8361855
119,143.6226,0.8363099
120,145.2545,0.8364798
121,145.5326,0.83652
122,146.2976,0.8365728
123,147.517,0.8366253
124,149.5289,0.8367791
125,150.7945,0.8368376
126,151.1226,0.8369736
127,152.6708,0.8371178
128,153.8451,0.8371296
129,155.1132,0.8372054
130,155.2001,0.8372567
131,156.872,0.8373455
132,158.8589,0.8374527
133,159.517,0.837528
134,160.2833,0.8375581
135,162.0833,0.837793
136,163.7977,0.8379954
137,165.2689,0.8380858
138,165.6877,0.8382098
139,166.7014,0.8382483
140,168.2496,0.8383729
141,169.3727,0.8384145
142,170.4815,0.838474
143,171.2165,0.8384668
144,171.314,0.8385058
145,172.4964,0.8385577
146,173.0921,0.8385605
147,174.1552,0.838592
148,175.1734,0.838639
149,176.0652,0.8386664
150,176.3721,0.8387232
151,177.5634,0.8387668
152,179.5509,0.8389367
153,181.0202,0.8390017
154,181.6722,0.8391089
155,182.6559,0.839158
