Iteration,Time,AUC
1,15.42371,0.5023995
2,20.97122,0.5026255
3,26.52748,0.5027208
4,30.92248,0.5028265
5,36.46815,0.504938
6,41.84313,0.5062371
7,46.36189,0.5063275
8,51.62444,0.5079946
9,57.22195,0.5093949
10,62.52889,0.5095884
11,67.21696,0.5104555
12,72.387,0.5115207
13,77.96576,0.5117095
14,83.01957,0.5125094
15,87.62204,0.5130264
16,92.85577,0.51443
17,98.22915,0.5145552
18,103.5002,0.5150361
19,107.7815,0.5159722
20,113.189,0.5166888
21,118.9202,0.5173192
22,123.0521,0.5183148
23,128.174,0.5185666
24,133.5603,0.5178836
25,138.654,0.5206704
26,144.1284,0.5221343
27,148.361,0.5235105
28,153.8754,0.5257257
29,159.1454,0.528755
30,164.6997,0.5291471
31,169.1885,0.5300336
32,174.6423,0.5320504
33,179.7642,0.5321872
34,184.3786,0.5332004
35,189.5798,0.5331408
36,194.9661,0.533398
37,200.4523,0.5351478
38,204.968,0.5370151
39,210.4517,0.5374927
40,215.9417,0.5395539
41,220.0993,0.5399612
42,225.668,0.5400647
43,230.8793,0.5413173
44,236.5437,0.5419098
45,240.7781,0.542633
46,246.3443,0.5427434
47,251.9256,0.5431009
48,256.4206,0.5438687
49,261.6419,0.5442013
50,267.265,0.5448044
51,271.5307,0.5453284
52,277.0138,0.545727
53,282.1682,0.5459159
54,287.7026,0.5479659
55,292.1239,0.548208
56,297.7308,0.5481236
57,302.9408,0.5490544
58,307.2052,0.5490586
59,312.5677,0.5493398
60,317.7495,0.5494071
61,322.2402,0.5498206
62,327.4658,0.5501925
63,332.9377,0.5507557
64,338.0784,0.5511003
65,343.284,0.5515642
66,347.4997,0.5517633
67,353.0497,0.5522141
68,358.3765,0.5529232
69,363.7484,0.553089
70,368.0766,0.5551128
71,373.7685,0.5556997
72,379.1247,0.5561272
73,384.581,0.5565568
74,388.7054,0.5570623
75,394.4392,0.5573485
76,399.6761,0.5573304
77,404.3642,0.5593162
78,409.7704,0.5598403
79,415.4586,0.560834
80,420.8749,0.5610341
81,425.498,0.5613704
82,430.7024,0.5625693
83,435.9837,0.5633324
84,440.3262,0.5635732
85,445.6731,0.5636199
86,451.0637,0.563976
87,456.3744,0.5648798
88,461.6706,0.5651805
89,466.2363,0.5653401
90,471.5813,0.5658375
91,477.1926,0.5658761
92,481.5763,0.5674752
93,486.9838,0.567415
94,492.2869,0.5679065
95,497.2047,0.5736092
96,502.6464,0.5756252
97,508.2833,0.5757186
98,513.5033,0.5758602
99,517.9089,0.5763319
100,523.037,0.5762925
101,528.0133,0.5767355
102,532.5608,0.5769336
103,537.9121,0.5770115
104,543.2646,0.5772944
105,547.7059,0.5776602
106,553.2565,0.5777345
107,558.5921,0.5778153
108,563.2646,0.5781217
109,568.8003,0.5782731
110,574.3291,0.5791146
111,578.5041,0.5792644
112,583.6741,0.5794965
113,588.8785,0.5800511
114,594.2391,0.5803196
115,599.5035,0.5807221
116,604.0048,0.581711
117,609.3173,0.581828
118,614.5498,0.5820601
119,618.6629,0.5826696
120,624.3005,0.582741
121,629.8023,0.583301
122,634.3655,0.5838062
123,639.553,0.5840723
124,644.8155,0.5846493
125,650.0299,0.585092
126,654.6574,0.5850187
127,660.0944,0.5854148
128,664.7531,0.5854976
129,670.0344,0.5859279
130,675.4912,0.5864944
131,679.8337,0.5880626
132,684.96,0.5884041
133,690.4244,0.5889877
134,695.8782,0.5891564
135,700.1007,0.5891185
136,705.56,0.5893427
137,711.0832,0.5894241
138,716.4838,0.5895756
139,721.0526,0.5897008
140,726.452,0.5903368
141,731.7514,0.5905934
142,736.1395,0.5910456
143,741.842,0.5912499
144,747.3952,0.5921016
145,752.8164,0.5922695
146,756.9896,0.5923776
147,762.5171,0.5926441
148,767.8977,0.5929026
149,772.444,0.5931587
150,777.8946,0.5929785
151,783.029,0.5928762
152,788.1722,0.5928632
153,792.6141,0.5933454
154,797.7172,0.5932963
155,803.0653,0.5933928
156,808.4604,0.5933197
157,813.7216,0.5934754
158,817.9885,0.5936008
