Iteration,Time,AUC
1,1.048638,0.7402308
2,0.7817859,0.7494925
3,1.574949,0.7582612
4,2.172407,0.763813
5,2.926765,0.7706596
6,2.841227,0.7736915
7,3.644273,0.7788224
8,3.427407,0.7820757
9,4.16056,0.7860216
10,4.762405,0.7881887
11,5.579912,0.7899993
12,5.327436,0.7919631
13,5.980543,0.793645
14,6.702411,0.7947699
15,7.485534,0.7958992
16,7.184321,0.7969203
17,7.841793,0.7979052
18,8.581825,0.7995158
19,8.326791,0.8001399
20,8.983056,0.8010539
21,9.656227,0.801981
22,10.32495,0.8028463
23,10.82868,0.8033078
24,10.43495,0.8038872
25,11.0012,0.8043088
26,11.5206,0.8046552
27,12.15998,0.8050798
28,12.83186,0.805731
29,12.43746,0.8059729
30,13.01747,0.8064936
31,13.65808,0.8069202
32,14.37873,0.8072955
33,13.85684,0.8075067
34,14.40745,0.8080555
35,14.98559,0.8082201
36,15.69184,0.8087047
37,16.21558,0.8089613
38,15.85876,0.8094574
39,16.54809,0.8097728
40,17.1231,0.8100214
41,16.81811,0.8102642
42,17.3019,0.8104338
43,17.86061,0.8106285
44,18.42497,0.8107091
45,19.12561,0.811213
46,18.66812,0.8114038
47,19.3456,0.8119876
48,19.98062,0.8121386
49,20.51685,0.8125646
50,20.14622,0.8126908
51,20.90247,0.8128885
52,21.50546,0.813143
53,22.06122,0.8132725
54,21.62934,0.8134466
55,22.23562,0.8136741
56,22.79814,0.8137433
57,23.42562,0.8141406
58,23.99939,0.8142524
59,23.7656,0.8144774
60,24.49748,0.8148456
61,24.98689,0.8150219
62,25.63877,0.8152578
63,25.29498,0.8155061
64,25.87437,0.8156077
65,26.34565,0.8156706
66,26.95064,0.8158394
67,27.48563,0.8159431
68,27.01624,0.8161376
69,27.72255,0.8164587
70,28.23508,0.8165671
71,28.95563,0.8166818
72,28.53501,0.8168213
73,29.07437,0.8170412
74,29.5995,0.8171865
75,30.20314,0.8173623
76,29.85955,0.8175831
77,30.6119,0.8177532
78,31.08316,0.8177935
79,31.67689,0.8178907
80,31.26193,0.8180489
81,31.73689,0.8181116
82,32.40626,0.8182903
83,32.98939,0.8184639
84,33.56443,0.8186118
85,33.36064,0.8187525
86,33.96693,0.819028
87,34.77006,0.8193401
88,34.42256,0.819445
89,35.04442,0.8196314
90,35.7663,0.8198247
91,35.56256,0.8200142
92,36.09069,0.8200748
93,36.69004,0.8201573
94,37.39194,0.8202815
95,37.73318,0.8203281
96,38.18569,0.8203632
97,37.78629,0.8205617
98,38.20195,0.8205846
99,39.09823,0.8206337
100,38.75317,0.8207318
101,39.51883,0.8209555
102,40.02358,0.8210724
103,40.58194,0.8211369
104,41.21819,0.8212615
105,40.79757,0.8213486
106,41.2845,0.8213898
107,41.69753,0.8214347
108,42.42756,0.8215057
109,42.98573,0.8215825
110,42.73319,0.8217816
111,43.26383,0.8218863
112,43.94008,0.8220153
113,43.69073,0.822087
114,44.18757,0.8221419
115,44.7682,0.8222232
116,45.23634,0.8222855
117,45.98703,0.8223974
118,45.45073,0.8224743
119,45.97322,0.822558
120,46.48698,0.8226502
121,46.99946,0.8227163
122,46.83136,0.8229117
123,47.39324,0.8231097
124,48.13766,0.8233684
125,48.78134,0.823466
126,48.40574,0.8235416
127,48.93774,0.8235763
128,49.63076,0.8237293
129,50.36137,0.8238361
130,50.07449,0.8239303
131,50.59949,0.8240049
132,51.09074,0.8240312
133,51.79948,0.8241648
134,52.40451,0.8242727
135,51.93825,0.8243329
136,52.59323,0.824396
