Iteration,Time,AUC
1,1.773696,0.6822818
2,2.477451,0.6828055
3,2.45559,0.6812079
4,3.217421,0.6812126
5,3.74991,0.6852685
6,3.326806,0.6852755
7,4.039304,0.6854897
8,4.68179,0.6852826
9,4.404309,0.6852813
10,5.006792,0.6862187
11,5.639301,0.6857943
12,5.418693,0.6864709
13,5.855546,0.6865519
14,6.402412,0.6865492
15,6.131792,0.6865049
16,6.728694,0.6865242
17,7.291171,0.6872874
18,7.758048,0.6874376
19,7.320583,0.6876658
20,7.921824,0.6877262
21,8.634307,0.6876105
22,8.156832,0.6873965
23,8.773688,0.6871447
24,9.371823,0.687389
25,9.964323,0.6871473
26,9.713679,0.6838826
27,10.22618,0.6885215
28,10.84431,0.6884338
29,10.51245,0.6885961
30,11.06931,0.6884706
31,11.75747,0.6885166
32,12.30434,0.6884484
33,12.24937,0.6882197
34,13.00746,0.6884097
35,12.96373,0.6879467
36,13.66308,0.6884486
37,13.35119,0.6880732
38,13.96935,0.6881687
39,13.98434,0.68811
40,14.66683,0.6881514
41,15.37496,0.6880391
42,15.11872,0.6879637
43,15.64122,0.6879277
44,16.30934,0.6878176
45,15.89746,0.6877868
46,16.6356,0.6877278
47,17.25935,0.687733
48,16.91434,0.6878307
49,17.54247,0.6878523
50,18.31186,0.6881703
51,17.92998,0.6878074
52,18.54255,0.687642
53,19.03061,0.6880806
54,18.95124,0.6938334
55,19.57498,0.6935484
56,20.35315,0.6950188
57,20.21251,0.6948429
58,20.96502,0.6946502
59,20.79685,0.6946651
60,21.51622,0.6944761
61,22.22564,0.6947072
62,21.98499,0.6948723
63,23.10129,0.6951921
64,22.65499,0.6950335
65,23.63771,0.6952689
66,23.75876,0.6955215
67,24.46814,0.6953511
68,24.24313,0.6955549
69,24.83688,0.6954948
70,25.60625,0.6955535
71,25.37125,0.6953317
72,25.96501,0.6951168
73,26.51439,0.6953878
74,26.65627,0.6955517
75,27.42095,0.6955192
76,27.1194,0.695513
77,28.03003,0.6954414
78,27.86941,0.6953936
79,28.50876,0.6953958
80,29.14815,0.6954438
81,29.04314,0.6956228
82,29.86816,0.6956425
83,30.47754,0.6958705
84,30.24253,0.6960607
85,31.16316,0.6963183
86,31.05378,0.6960224
87,31.77442,0.6960642
88,32.33941,0.6961136
89,32.08879,0.6964324
90,32.94504,0.6963643
91,32.79005,0.6963615
92,33.55504,0.696509
93,33.59322,0.6965654
94,34.54004,0.6966587
95,34.26065,0.697184
96,35.01129,0.6972403
97,35.67192,0.697273
98,36.35692,0.6972853
99,35.99194,0.6972053
100,36.69693,0.6972453
101,36.61879,0.697355
102,37.43381,0.6975122
103,38.07879,0.6975477
104,37.8705,0.6977982
105,38.68805,0.6978679
106,38.53069,0.6981028
107,39.26134,0.6981724
108,40.00756,0.6983759
109,39.73383,0.6985382
110,40.62006,0.6986123
111,41.43167,0.6987963
112,41.15134,0.698983
113,41.88321,0.7003676
114,41.71944,0.7007181
115,42.60607,0.7007251
116,43.40196,0.7006584
117,43.13258,0.7006632
118,44.1657,0.7007267
119,44.04325,0.7008892
120,44.99195,0.7014429
121,44.75823,0.7013691
122,45.50009,0.7016452
123,46.28197,0.7018349
124,46.32386,0.7017916
125,47.05572,0.7015808
126,46.84196,0.7013445
127,47.78946,0.7012356
128,47.77258,0.7006814
129,48.6657,0.7007422
130,49.37199,0.7006994
131,49.1651,0.7008152
132,50.13698,0.7005265
133,50.26011,0.7004414
134,51.07198,0.7003346
135,50.95072,0.7004663
136,51.8726,0.7006056
137,51.79703,0.7007253
138,52.70211,0.7006342
139,52.62326,0.7011603
140,53.59198,0.701356
141,54.27953,0.7011686
142,54.15139,0.70094
143,55.15701,0.7014123
144,55.257,0.7015244
145,56.31014,0.7016208
146,56.41451,0.7015706
147,56.35202,0.7017802
148,57.24208,0.701954
149,58.0095,0.701984
150,58.05702,0.7021221
151,59.04702,0.7021957
152,58.95013,0.7021991
153,59.69219,0.7025685
154,59.51514,0.7028604
155,60.28609,0.7032208
156,61.07702,0.7035335
157,61.06413,0.7037739
158,62.03015,0.7043112
159,62.26142,0.7045071
160,63.12139,0.7047334
161,62.97578,0.7049806
162,64.26578,0.7053769
163,64.10579,0.7056726
164,65.06123,0.7057642
165,65.32479,0.7059779
166,66.39079,0.7061137
167,66.18359,0.7063412
168,67.21079,0.706676
169,67.10643,0.7069211
170,67.99416,0.7070437
171,69.07453,0.7070069
172,68.98018,0.7071128
173,69.99143,0.7071148
174,69.99707,0.7069066
175,71.02392,0.7069283
176,71.05519,0.7070567
177,72.15642,0.7070066
178,72.15331,0.7067793
179,73.06827,0.706742
180,73.10708,0.706514
181,73.93834,0.7063557
182,74.8052,0.7061978
183,74.88206,0.7066905
184,75.84333,0.7066446
185,76.2296,0.7067906
186,76.32827,0.7070394
187,77.44583,0.7074072
188,77.46271,0.7078014
189,78.36959,0.7078787
190,78.68774,0.7080108
191,79.8746,0.7080243
192,79.85148,0.7082191
193,80.99274,0.7082127
194,81.13959,0.7082112
195,81.90086,0.7081371
196,81.93025,0.70862
197,83.05961,0.7090597
198,83.36898,0.7092965
199,84.35273,0.7092181
200,84.48086,0.7092285
201,85.79713,0.7091862
202,86.03211,0.7092034
203,86.39963,0.7090681
204,87.15713,0.7090765
205,88.27823,0.7090658
206,88.50712,0.7090808
207,88.77525,0.7092033
208,89.62996,0.7093817
209,90.66589,0.7095268
210,90.71404,0.7097793
211,91.82463,0.7096743
212,91.95275,0.7100037
213,93.18214,0.7098359
214,93.24715,0.7098875
215,94.48215,0.7096904
216,94.78841,0.7099483
217,94.9034,0.7099846
218,95.81154,0.7100712
219,96.11779,0.7102379
220,97.04593,0.7103171
221,98.36654,0.7102076
222,98.43404,0.7102376
223,99.69905,0.7099954
224,100.0465,0.7099937
225,100.2416,0.7098051
226,101.6847,0.7099868
227,102.0422,0.7100625
228,102.1984,0.7104891
229,103.6984,0.7107014
230,103.6991,0.7104353
231,104.981,0.7105621
232,105.1028,0.7109327
233,105.9966,0.7110189
234,106.3429,0.7108152
235,107.8286,0.7109656
236,108.3284,0.711381
237,108.6803,0.7112854
238,109.6522,0.7114147
239,109.7885,0.7117159
240,110.8547,0.7114964
241,111.0735,0.7114766
242,112.0404,0.7115532
243,112.5904,0.7119126
244,113.9979,0.7118841
245,114.1503,0.712028
246,114.5879,0.7121546
247,115.626,0.7121499
248,115.7023,0.7122529
249,116.6347,0.7124733
250,116.761,0.7124009
251,118.0317,0.7125526
252,118.5004,0.7126947
253,119.6641,0.7127586
254,120.0629,0.7128278
255,120.0566,0.712787
256,121.2804,0.7129913
257,121.8835,0.7130493
258,122.211,0.7129375
259,123.4185,0.7132122
260,123.6804,0.7133938
261,124.6098,0.713386
262,124.9917,0.7134598
263,126.1723,0.7135092
264,126.3429,0.7135995
265,127.5291,0.7135933
266,127.7354,0.7135987
267,128.2124,0.7135004
268,128.7917,0.7133876
269,129.9823,0.713534
270,130.0773,0.713622
271,130.9298,0.713702
272,131.9866,0.7136843
273,132.4386,0.7139087
274,132.3004,0.7139279
275,133.2036,0.713729
276,134.4498,0.7142843
277,134.4479,0.7143044
278,135.5273,0.7144176
279,135.5754,0.7146721
280,136.5311,0.7146977
281,136.414,0.7143859
282,137.7461,0.7148158
283,137.7911,0.7147265
284,138.3855,0.7150314
285,138.953,0.7152931
286,139.7342,0.7151079
287,139.948,0.7151243
288,141.2186,0.7152416
289,141.3755,0.7151819
290,142.2511,0.7151305
291,142.3123,0.7153558
292,143.4061,0.7153029
293,143.1692,0.7154522
294,144.2492,0.7155921
295,144.1848,0.7154628
296,145.4918,0.7156458
297,145.9205,0.7156951
298,146.1492,0.7159159
299,147.4467,0.7159245
300,147.5143,0.716071
301,148.4186,0.7160799
302,148.7749,0.7160642
303,149.3892,0.7161813
304,150.3417,0.7161847
305,150.4811,0.7161348
306,151.843,0.7161439
307,151.968,0.7159719
308,152.1068,0.7159786
309,153.1021,0.7160028
310,153.2143,0.7161303
311,154.3593,0.7160693
312,154.5299,0.7160256
313,155.5436,0.7158827
314,156.5305,0.7159247
315,156.6874,0.7159026
316,156.8824,0.7157889
317,158.2331,0.7158039
318,158.5105,0.7156057
319,159.653,0.7155308
320,159.5743,0.7154015
321,160.1243,0.7154416
322,161.2736,0.7155997
323,161.3087,0.7155239
324,162.3893,0.7154882
325,162.5918,0.7154383
326,163.543,0.7154755
327,164.2893,0.7153967
