Iteration,Time,AUC
1,1.289349,0.6006396
2,1.562464,0.6006396
3,0.97124,0.6006396
4,1.536832,0.6006396
5,1.985588,0.6030428
6,2.489984,0.6030504
7,1.883121,0.6030528
8,2.709992,0.6034195
9,3.078736,0.6034256
10,3.39187,0.6034262
11,2.910609,0.6034268
12,3.233744,0.6077501
13,3.632516,0.6077518
14,4.163321,0.6077508
15,4.469974,0.6077507
16,3.898743,0.6077516
17,4.377484,0.6077512
18,4.957503,0.6077562
19,5.332471,0.6077567
20,4.830844,0.6077602
21,5.333739,0.6077639
22,5.672477,0.6077703
23,6.021262,0.6077708
24,6.515606,0.6077731
25,6.063803,0.6077734
26,6.666737,0.6077747
27,7.132477,0.6077753
28,7.561237,0.6077755
29,7.860011,0.6077804
30,7.223143,0.6077832
31,7.561882,0.6077804
32,8.046282,0.6077816
33,8.454985,0.6077879
34,9.02486,0.6077819
35,8.404989,0.6077893
36,8.773747,0.6077915
37,9.192491,0.6077918
38,9.611285,0.6077943
39,10.01998,0.6077916
40,9.595663,0.6077958
41,10.07002,0.6077973
42,10.47438,0.6077802
43,10.95314,0.6077808
44,10.35188,0.6077794
45,10.74064,0.6082383
46,11.22501,0.608239
47,11.65938,0.6082401
48,12.20501,0.6091869
49,11.59937,0.6091865
50,12.02379,0.6091866
51,12.42813,0.6091876
52,12.88253,0.6091879
53,13.37816,0.60919
54,12.75812,0.6091843
55,13.07887,0.6091845
56,13.44125,0.609184
57,13.92586,0.6091852
58,14.63253,0.6091863
59,13.99287,0.6091888
60,14.31564,0.6091898
61,14.69005,0.6091891
62,15.23442,0.6091895
63,15.75441,0.6091892
64,15.35005,0.6091897
65,15.81563,0.6091614
66,16.26565,0.6091608
67,16.67441,0.6091603
68,16.31693,0.6091602
69,16.81819,0.609161
70,17.62631,0.6091612
71,17.07066,0.6091616
72,17.44688,0.6091621
73,17.90939,0.6091618
74,18.31379,0.6091614
75,18.90816,0.6091617
76,18.48505,0.6091643
77,18.83378,0.6107471
78,19.19302,0.6107488
79,19.69254,0.6107496
80,20.25504,0.6518019
81,19.61381,0.651801
82,19.97253,0.6528971
83,20.3469,0.6528982
84,20.73816,0.6528981
85,21.22378,0.6528981
86,21.70817,0.6529072
87,21.42628,0.6529073
88,21.9689,0.6529077
89,22.59253,0.6529078
90,22.0794,0.6610838
91,22.57067,0.6610838
92,23.12756,0.6610663
93,23.81567,0.6610665
94,23.42252,0.6610667
95,23.9994,0.6626114
96,24.59317,0.6626116
97,24.26891,0.6626118
98,24.78818,0.6626133
99,25.33069,0.6626127
100,26.15492,0.6628795
101,25.74254,0.6628797
102,26.32942,0.6633717
103,26.97631,0.6633714
104,26.59319,0.6633495
105,27.22571,0.6633493
106,28.01631,0.6633479
107,27.83133,0.6633483
108,28.4838,0.6633147
109,28.2232,0.6633149
110,28.83691,0.6633157
111,29.62507,0.6633148
112,29.41319,0.6633241
113,29.9557,0.6633244
114,30.46818,0.6649698
115,30.9707,0.6649645
116,30.53318,0.6649645
117,31.20256,0.6649647
118,31.7807,0.6649656
119,32.28319,0.6649876
120,31.91133,0.6649878
121,32.44383,0.6649859
122,33.12631,0.66496
123,32.68881,0.6649863
124,33.28695,0.6649862
125,33.92507,0.6649861
126,34.40902,0.6649857
127,34.08132,0.6757191
128,34.74944,0.675719
129,35.44163,0.6757206
130,35.19573,0.6757223
131,35.91075,0.6757227
132,36.51882,0.6757224
133,36.1634,0.6757227
134,36.79633,0.6757214
135,37.41446,0.6757208
136,37.09259,0.675521
137,38.01449,0.6754899
138,38.17197,0.675483
139,38.75011,0.6754979
140,39.40947,0.6754977
141,39.03322,0.6755226
142,39.62695,0.6759108
143,40.412,0.6759115
144,39.97135,0.6756133
145,40.67198,0.6756128
146,41.427,0.6755967
147,42.06762,0.6755968
148,41.647,0.6760668
149,42.22635,0.6760525
150,42.86137,0.6760579
151,42.78635,0.6761961
152,43.65699,0.6761406
153,44.25199,0.6787485
154,43.8471,0.6787912
155,44.7645,0.6792165
156,45.36388,0.6792109
157,45.14885,0.6797829
158,45.86073,0.6820528
159,46.44011,0.6821406
160,46.08078,0.6822023
161,46.73699,0.6822313
162,47.46763,0.6824014
163,48.15825,0.6822084
164,47.93887,0.6821857
165,49.2085,0.6822988
166,48.91324,0.682283
167,49.53138,0.6823455
168,49.36201,0.6823512
169,50.04826,0.6824027
170,51.10014,0.682669
171,50.79952,0.6827417
172,51.44452,0.6827202
173,52.14514,0.6827276
174,51.85138,0.68282
175,52.50201,0.6828538
176,53.07014,0.6828436
177,52.85078,0.6828222
178,53.34578,0.6825338
179,54.0364,0.6836646
180,54.67578,0.683722
181,55.24952,0.6836736
182,55.00138,0.6837095
183,55.64077,0.683694
184,56.39138,0.6839684
185,56.0164,0.6840223
186,56.73392,0.6839469
187,57.36203,0.6839513
188,57.14703,0.6838766
189,57.7877,0.6839387
190,58.41266,0.6841185
191,58.97079,0.6841405
192,58.9908,0.6876954
193,59.86396,0.6886575
194,59.58018,0.6887074
195,60.36515,0.6886955
196,61.03702,0.6886316
197,60.69304,0.6890816
198,61.45831,0.689157
199,62.07892,0.6889166
200,61.80515,0.6888049
201,62.37581,0.6888689
202,63.05203,0.6888471
203,63.72266,0.6888276
204,63.51454,0.6890584
205,64.42206,0.6892847
206,64.31957,0.689501
207,64.97457,0.6896925
208,65.53394,0.689732
209,66.24104,0.6896419
210,65.94518,0.689613
211,66.70581,0.6896241
212,67.4186,0.6897006
213,67.14906,0.689653
214,67.87456,0.6897741
215,68.50082,0.6895222
216,68.42399,0.6897403
217,69.12758,0.6898537
218,69.17916,0.689938
219,70.08645,0.6899956
220,70.80145,0.6902168
221,70.53896,0.6902917
222,71.25521,0.6945564
223,72.03707,0.6945984
224,71.93021,0.6952037
225,72.58645,0.695201
226,73.39832,0.6951044
227,73.15586,0.6977905
228,73.76647,0.6983868
229,74.49273,0.6986335
230,74.29583,0.6983144
231,74.95335,0.7015596
232,75.65646,0.7022875
233,75.69396,0.7022445
234,76.34585,0.7022375
235,77.30334,0.7022407
236,77.20209,0.702367
237,77.9296,0.7034723
238,77.71149,0.7035979
239,78.45462,0.7032487
240,79.12648,0.7034642
241,79.98959,0.7033319
242,79.81848,0.7042189
243,80.01834,0.7040118
244,80.83586,0.7041679
245,81.62772,0.7042613
246,81.28961,0.7045582
247,81.95461,0.7046483
248,82.82898,0.7045556
249,82.53961,0.7050608
250,83.19463,0.7049389
251,83.98651,0.7045635
252,84.69399,0.7058963
253,84.32024,0.7061585
254,85.17899,0.7060288
255,86.01524,0.7063565
256,85.87525,0.7063559
257,86.44464,0.7060708
258,87.25525,0.7061567
259,87.00838,0.7078431
260,87.69463,0.7081447
261,88.37964,0.7079283
262,88.34712,0.7085781
263,89.02213,0.7086229
264,88.75714,0.7087031
265,89.52339,0.7091092
266,90.1284,0.7091222
267,90.03157,0.7091433
268,90.94466,0.7101222
269,91.53528,0.7094712
270,91.22027,0.7090659
271,91.98653,0.7086416
272,92.67807,0.7079029
273,92.50465,0.7088706
274,93.03403,0.7091701
275,93.87466,0.7088466
276,94.47403,0.7089079
277,94.15591,0.7088487
278,95.21027,0.7092294
279,94.95214,0.7094484
280,95.65717,0.7095392
281,96.34902,0.7108004
282,96.08092,0.7106356
283,96.70281,0.7105129
284,97.3334,0.710155
285,98.0153,0.7105222
286,98.67279,0.7113948
287,98.35905,0.7115101
288,99.09566,0.711392
289,99.86717,0.711558
