Iteration,Time,AUC
1,1.393663,0.7772186
2,3.331165,0.785212
3,5.84745,0.7905471
4,7.949324,0.7948848
5,9.044334,0.7982728
6,11.59307,0.8012921
7,13.03682,0.8039995
8,15.4831,0.806049
9,16.76187,0.8085625
10,18.51622,0.8104996
11,20.70688,0.8119568
12,22.46872,0.8130101
13,23.41938,0.8144993
14,24.73313,0.8155265
15,26.81127,0.8166339
16,27.6719,0.8174454
17,28.74753,0.8179634
18,29.91067,0.8186892
19,32.15567,0.8195983
20,32.8319,0.8203471
21,34.2388,0.8206912
22,36.15631,0.8214308
23,37.15193,0.8221325
24,38.25196,0.8226495
25,39.71444,0.8229244
26,39.79755,0.8233
27,41.37824,0.8239874
28,43.37319,0.8243791
29,44.34696,0.824822
30,45.28132,0.825099
31,45.62446,0.8252637
32,46.81384,0.8257735
33,48.29946,0.8262104
34,48.80011,0.8264932
35,49.97075,0.8267506
36,51.19009,0.8268516
37,52.64451,0.8273927
38,53.62761,0.8277617
39,54.99764,0.8280341
40,55.84823,0.8283888
41,56.6135,0.828553
42,57.38953,0.82879
43,59.08887,0.8289216
44,59.84639,0.8293648
45,61.23829,0.8295535
46,62.16954,0.8298612
47,62.62451,0.8301522
48,63.97203,0.8302136
49,65.27703,0.8304056
50,66.57955,0.8306363
51,67.33268,0.8308721
52,68.96392,0.8312456
53,69.2308,0.8314011
54,70.57706,0.8316947
55,71.4102,0.8319144
56,72.86208,0.8319961
57,73.57209,0.8320776
58,74.81269,0.8322732
59,75.57773,0.8324957
60,76.85457,0.8326627
61,77.83087,0.8327449
62,79.45133,0.8329938
63,79.59211,0.8330538
64,79.92523,0.8331585
65,81.62146,0.8332023
66,82.06086,0.8332472
67,82.96709,0.8333397
68,83.78908,0.8334201
69,84.954,0.8335244
70,85.84586,0.8338688
71,86.64401,0.8339699
72,87.41899,0.8340974
73,88.32712,0.8341714
74,90.15654,0.8343125
75,91.20213,0.8345404
76,91.43839,0.8346134
77,92.54654,0.8346808
78,93.10965,0.8347314
79,94.78031,0.8349615
80,95.85839,0.8352136
81,97.25343,0.8353605
82,98.40466,0.835455
83,100.0353,0.8355989
84,100.7478,0.8356804
85,100.7078,0.8356904
86,102.0747,0.8358044
87,102.5147,0.8358765
88,103.3403,0.8359836
89,105.5972,0.836204
90,106.0047,0.8363131
91,107.1228,0.8363889
92,108.3641,0.83639
93,108.4685,0.8364136
94,108.9984,0.8364741
95,110.311,0.836568
96,110.7341,0.836611
97,111.8753,0.8366264
98,113.5291,0.8369772
99,114.4978,0.8371578
100,116.5785,0.83728
101,118.2141,0.8376471
102,119.4704,0.8376717
103,120.5993,0.8378527
104,121.9222,0.8379259
105,122.1698,0.8380318
106,124.2204,0.8382328
107,124.781,0.8382649
108,125.5191,0.8383275
109,125.8475,0.8383681
110,127.0898,0.8384869
111,127.2004,0.8385494
112,129.7498,0.838794
113,130.6585,0.8388009
114,131.3266,0.8388579
115,132.4336,0.8389801
116,133.0348,0.8391362
117,133.9704,0.8391642
118,134.9873,0.8392084
119,135.5898,0.8392712
120,135.6879,0.8392728
121,136.8617,0.8393877
122,138.6717,0.8394653
123,139.9361,0.8396897
124,141.3286,0.8397735
125,141.7792,0.8398665
126,142.8298,0.8398916
127,143.6836,0.8399297
128,145.0323,0.8400159
129,145.2336,0.8400115
130,145.423,0.8400234
131,146.6398,0.8400929
132,148.2536,0.8401738
133,149.0511,0.8403641
134,150.2873,0.840388
135,150.423,0.8404421
136,152.2517,0.8406619
137,153.9842,0.8407868
138,154.3324,0.84086
139,155.0792,0.8409356
140,156.6893,0.8409426
141,156.7843,0.840998
142,157.8736,0.8410387
143,159.3006,0.8410644
144,159.9974,0.8411547
145,161.1443,0.8411927
146,161.768,0.8412506
147,163.423,0.8413452
148,163.7337,0.8413878
149,164.1293,0.8414132
150,165.5337,0.8415005
151,166.7487,0.8415148
152,167.1699,0.8416746
153,169.0187,0.8417694
154,169.8474,0.8419297
155,171.5587,0.8419622
156,171.6687,0.8419627
157,172.2668,0.8419764
158,173.7775,0.8420051
159,174.9643,0.8420999
160,175.8437,0.8422144
161,177.2143,0.8423174
162,177.45,0.8423307
163,179.0781,0.8424488
164,180.295,0.8425024
165,181.3325,0.8425167
166,181.8906,0.8425437
167,182.2825,0.8425563
168,182.8456,0.8425581
169,184.3781,0.8426
170,185.2187,0.842656
171,186.5287,0.8427377
172,187.8457,0.8428751
173,188.91,0.8429904
174,190.5938,0.843041
175,191.2182,0.8431278
176,192.4736,0.8432186
177,193.2619,0.8432675
178,195.2794,0.8433663
179,196.14,0.8434399
180,196.9519,0.8434746
181,198.3355,0.843599
182,199.4557,0.8436565
183,200.9657,0.8437249
184,201.2632,0.8437361
185,202.4076,0.8437841
186,203.8401,0.8438339
187,204.7663,0.8439168
188,205.2313,0.8439129
189,206.3301,0.8439573
190,207.512,0.844025
191,208.7463,0.8440861
192,209.3805,0.8441487
193,210.7932,0.8441582
194,212.0696,0.844172
195,212.3907,0.8442214
196,213.452,0.8442717
197,214.7945,0.8443159
198,215.4663,0.8443221
199,215.8476,0.8443569
200,216.2457,0.8443977
