Iteration,Time,AUC
1,3.043815,0.7856034
2,5.916203,0.7942813
3,8.924925,0.7997517
4,11.45306,0.8033194
5,14.88998,0.8067513
6,17.11876,0.8093532
7,20.88624,0.8119601
8,23.60872,0.8138618
9,25.87252,0.8161204
10,29.01968,0.8176534
11,32.45002,0.819566
12,34.90377,0.8209089
13,37.73069,0.8220923
14,40.79441,0.8234499
15,43.61882,0.8244596
16,45.59444,0.8253554
17,48.59008,0.8263848
18,52.13944,0.8274325
19,53.8445,0.8282572
20,56.53258,0.8289725
21,59.65136,0.8297596
22,61.90387,0.830614
23,64.50955,0.8310953
24,67.49576,0.8316698
25,70.21703,0.8322936
26,72.56452,0.8328768
27,75.5808,0.8334536
28,77.71122,0.833749
29,80.4871,0.8343428
30,83.47081,0.8349688
31,85.65959,0.8353033
32,88.23582,0.8357318
33,91.15463,0.8360641
34,93.43709,0.8365563
35,95.93647,0.8368996
36,98.43463,0.8371969
37,100.604,0.8376365
38,102.7997,0.8379217
39,104.8615,0.83821
40,107.8703,0.8383922
41,110.4478,0.8388172
42,112.0271,0.8391687
43,114.4872,0.8394028
44,116.7216,0.8396785
45,118.0134,0.8399204
46,120.7141,0.8402079
47,122.5301,0.8403709
48,124.4078,0.8404692
49,126.7035,0.8407136
50,128.1503,0.8408605
51,129.1197,0.8408651
52,129.0972,0.8408718
53,129.9234,0.8408919
54,129.6872,0.8408878
55,130.5322,0.8408771
56,131.3235,0.8410013
57,132.4021,0.8409861
58,133.3416,0.8410486
59,133.1402,0.8410243
60,134.4091,0.8410672
61,134.3298,0.8410653
62,134.3717,0.8410428
63,135.2066,0.8410576
64,135.6247,0.8411035
65,137.9054,0.841364
66,140.0103,0.8416575
67,141.0929,0.8416897
68,140.9947,0.8417381
69,141.701,0.841725
70,141.5035,0.8417188
71,142.0492,0.8417136
72,142.8142,0.8417093
73,144.266,0.8418779
74,145.341,0.8419194
75,145.1717,0.8419149
76,146.591,0.8419936
77,147.4248,0.8419506
78,147.1873,0.8419269
79,147.9098,0.8419355
80,147.8885,0.8419259
81,148.4098,0.8419185
82,150.136,0.842016
83,152.3404,0.8421779
84,153.126,0.8421915
85,152.8073,0.842189
86,153.5754,0.8421798
87,153.4523,0.8421995
88,155.1973,0.842276
89,155.0143,0.8422683
90,158.1122,0.8426099
91,158.753,0.8426075
92,158.4243,0.8425888
93,160.3092,0.8426993
94,162.158,0.8428092
95,162.7336,0.8427981
96,164.4167,0.8429184
97,164.1902,0.8428837
98,164.6692,0.8428649
99,164.5142,0.8428399
100,165.3149,0.8428737
101,165.2043,0.8428747
102,165.7642,0.8428698
103,166.4411,0.8428858
104,166.3718,0.8428812
105,166.4567,0.8428857
106,167.2973,0.8428848
107,167.923,0.8428656
108,167.7055,0.8428764
109,168.4067,0.8428753
110,168.2061,0.8428761
111,169.0342,0.8429165
112,169.4942,0.8429273
113,169.1199,0.8429593
114,169.8111,0.8429252
115,170.3624,0.8429154
116,171.9355,0.8430345
117,173.5411,0.8431157
118,173.8317,0.8431451
119,175.9818,0.8431654
120,176.0024,0.843188
121,175.8905,0.8431995
122,176.653,0.8431734
123,176.5124,0.8431813
124,177.3461,0.8431791
125,178.1111,0.8431754
126,177.6867,0.8431924
127,178.2993,0.843218
128,178.8693,0.8432227
129,178.6386,0.8432024
130,179.5267,0.8431783
131,179.5311,0.8432093
132,179.6274,0.843225
133,180.2287,0.8432194
134,180.373,0.8432422
135,181.1824,0.8432145
136,181.7537,0.8431968
137,182.8249,0.8433247
138,184.0587,0.8433651
139,186.0312,0.843504
140,185.5811,0.8434967
141,186.8568,0.8435029
142,188.8556,0.8435778
143,189.4343,0.8436184
144,189.0568,0.8436225
145,190.1099,0.8436199
146,190.8224,0.8436696
147,191.4181,0.8436491
148,191.5162,0.8436579
149,192.0262,0.8436423
150,192.8087,0.8436579
151,193.6193,0.8437171
152,193.4687,0.8437169
153,194.3224,0.8437312
154,195.1087,0.8437362
155,194.6244,0.8437016
156,195.5306,0.843721
157,195.1587,0.8437045
158,195.7656,0.843706
159,196.8149,0.8437329
160,197.5618,0.8437787
161,197.8293,0.8437856
162,198.6562,0.8437885
163,198.1819,0.8437778
164,198.9231,0.8438086
165,199.5287,0.8438229
166,198.9843,0.8438099
167,199.8593,0.8437796
168,199.6819,0.8437672
169,200.5168,0.8437786
170,201.0312,0.8437728
171,200.6424,0.8437492
172,202.8425,0.844075
173,204.53,0.844151
174,204.535,0.8441202
175,206.4494,0.8442859
176,207.2137,0.8443521
177,207.31,0.8443554
178,207.7138,0.8443909
179,208.5275,0.8443741
180,209.2681,0.8443633
181,209.6219,0.8444015
182,210.3244,0.8444086
183,210.1069,0.8444017
184,210.7025,0.8444014
185,210.4037,0.8443511
186,212.7,0.844524
187,213.8569,0.8446017
188,214.95,0.8446275
189,215.235,0.8446361
190,216.2938,0.8446395
191,216.345,0.8446661
192,216.8894,0.8446391
193,217.4204,0.8446304
194,217.9482,0.8446418
195,218.1525,0.8446756
196,219.7994,0.84473
197,219.7044,0.8447915
198,220.0931,0.8447524
199,220.6732,0.8447187
200,221.2475,0.8447328
201,220.7463,0.8446922
202,221.1506,0.8446815
203,221.7007,0.8446684
204,222.135,0.8446431
205,222.2294,0.8446497
206,222.9163,0.8446522
207,223.2482,0.8447249
208,224.4544,0.8447272
209,225.0457,0.8447094
210,225.8319,0.8447852
211,225.6425,0.8447627
212,226.9424,0.8447309
213,226.4475,0.8447184
214,227.2682,0.8447437
215,227.8126,0.8447288
216,228.2032,0.8447426
217,228.6976,0.8447231
218,228.2932,0.8446936
219,228.7844,0.8446939
220,229.4951,0.844681
221,229.547,0.8446583
222,229.8413,0.8446342
223,232.467,0.8448333
224,232.4701,0.8447906
225,233.3138,0.8447841
226,233.1057,0.8448303
227,234.2213,0.8448451
228,234.0039,0.8448137
229,234.3776,0.8448196
230,235.4063,0.8448531
231,235.8238,0.8448771
232,236.3895,0.8448563
233,236.3726,0.8448526
234,237.0026,0.8449051
235,238.1438,0.8449092
236,238.7351,0.8448945
237,238.5626,0.8448685
238,239.3151,0.8448776
239,239.4064,0.8449017
240,240.2552,0.8448965
241,240.277,0.8448884
242,240.9032,0.8448733
243,240.5745,0.8448768
244,241.2357,0.8448493
245,241.8913,0.8448496
246,242.0226,0.8448613
247,243.2688,0.8449215
248,243.637,0.8449448
249,243.5939,0.8449486
250,244.7676,0.8449589
