Iteration,Time,AUC
1,1.718002,0.6483123
2,2.354881,0.6483072
3,3.077395,0.648309
4,2.688643,0.6636212
5,3.329884,0.6634965
6,3.805509,0.663492
7,3.295524,0.6634865
8,3.886772,0.6634902
9,4.502396,0.6634961
10,4.063644,0.6634912
11,4.633664,0.6652415
12,5.561783,0.6652403
13,5.057385,0.6652353
14,5.765517,0.665238
15,6.341137,0.6716124
16,5.932411,0.6716157
17,6.543662,0.6716157
18,7.073646,0.6716147
19,6.760515,0.6716104
20,7.371776,0.6715968
21,8.071795,0.671595
22,7.698658,0.6713125
23,8.526783,0.6710404
24,9.013655,0.6708
25,8.958038,0.6710614
26,9.529928,0.6734456
27,9.262401,0.6741513
28,9.829296,0.676183
29,10.41619,0.6765468
30,10.89304,0.6769558
31,10.53992,0.6783446
32,11.1368,0.6782716
33,11.78367,0.6790672
34,11.42054,0.6795441
35,12.20305,0.6824026
36,12.08679,0.682413
37,12.70366,0.6823435
38,13.57305,0.6834986
39,13.15554,0.6834297
40,13.90806,0.6839786
41,13.62495,0.68398
42,14.17181,0.6842005
43,14.74869,0.6846818
44,14.61805,0.6849733
45,15.26493,0.6849357
46,16.01744,0.6848665
47,15.53993,0.6848291
48,16.32806,0.6906342
49,16.90056,0.691027
50,16.75884,0.6908166
51,17.60681,0.6911293
52,17.10931,0.6908838
53,17.97745,0.6913568
54,18.52993,0.6919502
55,18.09244,0.6942136
56,18.79058,0.6948953
57,19.47998,0.6950628
58,19.38808,0.6968589
59,20.1062,0.6983337
60,20.71432,0.6986222
61,20.34247,0.6986601
62,21.18744,0.6988505
63,21.00121,0.6990544
64,21.79933,0.699025
65,22.29745,0.6989055
66,21.99558,0.6988683
67,22.69933,0.6987377
68,22.70433,0.6982864
69,23.39245,0.6982341
70,24.09059,0.6982992
71,23.85872,0.6982534
72,24.62247,0.6982413
73,25.2506,0.6981965
74,25.09435,0.6981507
75,25.73248,0.6979524
76,25.55621,0.6978545
77,26.35434,0.698091
78,26.1181,0.6981709
79,26.84183,0.6981309
80,27.43996,0.6980892
81,27.10372,0.6981428
82,27.80746,0.6982948
83,28.57571,0.6982699
84,28.53185,0.6982543
85,29.26591,0.6982282
86,29.02498,0.6982206
87,29.8531,0.6982399
88,30.23187,0.6982289
89,30.54186,0.6981368
90,31.12568,0.6982363
91,30.90497,0.698238
92,31.77873,0.6997637
93,32.37247,0.6997355
94,32.23185,0.7005997
95,32.98561,0.7000428
96,32.68937,0.6998772
97,33.29311,0.6998433
98,33.95152,0.698929
99,33.66625,0.6985993
100,34.25999,0.6987992
101,34.89937,0.6987848
102,35.50874,0.6989353
103,35.60503,0.6984441
104,36.38875,0.6980473
105,36.18376,0.6980072
106,37.05874,0.6983364
107,37.18625,0.6983536
108,37.92125,0.6983812
109,37.48189,0.6984887
110,38.43251,0.6986075
111,38.26752,0.6993939
112,38.86814,0.6992245
113,39.63439,0.6996365
114,39.68191,0.6995841
115,40.59251,0.6998596
116,40.29938,0.6999004
117,41.01626,0.7006362
118,42.09375,0.7003907
119,41.74437,0.700192
120,42.98064,0.7002132
121,43.05688,0.7003801
122,43.83751,0.7005869
123,43.60377,0.700712
124,44.45001,0.7006193
125,44.23629,0.7008083
126,45.10253,0.7012714
127,45.26565,0.7028816
128,46.29752,0.7028915
129,46.35379,0.7027003
130,46.29566,0.7027274
