Iteration,Time,AUC
1,26.70193,0.500309
2,31.94511,0.5013763
3,36.92198,0.5021623
4,41.71515,0.5044823
5,47.06953,0.5059443
6,51.90455,0.5076952
7,56.58459,0.5072957
8,62.08835,0.5080515
9,66.76463,0.5089875
10,72.30775,0.5090229
11,77.4453,0.5119675
12,82.97656,0.5121258
13,87.69846,0.5135755
14,93.55475,0.5149979
15,98.59226,0.5163665
16,103.8242,0.517236
17,108.4355,0.5180455
18,113.5293,0.5189954
19,118.7736,0.5203786
20,123.4986,0.5221288
21,128.6555,0.5251932
22,134.4912,0.5275428
23,139.3231,0.5292844
24,143.9981,0.5291339
25,148.61,0.5286522
26,154.1175,0.5305192
27,159.5538,0.5305766
28,164.4176,0.5310975
29,170.4676,0.5331829
30,174.9926,0.5341369
31,180.6366,0.5347544
32,185.6033,0.5353869
33,190.8533,0.5355747
34,195.5789,0.5367557
35,201.1708,0.537562
36,206.1652,0.5376602
37,211.0234,0.5388505
38,216.5853,0.5392346
39,221.3134,0.5398364
40,226.1522,0.5401041
41,231.6166,0.5416241
42,236.0866,0.542157
43,241.6847,0.5424023
44,246.1192,0.5438222
45,251.2767,0.543799
46,256.4292,0.5446151
47,261.0467,0.5455139
48,266.728,0.5453245
49,271.6343,0.5461382
50,276.6325,0.5470087
51,281.73,0.5479109
52,287.3587,0.5493058
53,292.4381,0.5510455
54,296.555,0.5513802
55,301.7944,0.5529954
56,306.685,0.553496
57,312.3382,0.5541635
58,317.1495,0.5547123
59,322.8426,0.5566482
60,328.3576,0.5576603
61,333.447,0.5585685
62,338.2671,0.559297
63,342.6208,0.5597203
64,348.5903,0.5600103
65,353.324,0.5604488
66,358.4059,0.5625926
67,363.3697,0.5635758
68,368.861,0.5639118
69,373.9985,0.5645092
70,379.086,0.5650203
71,383.4985,0.5657571
72,388.4466,0.5661261
73,393.2948,0.5668391
74,399.1086,0.567206
75,403.8117,0.5673809
76,408.993,0.5675267
77,414.4074,0.5678525
78,419.1355,0.5684271
79,424.0118,0.5689027
80,429.205,0.5697021
81,434.93,0.5762787
82,439.4681,0.5762549
83,445.0569,0.5767097
84,449.67,0.5786337
85,455.7744,0.578964
86,461.0938,0.5792653
87,465.8301,0.5800552
88,471.1695,0.5805728
89,475.6214,0.5809204
90,480.1689,0.5812789
91,484.9302,0.5816486
