Iteration,Time,AUC
1,21.6706,0.5008462
2,26.17627,0.501328
3,30.48814,0.5024379
4,34.8169,0.5031439
5,38.3488,0.5034184
6,42.48068,0.5050422
7,46.4957,0.5060748
8,51.27946,0.5078043
9,55.56385,0.5087498
10,59.02949,0.5093899
11,63.53076,0.5097767
12,67.56016,0.5115859
13,72.1733,0.5114603
14,75.75083,0.5121067
15,79.93584,0.5125768
16,84.78148,0.5129895
17,89.36398,0.5152047
18,93.01151,0.5157435
19,96.9259,0.5162042
20,101.9366,0.5175477
21,106.3641,0.5184954
22,109.7191,0.5186481
23,114.1135,0.5194289
24,118.0428,0.5198635
25,122.0666,0.5201848
26,126.4548,0.5223983
27,130.106,0.5224337
28,134.5015,0.522544
29,138.9855,0.5244794
30,143.4667,0.527935
31,147.3111,0.5293824
32,151.748,0.5290534
33,156.0368,0.5300563
34,159.3943,0.5309477
35,163.5381,0.5307576
36,168.0906,0.5307424
37,172.8937,0.531115
38,177.4694,0.5319189
39,181.1569,0.5321297
40,185.5438,0.5331106
41,189.9382,0.5339232
42,193.1888,0.5343253
43,197.8932,0.5345548
44,202.2238,0.5342112
45,206.0132,0.5347989
46,209.6576,0.5348005
47,214.2045,0.5356015
48,217.6864,0.5359758
49,222.1943,0.5371288
50,227.0052,0.537852
51,230.8477,0.5384421
52,235.5965,0.5385006
53,239.4359,0.5386473
54,243.7678,0.5401013
55,247.3953,0.5406505
56,252.2628,0.5428859
57,255.9966,0.5429456
58,260.3622,0.5428391
59,264.581,0.5438229
60,267.7197,0.5442658
61,271.5773,0.5447223
62,276.5016,0.5456085
63,280.2404,0.5466455
64,285.1392,0.547534
65,289.5911,0.548218
66,293.138,0.550146
67,297.4361,0.5501573
68,301.8786,0.550471
69,305.3805,0.5508288
70,309.8731,0.5518645
71,314.1237,0.5523553
72,318.9193,0.5531592
73,322.3618,0.553381
74,326.8425,0.5530271
75,330.8913,0.5531881
76,334.6231,0.5535113
77,339.4513,0.5540368
78,343.9982,0.5549977
79,347.7507,0.5555362
80,351.9832,0.555775
81,356.5845,0.55634
82,360.5995,0.5568654
83,365.5001,0.5572345
84,369.2164,0.5577488
85,374.3183,0.5582591
86,378.2683,0.5591434
87,382.4902,0.5595823
88,386.319,0.5598262
89,390.7059,0.5601918
90,395.1921,0.5602118
91,398.6446,0.5600768
92,403.424,0.5603882
93,407.5009,0.5608765
94,411.5453,0.5609879
95,416.3159,0.5612096
96,420.6266,0.5613626
97,424.426,0.5615317
98,428.3166,0.56211
99,433.2703,0.5672424
100,437.4904,0.5671671
101,440.8597,0.5673477
102,445.411,0.5675567
103,449.7648,0.5675742
104,453.0654,0.5680149
105,457.6623,0.5683661
106,461.3973,0.5683702
107,466.1711,0.568599
108,470.3436,0.5686671
109,474.2692,0.5691547
110,478.9568,0.5691873
111,483.1149,0.569164
112,486.5299,0.5703235
113,491.8149,0.5710453
114,495.6393,0.5710809
115,500.2706,0.5717434
116,504.2719,0.5718698
117,507.375,0.5721147
118,511.89,0.5723823
119,516.0206,0.5727527
120,520.7338,0.5728311
121,524.8882,0.5749883
122,528.5213,0.5754336
123,533.4507,0.5758654
124,537.347,0.5765671
125,542.2051,0.5774698
126,546.3739,0.5778599
127,550.0014,0.5780302
128,554.6789,0.5782696
129,558.832,0.578644
130,563.5039,0.5788662
131,567.1159,0.5791459
132,571.4915,0.5802222
133,575.999,0.5806452
134,580.0309,0.580908
135,584.5034,0.5814719
136,589.0197,0.5818959
137,592.5009,0.5823543
138,596.1897,0.5825259
139,600.7834,0.5831574
140,605.3654,0.5830133
141,609.451,0.5830956
142,613.7341,0.583391
143,618.4835,0.5834854
144,622.611,0.5835946
145,626.3429,0.5843177
146,631.0042,0.5849324
147,635.3355,0.5853234
148,639.1586,0.5857626
149,643.4108,0.5862762
150,648.0824,0.5865684
151,651.6305,0.5867035
152,655.7993,0.5870686
153,660.4862,0.5873994
154,664.1568,0.5873822
155,668.7174,0.5877154
156,672.4887,0.5877754
157,677.38,0.5881526
158,680.8512,0.5883026
159,685.4825,0.5887465
160,689.645,0.5895166
161,693.96,0.5898003
