Iteration,Time,AUC
1,17.45188,0.5001032
2,20.65064,0.5005853
3,23.85751,0.5011944
4,27.46753,0.5014662
5,30.38943,0.5010902
6,33.85383,0.5007006
7,37.97507,0.5015722
8,40.54575,0.5014055
9,44.67074,0.502839
10,48.16887,0.5024539
11,50.35266,0.5030376
12,53.91268,0.5032917
13,56.94641,0.5036815
14,60.52207,0.5033647
15,64.07645,0.504566
16,67.26334,0.5058796
17,70.93336,0.5055673
18,73.32176,0.5055547
19,77.21217,0.5061893
20,79.74964,0.5059528
21,82.9378,0.5060994
22,85.48345,0.506722
23,89.58473,0.50677
24,92.38534,0.5070917
25,95.45346,0.5073318
26,99.45974,0.5076749
27,101.8985,0.5081669
28,105.5229,0.5082305
29,108.6723,0.5082935
30,111.7436,0.5084824
31,115.4617,0.5079416
32,117.6242,0.5104921
33,121.898,0.5105613
34,125.6086,0.5108446
35,128.918,0.5112689
36,132.0562,0.5112761
37,135.5299,0.5113325
38,138.5399,0.5120711
39,142.3513,0.5124043
40,145.3875,0.5129925
41,148.2181,0.51299
42,151.5919,0.5131313
43,155.7169,0.5136727
44,158.6694,0.5138472
45,161.245,0.5139441
46,164.995,0.5150796
47,167.5307,0.5159674
48,171.4338,0.5161332
49,175.2157,0.5160453
50,177.6813,0.5160009
51,181.512,0.5167649
52,185.2583,0.516988
53,188.3233,0.5173395
54,190.7314,0.5178263
55,194.387,0.5177549
56,197.6864,0.51866
57,201.499,0.5186475
58,203.8283,0.5187234
59,207.8453,0.5194299
60,211.124,0.5203595
61,213.8603,0.5208758
62,217.5253,0.5215999
63,221.8709,0.5217653
64,224.4641,0.5218945
65,227.7178,0.5226571
66,230.686,0.5232177
67,234.2041,0.5230074
68,236.7435,0.5232172
69,241.1192,0.5234674
70,243.3835,0.523554
71,246.9385,0.5234777
72,250.3673,0.5234981
73,253.0917,0.5239162
74,256.6567,0.5257152
75,260.4386,0.5256624
76,263.2655,0.5260197
77,266.9055,0.5291324
78,269.3393,0.5294162
79,273.5749,0.5292815
80,276.5243,0.5291361
81,280.2649,0.5290985
82,283.8131,0.5295329
83,287.3225,0.529802
84,291.1481,0.5311243
85,293.9038,0.5311412
86,296.9606,0.5308457
87,300.4307,0.5308198
88,302.9644,0.530814
89,306.9388,0.530458
90,310.217,0.5316773
91,312.7138,0.5328334
92,315.8564,0.5324655
93,319.012,0.5326037
94,322.8383,0.5327839
95,325.5627,0.5329395
96,329.3595,0.5329476
97,332.9389,0.5329227
98,335.3127,0.5336679
99,339.3877,0.533644
100,342.4633,0.5342668
101,345.8221,0.5342556
102,348.2771,0.5341937
103,351.844,0.5342133
104,354.684,0.5345239
105,358.2197,0.5346886
106,361.356,0.5346059
107,365.3378,0.5347923
108,368.2341,0.5351812
109,372.306,0.5360856
110,375.2735,0.536071
111,379.071,0.5378697
112,381.6542,0.5380566
113,385.8904,0.5380507
114,388.5005,0.5380568
115,391.7205,0.5383658
116,394.6736,0.5385388
117,398.298,0.5385794
118,401.4524,0.5385266
119,404.5949,0.5388728
120,407.0487,0.5395247
121,410.7024,0.5394957
122,414.4831,0.5399491
123,417.2812,0.539835
124,420.5868,0.5399876
125,422.9062,0.5400214
126,426.9219,0.5399944
127,430.37,0.5400999
128,434.0913,0.540059
129,436.7613,0.5400091
130,439.9162,0.5402306
131,443.5951,0.5402488
132,447.2195,0.5404699
133,450.6207,0.5415402
134,453.0589,0.5415053
135,456.7782,0.541746
136,461.0277,0.54172
137,464.462,0.5417688
138,467.1964,0.5420419
139,471.4858,0.5421773
140,474.1246,0.5436384
141,477.9809,0.5437843
142,481.2477,0.5439028
143,484.9934,0.5444099
144,487.8565,0.544367
145,490.8735,0.5443417
146,494.6015,0.5443736
147,497.2197,0.5444001
148,500.8584,0.5442826
149,503.4185,0.5445871
150,507.141,0.5448421
151,510.5279,0.5451069
152,513.766,0.5452402
153,517.4792,0.5456686
154,519.9035,0.5460098
155,523.6186,0.5465271
156,526.5411,0.5466826
157,530.0092,0.5465892
158,532.5936,0.546999
159,536.603,0.5471302
160,539.143,0.5470492
161,543.0893,0.5472389
162,546.748,0.547389
163,549.0568,0.5474552
164,552.9831,0.5488867
165,555.7344,0.5490671
166,560.015,0.5491318
167,562.2987,0.5491949
168,566.1094,0.54991
169,569.2438,0.5500706
170,572.4063,0.5501289
171,575.1119,0.5501367
172,579.5463,0.5503151
