Iteration,Time,AUC
1,30.41956,0.7407898
2,33.79458,0.7501645
3,37.01335,0.7586
4,40.02894,0.7659616
5,43.41961,0.7709974
6,46.52901,0.7746337
7,49.51336,0.7782795
8,52.73219,0.78211
9,55.8572,0.7859117
10,58.71653,0.7883953
11,61.88852,0.7904597
12,64.84159,0.7917828
13,67.75789,0.7934152
14,70.53917,0.7946947
15,73.57043,0.7958873
16,76.336,0.7970278
17,78.85171,0.7977936
18,82.0392,0.7995313
19,84.90296,0.8002938
20,87.63732,0.8009297
21,90.24671,0.8016252
22,93.33488,0.8026018
23,96.11613,0.8031723
24,98.64743,0.8036644
25,101.1162,0.8041561
26,103.6943,0.8047294
27,106.6319,0.8052551
28,108.8506,0.8055047
29,111.3663,0.805937
30,114.0738,0.8063644
31,116.7144,0.8067956
32,119.4957,0.8072205
33,122.2144,0.807511
34,124.6363,0.8076905
35,127.4175,0.8080311
36,130.5001,0.8083241
37,133.547,0.8090228
38,136.0157,0.8091751
39,137.1476,0.809475
40,139.5639,0.8098085
41,142.267,0.8100039
42,145.162,0.8102608
43,147.1308,0.8104242
44,149.4276,0.8105212
45,152.584,0.8109461
46,155.6777,0.8113546
47,159.0058,0.8119946
48,162.0684,0.8125055
49,164.5371,0.8126702
50,166.6466,0.812821
51,168.6465,0.8129312
52,171.3597,0.8133288
53,174.0628,0.8134539
54,176.4534,0.8135663
55,178.6722,0.8137508
56,181.5472,0.8141579
57,183.7972,0.814265
58,186.0629,0.8143755
59,188.8016,0.8148299
60,191.2235,0.8150212
61,193.6298,0.8151187
62,195.7392,0.8153354
63,198.3798,0.8156343
64,201.2548,0.8159473
65,203.6298,0.816186
66,206.208,0.8163762
67,208.3487,0.8165121
68,210.3643,0.8165803
69,213.1143,0.8168007
70,215.3487,0.8168897
71,218.2861,0.8172187
72,220.3487,0.8172816
73,223.0987,0.8175171
74,225.2393,0.8175829
75,227.2962,0.8176761
76,229.6287,0.8178508
77,232.3475,0.8180853
78,235.5819,0.8183948
79,237.9257,0.8185468
80,239.7694,0.8185889
81,242.2538,0.8187068
82,243.957,0.8187681
83,246.9101,0.8189639
84,250.1446,0.8192959
85,251.957,0.8193602
86,254.2539,0.819426
87,256.6958,0.8194695
88,259.4302,0.8196429
89,262.3052,0.8198352
90,264.3521,0.8199643
91,266.852,0.8200784
92,269.0708,0.8201928
93,271.2115,0.820239
94,274.2115,0.8204127
95,276.0709,0.820469
96,279.0552,0.8208218
97,282.149,0.8210365
98,285.3365,0.8212085
99,287.9303,0.8213382
100,289.9148,0.8214044
101,291.9616,0.8214879
102,294.8153,0.8216469
103,296.601,0.8217
104,298.5853,0.8217743
105,301.0016,0.8218401
106,303.3766,0.8219362
107,306.0173,0.8220472
108,309.1579,0.8222957
109,311.5173,0.822354
110,313.236,0.8223877
111,315.2986,0.8224186
112,317.0955,0.8224392
113,319.0799,0.8224986
114,320.9705,0.822526
115,323.3924,0.8225879
116,325.5487,0.8226627
117,328.158,0.8227418
118,330.5799,0.8230022
119,333.0331,0.8230865
120,335.1893,0.8231187
121,338.1737,0.8232978
122,339.8924,0.8233484
123,342.2831,0.8234453
124,344.83,0.8234985
125,346.5644,0.8235153
126,348.8301,0.8235561
127,351.7363,0.8236967
128,354.4594,0.8237794
129,357.1157,0.8239266
130,359.9907,0.8240649
131,362.8813,0.8241891
132,365.2564,0.8242517
133,368.1001,0.8243353
134,370.4282,0.8244232
135,373.0532,0.8245209
136,375.7721,0.8246278
137,377.7252,0.8246619
138,379.9127,0.8247345
139,382.3043,0.8247717
140,385.3346,0.8249401
141,387.8033,0.825004
142,390.1003,0.825027
143,392.1314,0.8250701
144,394.444,0.8251775
145,396.7253,0.8252699
146,399.7409,0.8253863
147,402.1785,0.8254882
148,405.0847,0.8256001
149,407.991,0.8257212
150,409.9597,0.8257601
151,413.1003,0.8259478
152,415.6785,0.8260981
153,418.2567,0.8262332
154,421.241,0.8263114
155,423.6316,0.8263669
156,426.2723,0.8264595
157,428.8036,0.8265509
158,431.798,0.8266936
159,434.3761,0.8267792
160,436.3449,0.8268065
161,438.0792,0.8268518
162,440.4387,0.8268934
163,443.2511,0.8269867
164,445.1418,0.8270038
165,447.7824,0.8270832
166,450.5324,0.8272323
167,453.6575,0.8273725
168,456.4856,0.827464
169,458.6106,0.8275314
170,461.3138,0.8276117
171,464.2713,0.8277254
172,466.1719,0.8277443
173,468.6719,0.82785
174,470.8438,0.8278778
175,473.0557,0.8278904
176,475.9775,0.8279722
177,479.0814,0.828042
178,481.847,0.8281015
179,484.5814,0.8282381
180,486.6908,0.828264
181,488.9408,0.8283151
182,491.9096,0.8284372
183,494.9565,0.8285311
184,496.9565,0.8285448
185,499.8002,0.828615
186,502.8315,0.8287701
187,505.066,0.828785
188,508.0503,0.8289616
189,510.9409,0.8289988
190,513.4722,0.8290511
191,515.4253,0.8290711
192,517.394,0.8291165
193,519.5191,0.8291367
194,522.7534,0.8292863
195,525.5503,0.8293577
196,528.7534,0.8294378
197,531.336,0.8294671
198,533.6741,0.829507
199,536.1004,0.8295288
200,538.9911,0.8296287
201,541.7567,0.8297067
202,544.798,0.8298319
203,547.298,0.8299238
204,549.2198,0.8299472
205,552.048,0.8300264
206,554.8761,0.8301175
207,557.7668,0.8302078
208,560.9231,0.830327
209,563.845,0.8304321
210,566.2512,0.8304438
211,568.97,0.8304905
212,571.7981,0.8305426
213,574.2513,0.8306166
214,576.9387,0.8306718
215,579.5794,0.8306907
216,581.9119,0.830705
217,583.8494,0.8307062
218,586.5882,0.8307462
219,588.385,0.8307498
220,591.0882,0.8308344
221,593.4632,0.830898
222,596.2445,0.8309658
223,599.0414,0.8310624
224,601.432,0.8310818
225,604.3695,0.8311419
226,606.1039,0.8311549
227,608.7289,0.8311836
228,611.354,0.8312114
229,613.8383,0.8312597
230,616.4946,0.831315
231,619.3696,0.8314166
232,621.9946,0.8314712
233,624.3384,0.8314957
234,626.0728,0.831514
235,629.1666,0.8315595
236,631.2759,0.8315737
237,634.4321,0.8316611
238,637.4153,0.8317451
239,640.2122,0.8318169
240,642.8216,0.8318399
241,645.181,0.83187
242,648.0247,0.8319019
243,650.181,0.8319451
244,652.556,0.8319985
245,654.9623,0.8320507
246,657.2904,0.8320901
247,660.2535,0.8321493
248,662.9567,0.832208
249,665.7067,0.8322742
250,667.8162,0.8322983
251,670.238,0.832293
252,672.488,0.8323127
253,674.7693,0.8323244
254,676.9256,0.8323466
255,678.9256,0.8323665
256,681.5193,0.8323939
257,684.6287,0.8324779
258,686.6444,0.8324883
259,689.3318,0.832571
260,692.16,0.8326357
261,694.3675,0.8326589
262,696.4144,0.8326626
263,698.3363,0.8326729
264,700.8207,0.83267
265,703.1645,0.8326806
266,705.352,0.8326717
267,708.1901,0.8327071
268,710.7839,0.8327452
269,713.9089,0.832797
270,716.9445,0.8328512
271,719.7883,0.8328825
272,722.0851,0.8329231
273,724.2258,0.8329542
274,726.2571,0.8330003
275,729.1946,0.8330645
276,731.9859,0.8330886
277,734.8453,0.8331367
278,738.0171,0.8332172
279,740.689,0.8332576
280,743.189,0.8332595
281,745.8765,0.8333142
282,748.2359,0.8333304
283,750.6422,0.8333567
284,753.2984,0.8333861
285,755.4079,0.8334049
286,757.5172,0.8334223
287,759.861,0.8334259
288,761.6579,0.8334264
289,763.4392,0.8334513
290,766.2985,0.8334867
291,769.0485,0.833519
292,771.8767,0.8335471
293,774.986,0.8335992
294,777.5017,0.8336363
295,780.4549,0.8336974
296,782.3611,0.8337086
297,785.0955,0.8337487
298,787.408,0.8337884
299,789.6268,0.8337816
300,792.3767,0.8338285
301,794.6112,0.8338452
302,797.3455,0.8338933
303,800.205,0.8339655
304,802.7987,0.8339997
305,805.225,0.8340414
306,808.245,0.8341022
307,810.6982,0.8341192
308,812.6044,0.8341168
309,814.8545,0.8341482
310,816.8232,0.8341572
311,819.5888,0.8341772
312,821.6045,0.8342058
313,824.417,0.8342501
314,826.9951,0.834272
315,829.292,0.8343
316,832.4739,0.8343763
317,835.0833,0.8343986
318,838.1145,0.8344446
319,840.7127,0.8344728
320,843.2383,0.8345195
321,846.1021,0.834565
322,848.727,0.8346116
323,851.1646,0.8346293
324,854.3208,0.8347082
325,856.5553,0.8347239
326,859.3834,0.8347724
327,862.0865,0.8348436
328,865.0653,0.8348837
329,867.5028,0.8349121
330,870.4404,0.8349553
331,872.9247,0.8349974
332,875.9248,0.8350231
333,878.3779,0.8350487
334,880.7216,0.8350753
335,883.8467,0.8351321
