Iteration,Time,AUC
1,7.658209,0.6077123
2,8.011932,0.6077403
3,8.308825,0.6077345
4,8.70379,0.6077488
5,9.076329,0.6077482
6,9.435707,0.6091495
7,9.768207,0.6091486
8,10.14321,0.60915
9,10.51256,0.6091506
10,10.92328,0.60915
11,10.30131,0.6091489
12,10.6082,0.6091495
13,10.95071,0.6091381
14,11.27884,0.60914
15,11.61133,0.609143
16,11.94949,0.6100887
17,12.35569,0.6558074
18,12.71821,0.6558114
19,13.04634,0.6558112
20,13.37882,0.6558102
21,13.84069,0.6616118
22,14.16885,0.661615
23,14.48135,0.6616103
24,14.82513,0.661609
25,15.19323,0.6616085
26,15.54699,0.6616122
27,15.95758,0.6616116
28,16.37949,0.6628523
29,16.70758,0.6628462
30,17.07698,0.6628965
31,17.48197,0.6629934
32,17.87134,0.6630057
33,18.26512,0.6629722
34,18.6589,0.6629705
35,19.0908,0.6630903
36,19.48574,0.6630997
37,19.92512,0.6631007
38,20.30013,0.6631386
39,20.6751,0.67047
40,21.05011,0.6723995
41,21.43949,0.6724001
42,21.87576,0.6729598
43,22.2976,0.6771586
44,22.73513,0.6776508
45,23.14012,0.677686
46,23.52951,0.6779107
47,23.94011,0.6778857
48,24.2995,0.6803297
49,24.7214,0.6814266
50,25.12766,0.6821953
51,25.59516,0.6829573
52,26.00144,0.6836728
53,26.44325,0.6843659
54,26.8339,0.6843464
55,27.25575,0.6843323
56,27.61513,0.688712
57,28.00579,0.6887952
58,28.44205,0.6887772
59,28.91952,0.6880346
60,29.35584,0.6876009
61,29.74644,0.6882795
62,30.15267,0.6893482
63,30.67579,0.6896152
64,31.09201,0.6901907
65,31.48265,0.690343
66,31.90893,0.6901859
67,31.34956,0.6902897
68,31.7558,0.6898933
69,32.20331,0.6908515
70,32.67523,0.6907352
71,33.09708,0.6915819
72,33.57894,0.6918012
73,34.01953,0.69267
74,34.44141,0.6940308
75,34.84775,0.6940106
76,35.27958,0.6939895
77,35.74836,0.6943699
78,36.15462,0.6938817
79,36.64655,0.6937968
80,37.06834,0.6937655
81,37.53586,0.6939958
82,37.93647,0.6940388
83,38.43397,0.6944442
84,38.9727,0.695438
85,39.45897,0.6965384
86,39.92776,0.6969952
87,40.334,0.6988382
88,40.7559,0.6998307
89,41.28464,0.7048298
90,41.73646,0.7053416
91,42.17401,0.7058323
92,42.65591,0.7056506
93,43.17026,0.7053108
94,43.57647,0.7056576
95,44.03396,0.7055912
96,44.49709,0.7055469
97,44.97463,0.7060306
98,45.43776,0.7055586
99,45.82836,0.7054483
100,46.30153,0.705791
101,46.79588,0.7064569
102,47.23339,0.7059793
103,47.73774,0.7053955
104,48.18527,0.7049219
105,48.66962,0.7048047
106,49.12274,0.7051222
107,49.54468,0.7051098
108,50.00215,0.705738
109,50.45526,0.7062945
110,50.90717,0.7064392
111,51.42586,0.7069309
112,51.90462,0.7071182
113,52.35654,0.7071286
114,52.77844,0.7079732
115,53.24721,0.7082875
116,53.70463,0.7096382
117,53.14525,0.7096165
118,53.62407,0.7094244
119,54.14404,0.7092507
120,54.60716,0.7086673
121,55.08033,0.7088833
122,55.53344,0.7099951
123,55.99661,0.7102796
124,56.47406,0.7098261
125,56.99971,0.7094676
126,57.51536,0.7097896
127,57.98725,0.7095906
128,58.4403,0.7091997
129,58.9434,0.7090611
130,59.43658,0.7088756
131,59.8941,0.7087029
132,60.40969,0.7089122
133,60.90843,0.7089121
134,61.34592,0.7090414
135,61.86471,0.7093101
136,62.34786,0.7095987
137,62.87222,0.7092544
138,63.27844,0.7091867
139,63.71599,0.7096122
140,64.19347,0.7096377
141,64.66219,0.7105995
142,65.11538,0.7109932
143,65.59406,0.7108693
144,66.11411,0.7111352
145,66.60848,0.7110269
146,66.99912,0.713139
147,67.48344,0.7131368
148,67.98221,0.7132225
149,68.43974,0.7138352
150,68.93727,0.7137987
151,69.3591,0.7141907
152,69.7966,0.7142368
153,70.26539,0.7135994
154,70.68725,0.7139501
155,71.15909,0.7139375
156,71.51847,0.7138445
157,71.96602,0.7142951
158,72.44226,0.7143191
159,72.83288,0.7142928
160,73.23352,0.7144072
161,73.69104,0.7160759
162,74.09724,0.715968
163,74.56473,0.7155824
164,75.01227,0.7157962
165,75.38724,0.716026
166,75.87913,0.7159273
167,76.23849,0.715871
168,76.70601,0.7159252
169,77.09667,0.7158847
170,77.48727,0.7163857
171,77.84669,0.7165968
172,78.25293,0.7166971
173,77.64664,0.7168306
174,78.03046,0.7168325
175,78.49917,0.7170519
176,78.9879,0.7173311
177,79.51788,0.71695
178,80.01546,0.7167597
179,80.40608,0.7165542
180,80.74976,0.7167781
181,81.12921,0.7166283
182,81.49852,0.7168526
183,82.00607,0.7170224
184,82.32854,0.717007
185,82.81167,0.7172934
186,83.29482,0.717262
187,83.64293,0.7174299
188,84.0636,0.7175364
189,84.57794,0.7171919
190,84.99979,0.7173101
191,85.37485,0.7171103
192,85.70736,0.7169159
193,86.16921,0.716617
194,86.49729,0.7167525
195,87.03729,0.7167348
196,87.37984,0.7167512
197,87.79919,0.7169005
198,88.24667,0.7170923
199,88.61044,0.7170146
200,88.93855,0.7170595
201,89.25113,0.7169518
202,89.67296,0.7169546
203,90.16167,0.7169157
204,90.57796,0.717208
205,90.95731,0.7175344
206,91.40922,0.7176339
207,91.78302,0.717767
208,92.26614,0.7181243
209,92.57857,0.7180387
210,93.00486,0.7178827
211,93.33303,0.7177873
212,93.75485,0.717572
213,94.09302,0.7175936
214,94.4567,0.7176092
215,94.79492,0.7175857
216,95.22109,0.7172375
217,95.62733,0.7173664
218,95.98551,0.7174869
219,96.39177,0.7178112
220,96.7511,0.7176626
221,97.08363,0.7175083
222,97.45734,0.7176151
223,97.93492,0.7173444
224,98.30989,0.7171506
225,98.7005,0.7172129
226,99.09116,0.7171975
227,99.46609,0.7172217
228,98.95923,0.7170228
229,99.28739,0.7170038
230,99.64116,0.7175758
231,100.1557,0.7174167
232,100.6074,0.7172834
233,101.0649,0.7176295
234,101.4868,0.7176041
235,101.8774,0.7176565
236,102.2212,0.7176978
237,102.6117,0.7179683
238,103.0056,0.7181726
239,103.3324,0.7180909
240,103.7999,0.7177984
241,104.2474,0.7180656
242,104.6268,0.7179711
243,105.0374,0.7193088
244,105.4068,0.7195136
245,105.8174,0.7192512
246,106.2069,0.71917
247,106.5662,0.7190835
248,107.0181,0.7194603
249,107.3462,0.7193974
250,107.6587,0.7190185
251,107.9712,0.719259
252,108.4231,0.7194497
253,108.7655,0.7194796
254,109.1762,0.7193893
255,109.4887,0.7192762
256,109.9193,0.7191791
257,110.3343,0.7192932
258,110.7393,0.7197421
259,111.0987,0.7197553
260,111.4893,0.719789
261,111.8331,0.7197145
262,112.2694,0.7198084
263,112.69,0.7201878
264,113.0437,0.7203129
265,113.3875,0.7205225
266,113.7512,0.7204747
267,114.0681,0.7207954
268,114.4119,0.7208895
269,114.8481,0.7208482
270,115.1862,0.7210163
271,115.6581,0.7214554
272,116.0374,0.7214882
273,116.4125,0.7213831
274,116.8488,0.7214165
275,117.2181,0.7216951
276,117.5974,0.7218913
277,117.9556,0.7217112
278,118.3406,0.7218665
279,118.7556,0.7218328
280,119.1407,0.7217388
281,119.5156,0.7215622
282,119.8281,0.7214557
283,120.2188,0.7212664
284,120.5981,0.7212705
285,120.9831,0.7211547
286,121.3625,0.7211026
287,121.7788,0.7214603
288,121.2194,0.7215921
289,121.5319,0.7215847
290,121.8912,0.7215485
291,122.2037,0.7211102
292,122.5987,0.720972
293,122.9894,0.7210353
294,123.38,0.7211297
295,123.7025,0.7211402
296,124.0775,0.7211836
297,124.4257,0.7210965
298,124.7538,0.7209996
299,125.0662,0.7210281
300,125.3944,0.7211371
301,125.7525,0.7211154
302,126.0907,0.7211986
303,126.4969,0.7212231
304,126.8655,0.7213379
305,127.267,0.7217411
306,127.6719,0.7217211
307,128.1113,0.7217969
308,128.4394,0.7219075
309,128.83,0.7218865
310,129.1581,0.7217206
311,129.6157,0.7218759
312,129.9282,0.7216633
313,130.3344,0.7216017
314,130.6569,0.7217485
315,131.0463,0.7221758
316,131.4682,0.7221533
317,131.8276,0.7223613
318,132.2013,0.7221672
319,132.5921,0.7220159
320,132.9357,0.7219605
321,133.342,0.7222911
322,133.7838,0.7220103
323,134.1719,0.7218729
324,134.4688,0.7218788
325,134.8794,0.7217404
326,135.192,0.7217417
327,135.5826,0.7217193
328,135.9732,0.7215087
329,136.3425,0.7214243
330,136.7632,0.7213046
331,137.1582,0.7212218
332,137.6113,0.7213066
333,138.0332,0.721273
334,138.4538,0.7215009
335,138.8288,0.7215454
336,139.4044,0.7215428
337,139.8807,0.7217447
338,140.3651,0.7215186
339,140.6776,0.7218259
340,141.037,0.7218456
341,141.3651,0.7218722
342,141.6776,0.721785
343,142.0158,0.7219448
344,142.3638,0.7219255
345,142.827,0.7219135
346,143.1863,0.7221211
347,143.5301,0.7220515
348,143.9351,0.72184
349,144.2789,0.7220307
350,144.7208,0.7219866
351,145.0488,0.7219278
352,145.5021,0.7218291
353,145.9083,0.7220279
354,146.2564,0.72226
355,146.6101,0.7222939
356,147.062,0.7225003
357,147.437,0.7223563
358,147.8945,0.722045
359,148.3108,0.721866
360,148.6745,0.7220336
361,148.9714,0.7220592
362,149.2839,0.7220633
363,149.7057,0.7221025
364,150.1064,0.7221241
365,150.4389,0.7222877
366,150.8026,0.7224735
367,151.2389,0.7223972
368,151.5827,0.7224389
369,151.8952,0.7225203
370,152.3014,0.7224713
371,152.7077,0.7223205
372,153.077,0.7225208
373,153.4564,0.7224917
374,153.8301,0.7223317
375,154.1583,0.7222747
376,153.4908,0.7221013
377,153.8289,0.7220413
378,154.2508,0.7220004
379,154.7014,0.7220962
380,155.1064,0.7217286
381,155.4502,0.7219042
382,155.872,0.7220564
383,156.2314,0.721978
384,156.5752,0.721903
385,157.017,0.7219251
386,157.4389,0.7218957
387,157.9389,0.7218221
388,158.2827,0.7218167
389,158.6864,0.7217351
390,159.0814,0.7217574
391,159.4195,0.721691
392,159.7476,0.7216586
393,160.0758,0.7216897
394,160.549,0.7220057
395,160.9127,0.722101
396,161.3189,0.7220184
397,161.6783,0.7219329
398,162.0377,0.7219664
399,162.454,0.7223105
400,162.879,0.7220825
401,163.1758,0.7220335
402,163.504,0.7219365
403,163.8721,0.7220084
404,164.2358,0.7220594
405,164.6577,0.7222145
406,165.0796,0.7220559
407,165.4434,0.7216937
408,165.8484,0.7218455
409,166.239,0.7216299
410,166.5771,0.7216536
411,166.9565,0.7215189
412,167.4127,0.721384
413,167.8659,0.721397
414,168.1571,0.7213677
415,168.629,0.7214587
416,168.9259,0.721382
417,169.3264,0.7214439
418,169.6546,0.7215169
419,170.084,0.7214252
420,170.4533,0.7215936
421,170.7659,0.7215369
422,171.1765,0.7217984
423,171.6283,0.7217287
424,171.9565,0.7218566
425,172.3884,0.7220125
426,172.7409,0.722042
427,173.1259,0.7221162
428,173.474,0.7221937
429,173.9215,0.7220977
430,174.234,0.7223652
431,174.5821,0.7222839
432,174.9572,0.7220241
433,175.3634,0.7218156
434,175.7227,0.7216776
435,176.0766,0.721601
436,176.389,0.7215424
437,176.8409,0.7215447
438,177.2359,0.7215502
439,177.5684,0.72147
440,177.959,0.7214136
441,178.3753,0.721396
442,178.7346,0.7213872
443,179.1084,0.7214706
