Iteration,Time,AUC
1,12.64815,0.7766542
2,15.43008,0.785467
3,18.23063,0.7908171
4,21.02817,0.7948341
5,23.80883,0.7981506
6,26.59379,0.8011069
7,29.10759,0.8037663
8,30.88947,0.8061625
9,33.85511,0.8083734
10,36.3389,0.8102466
11,38.90077,0.8119589
12,41.47953,0.8133699
13,43.66893,0.814354
14,46.24646,0.8155758
15,48.52522,0.8163055
16,50.13958,0.817291
17,52.39834,0.8179641
18,54.57333,0.8186468
19,57.02707,0.8194728
20,58.46652,0.8200914
21,60.69836,0.8205619
22,62.83521,0.821223
23,65.42961,0.822088
24,67.05461,0.8223945
25,68.96401,0.822958
26,70.93592,0.823364
27,73.14087,0.8237971
28,75.13407,0.8243297
29,76.91963,0.8246311
30,78.06908,0.8247575
31,79.88777,0.8251289
32,80.73346,0.825537
33,83.12035,0.8259363
34,85.18469,0.8263151
35,87.516,0.8267402
36,88.71913,0.8268445
37,90.67978,0.8272444
38,92.82536,0.8276324
39,93.95354,0.8277189
40,95.75918,0.8280013
41,97.15162,0.828219
42,98.99416,0.8284379
43,100.2016,0.828643
44,102.826,0.8291901
45,105.3098,0.8295616
46,105.9223,0.8297555
47,107.1498,0.8298799
48,108.7948,0.8301123
49,110.1704,0.8302243
50,112.1792,0.8304228
51,114.5561,0.8307586
52,115.5092,0.8307961
53,117.4355,0.8309959
54,119.6236,0.8312656
55,121.7617,0.8316873
56,124.0874,0.832002
57,125.3818,0.8320764
58,127.858,0.8323501
59,129.5249,0.8325212
60,131.2637,0.8326742
61,133.0224,0.8329234
62,135.6393,0.83344
63,136.9212,0.8337296
64,138.3093,0.8338073
65,140.1393,0.833966
66,141.4918,0.8340342
67,143.1712,0.8341935
68,145.68,0.8344845
69,147.0269,0.8345586
70,149.4037,0.834837
71,151.9325,0.8350294
72,153.545,0.8351333
73,154.8069,0.8351956
74,155.915,0.8352438
75,157.1807,0.8352947
76,159.5476,0.8355482
77,161.0294,0.8356255
78,163.3226,0.8358512
79,164.8726,0.8359032
80,166.102,0.8361559
81,167.575,0.8362202
82,169.2132,0.8363307
83,171.0788,0.8364225
84,172.6032,0.8365172
85,173.8663,0.8365565
86,175.6819,0.8366574
87,178.1483,0.8368162
88,179.9795,0.8368816
89,182.1245,0.8371077
90,183.5295,0.8371614
91,185.7814,0.8373287
92,187.8883,0.837508
93,189.3264,0.8375375
94,190.2271,0.837572
95,191.6551,0.8376971
96,193.5589,0.8378581
97,194.5608,0.8379412
98,196.8596,0.8381199
99,198.2746,0.8381492
100,199.9452,0.8382074
101,201.6246,0.8383567
102,203.8821,0.8385155
103,205.5459,0.8385909
104,207.4921,0.8386825
105,209.079,0.8387927
106,210.8109,0.8388758
107,212.7915,0.8389669
108,214.7465,0.839033
109,217.0884,0.8391663
110,218.259,0.8391651
111,219.3122,0.8392792
112,220.1716,0.8393076
113,221.2284,0.8393188
114,222.4203,0.8393377
115,223.976,0.8393561
116,226.0885,0.8395566
117,228.076,0.8396357
118,229.6203,0.8396713
119,231.1647,0.839724
120,233.5604,0.8399194
121,235.1329,0.8399989
122,236.8447,0.8400344
123,238.0935,0.8400922
124,239.2317,0.8401328
125,241.1512,0.8401726
126,242.5304,0.8402153
127,244.6029,0.8403002
128,246.2473,0.8403096
129,248.2904,0.8403711
130,249.5792,0.8404133
131,251.6492,0.8405037
132,254.0874,0.8406299
133,256.0311,0.8407765
134,258.3243,0.8409414
135,260.2949,0.8410328
136,261.8292,0.8410522
137,263.108,0.8410772
138,265.5093,0.8413321
139,267.0481,0.8413792
140,268.9462,0.8415216
141,270.3824,0.8415405
142,271.8087,0.8415612
143,274.2637,0.8417403
144,275.9825,0.8418014
145,277.0437,0.8418037
146,277.5481,0.8418367
147,279.935,0.8419608
148,282.6544,0.8420959
149,284.1831,0.8421484
150,285.5625,0.8421512
151,287.0457,0.8421627
152,288.6638,0.842203
153,291.1644,0.8423694
154,293.1063,0.8424455
155,295.3851,0.8425733
156,297.2801,0.8426334
157,299.8533,0.8428172
158,302.2739,0.8429582
159,304.3226,0.8430109
160,305.9139,0.8430271
161,307.062,0.8430235
162,308.4982,0.8430516
163,310.1689,0.8431003
164,310.8552,0.8431413
165,313.087,0.8432376
166,314.1652,0.8432859
167,316.4652,0.8434561
168,318.3746,0.8435116
169,320.4055,0.8435914
170,322.0772,0.8436591
171,324.2465,0.8437202
172,325.7196,0.8437598
173,328.1196,0.843895
174,329.9852,0.8439364
175,331.6359,0.8439825
176,332.8078,0.843991
177,334.3721,0.8440065
178,336.2022,0.8440308
179,337.5872,0.8440754
180,339.9922,0.8441923
181,342.2016,0.8442193
182,344.1492,0.8442505
183,345.8104,0.8443567
184,347.7897,0.8444364
185,350.3116,0.8445388
186,352.5291,0.8446107
187,353.8135,0.844644
188,355.8054,0.844705
189,357.1266,0.8447224
190,358.3766,0.8447325
191,359.4167,0.8447511
192,361.291,0.8447915
193,363.3298,0.8448316
194,364.8117,0.8448872
195,366.9967,0.8449538
196,368.5623,0.8450144
197,370.8055,0.8450941
198,371.9224,0.845184
199,373.6254,0.8452229
200,375.1655,0.8452302
