Iteration,Time,AUC
1,6.470649,0.608196
2,6.956918,0.608197
3,7.429235,0.6082021
4,7.891928,0.6081998
5,8.345003,0.649164
6,8.848262,0.6505955
7,9.508114,0.6505973
8,10.00689,0.6505963
9,10.56813,0.661432
10,11.11691,0.6614352
11,11.64124,0.6614138
12,12.15564,0.66173
13,11.737,0.6634153
14,12.3325,0.6634037
15,12.90505,0.6638254
16,13.50067,0.6638118
17,14.14629,0.6638002
18,14.67072,0.6637884
19,15.25068,0.6637854
20,15.80197,0.6637823
21,16.36756,0.6637818
22,16.97007,0.6637835
23,17.53135,0.66384
24,18.2369,0.6637836
25,18.78693,0.6637848
26,19.40821,0.6641298
27,20.01943,0.6641299
28,19.57071,0.6641315
29,20.18628,0.6641308
30,20.8188,0.6658748
31,21.4388,0.6658864
32,22.06574,0.6658858
33,22.64818,0.669321
34,23.25509,0.6703837
35,23.79632,0.6703842
36,24.41322,0.6703811
37,25.03693,0.6724475
38,25.67946,0.672452
39,26.22072,0.6724516
40,26.81881,0.6724493
41,27.3901,0.672555
42,27.98819,0.6726011
43,28.90944,0.6730196
44,29.64446,0.6730452
45,29.33074,0.6747353
46,30.0826,0.6745837
47,30.67641,0.6746956
48,31.3657,0.6744478
49,32.00827,0.6746462
50,32.66328,0.6744964
51,33.34261,0.6759161
52,34.02203,0.675714
53,34.64696,0.6756801
54,35.2864,0.6767635
55,35.94139,0.6811087
56,36.72199,0.6809143
57,37.40824,0.6801712
58,38.16451,0.6802158
59,38.82074,0.6801436
60,39.53699,0.6801762
61,40.33448,0.6801735
62,41.0464,0.6801895
63,40.87513,0.6809577
64,41.61576,0.6810641
65,42.29637,0.6809835
66,43.03518,0.6809214
67,43.76704,0.6808889
68,44.53889,0.6837998
69,45.31639,0.6855865
70,46.08523,0.6862316
71,46.89827,0.6862008
72,47.76826,0.6861556
73,48.52144,0.6861618
74,49.33144,0.6859468
75,50.03896,0.6871639
76,49.85207,0.6871984
77,50.61392,0.6871763
78,51.47516,0.6872319
79,52.18703,0.687242
80,52.90896,0.6872417
81,53.59958,0.6872731
82,54.33148,0.6875494
83,55.16146,0.6875158
84,55.93708,0.6875304
85,56.69019,0.6877678
86,57.45333,0.6877612
87,58.29901,0.6879274
88,59.11213,0.6878873
89,59.8452,0.6879941
90,60.62395,0.6874693
91,60.47588,0.6874429
92,61.17339,0.68834
93,62.12465,0.688285
94,62.8921,0.6882856
95,63.80024,0.6882961
96,64.57895,0.6882725
97,65.3821,0.6883825
98,66.20772,0.6883464
99,67.06464,0.6891342
100,67.94148,0.6891569
101,68.71148,0.689193
102,69.53586,0.6897573
103,70.40714,0.6895111
104,70.29711,0.6897457
105,71.17843,0.6895413
106,71.99151,0.6895075
107,72.79588,0.6896817
