Iteration,Time,AUC
1,10.5775,0.7403552
2,11.84748,0.7497992
3,13.01937,0.7583083
4,14.25253,0.7652218
5,15.4913,0.770234
6,16.64192,0.7757101
7,17.78694,0.7793367
8,19.02005,0.7826141
9,20.11384,0.7861575
10,21.22195,0.7884921
11,22.40821,0.7907122
12,23.58317,0.7923011
13,24.64005,0.7936182
14,25.7651,0.7950937
15,26.7807,0.7961172
16,27.82762,0.7972418
17,29.03511,0.7985364
18,30.00822,0.799321
19,30.77386,0.7999322
20,31.72574,0.800484
21,32.67886,0.801058
22,33.79824,0.8017441
23,34.90637,0.8024513
24,36.05143,0.8032317
25,36.95197,0.8038126
26,37.81142,0.8042075
27,38.60829,0.8046458
28,39.56573,0.8052104
29,40.51893,0.8055825
30,41.37828,0.8059303
31,42.34706,0.8063888
32,42.99206,0.8065566
33,44.00208,0.8068629
34,44.97076,0.8072402
35,45.79894,0.8075316
36,46.55331,0.8076945
37,47.68834,0.8084998
38,48.71958,0.8088478
39,49.72398,0.8093794
40,50.51523,0.8095385
41,51.45269,0.8098475
42,52.19149,0.8099572
43,52.91022,0.8102178
44,52.93021,0.8107505
45,53.58086,0.8108652
46,54.64338,0.8112632
47,55.70975,0.8117654
48,56.62773,0.812072
49,57.39776,0.8122185
50,58.47027,0.8125655
51,59.09524,0.8126246
52,60.11088,0.8128801
53,61.03153,0.813149
54,61.80152,0.8133393
55,62.45215,0.8135002
56,63.56586,0.8137316
57,64.14403,0.8137945
58,64.95653,0.8140035
59,65.7378,0.8140832
60,66.76903,0.8144221
61,67.80466,0.8147953
62,68.87589,0.8151701
63,69.70405,0.8153889
64,70.6728,0.8155271
65,71.34906,0.8155854
66,72.42159,0.8158426
67,73.2897,0.8159603
68,74.01718,0.816108
69,75.06848,0.816619
70,76.00034,0.8167232
71,76.85974,0.8168528
72,77.5941,0.8169286
73,78.62088,0.8172065
74,79.46785,0.817312
75,80.09285,0.81736
76,80.99912,0.8175666
77,81.75345,0.8176907
78,82.41414,0.8177481
79,83.39726,0.8179498
80,84.29787,0.8180732
81,84.82914,0.8181069
82,85.88039,0.8183057
83,86.84915,0.8184702
84,87.59915,0.8185901
85,88.68727,0.8188872
86,89.52416,0.8190292
87,90.50852,0.8191348
88,91.57105,0.819313
89,92.48731,0.8194915
90,93.12792,0.8195928
91,94.08106,0.8198189
92,95.0229,0.8199601
93,95.57982,0.820019
94,96.3142,0.8200851
95,97.10984,0.8201449
96,97.78171,0.8201971
97,98.54729,0.8202584
98,99.20793,0.8203856
99,100.1142,0.8204794
100,100.8798,0.8205582
101,101.5205,0.8206163
102,102.2223,0.8206895
103,103.133,0.8208405
104,104.0961,0.8209902
105,105.2524,0.8211988
106,105.9699,0.8212589
107,106.6886,0.8213304
108,107.2667,0.8213705
109,108.1105,0.8215019
110,108.9118,0.8215981
111,109.7711,0.8217005
112,110.3961,0.8217285
113,110.9899,0.8217369
114,111.7811,0.8218234
115,112.558,0.8219026
