Iteration,Time,AUC
1,6.0744,0.6509892
2,6.474984,0.6509897
3,6.991268,0.6634472
4,7.43752,0.663446
5,7.873799,0.6633403
6,8.326866,0.6634237
7,8.743156,0.6633335
8,9.230649,0.6633302
9,9.733769,0.663398
10,10.28125,0.6650475
11,10.88562,0.6650482
12,11.5557,0.6650613
13,12.04314,0.6650509
14,12.59194,0.6650471
15,12.32451,0.6655377
16,12.79193,0.6720503
17,13.45318,0.6720585
18,14.07191,0.6723288
19,14.6238,0.6723287
20,15.10256,0.6756691
21,15.65003,0.6756299
22,16.22567,0.6756019
23,16.8588,0.6755973
24,17.40193,0.6756019
25,16.96067,0.6756928
26,17.54379,0.6756793
27,18.10259,0.6763398
28,18.60008,0.675691
29,19.27444,0.6753925
30,19.93444,0.6753855
31,20.46881,0.6752132
32,20.96324,0.6749341
33,21.46762,0.6746896
34,21.31006,0.6754809
35,21.87445,0.6753932
36,22.64694,0.6762026
37,23.27696,0.6797228
38,23.88821,0.680335
39,24.46387,0.6802499
40,25.06071,0.6802712
41,25.68759,0.6803043
42,26.41446,0.6805722
43,26.9445,0.6816573
44,26.59136,0.6818422
45,27.27512,0.6816325
46,27.9664,0.6826818
47,28.60888,0.682668
48,29.30823,0.6824841
49,29.97643,0.6828493
50,30.65453,0.6824603
51,31.26575,0.6831939
52,31.85271,0.6830308
53,32.52768,0.6861419
54,32.35577,0.6865228
55,33.03828,0.6865924
56,33.63513,0.687349
57,34.3833,0.6879839
58,35.09267,0.6881787
59,35.77513,0.6888147
60,36.51331,0.6890293
61,37.18577,0.6890545
62,37.78832,0.6890631
63,37.40082,0.6890641
64,38.07331,0.688754
65,38.74706,0.6888565
66,39.47645,0.6894346
67,40.21019,0.6897927
68,41.10516,0.6897881
69,41.75896,0.6898228
70,41.64958,0.6898856
71,42.32335,0.6898786
72,43.01271,0.6897985
73,43.88893,0.6898145
74,44.64832,0.6898257
75,45.37332,0.6898361
76,46.07711,0.6898028
77,46.94895,0.6900855
78,46.6827,0.6900049
79,47.41898,0.68993
80,48.25834,0.6901468
81,48.94652,0.6897706
82,49.71278,0.6894641
83,50.4065,0.689151
84,51.10022,0.6890677
85,50.83836,0.6891069
86,51.54213,0.6892375
87,52.26274,0.6895656
88,52.99216,0.689768
89,53.70275,0.6897166
90,54.35782,0.6898226
91,54.99712,0.6899889
92,55.69656,0.6908316
93,56.43594,0.6908642
94,57.21089,0.6911464
95,57.94717,0.6911624
96,58.63214,0.6911134
97,58.35842,0.6915049
98,59.05902,0.6914133
99,59.87528,0.6918575
100,60.62156,0.6920454
101,61.35652,0.6922002
102,62.24411,0.692403
103,63.21162,0.6924362
104,62.99217,0.692656
105,63.73285,0.6928858
106,64.49906,0.6931225
107,65.44656,0.6933057
108,66.13722,0.6933353
109,66.89783,0.6932879
110,67.66845,0.6937745
111,68.35351,0.6938683
112,68.1341,0.6940674
113,68.85039,0.6940553
114,69.49972,0.6940591
115,70.31158,0.6944747
116,71.07346,0.694417
117,71.8841,0.6959028
118,72.68046,0.6961773
119,73.64784,0.6959188
120,73.32723,0.6960051
121,74.19788,0.6960191
122,75.00973,0.6960661
123,75.85037,0.6960934
124,76.62537,0.6962106
125,77.48162,0.6962606
126,77.30663,0.6962787
127,78.20226,0.7022632
128,79.04102,0.7025713
129,80.02418,0.7030906
130,80.93293,0.7031123
131,81.10417,0.7038937
132,82.07166,0.7039681
133,82.87352,0.7042088
134,83.82477,0.7041898
135,83.7592,0.7042281
136,84.66356,0.7042298
137,85.53796,0.704307
138,86.44921,0.7044213
139,87.30671,0.7047171
140,88.26233,0.7048017
141,88.21669,0.7048301
142,89.11795,0.7049384
143,90.47672,0.7051774
144,91.50927,0.705257
145,92.29358,0.7064869
146,92.4305,0.7062965
147,93.39734,0.7071186
148,94.34433,0.7075021
149,95.42049,0.7092586
150,96.4455,0.7099606
151,97.41613,0.7122077
152,97.38299,0.7124662
153,98.45181,0.7129
154,99.35989,0.7135602
155,100.633,0.7138713
156,101.6793,0.7141804
157,102.7768,0.713834
158,102.9005,0.7136906
159,104.3075,0.7137666
160,105.358,0.7138976
161,106.4612,0.7144898
162,106.7599,0.7140916
163,107.8818,0.7144054
164,108.9312,0.7144221
165,109.9931,0.7143661
166,111.1031,0.7144176
167,111.4293,0.7144716
168,112.4956,0.7144352
169,113.7187,0.7145253
170,114.9131,0.7142496
171,115.1662,0.7139858
172,116.3587,0.7143539
173,117.4168,0.7140597
174,118.3737,0.7138042
175,118.67,0.7140789
176,119.7019,0.7140147
177,120.6631,0.7139405
178,121.7006,0.7141352
179,122.8819,0.7140245
180,123.84,0.7138203
181,124.0888,0.7140803
182,125.245,0.7137457
183,126.3256,0.7135924
184,127.45,0.7137342
185,127.6682,0.713683
186,128.8244,0.7138526
187,130.0088,0.7139322
188,131.0413,0.713555
189,131.2957,0.714188
190,132.5544,0.7145233
191,133.5875,0.7150379
192,134.8444,0.7151582
193,135.0619,0.7156177
194,136.2121,0.7157896
195,137.3108,0.7158672
196,138.4226,0.7160563
197,139.6182,0.7160967
198,139.9227,0.7158635
199,141.1726,0.7160025
200,142.5083,0.71608
201,143.8383,0.7164088
202,143.9958,0.7166458
203,145.2101,0.7166566
204,146.2795,0.7162857
205,147.4614,0.7163639
206,147.6864,0.7161843
207,148.6702,0.7158434
208,149.7296,0.7161623
209,150.8983,0.715965
210,151.247,0.7160304
211,152.5427,0.7159086
212,153.6021,0.7158807
213,154.8221,0.7158496
214,155.1971,0.7157104
215,156.3902,0.7159888
216,157.7283,0.7164524
217,158.9014,0.7163853
218,159.1533,0.7160047
219,160.389,0.7165101
220,161.5702,0.7167165
221,162.7933,0.716808
222,164.0559,0.716542
223,164.3247,0.7163551
224,165.7771,0.7163585
225,166.8052,0.7164251
226,167.0321,0.7162625
227,168.1328,0.7164785
228,169.4053,0.7164476
229,170.4034,0.716309
230,171.464,0.7164486
231,172.6641,0.7163741
232,172.7472,0.7167523
233,173.9603,0.7170175
234,174.8884,0.7168454
235,176.106,0.7168852
236,177.1022,0.7173192
237,177.1885,0.7176275
238,178.484,0.7173676
239,179.6816,0.7176975
240,180.9059,0.7179018
241,181.8397,0.7178438
242,181.791,0.717857
243,182.8285,0.718042
244,184.1572,0.7178465
245,185.2891,0.7180682
246,186.3847,0.7182601
247,187.3272,0.7183964
248,187.3703,0.7183776
249,188.4541,0.7188119
250,189.4379,0.7190306
251,190.601,0.7189375
252,191.626,0.7191177
253,192.716,0.719344
254,192.7042,0.7194215
255,193.8849,0.7199872
256,195.2573,0.7202975
257,196.3891,0.7201283
258,196.5441,0.7202258
259,197.5892,0.7209091
260,198.9654,0.7210607
261,199.173,0.7210783
262,200.3673,0.7210342
263,201.3742,0.7212944
264,202.5917,0.7212087
265,203.4317,0.7212491
266,204.4498,0.7212876
267,204.3255,0.7214501
268,205.5311,0.7215144
269,206.7286,0.7214981
270,207.7599,0.7214161
271,208.6967,0.7213754
272,208.7005,0.7215049
273,209.6061,0.7214533
274,210.5143,0.721336
275,211.2805,0.7213975
276,212.1036,0.7214993
277,213.3086,0.7219043
278,213.3743,0.7219274
279,214.3723,0.7219723
280,215.3542,0.7220869
281,216.368,0.7220553
282,216.388,0.7220731
283,217.3668,0.7221034
284,218.3874,0.7220552
285,219.2506,0.7218767
286,219.9524,0.7218628
287,220.6574,0.7217713
288,221.4137,0.7215556
289,221.3224,0.7214449
290,222.2824,0.721555
291,223.1524,0.7215504
292,224.0443,0.7214531
293,224.9931,0.7213414
294,225.7762,0.7212254
295,225.5793,0.7213383
296,226.5794,0.7213776
297,227.4324,0.7214641
298,228.4688,0.7216937
299,229.3869,0.721623
300,230.2625,0.7215329
301,231.1849,0.7214343
302,232.0562,0.7215632
303,231.9919,0.7215648
304,232.9956,0.7216593
305,233.8556,0.7219145
306,234.9469,0.7221884
307,235.9194,0.7226445
308,235.8437,0.7229478
309,236.8094,0.7231636
310,237.7181,0.7233389
311,238.7319,0.7233672
312,239.5619,0.7235998
313,240.5088,0.7239504
314,240.2144,0.7239731
315,241.0875,0.7238966
316,242.0713,0.7240789
317,242.7581,0.7242597
318,243.6725,0.7244391
319,244.4957,0.7244547
320,245.3132,0.7244388
321,246.0863,0.7243891
322,246.1372,0.7243919
323,246.9345,0.7249393
324,247.7975,0.7248828
325,248.5257,0.7250595
326,249.3232,0.7249158
327,249.0938,0.7249284
328,249.762,0.7248333
329,250.4682,0.7246638
330,251.017,0.7246062
331,251.9532,0.7244642
332,252.4932,0.7244092
333,253.1345,0.72453
334,253.7469,0.7247286
335,254.3994,0.7245079
336,255.1232,0.724566
337,255.5451,0.724683
338,255.1351,0.7246019
339,255.6194,0.724522
340,256.3445,0.7245379
341,256.7339,0.7244436
342,257.4995,0.7243035
343,258.0908,0.724217
344,258.4846,0.7243327
345,259.3445,0.7245564
346,259.7651,0.7246981
347,260.4777,0.724562
348,261.4145,0.7245553
349,261.117,0.7247013
350,261.687,0.7246656
351,262.152,0.7247658
352,262.8101,0.7245073
353,263.2107,0.7244889
354,263.6258,0.7245378
355,264.1545,0.7248145
356,264.8414,0.7248214
357,265.5139,0.7249004
358,266.0101,0.7250503
359,266.5433,0.7249526
360,266.267,0.7250038
361,266.8215,0.724926
362,267.4158,0.7248458
363,268.1027,0.7248521
364,268.7595,0.724622
365,269.1533,0.7246714
366,269.8233,0.7247347
367,270.2014,0.7247117
368,270.5896,0.7246716
369,271.4358,0.7248277
370,271.0445,0.7246825
371,271.4671,0.7246873
372,271.8864,0.724539
373,272.5389,0.7244745
374,273.0778,0.7243931
375,273.6577,0.7243794
376,274.1096,0.7243771
377,274.5321,0.7244491
378,274.9939,0.7245182
379,275.5239,0.7243826
380,275.7739,0.724354
381,276.3714,0.7240974
382,276.7608,0.7240803
383,277.2596,0.7240033
384,276.7971,0.7238284
385,277.6977,0.7238258
386,278.1383,0.7237832
387,278.4921,0.7238428
388,278.8246,0.7238001
389,279.3265,0.7238312
390,280.1246,0.723839
391,280.6334,0.7237874
392,281.1527,0.723685
393,281.5946,0.7236289
394,282.044,0.7236663
395,281.5247,0.7236368
396,281.9609,0.7236458
397,282.2309,0.7236424
398,282.8228,0.7236566
399,283.2759,0.7236994
400,283.8984,0.7236468
