Iteration,Time,AUC
1,171.9557,0.5007214
2,183.9815,0.5006027
3,195.6547,0.5009318
4,206.5172,0.5023489
5,217.4804,0.5035102
6,229.2436,0.5050033
7,240.3554,0.5073791
8,253.3555,0.5074132
9,264.7768,0.5077988
10,276.2044,0.5091031
11,288.7169,0.5102588
12,300.3732,0.5097322
13,311.6214,0.5111304
14,322.9946,0.5123085
15,333.6728,0.5132499
16,344.0953,0.5142146
17,356.4229,0.5144545
18,369.0461,0.5160209
19,379.8744,0.5166808
20,392.353,0.5176561
21,402.5968,0.5189433
22,414.0338,0.5198669
23,425.2476,0.5212891
24,436.0301,0.5222229
25,447.6427,0.5232312
26,460.2046,0.5240257
27,470.9809,0.5272756
28,482.8572,0.5271563
29,493.386,0.5280084
30,505.2836,0.5280815
31,515.8917,0.5305415
32,528.1399,0.5308988
33,539.4074,0.5304305
34,550.9556,0.5323105
35,563.4995,0.5321423
36,573.907,0.5335166
37,585.1746,0.5338028
38,596.6721,0.5338739
39,608.8259,0.5351992
40,619.4691,0.5355062
41,630.1572,0.5356713
42,641.9629,0.5357038
43,653.828,0.5356789
44,665.3562,0.5358125
45,676.5137,0.5371258
46,688.0631,0.5375634
47,698.9357,0.5380217
48,709.9245,0.538652
49,721.1089,0.540185
50,732.4571,0.5411326
51,744.4327,0.5419694
52,756.5291,0.5419155
53,768.2004,0.5435189
54,779.7629,0.544135
55,792.2511,0.5444194
56,804.6411,0.5450183
57,815.8943,0.5468891
58,827.8125,0.5486307
59,838.2513,0.5492901
60,849.3395,0.5501039
61,861.6727,0.5501532
62,873.1259,0.550869
63,884.6747,0.5542877
64,895.9429,0.554516
65,906.4066,0.5546998
66,918.0811,0.5549217
67,929.3298,0.555157
68,939.4668,0.5554836
69,950.8956,0.5559111
70,962.9338,0.5563305
71,973.3925,0.5577005
72,984.7507,0.5580892
73,996.3289,0.5582313
74,1007.407,0.5583005
75,1018.361,0.5596254
76,1030.41,0.560227
77,1041.439,0.560813
78,1053.467,0.561213
79,1064.334,0.5625233
80,1076.123,0.56257
81,1086.747,0.5630109
82,1098.126,0.5629197
83,1109.263,0.5693009
84,1121.423,0.5693934
85,1133.315,0.5702484
86,1144.737,0.570431
87,1156.485,0.570261
