Iteration,Time,AUC
1,168.9218,0.5007907
2,181.0286,0.500729
3,191.1862,0.5009249
4,200.6681,0.502239
5,210.4231,0.5030124
6,220.2375,0.5033136
7,229.2682,0.5051998
8,239.4019,0.5061291
9,248.2626,0.5069069
10,257.9833,0.5068752
11,267.7951,0.5078018
12,277.3952,0.5088494
13,286.074,0.5093034
14,295.5021,0.5101729
15,305.6284,0.5121424
16,315.139,0.5134625
17,325.1678,0.5142395
18,335.6591,0.5152587
19,345.4716,0.5160835
20,356.1054,0.5170555
21,365.486,0.5173527
22,375.8785,0.5183211
23,386.8411,0.519846
24,395.3624,0.5205602
25,405.8562,0.5211497
26,414.7225,0.5248814
27,424.5431,0.525563
28,435.2787,0.5273086
29,444.4719,0.5274615
30,454.7051,0.5280698
31,465.2813,0.5280963
32,475.6526,0.5285076
33,484.5176,0.5316454
34,493.752,0.5316536
35,504.1527,0.5326976
36,512.9808,0.5325656
37,522.2846,0.5326738
38,532.3796,0.532909
39,541.424,0.5331307
40,551.7028,0.5333317
41,560.5122,0.5344041
42,569.1934,0.5345903
43,579.456,0.5351347
44,589.5179,0.5353921
45,599.3492,0.5359768
46,608.1536,0.5356348
47,617.363,0.5380298
48,626.5024,0.5397977
49,637.0624,0.5404578
50,646.2687,0.5413541
51,654.6088,0.541708
52,664.3451,0.5419354
53,674.1144,0.5428852
54,683.972,0.5434084
55,693.1913,0.5435149
56,702.6001,0.5440656
57,713.217,0.544293
58,722.6596,0.5447308
59,731.3789,0.5450213
60,740.454,0.545291
61,750.5303,0.5453866
62,760.2503,0.5458609
63,769.7641,0.5475135
64,779.4385,0.547587
65,787.8504,0.5488223
66,797.736,0.5506598
67,806.6767,0.5517754
68,816.6117,0.5520142
69,826.0824,0.5532284
70,834.7811,0.5538547
71,843.6899,0.5555871
72,853.8599,0.5552575
73,862.7062,0.5560638
74,872.9225,0.5565929
75,883.1313,0.5568742
76,892.9526,0.5571585
77,901.9995,0.5574589
78,912.4239,0.5572971
79,922.4195,0.5575628
80,932.287,0.5575374
81,943.2171,0.5580215
82,952.3796,0.5591333
83,961.3021,0.5595976
84,970.7053,0.5598137
85,979.9728,0.5603323
86,988.5228,0.5602933
87,998.1404,0.5602831
88,1008.632,0.5600535
89,1018.657,0.560391
90,1028.612,0.5607264
91,1038.003,0.5611226
92,1047.11,0.5613165
93,1055.6,0.5619045
94,1065.552,0.5674219
95,1073.898,0.5674717
96,1083.702,0.5682476
97,1092.796,0.5684326
98,1102.799,0.5688905
99,1111.663,0.5696254
100,1120.159,0.5698654
101,1130.74,0.5697465
102,1141.006,0.5711058
103,1151.47,0.571328
104,1160.533,0.5715058
105,1170.469,0.5716426
106,1180.641,0.5717248
107,1191.13,0.5720147
108,1200.49,0.572558
109,1210.186,0.5729519
110,1220.515,0.5732178
111,1230.176,0.5734414
112,1240.037,0.5736215
113,1250.217,0.5737744
114,1259.551,0.573797
115,1267.829,0.574264
116,1276.923,0.5746674
117,1286.492,0.5749985
118,1296.577,0.5756182
119,1305.251,0.5771777
120,1313.992,0.5776484
121,1325.001,0.5777577
122,1334.445,0.5777378
123,1344.613,0.5777261
124,1354.442,0.577678
125,1363.609,0.5781334
126,1373.689,0.578313
127,1383.992,0.5785215
128,1393.249,0.5787637
129,1403.128,0.5789719
130,1412.506,0.5791453
131,1422.407,0.5793275
132,1431.178,0.5792563
133,1440.414,0.5791041
134,1450.223,0.5796737
135,1460.332,0.5798335
136,1469.382,0.5801077
137,1478.671,0.5803909
138,1488.164,0.5806049
139,1498.865,0.5815135
140,1508.271,0.5814161
141,1517.786,0.5817592
142,1526.844,0.5825404
143,1536.267,0.5826947
144,1547.178,0.5828952
145,1556.222,0.5832142
146,1564.728,0.5833026
147,1574.956,0.5835839
148,1584.989,0.5835896
149,1595.33,0.5840548
150,1605.25,0.5841452
151,1615.097,0.5844192
152,1624.228,0.5865737
153,1633.048,0.5868789
154,1642.775,0.5871812
155,1651.924,0.5874889
156,1661.161,0.5875939
157,1671.064,0.5880027
158,1680.755,0.5881755
159,1689.975,0.5883467
160,1699.52,0.5886898
161,1708.866,0.588675
162,1718.445,0.5891231
163,1728.69,0.5892412
164,1738.054,0.5893067
165,1746.737,0.5895204
166,1755.178,0.5895529
167,1765.822,0.5897275
168,1773.845,0.5895929
169,1783.099,0.5898434
170,1792.587,0.5899696
171,1802.739,0.5901027
172,1811.549,0.5903856
173,1820.431,0.5904387
174,1831.522,0.5907683
175,1841.002,0.5907979
176,1850.204,0.5910628
177,1860.414,0.591559
178,1870.038,0.5917118
179,1879.178,0.5920715
180,1888.978,0.5923142
181,1899.721,0.5925378
182,1908.205,0.5929203
183,1917.289,0.5930098
184,1926.885,0.5932455
185,1936.145,0.5933764
186,1946.552,0.5934909
187,1956.478,0.5936223
188,1965.333,0.5939368
189,1974.067,0.5938751
190,1983.83,0.5943418
191,1993.067,0.594449
192,2002.917,0.5953439
193,2013.131,0.5953338
194,2022.586,0.5953017
195,2032.101,0.5955646
196,2042.553,0.5957932
197,2051.849,0.5958748
198,2061.743,0.5961476
199,2071.413,0.5962203
200,2080.991,0.5965145
201,2089.964,0.5967126
202,2099.331,0.5968261
203,2107.666,0.5966821
204,2116.149,0.5969511
205,2124.477,0.5971878
206,2134.647,0.597125
207,2144.214,0.5974339
208,2153.518,0.5973828
209,2162.771,0.5975567
210,2172.318,0.5976725
211,2183.349,0.5974122
212,2192.003,0.5975328
213,2201.775,0.5975817
214,2211.758,0.5977263
215,2219.925,0.5979794
216,2228.761,0.598399
217,2238.722,0.5989079
218,2248.663,0.5988714
219,2259.268,0.5990834
220,2268.991,0.5992321
221,2279.104,0.599495
222,2288.975,0.5997467
223,2298.9,0.5998776
224,2309.681,0.5999422
225,2319.103,0.6001329
226,2327.598,0.6002099
227,2338.91,0.6004046
228,2348.272,0.6004038
229,2357.352,0.600423
