Iteration,Time,AUC
1,171.8758,0.501097
2,181.594,0.5027208
3,191.2439,0.5029223
4,200.0634,0.5016994
5,209.4391,0.5022467
6,219.1935,0.503359
7,229.5679,0.5053017
8,238.2098,0.5062632
9,246.9111,0.5059493
10,257.0011,0.5067169
11,266.3912,0.5092516
12,275.6006,0.5111448
13,284.8801,0.5127827
14,295.2856,0.5134502
15,303.6301,0.5154589
16,314.6957,0.516182
17,324.7065,0.5173162
18,334.8153,0.5171222
19,343.7571,0.518556
20,352.3972,0.5200341
21,362.5022,0.5214267
22,372.8673,0.5230792
23,381.7067,0.523653
24,390.9717,0.5241108
25,400.3218,0.5247471
26,409.6512,0.5247149
27,420.7287,0.5263642
28,430.4625,0.5263773
29,440.1469,0.5279876
30,449.7595,0.5278413
31,460.5557,0.5299697
32,469.867,0.5315042
33,478.8921,0.5325218
34,487.9559,0.5327704
35,496.5353,0.5329198
36,507.0503,0.5365474
37,515.9248,0.5375761
38,525.9723,0.5375822
39,535.7555,0.5378896
40,545.4255,0.5382633
41,555.1918,0.5384933
42,564.2768,0.5390546
43,574.4413,0.5394976
44,584.0513,0.5405289
45,592.9463,0.5406744
46,601.9313,0.540947
47,611.3958,0.5408709
48,621.4627,0.5410762
49,630.1602,0.5418828
50,639.7396,0.543529
51,648.8147,0.5448715
52,658.7853,0.5464001
53,668.4398,0.5468906
54,678.2536,0.5467924
55,687.208,0.5468193
56,698.1136,0.5473991
57,707.4324,0.5496187
58,716.2893,0.5497335
59,726.1606,0.5498144
60,735.1044,0.5502912
61,744.5988,0.5505738
62,753.1489,0.5509426
63,761.7689,0.5510613
64,771.8039,0.5510514
65,781.2615,0.5516769
66,790.8703,0.5524179
67,800.0116,0.5528069
68,809.0823,0.5530949
69,818.416,0.5533669
70,827.651,0.5533973
71,836.6161,0.5536391
72,847.0723,0.5540149
73,856.6674,0.5542051
74,865.5037,0.5546796
75,873.6781,0.5551928
76,883.3013,0.5552296
77,892.7245,0.5562272
78,902.3032,0.5564291
79,911.0876,0.5565981
80,920.007,0.5568598
81,929.8647,0.5568971
82,939.944,0.5582494
83,948.9597,0.5638068
84,958.4147,0.5638659
85,967.8235,0.5641884
86,976.5685,0.564451
87,985.418,0.5649156
88,994.6186,0.5650461
89,1003.522,0.5652724
90,1012.418,0.5652534
91,1022.098,0.5657085
92,1030.273,0.5657648
93,1040.898,0.5665508
94,1050.008,0.5676352
95,1059.068,0.5680557
96,1068.943,0.568197
97,1078.354,0.5684534
98,1088.316,0.5690813
99,1097.397,0.5691806
100,1107.482,0.5691831
101,1116.842,0.5695617
102,1126.6,0.5703599
103,1135.904,0.5703842
104,1144.413,0.571015
105,1153.135,0.5714554
106,1162.231,0.5717521
107,1170.699,0.5720456
108,1180.388,0.5723212
109,1189.727,0.5726689
110,1199.366,0.573781
111,1208.731,0.5740091
112,1217.959,0.5747601
113,1227.041,0.5760405
114,1236.602,0.5762001
115,1245.068,0.576384
116,1253.792,0.5775292
117,1263.467,0.5778524
118,1273.092,0.5782508
119,1282.992,0.5786522
120,1292.584,0.5786131
121,1301.967,0.5794681
122,1311.507,0.5794989
123,1320.789,0.5797201
124,1330.074,0.580109
125,1338.833,0.5803226
126,1347.793,0.580701
127,1358.383,0.5805635
128,1367.325,0.5809159
129,1376.851,0.5816653
130,1386.186,0.5832608
131,1395.575,0.5832341
132,1405.509,0.583579
133,1413.616,0.5840402
134,1423.012,0.5842037
135,1431.552,0.5847107
136,1440.599,0.584968
137,1450.59,0.5851073
138,1459.874,0.5850504
139,1467.964,0.5852706
140,1477.61,0.5851556
141,1486.932,0.585357
142,1495.873,0.5854408
143,1505.294,0.5857132
144,1513.874,0.586031
145,1523.263,0.5860622
146,1531.68,0.5861978
147,1541.497,0.5863894
148,1550.638,0.5866408
149,1559.87,0.5877293
150,1569.46,0.5881044
151,1578.483,0.5880439
152,1587.087,0.5884777
153,1595.639,0.5887867
154,1606.307,0.589205
155,1615.402,0.5895453
156,1623.696,0.5897504
157,1632.651,0.5899925
158,1641.445,0.5898935
159,1650.703,0.5899951
160,1660.18,0.590276
161,1668.999,0.5909813
162,1677.274,0.59128
163,1687.216,0.5913506
164,1696.525,0.5914898
165,1705.243,0.5916226
166,1714.228,0.5920431
167,1723.187,0.592556
168,1733.012,0.5927368
169,1742.616,0.5930518
170,1751.11,0.5935513
171,1760.06,0.5938951
172,1768.873,0.5938848
173,1778.373,0.5945235
174,1787.701,0.5955702
175,1797.311,0.5958603
176,1806.188,0.5958064
177,1815.953,0.5957456
178,1824.887,0.5959021
179,1834.98,0.5960436
180,1843.543,0.596277
181,1851.525,0.5966277
182,1860.188,0.5968525
183,1869.985,0.5972162
184,1878.29,0.5975208
185,1887.59,0.5975987
186,1895.789,0.5976468
187,1905.718,0.5979109
188,1914.887,0.597903
189,1924.126,0.5982845
190,1933.827,0.5986233
191,1943.526,0.5986558
192,1950.776,0.5986514
193,1959.914,0.5987464
194,1968.976,0.5986815
195,1977.251,0.5987382
196,1986.618,0.5989352
197,1996.515,0.598797
198,2005.713,0.5987633
199,2014.403,0.5989626
200,2023.39,0.5992669
201,2032.918,0.5994813
202,2042.922,0.59975
203,2050.327,0.5997891
204,2058.244,0.5999072
205,2067.859,0.6001018
206,2077.265,0.6002026
207,2087.059,0.6003963
208,2096.564,0.6009143
209,2104.899,0.6008474
210,2113.657,0.6009122
211,2122.075,0.6008182
212,2131.354,0.6009555
213,2141.295,0.6010338
214,2151.093,0.6012313
215,2160.346,0.6015076
216,2168.987,0.6017674
217,2177.011,0.6018613
218,2185.315,0.6019702
219,2193.587,0.6020229
220,2201.108,0.6021669
221,2209.839,0.602243
222,2218.861,0.6020746
223,2228.514,0.6020835
224,2237.244,0.6022105
225,2245.861,0.602279
226,2255.001,0.6024884
227,2263.893,0.6027427
228,2273.806,0.6046057
229,2282.541,0.6047154
230,2291.665,0.6053808
231,2300.588,0.6056592
232,2308.763,0.6056688
233,2316.658,0.6061319
234,2326.502,0.606418
235,2334.544,0.606611
236,2344.063,0.6068728
237,2351.809,0.6067733
238,2361.407,0.6068455
239,2370.418,0.6069354
240,2378.814,0.6068669
