Iteration,Time,AUC
1,15.31068,0.6058132
2,27.23258,0.6082254
3,39.23263,0.6090817
4,51.2952,0.6090544
5,63.22153,0.6090495
6,75.22157,0.6090279
7,87.25286,0.609028
8,99.51854,0.6090338
9,111.4817,0.6104627
10,123.5443,0.6104307
11,135.4193,0.6104286
12,147.2944,0.6104314
13,159.3257,0.610441
14,171.3458,0.6104509
15,183.3914,0.6104494
16,195.3802,0.6104452
17,207.3491,0.61017
18,219.3023,0.6106519
19,231.2085,0.6106286
20,243.2242,0.6106234
21,255.2555,0.6106097
22,267.2343,0.652131
23,279.2031,0.6521877
24,291.1295,0.6534462
25,303.0826,0.6521868
26,314.9833,0.6521947
27,327.124,0.6523725
28,339.0928,0.6535568
29,351.1129,0.6535551
30,363.0973,0.6535175
31,375.0661,0.6634265
32,387.1287,0.6636765
33,399.2317,0.6636775
34,411.2895,0.6636823
35,423.3207,0.6636791
36,435.2427,0.6636804
37,447.3196,0.6636301
38,459.2872,0.6635708
39,471.3029,0.6636269
40,483.3598,0.6674599
41,495.2818,0.6672223
42,507.2505,0.6779501
43,519.2975,0.6782684
44,531.3132,0.6766341
45,543.2551,0.6806932
46,555.2539,0.6806777
47,567.2584,0.6823195
48,579.2272,0.6826484
49,591.1435,0.6826954
50,603.1792,0.682442
51,615.1893,0.6810224
52,627.2049,0.6813627
53,639.2563,0.6813593
54,651.2563,0.6808079
55,663.2095,0.6815087
56,675.1314,0.6812551
57,687.1002,0.6827675
58,699.1628,0.6827942
59,711.1316,0.683766
60,723.0691,0.6837858
61,735.0693,0.683801
62,747.2064,0.6851944
63,759.1575,0.6856123
64,771.1576,0.6893397
65,783.1576,0.6895235
66,795.1933,0.6901143
67,807.3496,0.6904797
68,819.3028,0.6905637
69,831.3541,0.6918107
70,843.4479,0.6915383
71,855.5886,0.6910305
72,867.5105,0.6917545
73,879.4893,0.6922286
74,891.4894,0.693263
75,903.4313,0.6937024
76,915.4314,0.6940238
77,927.5508,0.6937416
78,939.649,0.6940189
79,951.6491,0.695275
80,963.6179,0.6951637
81,975.5711,0.6949194
82,987.6336,0.6960811
83,999.7587,0.6960819
84,1011.847,0.6959235
85,1023.956,0.6972184
86,1036.111,0.6974037
87,1048.158,0.6975175
88,1060.158,0.6979906
89,1072.257,0.6975081
90,1084.303,0.697654
91,1096.35,0.6979352
92,1108.382,0.6980997
93,1120.476,0.6974487
94,1132.46,0.6970033
95,1144.506,0.6967541
96,1156.615,0.6965209
97,1168.678,0.6981812
98,1180.698,0.6977426
99,1192.713,0.697731
100,1204.698,0.6971275
101,1216.823,0.6987914
102,1228.87,0.699724
103,1240.948,0.6990898
104,1253.151,0.699021
105,1265.354,0.7022224
106,1277.489,0.7043737
107,1289.599,0.7040151
108,1301.599,0.7039867
109,1313.74,0.7037102
110,1325.802,0.7036517
111,1337.802,0.7037406
112,1349.869,0.7037826
113,1361.942,0.704379
114,1373.895,0.704697
115,1386.082,0.7050616
116,1398.118,0.7067895
117,1410.243,0.7070279
118,1422.259,0.7066285
119,1434.431,0.7066037
120,1446.462,0.7072649
121,1458.556,0.7066669
122,1470.572,0.7065141
123,1481.607,0.7056755
124,1493.701,0.7066789
125,1505.92,0.7061742
126,1518.014,0.7069144
127,1530.029,0.70743
128,1542.154,0.7066405
129,1554.186,0.7072275
130,1566.169,0.7073659
131,1578.185,0.7077247
132,1590.195,0.7082702
133,1602.21,0.7085683
134,1614.21,0.7086982
135,1626.211,0.7080929
136,1638.195,0.7085573
137,1650.148,0.7087966
138,1662.164,0.7090628
139,1674.179,0.7096255
140,1686.211,0.7094319
141,1698.512,0.7101068
142,1710.543,0.7107295
143,1722.606,0.7104736
144,1734.669,0.7104256
145,1746.654,0.7104195
146,1758.726,0.7107133
147,1770.741,0.7107126
148,1782.793,0.7101015
149,1794.902,0.7105786
150,1806.98,0.7102685
151,1818.965,0.7099969
152,1831.012,0.7100769
153,1843.168,0.7101035
154,1855.324,0.7101339
155,1867.465,0.7102027
156,1879.527,0.709918
157,1891.606,0.7098997
158,1903.621,0.7104948
159,1915.668,0.710317
160,1927.731,0.7105376
161,1939.84,0.7104566
162,1952.012,0.7109331
163,1963.981,0.7108724
164,1975.991,0.7110588
165,1987.964,0.711607
166,1999.996,0.7125777
167,2011.933,0.7123111
168,2024.203,0.7125613
169,2036.297,0.7126016
170,2048.416,0.7128782
171,2060.307,0.7133456
172,2072.37,0.7135052
173,2084.354,0.7138135
174,2096.37,0.7139193
175,2108.448,0.7137632
176,2120.432,0.7143743
177,2132.526,0.7144714
178,2144.62,0.7144175
179,2156.604,0.7143597
180,2168.812,0.7148248
181,2180.744,0.7148309
182,2192.806,0.7154286
183,2204.838,0.7152989
184,2216.899,0.7154068
185,2228.852,0.7154257
186,2240.993,0.7154258
187,2252.93,0.7152622
188,2264.908,0.7156069
189,2276.934,0.715782
190,2288.981,0.715895
191,2300.996,0.7161
192,2312.996,0.7159788
193,2325.043,0.7164095
194,2337.001,0.7166962
195,2349.199,0.7169311
196,2361.152,0.7168574
197,2373.203,0.7170632
198,2385.203,0.7168356
199,2397.25,0.7171278
200,2409.141,0.7170996
201,2421.026,0.716836
202,2433.104,0.7169299
203,2445.151,0.7167507
204,2457.166,0.7163067
205,2469.26,0.7161102
206,2481.198,0.7160472
207,2493.245,0.7159939
208,2505.249,0.7159325
209,2517.327,0.7161311
210,2529.359,0.7160726
211,2541.484,0.7162131
212,2553.5,0.7161122
213,2565.5,0.716152
214,2577.484,0.7163882
215,2589.468,0.7162889
216,2601.5,0.7163788
217,2613.609,0.7165374
218,2625.656,0.7167883
219,2637.75,0.7173629
220,2649.729,0.717499
221,2661.713,0.7174914
222,2673.713,0.7174948
223,2685.718,0.7174144
224,2697.812,0.7178848
225,2709.843,0.717732
226,2721.734,0.717814
227,2733.707,0.7179524
228,2745.691,0.7179545
229,2757.738,0.7177096
230,2769.863,0.7178381
231,2781.956,0.7178066
232,2794.014,0.7182274
233,2805.935,0.7183702
234,2817.877,0.7186011
235,2829.892,0.7190924
236,2841.877,0.718933
237,2853.971,0.7194617
238,2865.903,0.7194241
239,2877.938,0.7194898
240,2889.938,0.7190727
241,2901.938,0.7188317
242,2914.001,0.7188916
243,2926.001,0.7188778
244,2937.99,0.7186902
245,2949.974,0.7187187
246,2961.953,0.7185605
247,2973.973,0.7188574
248,2985.926,0.7189544
249,2997.968,0.7188324
250,3009.936,0.7194729
251,3021.89,0.7194552
252,3033.983,0.7196637
253,3045.983,0.7199861
254,3057.984,0.7200823
255,3070.015,0.7199582
256,3082.031,0.7195413
257,3094.113,0.719366
258,3106.207,0.7191945
259,3118.176,0.7191222
260,3130.405,0.7197062
261,3142.452,0.7195921
262,3154.55,0.7195124
263,3166.518,0.719555
264,3178.519,0.7198583
265,3190.497,0.7196002
266,3202.564,0.7194473
267,3214.596,0.7191001
268,3226.58,0.7188649
269,3238.783,0.7186065
270,3250.799,0.7190268
271,3262.772,0.7188923
272,3274.757,0.7188794
273,3286.882,0.7189823
274,3298.85,0.7188216
275,3310.788,0.7185342
276,3322.767,0.7188045
277,3334.849,0.7188563
278,3346.974,0.7186675
279,3358.969,0.7188951
280,3370.953,0.718976
281,3382.911,0.7188698
282,3394.88,0.7190337
283,3406.817,0.7190559
284,3418.817,0.7192456
285,3430.749,0.7192378
286,3442.765,0.7193689
287,3454.796,0.7193913
288,3466.796,0.7192008
289,3478.765,0.7191175
290,3490.75,0.7190887
291,3502.77,0.7192451
292,3514.848,0.7191498
293,3526.77,0.7191909
294,3538.852,0.7188918
295,3550.831,0.7191044
296,3562.831,0.7192135
297,3574.878,0.7189587
298,3586.988,0.7192658
299,3599.039,0.7189913
300,3610.992,0.7191973
301,3622.975,0.7192963
302,3634.944,0.7193202
303,3647.007,0.7192726
304,3658.923,0.7194234
305,3671.11,0.7191911
306,3683.052,0.7193037
307,3695.062,0.71921
308,3707.031,0.7192084
309,3719.109,0.719327
310,3731.031,0.7193021
311,3743.11,0.719178
312,3755.203,0.7190514
313,3767.157,0.7192017
314,3779.11,0.7191663
315,3791.25,0.7190603
316,3803.204,0.7188183
317,3815.282,0.7185951
318,3827.188,0.7185793
319,3839.188,0.7182711
320,3851.188,0.7182768
321,3863.298,0.718439
322,3875.298,0.7184486
323,3887.287,0.7183842
324,3899.302,0.7185591
325,3911.369,0.7186544
326,3923.244,0.7185736
327,3935.135,0.7183192
328,3947.291,0.7183714
329,3959.291,0.718416
330,3971.354,0.7182291
331,3983.38,0.7180353
332,3995.353,0.7182459
333,4007.29,0.7181458
334,4019.275,0.7181887
335,4031.197,0.7183205
336,4043.353,0.7183397
337,4055.285,0.7182233
338,4067.332,0.7183527
339,4079.254,0.7187921
340,4091.191,0.7185114
341,4103.223,0.7188298
342,4115.348,0.7190061
343,4127.399,0.7190708
344,4139.321,0.7190979
345,4151.321,0.7189049
346,4163.368,0.7188237
347,4175.337,0.718822
348,4187.446,0.7186449
349,4199.54,0.7182832
350,4211.462,0.7182684
351,4223.446,0.718404
352,4235.478,0.7182743
353,4247.462,0.718576
354,4259.55,0.7185627
355,4271.535,0.7184846
356,4283.519,0.7187213
357,4295.55,0.7187868
358,4307.691,0.7187671
359,4319.629,0.7188251
360,4331.707,0.7187249
361,4343.754,0.7185806
362,4355.785,0.7184564
363,4366.841,0.7182384
364,4378.747,0.718225
365,4390.7,0.7181219
366,4402.653,0.7181199
367,4414.763,0.7183356
368,4426.71,0.7180365
369,4438.617,0.7180241
370,4450.554,0.7179788
371,4462.648,0.7180989
372,4474.586,0.7178237
373,4486.57,0.7179687
374,4498.68,0.7180712
375,4510.59,0.7181432
376,4522.528,0.7180627
377,4534.528,0.7178833
378,4546.683,0.7176962
379,4558.621,0.7177294
380,4570.824,0.7178253
381,4582.839,0.7183432
382,4594.746,0.7184527
383,4606.73,0.7185147
384,4618.699,0.7186492
385,4630.668,0.7182964
386,4642.74,0.7183755
387,4654.803,0.7185786
388,4666.787,0.7186393
389,4678.834,0.7185464
390,4690.819,0.718899
391,4702.741,0.718805
392,4714.866,0.7190035
393,4726.881,0.7189948
394,4738.85,0.7188968
395,4750.886,0.7189173
396,4762.943,0.7190338
397,4775.083,0.7191828
398,4787.213,0.7193665
399,4799.28,0.7193398
400,4811.28,0.7191688
401,4823.233,0.7193208
402,4835.274,0.7193142
403,4847.384,0.7190465
404,4859.4,0.7190384
405,4871.545,0.7187988
406,4883.508,0.7189747
407,4895.543,0.7186077
408,4907.559,0.7185627
409,4919.512,0.7180898
410,4931.653,0.7180415
411,4943.7,0.7177694
412,4955.741,0.7178333
413,4967.824,0.7179182
414,4979.777,0.7179138
415,4991.84,0.7178684
416,5003.84,0.7180046
417,5015.902,0.7184083
418,5027.855,0.7182576
419,5039.793,0.7181329
420,5051.809,0.7184178
421,5063.829,0.7184808
422,5075.86,0.7182323
423,5087.954,0.7181813
424,5100.048,0.717835
425,5112.187,0.7176318
426,5124.234,0.7178636
427,5136.156,0.7178493
428,5148.172,0.7177282
429,5160.26,0.7176746
430,5172.227,0.7176909
431,5184.212,0.7174444
432,5196.243,0.717483
433,5208.196,0.717128
434,5220.228,0.7172266
435,5232.31,0.7172374
436,5244.32,0.7171214
437,5256.336,0.7170557
438,5268.367,0.7170615
439,5280.289,0.7169561
440,5292.465,0.717084
441,5304.528,0.7171958
442,5316.528,0.7170166
443,5328.615,0.7172025
444,5340.7,0.7171826
445,5352.669,0.717042
446,5364.689,0.7170374
447,5376.705,0.7171594
448,5388.751,0.7175681
449,5400.72,0.7174747
450,5412.658,0.7173186
451,5424.736,0.7174504
452,5436.752,0.7179409
453,5448.752,0.7180495
454,5460.767,0.7181634
455,5472.768,0.718117
456,5484.69,0.7182118
457,5496.549,0.7181844
458,5508.487,0.7180659
459,5520.403,0.7179508
460,5532.372,0.7181581
461,5544.403,0.7181477
462,5556.419,0.718362
463,5568.387,0.7187866
464,5580.528,0.7187315
465,5592.513,0.7184394
466,5604.481,0.7184444
467,5616.716,0.7185964
468,5628.72,0.7185706
469,5640.642,0.7181324
470,5652.689,0.7181636
471,5664.705,0.7181064
472,5676.674,0.7185414
473,5688.777,0.718369
