Iteration,Time,AUC
1,15.06065,0.6087101
2,27.71701,0.6086934
3,40.27953,0.6086834
4,52.95149,0.6086809
5,65.52404,0.6086792
6,78.33662,0.6086807
7,91.09102,0.6086816
8,103.7005,0.6086816
9,116.1694,0.6086813
10,128.7787,0.6086818
11,141.5601,0.6091147
12,154.357,0.6499839
13,167.0758,0.6499852
14,179.8571,0.649985
15,192.6272,0.6499948
16,205.2935,0.6499967
17,218.0905,0.6514049
18,230.798,0.6514016
19,243.4644,0.6598076
20,256.1987,0.6714009
21,268.8907,0.6715472
22,281.5002,0.6715462
23,294.1865,0.6715427
24,306.9209,0.671543
25,319.6398,0.6719848
26,332.3273,0.6719858
27,344.9523,0.6719846
28,357.6556,0.6719876
29,370.2962,0.6718261
30,383.0619,0.6719674
31,395.7964,0.6726985
32,408.5308,0.6728468
33,421.109,0.6728473
34,433.7497,0.6728482
35,446.406,0.6728488
36,459.0466,0.6728481
37,471.5311,0.6728485
38,484.1718,0.6729426
39,496.9787,0.6729424
40,509.7132,0.6729441
41,522.4163,0.6729438
42,535.057,0.6729411
43,547.6665,0.6731792
44,560.4166,0.6733773
45,573.0416,0.6738688
46,585.7136,0.6763026
47,598.4324,0.6761673
48,611.12,0.6761673
49,623.7137,0.6767247
50,636.2919,0.6759754
51,648.917,0.6764558
52,661.9952,0.6766284
53,674.8234,0.6763625
54,687.6672,0.6763483
55,700.4841,0.6763263
56,713.1248,0.6763186
57,725.828,0.6767786
58,738.6449,0.6767692
59,751.1763,0.6760836
60,763.8482,0.6760979
61,776.5827,0.6767198
62,789.2546,0.6770827
63,801.9422,0.6770673
64,814.796,0.6770487
65,827.3473,0.6770284
66,840.1073,0.6770242
67,852.8717,0.6811368
68,865.5906,0.6811296
69,878.3138,0.6811173
70,890.8451,0.6810695
71,903.6108,0.6810629
72,916.1933,0.6810616
73,928.8809,0.681061
74,941.5684,0.6809134
75,954.2248,0.6809254
76,967.0374,0.680904
77,979.6724,0.680904
78,992.2193,0.6820928
79,1004.954,0.6827517
80,1017.938,0.6829003
81,1030.657,0.6829433
82,1043.298,0.6829202
83,1056.032,0.6829155
84,1068.821,0.6827328
85,1081.564,0.6828903
86,1094.267,0.6863744
87,1106.937,0.6872537
88,1119.563,0.6872226
89,1132.364,0.6872086
90,1145.051,0.6872499
91,1157.718,0.6872426
92,1170.363,0.6872554
93,1183.092,0.6878168
94,1195.67,0.6871214
95,1208.279,0.6874124
96,1220.982,0.6882886
97,1233.67,0.6888521
98,1246.311,0.6888258
99,1259.061,0.6893258
100,1271.799,0.6893593
101,1284.612,0.6899301
102,1297.425,0.6893548
103,1310.425,0.6899122
104,1323.065,0.6899293
105,1335.71,0.6899038
106,1348.757,0.6899518
107,1361.648,0.6898051
108,1374.476,0.6898013
109,1387.018,0.6897382
110,1399.741,0.689727
111,1412.585,0.6900187
112,1425.532,0.6905819
113,1438.11,0.6905758
114,1450.751,0.6905032
115,1463.501,0.6921581
116,1476.314,0.6927268
117,1489.099,0.6927436
118,1501.906,0.6929268
119,1514.5,0.6931531
120,1527.25,0.6934322
121,1540.056,0.6937096
122,1552.868,0.693801
123,1565.644,0.6941002
124,1578.352,0.6941707
125,1591.102,0.6941095
126,1603.836,0.6943416
127,1616.383,0.6953353
128,1629.237,0.6954087
129,1641.956,0.6953899
130,1654.753,0.6955181
131,1667.503,0.6954484
132,1680.163,0.6954078
133,1692.992,0.6954334
134,1705.742,0.6955866
135,1718.476,0.6957094
136,1731.142,0.695707
137,1744.064,0.7018723
138,1756.799,0.7020101
139,1769.6,0.7025975
140,1782.335,0.7033017
141,1795.022,0.7036799
142,1807.798,0.7035662
143,1820.673,0.7051554
144,1833.333,0.7052855
145,1846.005,0.705427
146,1858.947,0.7056919
147,1871.994,0.7060159
148,1884.713,0.7059714
149,1897.364,0.7060719
150,1910.071,0.7061054
151,1922.878,0.706147
152,1935.894,0.7053488
153,1948.773,0.7051934
154,1961.758,0.7048127
155,1974.57,0.7047169
156,1987.336,0.7049174
157,2000.143,0.7051424
158,2012.924,0.7048864
159,2025.69,0.7045369
160,2038.471,0.7054742
161,2051.44,0.7055584
162,2064.112,0.705782
163,2076.8,0.705906
164,2089.612,0.7067435
165,2102.315,0.7071488
166,2115.144,0.7085985
167,2128.132,0.7086282
168,2141.164,0.7086693
169,2153.914,0.7110839
170,2165.918,0.7112337
171,2178.825,0.7112372
172,2191.747,0.7111478
173,2204.497,0.7123345
174,2217.2,0.7122169
175,2230.012,0.7124992
176,2242.747,0.7125823
177,2255.804,0.7126648
