Iteration,Time,AUC
1,14.15565,0.6776245
2,22.23376,0.6898559
3,30.47254,0.7224053
4,38.73819,0.7252493
5,46.97258,0.7351157
6,55.25263,0.7415134
7,63.36641,0.7424617
8,71.63077,0.7478475
9,79.81829,0.7519105
10,88.01578,0.7552299
11,96.15646,0.7584918
12,104.3284,0.7617302
13,112.3596,0.765303
14,120.5516,0.76685
15,128.7547,0.7681697
16,136.9266,0.7691521
17,145.2703,0.7712879
18,153.5985,0.7722586
19,161.9879,0.7736187
20,170.0917,0.7745932
21,178.3305,0.7763252
22,186.5492,0.7767912
23,194.8773,0.7776937
24,202.8774,0.7787093
25,211.1743,0.7791952
26,219.4243,0.7796468
27,227.6787,0.7802303
28,236.1262,0.781051
29,244.5168,0.7815653
30,252.7357,0.7822444
31,260.9857,0.782518
32,269.095,0.7828521
33,277.3607,0.7831777
34,285.6932,0.783644
35,294.0313,0.7841684
36,302.3639,0.7849415
37,310.317,0.7851047
38,318.5983,0.7854077
39,326.9521,0.7858481
40,335.0458,0.7860406
41,343.0615,0.7865869
42,351.0928,0.7870704
43,359.2491,0.7873265
44,367.5772,0.7876051
45,375.7222,0.7881544
46,383.8942,0.7885579
47,392.1486,0.7888158
48,400.2835,0.788864
49,408.4442,0.7894582
50,416.6617,0.7894083
51,424.9061,0.789748
52,433.0624,0.7898465
53,441.233,0.79003
54,449.5856,0.7903206
55,457.7249,0.7903396
56,465.9906,0.7908032
57,474.2094,0.7910739
58,482.4069,0.791197
59,490.3744,0.7917772
60,498.5663,0.7922024
61,506.9882,0.792419
62,515.082,0.7927747
63,522.2113,0.7928798
64,530.4601,0.7930174
65,538.5796,0.7931458
66,546.7983,0.7931967
67,555.2715,0.7932602
68,563.4534,0.7933492
69,571.5672,0.7936045
70,579.8797,0.7939641
71,587.911,0.7942644
72,596.1765,0.794614
73,604.5516,0.794957
74,612.9266,0.7952494
75,621.1298,0.7955182
76,629.3473,0.7956844
77,637.4879,0.7961194
78,645.8049,0.7963152
79,654.0023,0.7963949
80,661.9712,0.7964684
81,670.0224,0.79651
82,678.1887,0.7966183
83,686.3025,0.7966902
84,694.615,0.7967224
85,702.875,0.7967513
86,710.9219,0.7968421
87,719.0469,0.7969727
88,727.2657,0.7971862
89,735.5313,0.7972797
90,743.7701,0.7974898
91,751.7857,0.7975028
92,760.1126,0.7977447
93,768.4877,0.7977907
94,776.5502,0.797819
95,784.4865,0.7979111
96,792.5534,0.7979531
97,800.7978,0.7980461
98,809.0309,0.7982197
99,816.9996,0.7983082
100,825.1872,0.7983413
101,833.3435,0.7984735
102,841.6873,0.7986268
103,849.6605,0.7987027
104,857.5811,0.7988009
105,865.6436,0.7990082
106,873.8468,0.7990537
107,881.8469,0.799108
108,889.8669,0.7991992
109,898.0234,0.7992055
110,906.3144,0.7992741
111,914.2989,0.7993145
112,922.2677,0.7993585
113,930.5534,0.7994191
114,938.7509,0.7994602
115,946.9697,0.7995563
116,955.1772,0.7996735
117,963.338,0.7997475
118,971.4004,0.7998879
119,979.7586,0.8001668
120,987.9461,0.8002624
121,996.0399,0.8003696
122,1004.243,0.8003889
123,1012.394,0.8004321
124,1020.461,0.8005909
125,1028.678,0.8007211
126,1036.694,0.8008075
127,1044.735,0.8008549
128,1052.911,0.8008825
129,1061.13,0.8009465
130,1069.088,0.8009884
131,1077.442,0.8012012
132,1085.587,0.801308
133,1093.727,0.801351
134,1101.737,0.801442
135,1109.862,0.8014853
136,1118.101,0.8015815
137,1126.07,0.8016223
138,1134.205,0.8016693
139,1142.205,0.8016871
140,1150.428,0.8017645
141,1158.698,0.8017981
142,1166.958,0.8018828
143,1175.021,0.8019267
144,1183.114,0.8019512
145,1191.38,0.8020136
146,1199.588,0.8020726
147,1207.863,0.8021567
148,1215.942,0.8021746
149,1224.082,0.8022328
150,1232.274,0.8022672
151,1240.503,0.8022833
152,1248.539,0.8023655
153,1256.492,0.80238
154,1264.679,0.8024077
155,1272.736,0.8024415
156,1280.799,0.8024824
157,1289.002,0.8025604
158,1297.011,0.8025948
159,1305.198,0.8026558
160,1313.333,0.8026744
161,1321.396,0.8026865
162,1329.443,0.8028263
163,1337.458,0.8028558
164,1345.833,0.8028856
165,1354.025,0.8029156
166,1362.207,0.8030966
167,1370.337,0.8033049
168,1378.679,0.8034122
169,1386.867,0.8035154
170,1393.902,0.8036108
171,1401.996,0.8037581
172,1410.277,0.8038121
173,1418.448,0.8038996
174,1426.791,0.8040219
175,1434.806,0.8040388
176,1442.806,0.8040527
177,1451.144,0.804094
178,1459.305,0.8041054
179,1467.523,0.8042115
180,1475.491,0.8043388
181,1483.648,0.8043972
182,1491.835,0.8044489
183,1499.929,0.8044818
184,1507.945,0.8045532
185,1515.949,0.8045801
186,1524.011,0.8047036
187,1531.975,0.8047354
188,1540.084,0.8047509
189,1548.37,0.8049062
190,1556.65,0.8050155
191,1564.712,0.8050743
192,1572.837,0.8050961
193,1580.9,0.8051152
194,1589.024,0.8051413
195,1597.055,0.8051639
196,1605.101,0.8052111
197,1613.339,0.8053203
198,1621.365,0.8054097
199,1629.693,0.8054872
200,1637.963,0.8056014
201,1646.004,0.8057032
202,1654.161,0.8057871
203,1662.275,0.8058256
204,1670.472,0.805926
205,1678.617,0.8059746
206,1686.653,0.8060304
207,1694.762,0.8061013
208,1702.965,0.8061652
209,1710.991,0.8061923
210,1718.949,0.8062147
211,1727.177,0.8062153
212,1735.354,0.806226
213,1743.51,0.8062731
214,1751.479,0.8062983
215,1759.51,0.8063343
216,1767.717,0.8063662
217,1775.801,0.8063723
218,1783.946,0.8063858
219,1792.024,0.8063936
220,1800.243,0.8064367
221,1808.633,0.8065088
222,1816.789,0.8065676
223,1825.039,0.8066564
224,1832.95,0.8066782
225,1841.147,0.8067074
226,1849.214,0.8067168
227,1857.417,0.8067587
228,1865.458,0.8067777
229,1873.615,0.8068047
230,1881.713,0.8068264
231,1889.942,0.8068477
232,1898.113,0.8068611
233,1906.239,0.8068681
234,1914.321,0.8068715
235,1922.372,0.8068778
236,1930.419,0.8068762
237,1938.57,0.8068795
238,1946.684,0.8069029
239,1954.949,0.8069599
240,1963.116,0.8070732
241,1971.225,0.8071124
242,1979.35,0.8072436
243,1987.479,0.807258
244,1995.729,0.8073637
245,2003.933,0.8074093
246,2012.036,0.807461
247,2020.161,0.8075448
248,2028.197,0.8075623
249,2036.197,0.8076304
250,2044.26,0.8076602
251,2052.571,0.8077073
252,2060.649,0.8077325
253,2068.778,0.8077755
254,2076.992,0.8078032
255,2084.918,0.8079443
256,2093.162,0.8080708
257,2101.412,0.8081589
258,2109.615,0.8082076
259,2117.834,0.8082528
260,2125.991,0.8083186
261,2134.24,0.8083467
262,2142.401,0.8083725
263,2150.511,0.8083855
264,2158.599,0.8084001
265,2166.775,0.8084218
266,2174.853,0.8084565
267,2183.134,0.8084725
268,2191.467,0.8085216
269,2199.561,0.8085915
270,2207.649,0.8086171
271,2215.841,0.8086253
272,2223.945,0.8086409
273,2232.07,0.8086417
274,2240.21,0.80865
275,2248.59,0.8087095
276,2256.777,0.8087589
277,2264.84,0.8088682
278,2272.928,0.8089327
279,2281.1,0.8089692
280,2289.334,0.8089934
281,2297.49,0.8090098
282,2305.475,0.8090142
283,2313.573,0.8090178
284,2320.624,0.8090326
285,2328.748,0.8090436
286,2336.779,0.8090473
287,2344.873,0.8090643
288,2353.184,0.8091288
289,2361.263,0.8091625
290,2369.388,0.8091775
291,2377.606,0.8092044
292,2385.825,0.8092545
293,2393.981,0.8093625
294,2401.991,0.8093732
295,2410.054,0.8093915
296,2418.334,0.8094433
297,2426.381,0.8094586
298,2434.662,0.8094928
299,2442.631,0.8095183
300,2450.62,0.8095371
301,2458.854,0.809572
302,2466.948,0.8096325
303,2475.214,0.8097222
304,2483.323,0.8097769
305,2491.484,0.8098232
306,2499.609,0.809843
307,2507.791,0.8098795
308,2516.014,0.8099317
309,2524.091,0.8099894
310,2532.169,0.810044
311,2540.481,0.8100938
312,2548.544,0.8101045
313,2556.734,0.8101216
314,2564.797,0.8101684
315,2573.11,0.8101942
316,2581.385,0.810208
317,2589.557,0.8102448
318,2597.557,0.8102579
319,2605.515,0.8102722
320,2613.562,0.8102957
321,2621.728,0.8103061
322,2629.947,0.8103164
323,2638.212,0.8103643
324,2646.42,0.8103894
325,2654.545,0.8103981
326,2662.727,0.8104363
327,2670.887,0.8104782
328,2679.044,0.8105223
329,2687.257,0.8105622
330,2695.319,0.8105796
331,2703.585,0.8105912
332,2711.605,0.8105932
333,2719.808,0.8105947
334,2727.949,0.8105974
335,2736.031,0.8106393
336,2744.25,0.8107466
337,2752.203,0.8107752
338,2760.172,0.8107825
339,2768.235,0.810824
340,2776.235,0.8108402
341,2784.452,0.810838
342,2792.374,0.810839
343,2800.624,0.8108528
344,2808.812,0.8108543
345,2817.076,0.8108585
346,2825.154,0.8108727
347,2833.247,0.8108869
348,2841.293,0.8109226
349,2849.501,0.8110175
350,2857.564,0.8110457
351,2865.751,0.8110546
352,2874.001,0.8111217
353,2882.157,0.8111344
354,2890.261,0.8111893
355,2898.5,0.8112585
356,2906.697,0.8112774
357,2914.838,0.8112964
358,2923.088,0.8113399
359,2931.296,0.8114341
360,2939.53,0.8115337
361,2947.796,0.8116174
362,2956.04,0.8116807
363,2964.279,0.8117144
364,2972.492,0.8117392
365,2980.387,0.8117706
366,2988.543,0.8117889
367,2996.7,0.8118576
368,3005.012,0.8119304
369,3013.2,0.811941
370,3021.481,0.8119588
371,3029.621,0.8120136
372,3037.809,0.8120603
373,3046.153,0.8121043
374,3054.422,0.8121286
375,3062.635,0.8121942
376,3070.764,0.8122288
377,3078.717,0.8122335
378,3086.712,0.8122564
379,3094.774,0.8122544
380,3102.93,0.8122828
381,3110.982,0.8123289
382,3119.154,0.8123451
383,3127.309,0.8123486
384,3135.574,0.8123687
385,3143.563,0.8124143
386,3151.907,0.8124498
387,3160.11,0.8124733
388,3168.376,0.8124934
389,3176.558,0.8125292
390,3184.656,0.8125356
391,3192.609,0.8125391
392,3200.749,0.8125584
393,3208.931,0.8125989
394,3217.295,0.8126389
395,3225.368,0.812659
396,3233.446,0.812692
397,3241.731,0.8127521
398,3249.83,0.8127835
399,3257.798,0.812801
400,3265.986,0.8128022
401,3273.986,0.8128263
402,3282.173,0.8128609
403,3290.058,0.812866
404,3298.043,0.8128643
405,3306.074,0.8128682
406,3314.266,0.8128942
407,3322.37,0.8129131
408,3330.307,0.8129321
409,3338.339,0.8129856
410,3346.452,0.8130341
411,3354.712,0.8130662
412,3362.666,0.8130773
413,3370.712,0.8130843
414,3378.877,0.8131315
415,3387.029,0.8131603
416,3393.94,0.8132354
417,3402.247,0.8132593
418,3410.466,0.8133312
419,3418.497,0.8134144
420,3426.888,0.8134321
421,3435.028,0.8134456
422,3443.028,0.8134637
423,3451.231,0.8134707
424,3459.341,0.8134867
425,3467.341,0.813523
426,3475.497,0.8135391
427,3483.892,0.813572
428,3492.137,0.8135927
429,3500.355,0.8136112
430,3508.563,0.8136244
431,3516.75,0.8136483
432,3524.843,0.8136554
433,3533.009,0.8136728
434,3541.248,0.8136914
435,3549.252,0.8137047
436,3557.58,0.8137358
437,3565.747,0.8137546
438,3573.872,0.8137823
439,3582.058,0.8138028
440,3590.152,0.81381
441,3598.297,0.8138253
442,3606.483,0.8138273
443,3614.639,0.8138569
444,3622.499,0.813868
445,3630.702,0.8138861
446,3638.847,0.8139015
447,3647.081,0.8139366
448,3655.221,0.8139763
449,3663.47,0.8139926
450,3671.532,0.8140091
451,3679.573,0.8140229
452,3687.652,0.8140258
453,3695.683,0.8140858
454,3703.937,0.8141017
455,3712.057,0.8141208
456,3720.28,0.8141523
457,3728.389,0.8141665
458,3736.269,0.8141934
459,3744.347,0.8142006
460,3752.472,0.8142209
461,3760.565,0.8142465
462,3768.877,0.8142555
463,3777.356,0.814271
464,3785.481,0.8142942
465,3793.59,0.8143148
466,3801.699,0.8143188
467,3809.807,0.8143485
468,3817.854,0.8143578
469,3825.91,0.8143703
470,3834.082,0.8143737
471,3842.186,0.8143988
472,3850.346,0.8144331
473,3858.503,0.8144343
474,3866.669,0.8144372
475,3874.888,0.8144542
476,3882.923,0.8144589
477,3891.017,0.8144637
478,3899.246,0.8144635
479,3907.23,0.8144707
480,3915.391,0.8144955
481,3923.516,0.8144978
482,3931.5,0.8145
483,3939.516,0.8144986
484,3947.548,0.8145048
485,3955.62,0.8145106
486,3963.682,0.814532
487,3971.885,0.8145426
488,3979.937,0.8145975
489,3988.176,0.814663
490,3996.41,0.8146922
491,4004.456,0.81473
492,4012.706,0.8147622
493,4021.028,0.8147688
494,4029.278,0.8147925
495,4037.184,0.8148084
496,4045.388,0.814837
497,4053.589,0.814865
498,4061.656,0.8148941
499,4069.817,0.8149142
500,4077.905,0.8149279
501,4085.941,0.8149315
502,4093.956,0.8149504
503,4102.035,0.8149507
504,4110.113,0.8149569
505,4118.207,0.8149687
506,4126.347,0.8150041
507,4134.357,0.8150121
508,4142.342,0.8150287
509,4150.451,0.8150524
510,4158.639,0.8150513
511,4166.529,0.8150599
512,4174.623,0.815059
513,4182.67,0.8150739
514,4190.69,0.8150848
515,4198.751,0.8150864
516,4207.001,0.8150873
517,4215.298,0.8151113
518,4223.294,0.8151464
519,4231.673,0.8152019
520,4240,0.8152285
521,4248.594,0.8152498
522,4256.688,0.8152858
523,4264.844,0.81532
524,4272.88,0.8153612
525,4280.89,0.8153795
526,4289.066,0.8154061
527,4297.091,0.8154244
528,4305.154,0.8154293
529,4313.246,0.8154442
530,4321.293,0.8154549
531,4329.434,0.8154804
532,4337.517,0.8155136
533,4345.657,0.8155412
534,4352.865,0.8156251
535,4360.912,0.8156326
536,4369.099,0.8156271
537,4377.14,0.8156418
538,4385.207,0.8156465
539,4393.41,0.8156473
540,4401.624,0.8156542
541,4409.749,0.8156893
542,4417.987,0.8157028
543,4426.169,0.8157207
544,4434.341,0.8157649
545,4442.544,0.8157791
546,4450.783,0.8158194
547,4458.986,0.8158577
548,4467.361,0.8158798
549,4475.643,0.8159014
550,4483.637,0.8159216
551,4491.771,0.8159449
552,4499.937,0.8159604
553,4507.953,0.8159759
554,4515.937,0.8159837
555,4524.203,0.8159921
556,4532.613,0.8160249
557,4540.733,0.8160414
558,4548.811,0.8160495
559,4556.795,0.8160533
560,4564.749,0.816054
561,4572.874,0.8160543
562,4580.941,0.8160796
563,4589.138,0.81609
564,4597.232,0.816096
565,4605.169,0.8161015
566,4613.194,0.816102
567,4621.412,0.8160997
568,4629.475,0.8161349
569,4637.735,0.8161659
570,4645.985,0.8161999
571,4654.251,0.8162306
572,4662.313,0.8162559
573,4670.443,0.8163018
574,4678.63,0.8163078
575,4686.74,0.8163182
576,4695.004,0.8163358
577,4703.316,0.8163376
578,4711.567,0.8163526
579,4719.686,0.8164185
580,4728.045,0.8164479
581,4736.17,0.8164826
582,4744.644,0.8165083
583,4752.747,0.8165143
584,4761.06,0.8165253
585,4769.341,0.8165372
586,4777.544,0.8165652
587,4785.747,0.8165861
588,4793.924,0.816618
589,4802.017,0.8166277
590,4810.142,0.8166362
591,4818.221,0.8166507
592,4826.439,0.8166615
593,4834.506,0.8166647
594,4842.803,0.8167054
595,4850.881,0.81671
596,4859.163,0.8167381
597,4867.366,0.8167545
598,4875.397,0.8167873
599,4883.485,0.8168158
