Iteration,Time,AUC
1,81.51292,0.501156
2,146.2519,0.5028534
3,211.1841,0.5030537
4,275.8718,0.5017889
5,340.2784,0.5023792
6,404.4549,0.5034914
7,468.7621,0.5054199
8,533.2511,0.5066101
9,597.5794,0.5063478
10,662.2204,0.5071279
11,726.6581,0.5097374
12,790.9027,0.5108082
13,855.2468,0.5149377
14,919.3452,0.5145473
15,983.5799,0.5161264
16,1047.877,0.5165412
17,1112.268,0.5177865
18,1176.689,0.5180972
19,1240.897,0.5193648
20,1305.13,0.5212982
21,1369.583,0.5225853
22,1433.865,0.5261311
23,1498.178,0.5280999
24,1562.412,0.5286979
25,1626.516,0.5294147
26,1690.797,0.5294103
27,1755.063,0.5297735
28,1819.235,0.5299446
29,1883.329,0.5321126
30,1947.298,0.5323148
31,2011.459,0.5356733
32,2076.021,0.5359832
33,2140.537,0.5366757
34,2205.105,0.536685
35,2269.558,0.5367812
36,2334.058,0.5371269
37,2398.59,0.5382914
38,2463.022,0.5380072
39,2527.538,0.5383108
40,2592.226,0.5389555
41,2657.043,0.5387629
42,2721.824,0.5387169
43,2785.606,0.5394032
44,2849.997,0.5405643
45,2914.591,0.5409296
46,2979.138,0.5415631
47,3043.711,0.5414224
48,3108.445,0.5425366
49,3172.821,0.5429519
50,3237.211,0.5445734
51,3301.341,0.5462471
52,3365.904,0.5464214
53,3430.623,0.5470662
54,3495.122,0.5474763
55,3559.825,0.5475212
56,3624.283,0.5483948
57,3688.856,0.5490298
58,3753.528,0.5501901
59,3817.626,0.5502455
60,3881.955,0.5509747
61,3946.268,0.5515654
62,4010.872,0.5514248
63,4075.356,0.5519533
64,4139.919,0.5527499
65,4204.544,0.5533922
66,4269.357,0.5540798
67,4333.826,0.5543043
68,4398.19,0.5548356
69,4462.628,0.55523
70,4526.893,0.5554208
71,4591.284,0.5559818
72,4655.481,0.5561549
73,4719.83,0.5559636
74,4784.157,0.5579917
75,4848.563,0.5584591
76,4912.876,0.5587169
77,4976.865,0.5590339
78,5041.116,0.559128
79,5105.548,0.5593471
80,5169.829,0.5591262
81,5233.814,0.5593241
82,5298.205,0.5610477
83,5362.502,0.5665165
84,5426.705,0.5672619
85,5491.143,0.5674502
86,5555.643,0.5678837
87,5619.878,0.567988
88,5684.471,0.5686694
89,5748.612,0.568459
90,5813.425,0.5689689
91,5877.956,0.5694563
92,5942.128,0.5694063
93,6006.472,0.5696761
94,6070.535,0.5703719
95,6135.02,0.5704867
96,6199.661,0.5706241
97,6264.27,0.5711614
98,6328.853,0.5717525
99,6392.932,0.5719535
100,6456.327,0.5725407
101,6520.89,0.5728265
102,6585.593,0.5730881
103,6650.296,0.5732043
104,6714.75,0.5738503
105,6779.266,0.5746074
106,6843.797,0.5747265
107,6908.542,0.5754811
108,6973.058,0.5758801
109,7037.339,0.5762418
110,7102.235,0.5765641
111,7166.641,0.5770242
112,7230.808,0.5771587
113,7295.339,0.5774307
114,7360.09,0.5777295
115,7424.391,0.5777792
116,7488.907,0.5788295
117,7553.548,0.5788211
118,7618.095,0.5793461
119,7682.502,0.5797059
120,7746.502,0.580042
121,7810.971,0.5807743
122,7875.331,0.5811613
123,7939.596,0.5813553
124,8004.049,0.5816949
125,8068.393,0.5816214
126,8132.721,0.5820041
127,8197.173,0.582176
128,8261.455,0.5824091
129,8325.58,0.5827725
130,8389.69,0.5844123
131,8453.862,0.5848632
132,8517.972,0.5850928
133,8582.346,0.5852369
134,8646.82,0.5857137
135,8710.804,0.5863089
136,8774.867,0.5866266
137,8838.82,0.5869448
138,8902.924,0.5870647
139,8966.926,0.5870049
140,9031.023,0.5873055
141,9095.352,0.5871249
142,9159.174,0.5872265
143,9223.284,0.5874904
144,9287.523,0.5876973
145,9351.68,0.5877268
146,9415.975,0.5878247
147,9480.402,0.5880174
148,9544.605,0.5880949
149,9609.053,0.5885713
150,9673.491,0.5890706
151,9737.96,0.5891562
152,9802.867,0.589908
153,9867.746,0.5900717
154,9932.45,0.5904112
155,9996.716,0.5906174
156,10061.42,0.5908259
157,10126.15,0.5910484
158,10190.25,0.5910655
159,10254.51,0.5910082
160,10319.06,0.5911663
161,10383.89,0.5920196
162,10448.12,0.5929621
163,10512.49,0.5932153
164,10576.91,0.5932707
165,10641.4,0.5934583
166,10705.95,0.5937253
167,10770.53,0.5938456
168,10834.8,0.5941649
169,10899.33,0.5944862
170,10964.1,0.5945172
171,11028.8,0.5949232
172,11093.35,0.5949161
173,11157.72,0.5952541
174,11222.18,0.5952609
175,11286.21,0.5953241
176,11350.22,0.5954564
177,11414.87,0.5954836
178,11479.37,0.5956005
179,11543.41,0.5956365
180,11607.44,0.5956879
181,11672,0.5959768
182,11736.57,0.5961746
183,11800.86,0.5963912
184,11865.21,0.5965048
185,11929.52,0.5966425
186,11993.91,0.596732
187,12058.37,0.5969559
188,12122.78,0.5972033
189,12187.22,0.5974258
190,12251.51,0.5974972
191,12315.87,0.5973917
192,12379.78,0.5973343
193,12444.28,0.5973391
194,12508.51,0.5974889
195,12572.88,0.5974319
196,12637.29,0.5974607
197,12701.37,0.597286
198,12765.58,0.5974553
199,12829.32,0.5975846
200,12893.76,0.5976459
201,12957.73,0.5980988
202,13021.73,0.5982037
203,13086.24,0.5984677
204,13150.74,0.5987133
205,13215.15,0.5989796
206,13279.53,0.5992331
207,13343.95,0.5994003
208,13408.28,0.5995748
209,13472.52,0.5995803
210,13536.86,0.5996889
211,13601.44,0.599784
212,13666.31,0.6011226
213,13730.93,0.6011891
214,13795.87,0.6015611
215,13860.45,0.6016681
216,13925.39,0.6019194
217,13989.8,0.6018518
218,14054.33,0.6020025
219,14118.78,0.6019291
220,14182.95,0.6020918
221,14247.65,0.6020982
222,14312.49,0.6018505
223,14377.09,0.6019155
224,14441.88,0.601861
225,14506.53,0.601823
226,14571.25,0.6018375
227,14635.58,0.6019687
228,14700.1,0.6020648
229,14764.43,0.6019676
230,14828.95,0.6024053
231,14893.17,0.6025799
232,14957.78,0.6025835
233,15022.25,0.6026474
234,15086.61,0.6028396
235,15150.88,0.6030706
236,15215.34,0.6034604
237,15279.74,0.6034894
238,15343.92,0.6037279
239,15407.1,0.604743
240,15471.15,0.6047963
241,15535.29,0.6049341
242,15599.52,0.6058672
243,15663.68,0.6061777
244,15727.93,0.6060078
245,15792.05,0.6062083
246,15855.82,0.6062964
247,15920.21,0.6067566
248,15984.32,0.6066834
249,16048.65,0.6067427
250,16112.84,0.6069313
251,16177.38,0.6070034
252,16241.7,0.6070254
253,16305.64,0.6074814
254,16369.8,0.6074946
255,16434.32,0.6079627
256,16498.48,0.6080999
257,16563.02,0.6083197
258,16627.71,0.6084357
259,16692.39,0.6085897
260,16757.02,0.6088291
261,16821.53,0.6087711
262,16885.93,0.6088341
263,16950.25,0.6089113
264,17014.87,0.6089351
265,17079.64,0.6092822
266,17143.9,0.60925
267,17208.55,0.6098112
268,17273.54,0.6100856
269,17338.2,0.6102801
270,17402.82,0.6105016
271,17467.37,0.6105564
272,17532.13,0.6106816
273,17597.19,0.6108898
274,17662.01,0.611279
275,17726.74,0.6113644
276,17791.24,0.6115343
277,17854.59,0.611772
278,17919.12,0.611866
279,17983.73,0.6119271
280,18048.33,0.6121809
281,18112.08,0.6124184
282,18176.84,0.612473
283,18241.3,0.6127177
284,18306.01,0.6127226
285,18370.72,0.6128748
286,18435.47,0.6129637
287,18500.34,0.6129981
288,18564.87,0.613335
289,18629.14,0.6134839
290,18693.93,0.6134928
291,18758.49,0.6136507
292,18823.39,0.6136523
293,18888.14,0.6138135
294,18952.78,0.6141199
295,19017.03,0.6139945
296,19081.55,0.6139767
297,19146.02,0.6139312
298,19210.55,0.6141447
299,19274.8,0.6141924
300,19339.24,0.6142388
301,19403.77,0.6149541
302,19467.97,0.6148202
303,19532.3,0.614745
304,19596.63,0.6148172
305,19660.34,0.6147878
306,19724.65,0.6152349
307,19789.15,0.615298
308,19853.58,0.6156004
309,19917.74,0.6157089
310,19982.07,0.6157522
311,20046.27,0.615718
312,20110.54,0.6156699
313,20174.66,0.6164221
314,20238.85,0.616585
315,20302.95,0.6165163
316,20367.38,0.6166176
317,20431.78,0.6165737
318,20495.93,0.6166234
319,20560.09,0.6166231
320,20624.37,0.6167498
321,20688.79,0.6175692
322,20753.37,0.6176683
323,20817.68,0.6177538
324,20882.11,0.61819
325,20946.45,0.6182069
326,21010.76,0.6184785
327,21075.4,0.6183584
328,21140.2,0.6183948
329,21205,0.6183966
330,21269.62,0.6185581
331,21334.4,0.6187206
332,21399.05,0.6187741
333,21463.62,0.6188508
334,21528.09,0.6189252
335,21592.8,0.6193076
336,21657.61,0.6195102
337,21722.34,0.6193952
338,21787.17,0.6194728
339,21851.97,0.6194108
340,21916.81,0.6194237
341,21981.47,0.6193446
342,22046.13,0.6192254
343,22110.72,0.6191989
344,22175.27,0.6193065
345,22239.76,0.6192747
346,22304.43,0.6191918
347,22369.16,0.6192372
348,22433.86,0.6193709
349,22498.55,0.6193859
350,22563.17,0.6193796
351,22627.72,0.619469
352,22692.38,0.6196098
353,22756.74,0.6197257
354,22821.28,0.6199081
355,22885.79,0.619935
356,22950.33,0.6201817
357,23014.54,0.6203231
358,23078.77,0.6203072
359,23143.51,0.6202409
360,23207.88,0.620412
361,23272.12,0.6205266
362,23336.53,0.6206314
363,23401.28,0.6208826
364,23465.74,0.6209241
365,23530.15,0.6210691
366,23594.66,0.6211824
367,23659.27,0.6211307
368,23723.76,0.6211744
369,23787.87,0.6213417
370,23852.58,0.6212743
371,23916.63,0.6212164
372,23981.16,0.621396
373,24046.01,0.621342
374,24110.71,0.6216074
375,24175.25,0.6216739
376,24239.93,0.6216165
377,24304.67,0.6216038
378,24369.2,0.6216558
379,24433.98,0.6217538
380,24498.65,0.6217045
381,24563.17,0.6218375
382,24627.86,0.6221352
383,24692.62,0.6222282
384,24756.22,0.6222789
385,24820.75,0.6223113
386,24885.07,0.6223556
387,24949.77,0.6223574
388,25014.16,0.6224684
389,25078.87,0.6224596
390,25143.61,0.6224277
391,25208.3,0.6226017
392,25272.91,0.6226865
393,25337.82,0.6227251
394,25402.04,0.6227984
395,25466.73,0.6227098
396,25531.14,0.6228062
397,25596.21,0.6228793
398,25660.64,0.6229651
399,25725.18,0.6229549
400,25789.09,0.6232133
401,25853.74,0.6231451
402,25918.18,0.6231094
403,25982.81,0.6231126
404,26046.94,0.6231666
405,26111.23,0.6231598
406,26175.86,0.6232811
407,26240.02,0.6232125
408,26304.33,0.62313
409,26368.44,0.6231586
410,26432.88,0.6231966
411,26497.38,0.6231806
412,26561.88,0.623258
413,26626.16,0.6232892
414,26690.41,0.623509
415,26754.76,0.623552
416,26819.21,0.6237491
417,26883.37,0.6238552
418,26947.57,0.6239008
419,27012.05,0.6241185
420,27076.25,0.6241373
421,27140.53,0.6241752
422,27204.68,0.6241301
423,27268.99,0.6242266
424,27333.16,0.6242449
425,27397.46,0.6241823
426,27461.57,0.6241472
427,27525.66,0.6240635
428,27590.04,0.6242094
429,27654.38,0.6244289
430,27718.72,0.6246338
431,27782.7,0.6246222
432,27846.79,0.6245565
433,27910.97,0.624717
434,27975.12,0.6249052
435,28039.49,0.6251071
436,28103.83,0.6249675
437,28167.97,0.6250621
438,28232.18,0.6251324
439,28296.7,0.6250524
440,28361.1,0.6251323
441,28425.51,0.625228
442,28489.89,0.625364
443,28553.81,0.6254784
444,28618,0.6254995
445,28682.59,0.6255221
446,28747,0.6255469
447,28811.84,0.6254705
448,28876.36,0.6254462
449,28940.73,0.6255326
450,29004.94,0.6256435
451,29069.92,0.6257492
452,29134.75,0.6257025
453,29199.57,0.6256483
454,29263.86,0.6256089
455,29328.6,0.6256314
456,29393.54,0.6256132
457,29458.36,0.6255317
458,29522.86,0.6256397
459,29587.7,0.6256865
460,29652.38,0.6274959
461,29717.14,0.6274738
462,29781.62,0.6277307
463,29846.12,0.6277215
464,29910.55,0.6278389
465,29975.21,0.6278122
466,30039.93,0.627969
467,30104.69,0.6281167
468,30169.3,0.6281008
469,30233.5,0.6280655
470,30297.59,0.628139
471,30361.75,0.6281619
472,30426.27,0.628256
473,30490.82,0.6282264
474,30555.46,0.6283018
475,30619.93,0.6282342
476,30684.44,0.6280986
477,30748.83,0.628026
478,30813.54,0.6281372
479,30877.65,0.6282153
480,30941.73,0.6282294
481,31005.77,0.6282563
482,31070,0.6282482
483,31134.28,0.6282079
484,31198.4,0.6281008
485,31262.75,0.6281104
486,31326.9,0.6281021
487,31391.17,0.6280647
488,31455.54,0.627991
489,31519.92,0.6280628
490,31584.12,0.6281346
491,31648.58,0.6281215
492,31712.82,0.6281049
493,31776.66,0.6283422
494,31840.73,0.6282921
495,31905.03,0.628359
496,31969.26,0.6282824
497,32033.56,0.6282952
498,32098.33,0.6283105
499,32162.71,0.6283974
500,32226.78,0.6284822
501,32290.9,0.6285978
502,32355.51,0.6288277
503,32420.01,0.6288306
504,32484.45,0.628879
505,32549.21,0.6289347
506,32614.05,0.6289376
507,32678.64,0.6291963
508,32742.91,0.629267
509,32807.25,0.6291748
510,32872.07,0.6291602
511,32936.7,0.6291658
512,33001.42,0.629264
513,33066.14,0.6292541
514,33130.68,0.629409
515,33195.67,0.6293479
516,33260.28,0.6294015
517,33324.64,0.6294754
518,33389.65,0.6298333
519,33454.15,0.6298436
520,33518.4,0.6299631
521,33583.27,0.6300421
522,33647.19,0.6301393
523,33711.91,0.630118
524,33776.26,0.6301593
525,33841.04,0.6302784
526,33905.83,0.6302169
527,33970.25,0.6301987
528,34035.05,0.6303537
529,34099.63,0.6309869
530,34164.1,0.6314302
531,34228.55,0.6314461
532,34292.63,0.6314858
533,34356.71,0.6314625
534,34421.02,0.6313577
535,34485.11,0.6313251
536,34549.07,0.6313124
537,34613.52,0.6313787
538,34677.37,0.6319491
539,34741.48,0.6319704
540,34805.71,0.6321455
541,34869.93,0.6322102
542,34934.32,0.6323607
543,34998.68,0.6323132
544,35062.95,0.6322763
545,35127.15,0.6322328
546,35191.18,0.632212
547,35255.43,0.6321524
548,35319.65,0.6321775
549,35384.06,0.632073
550,35448.91,0.6321906
551,35513.19,0.632131
552,35577.54,0.6322287
553,35641.74,0.632353
554,35706.07,0.6322843
555,35770.29,0.6322784
556,35834.83,0.6323725
557,35898.93,0.6327266
558,35963.29,0.6327063
559,36027.79,0.6327955
560,36092.2,0.6327691
561,36156.46,0.6328322
562,36220.65,0.632845
563,36284.95,0.6328007
564,36349.59,0.6328073
565,36413.56,0.6329233
566,36477.61,0.6328671
567,36541.95,0.6329052
568,36606.31,0.6329815
569,36670.59,0.6330242
570,36735.2,0.6331693
571,36799.58,0.6331117
572,36863.67,0.6330919
573,36927.94,0.6329887
574,36992.3,0.6330923
575,37056.7,0.6330527
576,37121.12,0.6330697
577,37185.72,0.6330022
578,37250.05,0.6333808
579,37314.37,0.6333487
580,37378.86,0.6334082
581,37443.39,0.6333994
582,37507.89,0.6333907
583,37572.45,0.6333499
584,37637.17,0.6333232
585,37701.3,0.6333645
586,37765.89,0.6333
587,37830.59,0.6332622
588,37895.28,0.6332315
589,37960.06,0.6333577
590,38024.54,0.6334686
591,38088.95,0.6334825
592,38153.72,0.6335563
593,38218.51,0.6336521
594,38282.65,0.6335478
595,38347.26,0.6334628
596,38411.72,0.6334367
597,38476.27,0.6333966
598,38541.07,0.633547
599,38605.15,0.633525
600,38669.54,0.6335328
601,38733.9,0.6335022
602,38798.07,0.6335323
603,38862.67,0.6335395
604,38927.14,0.6335455
605,38991.46,0.6335685
606,39055.88,0.6336712
607,39120.3,0.6336697
608,39184.57,0.6337505
