Iteration,Time,AUC
1,9.843715,0.6087101
2,18.18747,0.6086934
3,26.74316,0.6086834
4,35.2119,0.6086809
5,43.64821,0.6086792
6,51.95386,0.6086807
7,60.39014,0.6086816
8,68.88769,0.6086816
9,77.21577,0.6086813
10,85.64207,0.6086818
11,94.1721,0.6091147
12,102.6252,0.6499839
13,111.0447,0.6499852
14,119.5122,0.649985
15,127.9751,0.6499948
16,136.3279,0.6499967
17,144.8123,0.6514049
18,153.3224,0.6514016
19,161.8892,0.6598076
20,170.3568,0.6714009
21,178.7462,0.6715472
22,187.3418,0.6715462
23,195.7268,0.6715427
24,204.2313,0.671543
25,212.7001,0.6719848
26,221.1532,0.6719858
27,229.5908,0.6719846
28,238.0895,0.6719876
29,246.7333,0.6718261
30,255.134,0.6719674
31,263.509,0.6726985
32,272.0021,0.6728468
33,280.5009,0.6728473
34,288.9841,0.6728482
35,297.3591,0.6728488
36,305.7966,0.6728481
37,314.2754,0.6728485
38,322.7329,0.6729426
39,331.1848,0.6729424
40,339.513,0.6729441
41,348.0318,0.6729438
42,356.5719,0.6729411
43,364.0338,0.6731792
44,372.4713,0.6733773
45,380.9019,0.6738688
46,389.3226,0.6763026
47,397.9051,0.6761673
48,406.3416,0.6761673
49,414.887,0.6767247
50,423.1995,0.6759754
51,431.6714,0.6764558
52,440.3534,0.6766284
53,448.9078,0.6763625
54,457.3866,0.6763483
55,465.8885,0.6763263
56,474.326,0.6763186
57,482.7836,0.6767786
58,491.2367,0.6767692
59,499.6217,0.6760836
60,508.1905,0.6760979
61,516.7319,0.6767198
62,525.1693,0.6770827
63,533.7362,0.6770673
64,542.2506,0.6770487
65,550.6657,0.6770284
66,559.1813,0.6770242
67,567.7282,0.6811368
68,576.2171,0.6811296
69,584.5965,0.6811173
70,592.9389,0.6810695
71,601.449,0.6810629
72,609.979,0.6810616
73,618.4877,0.681061
74,626.8628,0.6809134
75,635.3459,0.6809254
76,643.9397,0.680904
77,652.4398,0.680904
78,660.9542,0.6820928
79,669.4173,0.6827517
80,677.9999,0.6829003
81,686.4318,0.6829433
82,694.9675,0.6829202
83,703.4362,0.6829155
84,711.8,0.6827328
85,720.3257,0.6828903
86,728.9395,0.6863744
87,737.4338,0.6872537
88,746.0007,0.6872226
89,754.3701,0.6872086
90,761.8789,0.6872499
91,770.4514,0.6872426
92,778.9034,0.6872554
93,787.439,0.6878168
94,795.7359,0.6871214
95,804.2503,0.6874124
96,812.8429,0.6882886
97,821.3473,0.6888521
98,829.8717,0.6888258
99,838.3292,0.6893258
100,846.8124,0.6893593
101,855.2799,0.6899301
102,863.8625,0.6893548
103,872.4662,0.6899122
104,880.8925,0.6899293
105,889.4226,0.6899038
106,897.9438,0.6899518
107,906.5263,0.6898051
108,915.1757,0.6898013
109,923.5139,0.6897382
110,932.0139,0.689727
111,940.5765,0.6900187
112,949.1702,0.6905819
113,957.6847,0.6905758
114,966.1065,0.6905032
115,974.6266,0.6921581
116,983.121,0.6927268
117,991.7348,0.6927436
118,1000.219,0.6929268
119,1008.613,0.6931531
120,1017.129,0.6934322
121,1025.607,0.6937096
122,1034.216,0.693801
123,1042.855,0.6941002
124,1051.246,0.6941707
125,1059.77,0.6941095
126,1068.327,0.6943416
127,1076.753,0.6953353
128,1085.314,0.6954087
129,1093.739,0.6953899
130,1102.318,0.6955181
131,1110.843,0.6954484
132,1119.389,0.6954078
133,1127.893,0.6954334
134,1136.308,0.6955866
135,1144.848,0.6957094
136,1153.31,0.695707
137,1161.893,0.7018723
138,1170.299,0.7020101
139,1178.809,0.7025975
140,1187.356,0.7033017
141,1194.927,0.7036799
142,1203.396,0.7035662
143,1212.061,0.7051554
144,1220.497,0.7052855
145,1228.986,0.705427
146,1237.549,0.7056919
147,1246.168,0.7060159
148,1254.766,0.7059714
149,1263.156,0.7060719
150,1271.66,0.7061054
151,1280.155,0.706147
152,1288.685,0.7053488
153,1297.236,0.7051934
154,1305.787,0.7048127
155,1314.313,0.7047169
156,1322.827,0.7049174
157,1331.388,0.7051424
158,1339.834,0.7048864
159,1348.268,0.7045369
160,1356.924,0.7054742
161,1365.61,0.7055584
162,1374.314,0.705782
163,1382.814,0.705906
164,1391.282,0.7067435
165,1399.812,0.7071488
166,1408.375,0.7085985
167,1417.035,0.7086282
168,1425.597,0.7086693
169,1433.955,0.7110839
170,1442.501,0.7112337
171,1451.216,0.7112372
172,1459.736,0.7111478
173,1468.302,0.7123345
174,1476.672,0.7122169
175,1485.266,0.7124992
176,1493.786,0.7125823
177,1502.421,0.7126648
178,1510.952,0.7133054
179,1519.374,0.7139075
180,1527.921,0.7139442
181,1536.488,0.7138626
182,1545.076,0.7145019
183,1553.788,0.714908
184,1562.345,0.714942
185,1571.015,0.7149499
186,1579.753,0.714963
187,1588.408,0.7151172
188,1597.002,0.7149155
189,1605.615,0.7148338
190,1614.25,0.7142264
191,1622.812,0.7143191
192,1631.472,0.7148337
193,1640.201,0.7152406
194,1648.701,0.7156157
195,1657.06,0.7158481
196,1664.751,0.7164465
197,1673.328,0.7166556
198,1681.891,0.7165346
199,1690.659,0.7172125
200,1699.191,0.716941
201,1707.799,0.7171693
202,1716.413,0.7168906
203,1724.923,0.7167038
204,1733.568,0.7165967
205,1742.066,0.7165223
206,1750.764,0.7162875
207,1759.473,0.7164038
208,1767.999,0.7163559
209,1776.581,0.7163833
210,1785.002,0.7162424
211,1793.532,0.7158481
212,1802.193,0.7160707
213,1810.811,0.7159672
214,1819.44,0.71633
215,1828.039,0.7161613
216,1836.554,0.7159357
217,1845.209,0.7162014
218,1853.74,0.7159608
219,1862.343,0.7164841
220,1870.874,0.7160467
221,1879.499,0.7158664
222,1888.035,0.7167401
223,1896.66,0.7169436
224,1905.217,0.718151
225,1913.826,0.7185182
226,1922.268,0.7192341
227,1930.835,0.7197664
228,1939.423,0.7203989
229,1947.99,0.7208871
230,1956.578,0.7214201
231,1965.124,0.7212616
232,1973.624,0.7214653
233,1982.222,0.7220866
234,1990.82,0.7223143
235,1999.414,0.7223276
236,2008.033,0.7223629
237,2016.803,0.7224262
238,2025.329,0.7226659
239,2033.89,0.7228675
240,2042.504,0.7228888
241,2050.889,0.7229391
242,2059.514,0.7224975
243,2068.101,0.7227048
244,2076.787,0.7228999
245,2085.287,0.7231197
246,2093.694,0.7230068
247,2102.349,0.7230528
248,2110.974,0.7228078
249,2119.519,0.7227234
250,2127.237,0.723002
251,2135.959,0.7230085
252,2144.789,0.7233194
253,2153.377,0.7231723
254,2161.969,0.7228118
255,2170.755,0.7230481
256,2179.427,0.7232815
257,2188.046,0.7234887
258,2196.743,0.7235433
259,2205.383,0.7234886
260,2214.096,0.7235679
261,2222.675,0.7236146
262,2231.111,0.7236027
263,2239.783,0.7234391
264,2248.475,0.7233765
265,2257.093,0.7235369
266,2265.707,0.7239585
267,2274.377,0.72383
268,2282.85,0.7240492
269,2291.407,0.7239666
270,2300.032,0.7239537
271,2308.676,0.7240941
272,2317.254,0.7242132
273,2325.801,0.7240552
274,2334.368,0.7242838
275,2342.878,0.7242233
276,2351.492,0.7242981
277,2360.052,0.7241378
278,2368.521,0.7241487
279,2377.124,0.7242146
280,2385.66,0.7242883
281,2394.29,0.7245854
282,2402.835,0.7244471
283,2411.318,0.7245671
284,2419.833,0.7248826
285,2428.462,0.7248807
286,2437.128,0.7249095
287,2445.613,0.7250091
288,2454.049,0.7249009
289,2462.61,0.724816
290,2471.368,0.7246689
291,2479.925,0.7246386
292,2488.503,0.7244547
293,2497.022,0.7244463
294,2505.626,0.724769
295,2513.369,0.7249645
296,2522.009,0.7250508
297,2530.603,0.724977
298,2539.118,0.7246972
299,2547.596,0.7248634
300,2556.226,0.7250325
301,2564.787,0.7252161
302,2573.353,0.7253642
303,2581.861,0.7256261
304,2590.329,0.7257017
305,2598.845,0.7254919
306,2607.407,0.7255897
307,2616.041,0.7256088
308,2624.618,0.7259585
309,2633.065,0.7259358
310,2641.585,0.7261101
311,2650.101,0.726002
312,2658.642,0.7260516
313,2667.205,0.7260603
314,2675.674,0.72596
315,2684.225,0.725659
316,2692.772,0.7257882
317,2701.381,0.7258539
318,2709.88,0.7257038
319,2718.363,0.725411
320,2726.832,0.7255064
321,2735.414,0.7257062
322,2743.954,0.7256613
323,2752.52,0.7256332
324,2760.915,0.7257519
325,2769.431,0.725633
326,2777.988,0.725661
327,2786.472,0.7257201
328,2795.16,0.725467
329,2803.566,0.7253843
330,2812.05,0.725466
331,2820.492,0.7252154
332,2829.117,0.7250158
333,2837.664,0.7248994
334,2846.002,0.724789
335,2854.487,0.7249931
336,2862.929,0.7250135
337,2871.362,0.7249749
338,2879.817,0.7248975
339,2888.254,0.7248004
340,2896.759,0.7246284
341,2905.242,0.7244626
342,2913.817,0.7243745
343,2922.269,0.7243498
344,2930.738,0.7242586
345,2939.129,0.7243789
346,2947.628,0.7244058
347,2956.159,0.7244179
348,2964.517,0.7243007
349,2972.939,0.7243207
350,2981.439,0.7242902
351,2990.005,0.7241266
352,2998.489,0.7242658
353,3006.837,0.7241075
354,3015.445,0.7242114
355,3023.93,0.724316
356,3032.377,0.7243794
357,3039.933,0.7242925
358,3048.277,0.7241442
359,3056.802,0.7242448
360,3065.349,0.724186
361,3073.865,0.7241769
362,3082.349,0.7241511
363,3090.693,0.7240246
364,3099.182,0.7238601
365,3107.776,0.7237754
366,3116.378,0.7237683
367,3124.847,0.723749
368,3133.256,0.7235359
369,3141.755,0.7237248
370,3150.255,0.7236763
371,3158.66,0.7237239
372,3167.128,0.7235693
