Iteration,Time,AUC
1,27.25822,0.776781
2,51.45339,0.7856833
3,74.54595,0.7911412
4,98.54916,0.7954653
5,122.0368,0.7986518
6,146.0857,0.8016446
7,170.1133,0.8037882
8,194.0322,0.8063977
9,217.9572,0.8087456
10,241.9305,0.8107775
11,266.8656,0.8121556
12,291.7707,0.813887
13,315.7527,0.8147941
14,341.4735,0.8158239
15,366.4629,0.8169029
16,390.7518,0.8178852
17,415.3375,0.8184443
18,439.0413,0.819539
19,463.6583,0.8202279
20,487.8947,0.8209932
21,512.1904,0.8215483
22,537.2092,0.8223064
23,562.3544,0.8228312
24,586.4757,0.8235046
25,611.4008,0.8238405
26,636.0734,0.8245268
27,660.3323,0.8248889
28,685.4136,0.8251324
29,710.3956,0.8256503
30,734.9444,0.8261529
31,759.2558,0.826342
32,783.1796,0.8265215
33,807.8491,0.8268873
34,830.0686,0.8272181
35,853.9949,0.8273893
36,879.3375,0.8278674
37,904.6476,0.8285044
38,928.6365,0.8287635
39,952.941,0.8289118
40,976.8705,0.8291488
41,1002.034,0.829449
42,1026.153,0.8295423
43,1050.244,0.8296916
44,1074.228,0.8300024
45,1098.637,0.8304104
46,1123.71,0.8307092
47,1148.369,0.8307819
48,1173.169,0.8309361
49,1196.444,0.8309726
50,1220.853,0.8310558
51,1245.289,0.831162
52,1269.553,0.8314154
53,1293.302,0.8314656
54,1317.132,0.8319489
55,1341.228,0.8321995
56,1365.741,0.8324486
57,1390.052,0.8325201
58,1414.76,0.8325792
59,1439.337,0.8327673
60,1464.045,0.8330797
61,1488.231,0.8331331
62,1513.193,0.8334195
63,1537.2,0.8335043
64,1561.553,0.8335764
65,1585.593,0.8336352
66,1609.73,0.8337057
67,1635.167,0.8338498
68,1659.935,0.833912
69,1684.257,0.834128
70,1708.573,0.8345492
71,1732.828,0.8346889
72,1757.04,0.8350186
73,1781.929,0.8350896
74,1805.813,0.8351401
75,1830.09,0.8352482
76,1854.421,0.8353919
77,1878.485,0.8355248
78,1902.044,0.835516
79,1926.125,0.8357141
80,1950.265,0.8358878
81,1975.508,0.8360503
82,1999.51,0.8362319
83,2024.278,0.8364758
84,2048.431,0.8368135
85,2073.605,0.8369857
86,2098.354,0.8370892
87,2122.247,0.8371401
88,2146.342,0.8371693
89,2170.283,0.8372873
90,2193.9,0.8373147
91,2219.14,0.8374391
92,2244.799,0.8375088
93,2269.165,0.8375739
94,2294.704,0.8376847
95,2320.326,0.8379025
96,2344.605,0.8379342
97,2368.046,0.8379728
98,2390.656,0.8379825
99,2414.904,0.8380711
100,2439.776,0.8382178
101,2463.488,0.8383078
102,2488.483,0.838448
103,2512.59,0.8384751
104,2535.948,0.8385174
105,2560.795,0.838665
106,2585.313,0.8386943
107,2609.385,0.8386968
108,2632.955,0.8387123
109,2656.925,0.8387144
110,2680.437,0.8387226
111,2703.768,0.8389056
112,2729.254,0.8390562
113,2754.401,0.8392974
114,2779.395,0.8394215
115,2802.878,0.8394498
116,2826.817,0.8394469
117,2851.393,0.839479
118,2873.548,0.8394937
119,2896.942,0.839507
120,2921.485,0.8394966
121,2945.342,0.839506
122,2969.922,0.8396205
123,2994.656,0.8396665
124,3019.342,0.8396926
125,3043.075,0.839685
126,3067.647,0.8397406
127,3091.674,0.8397282
128,3116.207,0.8397845
129,3141.893,0.8398556
130,3166.908,0.8399547
131,3191.928,0.840084
132,3216.395,0.840161
133,3240.935,0.8403377
134,3265.344,0.8404341
135,3288.786,0.8404446
136,3312.147,0.8404458
137,3335.688,0.8404638
138,3360.25,0.8404841
139,3383.537,0.8404775
140,3407.675,0.8404622
141,3431.613,0.8404901
142,3456.534,0.8405283
143,3481.378,0.8405831
144,3505.272,0.8405845
145,3530.754,0.8406595
146,3555.632,0.8407165
147,3580.766,0.8408998
148,3604.847,0.8409248
149,3628.519,0.8409437
150,3652.849,0.8409613
151,3676.581,0.8410048
152,3701.036,0.8411637
153,3724.866,0.8411771
154,3748.766,0.8411896
155,3772.671,0.8412579
156,3796.784,0.8412594
157,3821.297,0.8412645
158,3842.394,0.8412654
159,3866.75,0.8413007
160,3891.35,0.8416342
161,3915.863,0.8418668
162,3940.244,0.8420092
163,3964.115,0.8420199
164,3988.426,0.8420737
165,4012.22,0.842134
166,4036.006,0.8421282
167,4059.509,0.8421571
168,4083.634,0.8421673
169,4108.675,0.84227
170,4133.298,0.8423635
171,4158.431,0.8425103
172,4182.893,0.8426253
173,4208.105,0.8427078
174,4233.507,0.8427868
175,4258.464,0.8429314
176,4282.504,0.8429523
177,4308.168,0.8430521
178,4332.603,0.8430568
179,4357.105,0.8430754
180,4381.057,0.8430785
181,4406.127,0.8431288
182,4431.293,0.8432672
183,4454.76,0.8432746
184,4479.052,0.8433821
185,4503.44,0.8434472
186,4528.144,0.8434808
187,4552.022,0.8434639
188,4577.146,0.8435189
189,4601.138,0.8435993
190,4625.99,0.843592
191,4649.741,0.8435957
192,4673.785,0.8435892
193,4697.621,0.8435904
194,4722.239,0.8437495
195,4745.552,0.8437603
196,4769.853,0.8437606
197,4793.99,0.8438091
198,4818.614,0.8438457
199,4843.852,0.8438702
200,4868.606,0.8439035
