Iteration,Time,AUC
1,16.98626,0.7402674
2,30.04319,0.7493173
3,43.32757,0.7585095
4,56.37448,0.7652821
5,69.51389,0.7710355
6,82.74835,0.7758646
7,95.9189,0.7801204
8,109.3284,0.7831078
9,122.7602,0.7867189
10,136.3415,0.7890313
11,149.0478,0.7912001
12,161.7297,0.7928153
13,174.7541,0.7943277
14,188.0923,0.7956934
15,201.2642,0.7969716
16,214.8611,0.7976462
17,227.8142,0.7985607
18,240.8911,0.7994834
19,253.9837,0.8002821
20,267.1911,0.8010474
21,280.0025,0.8014987
22,292.9969,0.8026714
23,306.0282,0.8033417
24,319.3607,0.8038248
25,332.3863,0.8046314
26,344.1452,0.8051277
27,357.4833,0.8055627
28,370.3627,0.8059795
29,383.5603,0.8065037
30,396.309,0.8068619
31,409.4671,0.8075186
32,423.0028,0.8079232
33,436.3879,0.808025
34,449.1991,0.8082573
35,462.3954,0.8086241
36,475.5661,0.8095005
37,488.6899,0.8096121
38,501.6062,0.809785
39,514.8093,0.8100708
40,527.6206,0.810314
41,540.7488,0.8106659
42,554.2488,0.8110408
43,567.2632,0.8112285
44,580.4257,0.811376
45,593.5026,0.8115746
46,606.2927,0.8119581
47,619.3596,0.8121861
48,632.4846,0.8123713
49,645.5784,0.812541
50,658.4891,0.8126707
51,671.5204,0.8129274
52,684.4835,0.8131683
53,697.4042,0.8134414
54,711.0592,0.8136182
55,724.298,0.8136229
56,737.4062,0.8138754
57,750.3893,0.8139533
58,763.3112,0.814178
59,777.0789,0.8142448
60,790.5676,0.8143806
61,803.7695,0.8144808
62,816.7991,0.8147417
63,830.3266,0.8150417
64,843.5027,0.8154295
65,856.6747,0.8157481
66,869.2784,0.8158287
67,881.8766,0.8161986
68,895.1423,0.816376
69,907.0004,0.8165522
70,920.4723,0.8168148
71,933.6286,0.816953
72,946.8474,0.8170241
73,959.8874,0.8170558
74,972.8875,0.8171927
75,986.5169,0.8173732
76,999.3807,0.8175119
77,1012.047,0.8178604
78,1025.333,0.8180006
79,1038.163,0.8181405
80,1051.366,0.8182973
81,1064.303,0.8183295
82,1077.38,0.8183619
83,1090.535,0.8184364
84,1103.706,0.8186397
85,1116.705,0.8189127
86,1129.537,0.8189449
87,1142.397,0.8191197
88,1155.782,0.8192215
89,1168.86,0.8193689
90,1182.094,0.8195059
91,1195.114,0.8198123
92,1208.316,0.8198676
93,1221.549,0.8199161
94,1234.335,0.8199403
95,1246.923,0.8202271
96,1260.344,0.820421
97,1273.547,0.8206015
98,1286.989,0.8207316
99,1299.867,0.8208684
100,1313.114,0.8208748
101,1325.91,0.821094
102,1339.113,0.8211388
103,1351.96,0.8211811
104,1365.092,0.8212259
105,1378.053,0.8212836
106,1391.407,0.8213615
107,1404.786,0.8214087
108,1417.864,0.8214423
109,1430.796,0.8214486
110,1443.936,0.8215834
111,1456.913,0.8216192
112,1469.929,0.8217044
113,1483.208,0.8218943
114,1496.218,0.8220019
115,1508.941,0.8221567
116,1520.741,0.8223885
117,1533.491,0.8225551
118,1546.772,0.8226106
119,1559.983,0.8226621
120,1572.711,0.8226984
121,1585.971,0.8227777
122,1599.11,0.8228193
123,1612.239,0.8229251
124,1625.505,0.8231043
125,1638.421,0.823126
126,1651.671,0.8232004
127,1664.362,0.8232341
128,1677.736,0.8233587
129,1691.022,0.8234889
130,1704.157,0.8235238
131,1717.313,0.8236454
132,1730.297,0.8238367
133,1743.505,0.8238962
134,1756.379,0.8238961
135,1769.579,0.8239588
136,1783.209,0.8240339
137,1796.468,0.824087
138,1809.331,0.8242327
139,1822.617,0.8243511
140,1836.069,0.8244088
141,1849.266,0.8244213
142,1862.693,0.8244552
143,1875.921,0.8244963
144,1888.993,0.824499
145,1902.659,0.8246558
146,1915.553,0.8246782
147,1929.11,0.824786
148,1942.353,0.8248835
149,1955.144,0.8249614
150,1968.477,0.8250741
151,1981.626,0.8251568
152,1994.5,0.8252967
153,2007.571,0.8253525
154,2020.759,0.8253593
155,2034.019,0.8254227
156,2047.742,0.8254942
157,2061.08,0.8255933
158,2074.454,0.8256348
159,2087.985,0.8256803
160,2100.923,0.8257834
161,2113.661,0.8258766
162,2126.365,0.825902
163,2138.517,0.8260376
164,2152.225,0.8260871
165,2165.348,0.8261428
166,2178.915,0.826282
167,2192.352,0.8263186
168,2205.752,0.8264493
169,2218.959,0.8264965
170,2231.869,0.8266158
171,2245.082,0.8267288
172,2258.47,0.8267638
173,2271.188,0.8267829
174,2284.61,0.8268216
175,2297.759,0.8268989
176,2311.164,0.8269174
177,2323.695,0.8269392
178,2336.879,0.8270397
179,2350.071,0.827055
180,2362.835,0.8270972
181,2375.585,0.8271764
182,2388.802,0.8271918
183,2402.567,0.8272237
184,2415.913,0.8272938
185,2429.303,0.8273417
186,2442.229,0.8274164
187,2455.035,0.8274245
188,2468.399,0.8274937
189,2481.35,0.8275025
190,2494.173,0.827592
191,2507.572,0.8276112
192,2520.739,0.8276478
193,2534.411,0.8276903
194,2546.956,0.8278217
195,2559.742,0.8278545
196,2572.569,0.8279112
197,2585.13,0.8280271
198,2598.368,0.8280663
199,2611.251,0.8281277
200,2624.213,0.8282311
201,2637.27,0.828292
202,2650.739,0.8283802
203,2664.316,0.8284437
204,2677.558,0.828455
205,2690.355,0.828545
206,2703.87,0.8286494
207,2716.775,0.8287106
208,2729.618,0.8287203
209,2742.257,0.828729
210,2755.396,0.8287432
211,2768.541,0.8287597
212,2781.978,0.8288005
213,2794.988,0.8288255
214,2808.352,0.8288489
215,2821.565,0.8288689
216,2834.632,0.8288974
217,2848.193,0.8289225
218,2861.071,0.828993
219,2874.305,0.828991
220,2887.32,0.8289973
221,2900.039,0.8289962
222,2913.116,0.8290572
223,2926.337,0.8291253
224,2939.777,0.8291461
225,2952.746,0.8292207
226,2965.637,0.8292614
227,2978.741,0.8293267
228,2991.978,0.829344
229,3004.761,0.8293463
230,3018.089,0.8293484
231,3031.646,0.829371
232,3044.51,0.8294145
233,3057.645,0.8294608
234,3070.962,0.8294817
235,3083.915,0.8295052
236,3097.113,0.8295208
237,3110.316,0.8295698
238,3123.508,0.82962
239,3135.808,0.8297256
240,3148.447,0.8297604
241,3161.509,0.8297677
242,3175.053,0.829829
243,3188.286,0.8298276
244,3201.051,0.829831
245,3214.024,0.8298527
246,3226.617,0.8299261
247,3239.668,0.8299385
248,3252.745,0.8299481
249,3266.135,0.8299578
250,3279.588,0.830049
251,3293.113,0.8300306
252,3306.762,0.8301349
253,3319.823,0.8301302
254,3332.947,0.8301992
255,3346.369,0.8302602
256,3359.598,0.8302749
257,3372.976,0.8302917
258,3386.039,0.8303111
259,3399.324,0.8303506
260,3412.083,0.8304133
261,3425.275,0.8305148
262,3437.836,0.8305288
263,3450.319,0.8306747
264,3463.215,0.8306746
265,3476.489,0.8306897
266,3489.723,0.8307129
267,3502.476,0.8308371
