Iteration,Time,AUC
1,64.37458,0.5007766
2,115.091,0.5010806
3,168.0599,0.5036728
4,220.4707,0.5038978
5,273.1672,0.5056281
6,325.6517,0.5051372
7,378.0188,0.5078178
8,430.3727,0.5091072
9,482.8104,0.5099306
10,535.4555,0.5105455
11,588.4077,0.5106106
12,640.911,0.5131903
13,693.3743,0.5144434
14,745.8432,0.5150349
15,798.2966,0.5151647
16,851.5355,0.5159121
17,903.9889,0.5168987
18,956.0981,0.517948
19,1007.91,0.5183695
20,1059.648,0.5192372
21,1111.304,0.5190999
22,1163.054,0.5210846
23,1214.563,0.5213846
24,1265.786,0.5219353
25,1316.41,0.5230823
26,1367.192,0.523184
27,1417.843,0.524736
28,1468.225,0.5281913
29,1518.459,0.5289916
30,1568.911,0.52926
31,1618.942,0.5298525
32,1668.992,0.5310246
33,1718.908,0.53202
34,1768.772,0.5318823
35,1818.626,0.5317413
36,1868.474,0.5319149
37,1918.427,0.533908
38,1968.338,0.5344685
39,2018.192,0.5350748
40,2068.192,0.5352661
41,2118.244,0.5369163
42,2168.4,0.5368807
43,2218.868,0.5374005
44,2269.29,0.5375908
45,2319.945,0.5384228
46,2369.715,0.5383921
47,2420.558,0.5383795
48,2471.355,0.5399291
49,2522.793,0.5404137
50,2574.163,0.5410667
51,2625.629,0.541036
52,2677.232,0.543845
53,2729.101,0.5440074
54,2781.011,0.544827
55,2832.713,0.5456616
56,2884.624,0.5459161
57,2936.515,0.5461215
58,2988.921,0.5468454
59,3041.296,0.5473628
60,3093.732,0.5493502
61,3146.31,0.5494857
62,3198.695,0.5499497
63,3251.149,0.5518428
64,3303.434,0.5522489
65,3356.335,0.5532236
66,3408.965,0.5533694
67,3461.323,0.5542773
68,3513.5,0.5546735
69,3565.854,0.5552843
70,3618.729,0.5555165
71,3670.979,0.5559662
72,3723.104,0.5576936
73,3775.14,0.5581364
74,3827.572,0.5588541
75,3878.827,0.5593346
76,3930.155,0.559874
77,3981.468,0.5605754
78,4032.582,0.561653
79,4083.113,0.5619926
80,4133.879,0.5621219
81,4184.301,0.5625888
82,4234.692,0.5629805
83,4284.905,0.562935
84,4335.155,0.5632703
85,4384.95,0.5641771
86,4434.841,0.5647615
87,4484.809,0.5652519
88,4534.7,0.5652723
89,4584.502,0.5660172
90,4634.393,0.566436
91,4684.312,0.5668501
92,4734.206,0.5672867
93,4784.066,0.5676139
94,4834.169,0.5681272
95,4884.19,0.5682136
96,4934.397,0.5746779
97,4985.298,0.5753453
98,5035.736,0.5755637
99,5086.475,0.5761203
100,5137.506,0.5762756
101,5188.521,0.5766588
102,5239.724,0.5768441
103,5291.155,0.5769865
104,5342.796,0.5773306
105,5394.816,0.5780264
106,5446.659,0.5791546
107,5498.335,0.5793869
108,5550.163,0.5799733
109,5602.132,0.5803518
110,5654.516,0.5805749
111,5706.04,0.5806623
112,5758.534,0.5813658
113,5810.878,0.5817032
114,5863.33,0.5818092
115,5916.346,0.5833872
116,5968.96,0.5834956
117,6021.632,0.5838221
118,6074.017,0.5838789
119,6126.439,0.5842416
120,6178.846,0.5844721
121,6231.112,0.5850184
122,6283.824,0.5855555
123,6335.823,0.5859023
124,6388.353,0.5864908
