Iteration,Time,AUC
1,65.91647,0.5007025
2,116.2804,0.5005582
3,169.0193,0.5031113
4,221.7326,0.5034734
5,274.0141,0.5044433
6,327.2006,0.5040394
7,380.5133,0.5068403
8,433.6729,0.5079143
9,486.6575,0.5080163
10,540.0171,0.5093773
11,592.3966,0.509583
12,644.7975,0.5104988
13,697.8133,0.5111831
14,749.7342,0.5122294
15,801.7032,0.5136753
16,853.5515,0.5144025
17,905.3273,0.5164156
18,957.2181,0.5185593
19,1009.562,0.5191917
20,1061.67,0.5194807
21,1113.831,0.5209408
22,1165.977,0.5216571
23,1218.19,0.5235114
24,1270.538,0.5242501
25,1322.955,0.5250834
26,1375.252,0.5268375
27,1427.235,0.52755
28,1479.49,0.5264468
29,1531.76,0.5270283
30,1584.182,0.5304191
31,1637.349,0.5305952
32,1690.41,0.5305968
33,1743.665,0.5324743
34,1796.743,0.5343164
35,1849.175,0.5365106
36,1902.475,0.5371925
37,1955.569,0.5369776
38,2008.772,0.537287
39,2061.976,0.5378502
40,2115.059,0.5387573
41,2168.574,0.5392018
42,2221.309,0.540404
43,2274.741,0.5402012
44,2327.726,0.5402092
45,2380.896,0.540842
46,2433.709,0.5416408
47,2486.276,0.5414837
48,2539.072,0.5418828
49,2591.76,0.5438485
50,2644.233,0.5438836
51,2696.728,0.545413
52,2748.322,0.5457454
53,2800.758,0.5460558
54,2852.602,0.5462836
55,2903.884,0.5464521
56,2955.181,0.5468857
57,3006.118,0.5479695
58,3057.32,0.5477952
59,3108.055,0.5480746
60,3158.638,0.5484899
61,3209.391,0.549232
62,3259.65,0.5494851
63,3310.33,0.5498783
64,3360.674,0.5500285
65,3410.699,0.5504008
66,3461.376,0.5513127
67,3511.704,0.5517825
68,3562.214,0.551847
69,3612.776,0.5547747
70,3663.057,0.5559751
71,3714.009,0.5567147
72,3765.061,0.5574215
73,3816.092,0.557951
74,3867.263,0.5586142
75,3918.205,0.5590459
76,3969.737,0.5596756
77,4021.407,0.5597391
78,4072.986,0.5605324
79,4125.11,0.5610034
80,4175.942,0.5611929
81,4228.271,0.5615397
82,4280.738,0.5614678
83,4333.374,0.5619784
84,4386.249,0.5619915
85,4439.14,0.5625166
86,4492.718,0.5625402
87,4545.488,0.5628451
88,4598.263,0.5630067
89,4651.486,0.5635
90,4704.366,0.5644281
91,4757.96,0.5647709
92,4811.126,0.5651337
93,4864.111,0.5706954
94,4917.468,0.5711361
95,4970.718,0.5712571
96,5023.769,0.5713081
97,5077.087,0.5723106
98,5129.852,0.5724728
99,5182.472,0.5724778
100,5235.269,0.573097
101,5287.566,0.5730646
102,5340.118,0.5734585
103,5392.534,0.5736763
104,5445.191,0.5746787
105,5497.285,0.5750041
106,5549.145,0.5752629
107,5599.976,0.5757583
108,5651.194,0.5759681
109,5702.367,0.5766546
110,5753.689,0.5772563
111,5804.823,0.5773352
112,5855.74,0.5775437
113,5906.474,0.578198
114,5956.696,0.5783463
115,6006.894,0.5788505
116,6057.207,0.5789933
117,6107.473,0.5792798
118,6158.067,0.5799495
119,6208.587,0.5804694
