Iteration,Time,AUC
1,13.95504,0.6067785
2,14.47071,0.6067788
3,14.97067,0.6067845
4,15.48628,0.6067827
5,16.00196,0.6067824
6,16.51756,0.6067823
7,17.03322,0.6067881
8,17.59571,0.606801
9,18.1582,0.6068098
10,18.68943,0.6068097
11,19.2563,0.6068091
12,19.78755,0.60681
13,20.36573,0.6077369
14,20.91259,0.609144
15,21.44384,0.6091438
16,21.99072,0.6091489
17,22.56886,0.6091501
18,23.10013,0.6091483
19,23.63138,0.6091495
20,24.17824,0.6091478
21,24.71946,0.609147
22,25.23949,0.6091476
23,25.75509,0.6091491
24,26.25513,0.6091526
25,26.80196,0.609137
26,26.33762,0.6091413
27,26.85329,0.6091436
28,27.40017,0.6091432
29,27.93136,0.6091435
30,28.44702,0.6091434
31,29.00952,0.6091423
32,29.5252,0.6091436
33,30.08761,0.6091433
34,30.72262,0.6504785
35,31.2539,0.6519665
36,31.78517,0.6519664
37,32.44576,0.6629409
38,33.10204,0.6629413
39,33.72704,0.6626571
40,34.39891,0.6639555
41,35.02392,0.6639546
42,35.71144,0.6639569
43,36.36768,0.6639572
44,37.00828,0.6639555
45,37.6746,0.6640561
46,38.33515,0.6640572
47,39.05391,0.6714762
48,39.7258,0.673045
49,40.36649,0.6714889
50,41.00704,0.6714891
51,41.6633,0.6714812
52,42.36644,0.6714797
53,43.03836,0.6714689
54,43.73586,0.6730179
55,44.44334,0.6730193
56,45.14085,0.6730118
57,45.84397,0.6730234
58,46.50022,0.6730207
59,47.22337,0.6730144
60,47.94208,0.6730227
61,48.66084,0.6733901
62,49.49209,0.6732995
63,50.21968,0.6732259
64,50.93959,0.6729098
65,51.6471,0.6730709
66,52.36585,0.6729522
67,53.1003,0.6729547
68,53.84461,0.675357
69,54.55211,0.6753411
70,55.28653,0.6754901
71,56.03654,0.6796129
72,56.74404,0.6795878
73,57.46276,0.6795966
74,58.2909,0.6795455
75,59.04093,0.679998
76,59.79093,0.6800423
77,60.51969,0.6799797
78,61.28726,0.6799787
79,62.05097,0.6807461
80,62.80095,0.6808078
81,63.53529,0.6808577
82,64.26969,0.6810483
83,65.08659,0.6817998
84,65.83655,0.6818108
85,66.61659,0.6818211
86,67.41343,0.6830244
87,68.18907,0.6830479
88,68.98597,0.6830278
89,69.73595,0.6829595
90,70.56412,0.6829986
91,71.33415,0.6830178
92,72.11539,0.6829179
93,72.89098,0.6829373
94,73.73912,0.6828292
95,74.50475,0.6828489
96,75.27045,0.6854454
97,76.03604,0.6854425
98,76.80162,0.686382
99,77.56727,0.6863938
100,78.36412,0.6878567
101,79.19663,0.6878625
102,79.94662,0.6878849
103,80.75917,0.6878796
104,81.53479,0.6887754
105,82.31606,0.6888656
106,83.06605,0.6890167
107,83.83165,0.688872
108,84.64415,0.6902667
109,85.44106,0.6902675
110,86.22227,0.6902739
111,87.08611,0.6911035
112,87.89294,0.6911557
113,88.6898,0.6910546
114,89.47105,0.6902574
115,90.28356,0.6909316
116,91.06481,0.6900664
117,91.8617,0.6900212
118,92.59608,0.6899901
119,93.39295,0.6899329
120,94.20987,0.6899764
121,95.01673,0.6899284
122,95.82921,0.6897858
123,96.57922,0.6896958
124,97.42744,0.6900798
125,98.19297,0.6907987
126,98.9743,0.6907982
127,99.79117,0.6907537
128,100.5724,0.6909652
129,101.3536,0.6910355
130,102.1818,0.691143
131,102.9474,0.6910438
132,103.7756,0.691252
133,104.5881,0.6917555
134,105.4006,0.6918383
135,106.1974,0.6919647
136,107.0412,0.6928942
137,107.8537,0.6934171
138,108.6193,0.6936682
139,109.4631,0.6940562
140,110.26,0.6940209
141,111.0724,0.6943218
142,111.9631,0.6944496
143,112.7912,0.6946209
144,113.6137,0.6948601
145,114.4731,0.6954288
146,115.3012,0.6957128
147,116.1293,0.6959323
148,116.9418,0.6961724
149,117.7843,0.6979776
150,118.6125,0.6980491
151,119.4719,0.6984753
152,120.2844,0.6988421
153,121.1794,0.6985118
154,121.9762,0.6986189
155,122.7988,0.6986612
156,123.6112,0.6987776
157,124.4706,0.6990233
158,125.2988,0.6994146
159,126.1269,0.6998384
160,126.9863,0.699581
161,127.9081,0.7049398
162,128.83,0.7051216
163,129.897,0.7054036
164,130.8501,0.706318
165,131.8657,0.7052859
166,132.9126,0.705421
167,133.8813,0.7056668
168,134.8757,0.7056526
169,135.8601,0.7058463
170,136.7194,0.706107
171,137.7194,0.7061855
172,138.7663,0.7063192
173,139.7195,0.7062287
174,140.7507,0.7062448
175,141.7351,0.7064109
176,142.5832,0.7064468
177,143.5364,0.7065911
178,144.5989,0.7069193
179,145.552,0.7067454
180,146.552,0.7080178
181,147.4739,0.7084915
182,148.4583,0.7084725
183,149.4314,0.7084995
184,150.4471,0.7085964
185,151.4314,0.7084385
186,152.3845,0.7084711
187,153.4158,0.7089463
188,154.3689,0.7092692
189,155.379,0.7094107
190,156.207,0.7093032
191,157.1758,0.7091554
192,158.1802,0.7090883
193,159.2271,0.7091058
194,160.2739,0.7091761
195,161.2115,0.7094681
196,162.0708,0.7095635
197,163.0396,0.7095662
198,164.0084,0.7100275
199,164.899,0.7100495
200,165.899,0.7100401
201,166.7115,0.7103985
202,167.6177,0.7104123
203,168.4146,0.7099769
204,169.2272,0.7099279
205,170.1802,0.709849
206,171.1178,0.7098751
207,171.9928,0.7098861
208,172.8834,0.7099989
209,173.8153,0.7100158
210,174.6947,0.7099505
211,175.5228,0.7092545
212,176.4134,0.7092885
213,177.304,0.7103025
214,178.2359,0.7100818
215,179.111,0.7104134
216,180.0797,0.710315
217,180.9703,0.7105293
218,181.8922,0.7104257
219,182.8185,0.7103468
220,183.8497,0.7108671
221,184.7134,0.7107513
222,185.6353,0.7104217
223,186.6298,0.7106898
224,187.5091,0.7108259
225,188.5091,0.7109483
226,189.4623,0.7109882
227,190.4466,0.71123
228,191.306,0.7112629
229,192.2847,0.711658
230,193.2222,0.711746
231,194.2735,0.7117192
232,195.1429,0.7117474
233,196.1742,0.7117419
234,197.0023,0.711723
235,198.0023,0.7119462
236,199.0023,0.7116648
