Iteration,Time,AUC
1,18.15197,0.7699395
2,21.30577,0.7788033
3,24.27888,0.7843359
4,27.34446,0.7889043
5,30.43703,0.7923491
6,33.51391,0.7959223
7,36.58643,0.7986862
8,39.68889,0.8014172
9,42.55578,0.8038994
10,45.34587,0.8059043
11,48.204,0.8074979
12,51.16947,0.8088986
13,53.8765,0.8100872
14,56.68213,0.8112636
15,59.18532,0.8122981
16,61.84344,0.8129991
17,63.54531,0.8137125
18,66.0753,0.814413
19,68.93876,0.8153542
20,70.83853,0.8157977
21,73.56039,0.8166692
22,75.90417,0.8172591
23,77.98226,0.8178149
24,79.52669,0.8185043
25,81.60352,0.8189868
26,83.21731,0.8193715
27,86.08666,0.820016
28,88.04424,0.8203803
29,90.37668,0.8209222
30,92.02738,0.8211475
31,94.93232,0.8218789
32,96.84295,0.8221598
33,99.1811,0.8227956
34,100.4043,0.8228851
35,102.8417,0.8232087
36,105.643,0.8237321
37,107.2912,0.8238792
38,109.0611,0.8241165
39,110.888,0.824261
40,113.0743,0.8245044
41,115.6243,0.8249057
42,117.265,0.8250565
43,119.3843,0.8252975
44,121.0762,0.8255434
45,122.8931,0.8257496
46,124.8307,0.8259134
47,126.8876,0.8260991
48,129.1732,0.8264736
49,130.7826,0.8267281
50,132.2458,0.8268749
51,134.6038,0.827222
52,136.9945,0.827667
53,139.1182,0.8279168
54,141.6057,0.8282234
55,144.1257,0.828593
56,146.3701,0.8288099
57,148.3846,0.8289872
58,149.8395,0.8291164
59,151.0939,0.8291324
60,153.7433,0.8294547
61,155.3558,0.8295405
62,157.3758,0.8296653
63,159.2014,0.8298266
64,160.9846,0.830047
65,162.7165,0.8301427
66,164.1583,0.8301758
67,165.5008,0.8302139
68,167.2608,0.8303287
69,168.3433,0.8303875
70,170.8847,0.8307684
71,173.439,0.830981
72,175.5628,0.8311517
73,177.4821,0.8313058
74,178.8303,0.831336
75,180.339,0.8313976
76,183.4472,0.8316958
77,185.1591,0.8317684
78,187.6209,0.8320539
79,189.6053,0.8322226
80,190.5897,0.8322438
81,193.0104,0.8324099
82,194.576,0.8324757
83,195.9709,0.832536
84,197.3917,0.8325529
85,199.2767,0.8326522
86,201.5298,0.8327427
87,202.7985,0.8327564
88,204.9691,0.8328938
89,206.7592,0.8329751
90,208.9086,0.8331582
91,211.5011,0.8334302
92,214.4005,0.8336511
93,214.8623,0.8337135
94,217.0911,0.8339139
95,219.0742,0.8340069
96,220.6199,0.8340596
97,221.6074,0.8340654
98,223.7767,0.8341948
99,226.2655,0.8343162
100,228.4349,0.8343441
101,229.6368,0.8343928
102,231.6243,0.8344736
103,233.0931,0.8345179
104,235.0437,0.8345706
105,237.6862,0.8346741
106,239.5344,0.8347572
107,241.8,0.8348319
108,243.2206,0.8348921
109,246.2462,0.8351042
110,247.7806,0.8351534
111,250.1544,0.8352489
112,251.6588,0.8352932
113,253.5894,0.8353843
114,254.9094,0.8353936
115,256.1894,0.8354154
116,257.6413,0.8354498
117,260.2938,0.8356232
118,262.4988,0.8357269
119,264.2476,0.8358959
120,265.6514,0.8359308
121,266.947,0.8359512
122,269.1432,0.8360352
123,271.6589,0.8361667
124,272.8251,0.8361929
125,276.1083,0.8365043
126,278.452,0.8367105
127,279.9795,0.8367492
128,282.8376,0.8368944
129,284.3533,0.83694
130,286.4246,0.8370966
131,289.1109,0.8372161
132,291.7446,0.8373985
133,294.7447,0.8376506
134,296.5959,0.8377324
135,298.4796,0.8377969
136,301.4203,0.837993
137,303.3609,0.8380577
138,304.9522,0.8381225
139,307.5816,0.8382071
140,309.1897,0.8382362
141,312.0178,0.8384335
142,313.886,0.8384654
143,316.9204,0.8386716
144,318.936,0.8387575
145,320.7641,0.8387911
146,322.3923,0.8388303
147,323.8398,0.8388469
148,326.1866,0.8389057
149,327.6429,0.839015
150,328.7155,0.8390248
151,331.0279,0.8390814
152,332.3292,0.8390742
153,333.5267,0.8390961
154,335.5736,0.8391703
155,336.7755,0.8391994
156,337.7218,0.8392083
157,338.7686,0.8392257
158,341.3255,0.8393562
159,343.2661,0.8394318
160,344.6411,0.8394327
161,346.6199,0.8395128
162,349.3875,0.8397013
163,350.9699,0.8397237
164,352.4543,0.8397454
165,355.0156,0.8398768
166,356.7956,0.839935
167,359.0131,0.8400311
168,360.7618,0.840083
169,362.7349,0.8401228
170,364.6087,0.8401937
171,367.825,0.8403365
172,370.2332,0.8404183
173,372.1112,0.8404624
174,373.4707,0.8404907
175,375.8913,0.840564
176,377.2294,0.8405515
177,379.1713,0.8405645
178,380.8107,0.8405921
179,382.2369,0.8405983
180,385.1745,0.8407352
181,386.9857,0.8407579
182,388.2769,0.8407508
183,389.952,0.8407754
184,391.607,0.8407715
185,393.3414,0.8408056
186,394.9083,0.8408146
187,396.2976,0.8408377
188,396.8946,0.8408586
189,398.5195,0.8409084
190,400.5139,0.840936
191,402.6889,0.8410335
192,405.0614,0.8411165
193,406.5133,0.8411474
194,408.7633,0.8412821
195,410.309,0.8413288
196,412.5421,0.8413686
197,414.1559,0.8413837
198,415.5609,0.841424
199,417.7359,0.8414609
200,419.5628,0.8414823
201,422.3384,0.841641
202,424.2691,0.8416838
203,426.4722,0.8417629
204,428.2353,0.8417921
205,430.8166,0.8419313
206,433.1222,0.8419737
207,435.3453,0.8420334
208,437.776,0.8421084
209,439.6285,0.8421847
210,442.3416,0.8422734
211,444.5592,0.8423204
212,446.3791,0.842331
213,449.0823,0.8424237
214,451.3267,0.8424581
215,453.7604,0.8425108
216,456.8148,0.8425928
217,458.8861,0.8426289
218,458.8323,0.842647
219,461.4361,0.8427514
220,464.3424,0.8428826
221,466.4561,0.8429308
222,467.7686,0.8429318
223,470.0799,0.8429973
224,472.658,0.8430209
225,474.3743,0.8430424
226,476.2068,0.8430724
227,478.893,0.8431775
228,481.2924,0.8432376
229,483.598,0.8432845
230,485.6381,0.8433489
231,487.5943,0.8433702
232,489.1569,0.8433695
233,491.4525,0.8434121
234,494.2314,0.8435097
235,497.1251,0.8436458
236,499.3481,0.8437074
237,501.83,0.8437589
238,503.4539,0.8437541
239,505.1132,0.8437826
240,507.0607,0.8437902
241,509.467,0.8438172
242,511.267,0.843829
243,513.2189,0.8438579
244,515.4876,0.8439026
245,518.3701,0.8440069
246,520.3858,0.8440301
247,522.3789,0.8440651
248,524.1758,0.8441233
249,526.7527,0.8441537
250,529.3721,0.8441783
251,531.5327,0.8441948
252,532.2859,0.8442247
253,534.0815,0.8442252
254,536.329,0.8443071
255,539.014,0.8443894
256,541.9021,0.8444622
257,543.8084,0.8444916
258,545.769,0.844501
259,547.924,0.844557
260,549.5747,0.844584
261,551.8703,0.8446263
262,553.7541,0.8446664
263,555.9716,0.8447303
264,558.1991,0.8447756
265,559.8897,0.8447849
266,561.7379,0.8447983
267,564.4072,0.8448315
268,566.7698,0.8448901
269,568.186,0.8449
270,569.9717,0.8449208
271,571.2985,0.8449477
272,572.8085,0.8449799
273,574.891,0.8450076
274,577.1429,0.8450311
275,578.6061,0.8450401
276,580.2042,0.8450645
277,582.2767,0.8451016
278,585.1093,0.8451472
279,586.9719,0.8451661
280,588.6111,0.8451784
281,590.9224,0.8452318
282,592.5317,0.8452437
283,593.3261,0.8452896
284,595.4967,0.8453313
285,597.7812,0.8453748
286,600.2644,0.8454156
287,601.935,0.8454257
288,604.6524,0.84548
289,606.688,0.8455148
290,608.7693,0.8455204
291,610.5806,0.8455492
292,613.0012,0.8455682
293,614.5425,0.8455714
294,617.1406,0.8455996
295,618.6451,0.845614
296,620.7331,0.8456579
297,623.2944,0.8456994
298,624.6426,0.8457014
299,626.1213,0.8456975
300,627.4426,0.845706
