Iteration,Time,AUC
1,17.67824,0.7407949
2,19.77193,0.7502493
3,21.78762,0.7586249
4,23.7095,0.7659944
5,25.80327,0.7710514
6,27.78201,0.7746624
7,29.67267,0.7783299
8,31.70387,0.7821504
9,33.70396,0.786063
10,35.54763,0.7885825
11,37.59326,0.7907252
12,39.51958,0.792014
13,41.36769,0.7936207
14,43.15894,0.7949189
15,44.95585,0.7961584
16,46.78396,0.7973278
17,48.50716,0.7981942
18,50.564,0.7999736
19,52.1734,0.8006598
20,54.07962,0.801558
21,55.95469,0.8020832
22,57.6734,0.8025937
23,59.52156,0.8030954
24,61.13095,0.8035551
25,63.01592,0.8042413
26,64.84405,0.8048159
27,66.28591,0.8051693
28,67.89532,0.8055319
29,69.89536,0.8064814
30,71.55033,0.8069206
31,73.30034,0.8074436
32,74.50346,0.8075469
33,76.19099,0.8079049
34,77.94537,0.8082794
35,79.69542,0.8086024
36,81.24099,0.8088502
37,82.72544,0.8091323
38,84.30353,0.8095225
39,85.72544,0.8097523
40,87.28227,0.8098771
41,89.04789,0.8104445
42,90.65738,0.8106838
43,92.55229,0.8113503
44,94.36484,0.8115721
45,96.17731,0.8118863
46,97.61488,0.8120407
47,99.22426,0.8124132
48,100.6773,0.8126805
49,102.5211,0.8128821
50,104.2555,0.8131353
51,105.7399,0.8132049
52,107.2711,0.8135026
53,108.5055,0.8135626
54,109.8949,0.8137294
55,111.3481,0.8138267
56,113.1293,0.8141523
57,114.9262,0.8143869
58,115.6181,0.814573
59,117.3525,0.8149446
60,118.8825,0.8150802
61,120.2887,0.8151745
62,121.6325,0.8152673
63,123.2832,0.815339
64,124.8925,0.815585
65,126.5331,0.8157181
66,128.2875,0.8158727
67,130.13,0.8162617
68,131.8431,0.8163946
69,133.7382,0.816713
70,135.1432,0.8168165
71,136.9557,0.8171389
72,138.4132,0.8173293
73,139.8038,0.8173583
74,141.6163,0.8175823
75,143.0226,0.8178037
76,144.2519,0.8178593
77,145.6576,0.8178871
78,147.0158,0.8179416
79,148.5782,0.8180369
