Iteration,Time,AUC
1,13.67323,0.7766542
2,16.65132,0.785467
3,18.48006,0.7908171
4,21.43828,0.7948341
5,24.25829,0.7981506
6,27.0439,0.8011069
7,29.64954,0.8037663
8,32.59204,0.8061625
9,35.5939,0.8083734
10,38.1971,0.8102466
11,40.96081,0.8119589
12,43.65457,0.8133699
13,45.12023,0.814354
14,47.7358,0.8155758
15,50.17961,0.8163055
16,52.8234,0.817291
17,55.27839,0.8179641
18,57.59152,0.8186468
19,60.19898,0.8194728
20,61.65649,0.8200914
21,64.06339,0.8205619
22,66.28975,0.821223
23,67.98344,0.822088
24,69.80783,0.8223945
25,71.89095,0.822958
26,73.98222,0.823364
27,76.38346,0.8237971
28,78.45344,0.8243297
29,80.3416,0.8246311
30,81.61907,0.8247575
31,83.49602,0.8251289
32,85.42973,0.825537
33,87.93286,0.8259363
34,89.07416,0.8263151
35,91.53041,0.8267402
36,92.86727,0.8268445
37,94.93292,0.8272444
38,97.32732,0.8276324
39,98.52355,0.8277189
40,100.4161,0.8280013
41,101.9179,0.828219
42,103.8516,0.8284379
43,105.2342,0.828643
44,107.9705,0.8291901
45,110.5748,0.8295616
46,112.3255,0.8297555
47,112.6655,0.8298799
48,114.4611,0.8301123
49,115.9061,0.8302243
50,118.1568,0.8304228
51,120.6387,0.8307586
52,121.7155,0.8307961
53,123.7443,0.8309959
54,126.013,0.8312656
55,128.3843,0.8316873
56,130.8237,0.832002
57,132.1718,0.8320764
58,134.715,0.8323501
59,136.4468,0.8325212
60,138.3137,0.8326742
61,140.3255,0.8329234
62,142.1206,0.83344
63,144.375,0.8337296
64,145.8612,0.8338073
65,147.8219,0.833966
66,149.3762,0.8340342
67,151.1663,0.8341935
68,153.87,0.8344845
69,155.2738,0.8345586
70,157.6819,0.834837
71,160.3738,0.8350294
72,162.0788,0.8351333
73,163.3744,0.8351956
74,164.6019,0.8352438
75,166.0126,0.8352947
76,168.422,0.8355482
77,169.9944,0.8356255
78,172.3682,0.8358512
79,173.0432,0.8359032
80,175.3263,0.8361559
81,176.9332,0.8362202
82,178.7007,0.8363307
83,180.667,0.8364225
84,182.3108,0.8365172
85,183.6889,0.8365565
86,185.5583,0.8366574
87,188.2039,0.8368162
88,190.1677,0.8368816
89,192.5433,0.8371077
90,194.0108,0.8371614
91,196.3576,0.8373287
92,198.6709,0.837508
93,199.1358,0.8375375
94,200.1858,0.837572
95,201.7034,0.8376971
96,203.7933,0.8378581
97,205.8746,0.8379412
98,208.3271,0.8381199
99,209.799,0.8381492
100,211.5434,0.8382074
101,213.3278,0.8383567
102,215.7202,0.8385155
103,217.4778,0.8385909
104,219.5947,0.8386825
105,221.3265,0.8387927
106,223.171,0.8388758
107,224.2778,0.8389669
108,226.4178,0.839033
109,228.7947,0.8391663
110,230.0791,0.8391651
111,232.2759,0.8392792
112,233.1666,0.8393076
113,234.3116,0.8393188
114,235.6428,0.8393377
115,237.3435,0.8393561
116,239.5797,0.8395566
117,241.7466,0.8396357
118,243.436,0.8396713
119,245.0285,0.839724
120,247.4991,0.8399194
121,248.2054,0.8399989
122,250.0766,0.8400344
123,251.4816,0.8400922
124,252.766,0.8401328
125,254.7323,0.8401726
126,256.2524,0.8402153
127,258.4686,0.8403002
128,260.0711,0.8403096
129,262.188,0.8403711
130,264.623,0.8404133
131,266.7798,0.8405037
132,269.3074,0.8406299
133,271.3561,0.8407765
134,273.8268,0.8409414
135,275.8855,0.8410328
136,276.4655,0.8410522
137,277.808,0.8410772
138,280.3099,0.8413321
139,281.9537,0.8413792
140,284.0137,0.8415216
141,285.558,0.8415405
142,287.0724,0.8415612
143,289.6868,0.8417403
144,291.6118,0.8418014
145,292.7768,0.8418037
146,294.455,0.8418367
147,296.9469,0.8419608
148,299.7813,0.8420959
149,301.3881,0.8421484
150,302.8713,0.8421512
151,304.4994,0.8421627
152,305.2525,0.842203
153,307.8737,0.8423694
154,309.9637,0.8424455
155,312.3719,0.8425733
156,314.4676,0.8426334
157,317.1744,0.8428172
158,319.7601,0.8429582
159,321.8557,0.8430109
160,323.4782,0.8430271
161,324.6889,0.8430235
162,326.2144,0.8430516
163,327.9788,0.8431003
164,329.8688,0.8431413
165,331.1676,0.8432376
166,332.3682,0.8432859
167,334.8901,0.8434561
168,336.9389,0.8435116
169,339.0145,0.8435914
170,340.7833,0.8436591
171,343.0951,0.8437202
172,344.6977,0.8437598
173,347.2308,0.843895
174,349.1202,0.8439364
175,350.8902,0.8439825
176,352.2914,0.843991
177,353.8871,0.8440065
178,354.8608,0.8440308
179,356.3552,0.8440754
180,358.904,0.8441923
181,361.2283,0.8442193
182,363.3852,0.8442505
183,366.1528,0.8443567
184,368.1258,0.8444364
185,370.7128,0.8445388
186,373.1821,0.8446107
187,374.6515,0.844644
188,376.7371,0.844705
189,378.1678,0.8447224
190,379.5103,0.8447325
191,380.6384,0.8447511
192,382.6034,0.8447915
193,384.7328,0.8448316
194,385.3372,0.8448872
195,387.6985,0.8449538
196,389.419,0.8450144
197,391.729,0.8450941
198,393.9665,0.845184
199,395.8235,0.8452229
200,397.4516,0.8452302
