Iteration,Time,AUC
1,170.4832,0.5001796
2,179.4296,0.5011329
3,188.294,0.5017471
4,196.8428,0.5016928
5,204.6572,0.5028212
6,213.5729,0.5043786
7,222.5467,0.5057035
8,231.2485,0.5071197
9,239.9067,0.5078451
10,248.873,0.5083678
11,257.5268,0.509035
12,266.4493,0.5097999
13,275.2469,0.5105623
14,284.0725,0.5107508
15,292.8388,0.5113363
16,300.5101,0.5122726
17,309.2464,0.5137574
18,317.7751,0.515028
19,326.7021,0.5159804
20,335.5266,0.5179507
21,344.5316,0.5179277
22,353.2422,0.5181483
23,361.8553,0.5196916
24,370.6954,0.5209303
25,379.5623,0.5219177
26,388.2785,0.522958
27,395.8274,0.5227486
28,404.6331,0.5230067
29,413.4543,0.5250651
30,422.0612,0.5249243
31,430.5419,0.5254171
32,439.6051,0.5255595
33,448.5313,0.5255723
34,457.3445,0.5269703
35,466.1858,0.5271628
36,474.7915,0.5285704
37,483.5321,0.5286268
38,492.0397,0.5287538
39,500.9166,0.5295357
40,508.8904,0.530431
41,517.4973,0.531816
42,526.3417,0.5321119
43,535.0611,0.5329788
44,543.8699,0.5347904
45,552.7169,0.5345457
46,561.6194,0.5350393
47,570.3762,0.5354133
48,578.9787,0.5363078
49,587.6357,0.536778
50,595.2982,0.5369901
51,604.0132,0.5371188
52,612.8121,0.5378708
53,621.6365,0.5384215
54,630.1709,0.538241
55,639.0278,0.5383774
56,647.8766,0.5383379
57,656.2961,0.5385131
58,665.2498,0.5385485
59,673.7986,0.5402103
60,682.8605,0.5402275
61,690.6737,0.5407524
62,699.1669,0.5409712
63,708.1194,0.5409757
64,717.0795,0.5411147
65,725.7489,0.5420256
66,734.5183,0.5423966
67,743.3627,0.5429623
68,751.9215,0.5440169
69,760.7515,0.5443424
70,769.3072,0.545092
71,777.1998,0.5456351
72,785.9486,0.5465869
73,794.6379,0.5471812
74,803.3886,0.5477095
75,812.1862,0.5480662
76,820.7687,0.5482496
77,829.5794,0.5498172
78,838.4675,0.5507666
79,846.9407,0.5508581
80,855.9033,0.5519592
81,864.4633,0.5520767
82,873.0889,0.5524027
83,880.8623,0.5527482
84,889.5446,0.5538862
85,898.1672,0.5542344
86,906.9048,0.5546645
87,915.6823,0.5561119
88,924.4698,0.5565682
89,933.3879,0.5582308
90,942.0005,0.558535
91,951.0143,0.558603
92,959.8444,0.5591935
93,968.6519,0.5604831
94,976.3569,0.5607985
95,985.0583,0.5606629
96,993.8627,0.5609417
97,1002.52,0.5611183
98,1011.38,0.5617766
99,1019.934,0.5619816
100,1028.783,0.5632237
101,1037.411,0.5632008
102,1046.269,0.5634571
103,1055.108,0.563429
104,1063.715,0.5639509
105,1071.363,0.5642013
106,1080.25,0.564419
107,1089.217,0.5652118
108,1098.031,0.5653051
109,1106.829,0.5653797
110,1115.389,0.5655559
111,1124.192,0.5661867
112,1132.813,0.5664895
113,1141.591,0.5717548
114,1150.472,0.5720011
115,1158.265,0.5719322
116,1167.012,0.572372
117,1175.817,0.5730082
118,1184.55,0.5733829
119,1193.371,0.573151
