Iteration,Time,AUC
1,6.940059,0.608196
2,7.444417,0.608197
3,7.907565,0.6082021
4,7.430672,0.6081998
5,7.893781,0.649164
6,8.406895,0.6505955
7,9.005685,0.6505973
8,9.493153,0.6505963
9,10.14441,0.661432
10,10.70567,0.6614352
11,11.31438,0.6614138
12,11.83441,0.66173
13,12.39001,0.6634153
14,13.03129,0.6634037
15,13.73502,0.6638254
16,14.28501,0.6638118
17,14.82068,0.6638002
18,15.34942,0.6637884
19,14.94068,0.6637854
20,15.58319,0.6637823
21,16.15881,0.6637818
22,16.83439,0.6637835
23,17.49252,0.66384
24,18.05256,0.6637836
25,18.64818,0.6637848
26,19.2182,0.6641298
27,19.81382,0.6641299
28,20.38068,0.6641315
29,20.92195,0.6641308
30,21.45316,0.6658748
31,22.03885,0.6658864
32,22.66129,0.6658858
33,23.25818,0.669321
34,22.99073,0.6703837
35,23.64879,0.6703842
36,24.30575,0.6703811
37,24.97261,0.6724475
38,25.57943,0.672452
39,26.20637,0.6724516
40,26.81887,0.6724493
41,27.41007,0.672555
42,28.09949,0.6726011
43,29.03512,0.6730196
44,29.72014,0.6730452
45,29.48759,0.6747353
46,30.27138,0.6745837
47,30.91064,0.6746956
48,31.59886,0.6744478
49,32.19139,0.6746462
50,32.91196,0.6744964
51,33.62697,0.6759161
52,34.35198,0.675714
53,35.03697,0.6756801
54,35.71199,0.6767635
55,36.43697,0.6811087
56,36.25761,0.6809143
57,36.93822,0.6801712
58,37.71018,0.6802158
59,38.46198,0.6801436
60,39.26826,0.6801762
61,40.00447,0.6801735
62,40.74074,0.6801895
63,41.61515,0.6809577
64,42.31573,0.6810641
65,43.14638,0.6809835
66,43.8283,0.6809214
67,43.68018,0.6808889
68,44.40641,0.6837998
69,45.22388,0.6855865
70,46.03707,0.6862316
71,46.90705,0.6862008
72,47.67452,0.6861556
73,48.48893,0.6861618
74,49.33647,0.6859468
75,50.09827,0.6871639
76,49.83456,0.6871984
77,50.65641,0.6871763
78,51.54765,0.6872319
79,52.38397,0.687242
80,53.20268,0.6872417
81,54.02462,0.6872731
82,54.76644,0.6875494
83,55.65643,0.6875158
84,55.43963,0.6875304
85,56.27268,0.6877678
86,57.13145,0.6877612
87,58.12708,0.6879274
88,58.96018,0.6878873
89,59.80333,0.6879941
90,60.63082,0.6874693
91,60.41273,0.6874429
92,61.16457,0.68834
93,62.00339,0.688285
94,62.74082,0.6882856
95,63.73896,0.6882961
96,64.56776,0.6882725
97,65.36083,0.6883825
98,66.22524,0.6883464
99,67.11208,0.6891342
100,67.07902,0.6891569
101,67.94474,0.689193
102,68.80459,0.6897573
103,69.75026,0.6895111
104,70.53335,0.6897457
105,71.41463,0.6895413
106,72.26777,0.6895075
107,73.09774,0.6896817
108,73.94338,0.6898111
109,73.74336,0.6897308
110,74.61339,0.6900477
111,75.489,0.6902887
112,76.20776,0.6914862
113,77.14904,0.6917578
114,78.10151,0.6916192
115,79.05276,0.6919846
116,80.06655,0.6918029
117,79.96214,0.691824
118,80.85213,0.6917975
119,81.81782,0.6919289
120,82.77154,0.6925947
121,83.77284,0.6927082
122,84.72216,0.6944186
123,85.63028,0.69444
124,85.54031,0.6949051
125,86.50722,0.6949056
126,87.2972,0.6949234
127,88.20283,0.6948692
128,89.12971,0.7000415
129,90.08092,0.7000764
130,91.03467,0.7004455
131,91.89467,0.7002536
132,92.70471,0.7004533
133,92.73847,0.7008672
134,93.64533,0.701095
135,94.5791,0.701243
136,95.45595,0.7015268
137,96.4922,0.7016966
138,97.37474,0.7041081
139,98.39657,0.7050257
140,99.38292,0.7052979
141,100.3922,0.7053058
142,100.5797,0.7055202
143,101.6928,0.7054938
144,102.726,0.7050395
145,103.8322,0.7051105
146,104.7673,0.7051485
147,106.0172,0.7052587
148,106.0848,0.706346
149,107.3791,0.7063157
150,108.3822,0.7058853
151,109.6123,0.7067644
152,110.6786,0.7066113
153,110.9176,0.7067294
154,111.9742,0.7066862
155,113.0998,0.7071681
156,114.2742,0.7080767
157,115.4429,0.7085281
158,116.5817,0.7086377
159,117.3054,0.7098757
160,118.4142,0.7100552
161,119.4885,0.71136
162,120.7523,0.7113523
163,121.9267,0.711361
164,123.1404,0.7120591
165,124.2974,0.7120223
166,124.4686,0.7125257
167,125.5986,0.7122511
168,126.7429,0.712366
169,127.9298,0.7129795
170,129.0842,0.7128804
171,130.1874,0.7132976
172,131.3186,0.7142544
173,131.6436,0.7144679
174,132.708,0.7147287
175,133.9749,0.7150472
176,134.9587,0.7149832
177,136.1143,0.7151455
178,137.3342,0.7154002
179,137.5936,0.7156783
180,138.7905,0.7155375
181,140.2905,0.7155596
182,141.5712,0.7157622
183,142.9149,0.7165036
184,143.0024,0.7166467
185,144.2105,0.7168289
186,145.598,0.717653
187,146.8149,0.7178671
188,147.9249,0.7179793
189,149.2218,0.7179931
190,149.4686,0.7185277
191,150.7824,0.71807
192,152.0537,0.7181883
193,153.0943,0.7182587
194,154.1462,0.7184596
195,155.2193,0.7183182
196,155.4449,0.7188718
197,156.7506,0.7188182
198,157.9531,0.7185917
199,159.1006,0.7190764
200,160.3131,0.7192595
201,160.4774,0.7193995
202,161.5374,0.71924
203,162.7687,0.7192695
204,163.9087,0.7188728
205,165.0475,0.718555
206,166.1962,0.7184533
207,166.3631,0.7182575
208,167.5875,0.7180325
209,168.5994,0.7178963
210,169.775,0.7177515
211,171.0075,0.717685
212,172.0794,0.71774
213,172.3475,0.7173476
214,173.4731,0.7169846
215,174.6288,0.7170515
216,175.7975,0.7170217
217,176.8338,0.7172329
218,177.9906,0.7173949
219,179.205,0.7172055
220,179.3338,0.7171964
221,180.6432,0.7172687
222,181.8201,0.7179797
223,182.9857,0.7181525
224,184.1657,0.7180072
225,184.5707,0.7178397
226,185.6638,0.7180952
227,186.7525,0.7180722
228,187.8213,0.7182663
229,189.0669,0.7184975
230,190.3507,0.7185312
231,190.5708,0.7188689
232,191.7407,0.7193717
233,192.8963,0.7194604
234,194.1645,0.7204124
235,195.2832,0.7205035
236,196.5158,0.7204603
237,196.7076,0.7203984
238,198.0332,0.7203835
239,199.3482,0.7201614
240,200.5245,0.7201055
241,200.727,0.720006
242,202.0051,0.7196608
243,203.0857,0.7196737
244,204.237,0.7195747
245,205.2983,0.7194631
246,206.4552,0.7194667
247,207.4301,0.71916
248,207.7439,0.7193613
249,208.972,0.7193836
250,210.1177,0.7196658
251,211.222,0.7198292
252,212.412,0.7200032
253,213.537,0.719957
254,214.5376,0.7197201
255,214.8526,0.7196688
256,215.9883,0.7196992
257,217.174,0.7195332
258,218.2358,0.7195884
259,219.2277,0.7194675
260,220.4771,0.719456
261,221.5671,0.7196136
262,221.7996,0.7197361
263,222.9765,0.7204071
264,224.0639,0.7204449
265,225.0658,0.7201246
266,226.4609,0.7199695
267,227.5639,0.7203236
268,227.6958,0.7205504
269,228.8133,0.7207102
270,229.7415,0.7206687
271,230.9615,0.7209861
272,232.0633,0.7210261
273,233.2546,0.7209937
274,233.2127,0.7212801
275,234.2421,0.7214574
276,235.5078,0.7215061
277,236.5852,0.7214547
278,237.7084,0.7211708
279,238.7121,0.7215401
280,238.7071,0.721769
281,239.7878,0.7217834
282,240.844,0.7217527
283,242.0784,0.7217475
284,243.2116,0.7217403
285,244.444,0.7219659
286,244.304,0.7218242
287,245.1584,0.7217109
288,246.064,0.7215372
289,246.9284,0.7214601
290,247.8041,0.7213448
291,249.1635,0.7214636
292,249.0822,0.7215608
293,250.416,0.7212659
294,251.3609,0.7211847
295,252.4472,0.7212599
296,253.7084,0.7213398
297,254.0254,0.721479
298,255.2385,0.7216562
299,256.2122,0.7217172
300,257.3128,0.7216981
301,258.2853,0.7219464
302,259.3203,0.7221322
303,259.3966,0.7222344
304,260.3647,0.7224165
305,261.4466,0.7224613
306,262.3335,0.7226707
307,263.4847,0.7227733
308,264.4141,0.7228884
309,265.4903,0.7227372
310,266.3447,0.7226316
311,266.3172,0.7223521
312,267.2585,0.722546
313,268.241,0.7225558
314,269.4753,0.7226887
315,270.411,0.7225707
316,270.5485,0.7225442
317,271.5979,0.7224378
318,272.4854,0.7225626
319,273.4066,0.7226581
320,274.2879,0.7226585
321,275.1947,0.722364
322,275.9735,0.7223989
323,276.0854,0.7225342
324,276.8216,0.7225335
325,277.4854,0.7224572
326,278.4604,0.722427
327,279.2123,0.7225077
328,280.2898,0.7223442
329,280.986,0.7224758
330,281.8848,0.7224916
331,282.6911,0.7224644
332,283.4754,0.7223207
333,283.1504,0.7224122
334,283.8186,0.7225241
335,284.3754,0.7225093
336,285.1661,0.7224082
337,285.766,0.7223588
338,286.2435,0.7222426
339,286.9542,0.7220921
340,287.4886,0.7222231
341,288.3161,0.722147
342,288.9585,0.7224771
343,289.5567,0.7222815
344,290.2123,0.7222005
345,290.2229,0.7222432
346,290.8511,0.7222543
347,291.4123,0.7222915
348,292.1017,0.722042
349,292.7529,0.7220677
350,293.4255,0.7220754
351,294.1036,0.7221145
352,294.8061,0.7223734
353,295.463,0.7225635
354,296.2561,0.7226149
355,296.9073,0.7226393
356,296.5017,0.7226013
357,297.2724,0.7225256
358,297.8848,0.7225295
359,298.6723,0.7223559
360,299.2824,0.7222356
361,299.9461,0.7223501
362,300.6343,0.7223176
363,301.0817,0.7222309
364,301.5849,0.7221954
365,302.3755,0.7222095
366,302.9598,0.7222383
367,302.5711,0.7222308
368,303.0061,0.7220961
369,303.5943,0.722227
370,304.133,0.7221798
371,304.6017,0.7221915
372,305.2555,0.7222356
373,305.6905,0.7222948
374,306.3599,0.7221967
375,306.8986,0.7221019
376,307.3974,0.7220569
377,308.0812,0.7221906
378,308.8686,0.7221069
379,309.5949,0.7222376
380,310.0982,0.7222849
381,310.6468,0.7221642
382,310.3937,0.72249
383,311.0549,0.7225104
384,311.6037,0.7224405
385,312.158,0.7223378
386,312.7081,0.7223461
387,313.1318,0.7223029
388,313.6505,0.722288
389,314.2361,0.7222942
390,314.8918,0.7223801
391,315.5175,0.7224492
392,316.1143,0.722457
393,316.6956,0.7224382
394,316.3524,0.7222858
395,316.928,0.7221717
396,317.5506,0.7221346
397,318.2087,0.7220927
398,318.6605,0.7220375
399,319.3018,0.7220291
400,319.8605,0.7220102
