Iteration,Time,AUC
1,9.685042,0.735162
2,10.77881,0.7479956
3,11.8713,0.7555571
4,12.9963,0.7607581
5,14.18427,0.7679254
6,15.3219,0.7742745
7,16.40446,0.7773961
8,17.49821,0.7799004
9,18.59197,0.7836152
10,19.69574,0.785907
11,20.75822,0.7878768
12,21.87201,0.7902198
13,22.98137,0.7916922
14,24.10918,0.7934402
15,25.23451,0.7947602
16,26.32821,0.7958425
17,27.45328,0.7969366
18,28.48453,0.7976163
19,29.61241,0.7984737
20,30.65652,0.7993682
21,31.78142,0.8002844
22,32.85955,0.8012406
23,33.90081,0.8017988
24,34.9633,0.8025088
25,35.99456,0.8031569
26,37.07268,0.8037517
27,38.10833,0.8042467
28,39.23207,0.8048501
29,40.29458,0.8055148
30,41.34147,0.8060261
31,42.31022,0.8064942
32,43.37268,0.8070768
33,44.41959,0.8076066
34,45.43397,0.8078967
35,46.41838,0.808193
36,47.40269,0.8085903
37,48.19963,0.8088476
38,49.23524,0.8092862
39,50.04775,0.8097357
40,51.03083,0.8101247
41,51.99403,0.8104367
42,52.84216,0.8109709
43,53.82647,0.811282
44,54.764,0.8115249
45,55.89906,0.811896
46,56.77399,0.8120649
47,57.57091,0.8122603
48,58.46151,0.8125167
49,59.43469,0.8128207
50,60.41907,0.8131247
51,61.29407,0.8134424
52,62.30843,0.8136525
53,63.18345,0.8139196
54,63.91784,0.8141538
55,64.7616,0.8144035
56,65.6991,0.8146499
57,66.68342,0.8149066
58,67.6041,0.8151019
59,68.32723,0.8153036
60,69.01474,0.8154151
61,69.60846,0.8155122
62,70.28036,0.815654
63,71.06164,0.8157714
64,71.70225,0.8158686
65,72.54037,0.8159955
66,73.16976,0.8161547
67,73.90411,0.816295
68,74.71664,0.8164379
69,75.65416,0.8167482
70,76.4979,0.8169186
71,77.23227,0.8170564
72,77.85732,0.8171679
73,78.40413,0.8172373
74,78.98227,0.8173255
75,79.49789,0.8174907
76,80.26353,0.817669
77,80.98229,0.8178404
78,81.46663,0.8179093
79,82.15413,0.8181187
80,82.96669,0.8182174
81,83.77913,0.8184291
82,84.70107,0.8185573
83,85.4042,0.8186621
84,85.9198,0.818742
85,86.76352,0.8189669
86,87.46669,0.8190841
87,88.01358,0.8191841
88,88.85731,0.8193988
89,89.45108,0.8194546
90,90.21671,0.8195442
91,90.93545,0.8197204
92,91.66983,0.8198482
93,92.21673,0.819899
94,92.79483,0.819933
95,93.53924,0.82005
96,93.97668,0.8201067
97,94.80486,0.8202472
98,95.55487,0.8203168
99,96.28924,0.8205283
100,97.21114,0.8207025
101,97.91424,0.8208186
102,98.42989,0.8209185
103,98.93423,0.8209533
104,99.46546,0.821
105,100.3249,0.8211606
106,100.7624,0.8211844
107,101.6986,0.8212884
108,102.3705,0.8213378
109,102.8549,0.8214057
110,103.5423,0.8215038
111,104.4018,0.8216028
112,105.0268,0.8217104
113,105.6362,0.8217726
114,106.2455,0.8218755
115,107.088,0.821965
116,107.713,0.8220372
117,108.3581,0.8221165
118,109.0399,0.8222493
119,109.6493,0.8223784
120,110.368,0.8224799
121,110.8368,0.8224999
122,111.4462,0.8225633
123,112.2006,0.8226481
124,112.685,0.8227469
125,113.2631,0.8228755
126,113.9506,0.8229165
127,114.7162,0.822998
128,115.5131,0.8231184
129,115.9506,0.8231538
130,116.7418,0.8232877
131,117.1481,0.8233135
132,117.5544,0.8233349
133,118.0275,0.8233941
134,118.4337,0.8234144
135,118.965,0.8234494
136,119.4025,0.8234795
137,119.8087,0.8234857
138,120.2775,0.8235177
139,120.9806,0.823578
140,121.3712,0.8236117
141,121.7931,0.8236314
142,122.4337,0.8237279
143,123.3244,0.8238461
144,123.7619,0.8239093
145,124.1525,0.8239712
146,124.8087,0.8240699
147,125.1525,0.8240885
148,125.6256,0.8241123
149,126.0732,0.8241542
150,126.495,0.8242005
151,127.3119,0.8242902
152,128.0775,0.8244371
153,128.9626,0.8245247
154,129.3688,0.8245664
155,129.7438,0.8245919
156,130.5094,0.8247382
157,131.3063,0.8248633
158,131.8688,0.8249517
159,132.3219,0.8250162
160,132.7282,0.8250667
161,133.1387,0.8250867
162,133.6232,0.8251122
163,134.0294,0.8251437
164,134.4513,0.8251561
165,135.0451,0.8251867
166,135.7951,0.8252799
167,136.2738,0.82529
168,137.247,0.8254051
169,136.7357,0.8254364
170,137.2826,0.8254881
171,137.6575,0.8255106
172,138.1107,0.8255237
173,138.4857,0.8255462
174,138.9645,0.8255606
175,139.4645,0.8256048
176,140.2926,0.825705
177,140.9645,0.825782
178,141.3595,0.8257842
179,141.8282,0.8258185
180,142.6564,0.8258858
181,143.2345,0.8259147
182,143.8751,0.8260028
183,144.3907,0.8260702
184,145.0001,0.826121
185,145.4376,0.8261606
186,145.8282,0.8261917
187,146.1876,0.8262103
188,146.547,0.8262189
189,147.297,0.8262787
190,147.672,0.8263086
191,148.3751,0.8263869
192,149.0258,0.82645
193,149.6507,0.8265111
194,150.2645,0.8265974
195,150.8426,0.8266469
196,151.2958,0.8266693
197,151.9364,0.8267417
198,152.2645,0.8267721
199,152.837,0.8268138
200,153.3214,0.8268349
201,153.7632,0.8268743
202,154.1227,0.8268805
203,155.0914,0.826964
204,155.8983,0.827042
205,156.3045,0.8270772
206,156.7152,0.8270941
207,157.1058,0.8271002
208,157.4496,0.8271172
209,157.8558,0.8271598
210,158.2308,0.8271765
211,158.6214,0.8272015
212,159.0121,0.8272128
213,159.3871,0.8272293
214,160.1839,0.8273095
215,160.5746,0.8273237
216,161.2621,0.8274348
217,161.7621,0.8274499
218,162.1996,0.8274512
219,162.8715,0.8275124
220,163.3871,0.8275768
221,163.8246,0.8276169
222,164.3559,0.8276929
223,164.9227,0.8277289
224,165.2665,0.8277541
225,165.6827,0.8277941
226,166.1515,0.8278146
227,166.8859,0.8278759
228,167.3859,0.8279047
229,167.8703,0.8279498
230,168.2452,0.8279562
231,168.6671,0.8279875
232,169.214,0.8280207
233,169.5265,0.8280401
234,170.0577,0.8281204
235,170.5265,0.8281497
236,170.964,0.8281755
237,171.339,0.8282006
238,171.7536,0.8282489
239,172.1502,0.8282525
240,172.8109,0.8283214
241,173.6334,0.8283778
242,174.149,0.8284168
243,174.7428,0.8284654
244,175.2115,0.8285048
245,175.7584,0.8285743
