Iteration,Time,AUC
1,9.035622,0.6558141
2,9.76935,0.6557904
3,11.89374,0.6763428
4,12.76688,0.6761088
5,14.81376,0.6763542
6,15.84065,0.6763567
7,18.0369,0.6763636
8,19.28506,0.6763644
9,21.15563,0.6763599
10,23.03253,0.6763546
11,24.45568,0.6771609
12,25.94065,0.6763383
13,27.23255,0.6771606
14,29.37445,0.6763397
15,30.78634,0.6771045
16,32.01569,0.6770172
17,34.3876,0.6771079
18,35.87508,0.6772937
19,37.98823,0.6773929
20,39.19073,0.6773845
21,40.61386,0.6762798
22,43.18949,0.6772773
23,44.56641,0.6772936
24,46.70891,0.6776425
25,47.9858,0.6785262
26,50.51202,0.6782004
27,52.16833,0.6780573
28,53.90831,0.682964
29,56.44272,0.6829759
30,58.12708,0.6829793
31,59.96708,0.6827713
32,62.39146,0.6838632
33,64.13021,0.6840289
34,66.03585,0.6865943
35,67.6615,0.6865598
36,69.584,0.687474
37,72.34406,0.6885261
38,74.0284,0.6885128
39,75.6284,0.6884866
40,78.24841,0.6886921
41,79.95217,0.6887299
42,81.69344,0.6888182
43,84.50345,0.688964
44,85.89345,0.6888601
45,88.5491,0.6888948
46,90.28723,0.6887451
47,92.0529,0.6887958
48,93.96853,0.6887102
49,96.70414,0.6886536
50,98.48413,0.6885005
51,100.521,0.68849
52,102.2667,0.6881333
53,104.7023,0.6879707
54,106.7167,0.6879253
55,108.768,0.6879728
56,110.4549,0.6881744
57,112.1249,0.6879181
58,114.6748,0.6881025
59,116.4549,0.6882037
60,118.4193,0.6883821
61,120.1449,0.6885423
62,122.5793,0.6884186
63,124.2549,0.6884951
64,126.8593,0.6885924
65,128.4537,0.6883618
66,130.3306,0.6883405
67,132.9193,0.6883535
68,134.4993,0.6888999
69,136.2337,0.6892482
70,138.0281,0.6892514
71,140.8163,0.6885335
72,142.4562,0.6887961
73,144.0806,0.6886734
74,146.0651,0.6885333
75,148.5806,0.6887445
76,150.082,0.6886016
77,152.8119,0.688485
78,154.5688,0.6885981
79,156.2645,0.6885472
80,158.8601,0.6888977
81,160.5814,0.6889465
82,162.2338,0.6889216
83,164.6583,0.6888446
84,166.3451,0.6889001
85,168.9051,0.6893598
86,170.5351,0.6894966
87,172.3489,0.6897277
88,174.6889,0.6897599
89,176.5046,0.6908249
90,178.4702,0.6908899
91,181.1314,0.6926867
92,182.9396,0.6922713
93,184.6153,0.6922414
94,187.4221,0.6922112
95,188.9833,0.6922821
96,190.819,0.6923201
97,192.8815,0.6924736
98,195.5372,0.6923692
99,196.8941,0.6923905
100,199.4866,0.6923038
101,200.9978,0.6922433
102,202.9672,0.6923161
103,205.7672,0.6922979
104,207.5297,0.6923102
105,209.2854,0.6923177
106,211.8966,0.6924163
107,213.9235,0.692527
108,215.926,0.6984874
109,217.4585,0.6992725
110,219.441,0.6994424
111,222.2023,0.6999358
112,223.8916,0.6999525
113,225.6929,0.7003837
114,228.4243,0.7002523
115,230.051,0.701062
116,231.9836,0.7015733
117,233.9073,0.7010885
118,236.6542,0.7017269
119,238.3611,0.7016806
120,240.1705,0.7011471
121,242.0687,0.7011422
122,244.2036,0.7009011
123,246.3618,0.7017129
124,248.9587,0.7022945
125,250.7968,0.7020426
126,252.3906,0.7042976
127,255.1599,0.7052412
128,256.5612,0.7053304
129,259.3037,0.7057109
130,261.2475,0.7055626
131,263.1868,0.7058546
132,265.0818,0.7057644
133,266.9531,0.7079059
134,269.9369,0.707979
135,271.4994,0.7077061
136,273.4913,0.7083682
137,275.4594,0.7086981
138,278.0475,0.7085452
139,279.6401,0.7086275
140,281.9869,0.7082301
141,283.9063,0.7081344
142,286.5345,0.7085556
143,288.3782,0.7085462
144,290.0508,0.7084697
145,292.8932,0.7083551
146,294.9726,0.7082959
147,296.592,0.7083038
148,298.2045,0.708308
149,300.2883,0.7087291
150,303.0664,0.7089266
151,304.7658,0.7089029
152,307.4583,0.709162
153,309.2833,0.7107275
154,311.3315,0.7107901
155,312.954,0.7106992
156,314.9759,0.7108821
157,317.654,0.7106492
158,319.5021,0.7104143
159,321.3903,0.7103046
160,323.3584,0.7104056
161,325.9722,0.710272
162,327.5303,0.7105108
163,330.4828,0.7103709
164,332.2078,0.710782
165,333.956,0.7114471
166,336.6397,0.7114767
167,338.2709,0.7123031
168,340.006,0.7124956
169,342.8285,0.7131478
170,344.3766,0.713235
171,346.2049,0.7135661
172,348.7561,0.7135273
173,350.5373,0.713488
174,352.5067,0.7136444
175,354.9579,0.7135518
176,356.6417,0.7139422
177,359.3267,0.7140945
178,361.3036,0.7142693
179,362.8161,0.7147501
180,365.593,0.7147519
181,367.3111,0.7153392
182,369.128,0.7157593
183,371.8974,0.7161248
184,373.6143,0.7161032
185,375.5349,0.716412
186,377.4218,0.7166513
187,379.9286,0.716875
188,381.6568,0.7174566
189,383.6631,0.7182511
190,386.4237,0.7185999
191,388.2062,0.7191377
192,389.8288,0.7196363
193,392.6256,0.7201407
194,394.1638,0.7199497
195,396.8144,0.7206084
196,398.7525,0.7207985
197,400.2394,0.721643
198,402.3344,0.7217916
199,405.3469,0.7217641
200,406.9919,0.7223556
201,409.5001,0.72225
202,411.2569,0.7228096
203,412.7095,0.7226719
204,415.5945,0.7231763
205,417.2507,0.7232393
206,420.0657,0.7234254
207,421.7095,0.7233863
208,423.632,0.7236493
209,425.7102,0.7234748
210,427.7833,0.7235402
211,430.537,0.7235198
212,432.1008,0.7237839
213,433.8746,0.7236774
214,436.4383,0.7232762
215,438.2733,0.7234384
216,440.8796,0.7233516
217,442.739,0.7234073
218,444.5471,0.7232072
219,447.4747,0.7228295
220,449.2841,0.7230252
221,451.1878,0.7233284
222,453.5928,0.7230913
223,455.7978,0.7229631
224,457.504,0.723372
225,460.1559,0.7231185
226,462.0053,0.7234929
227,463.9216,0.723816
228,466.601,0.7238899
229,468.5516,0.7245068
230,470.4066,0.7238119
231,472.1273,0.7238775
232,474.6766,0.7238007
233,476.6573,0.7240469
234,478.5235,0.7240765
235,481.2386,0.7236304
236,482.958,0.7237206
237,485.5685,0.7235518
238,487.3136,0.7233394
239,489.203,0.7231128
240,491.4905,0.7229385
241,494.1755,0.7230555
242,495.9892,0.7229869
243,497.7343,0.7227057
244,500.5617,0.7231154
245,502.5924,0.722765
246,504.2643,0.7224686
247,506.8336,0.7220178
248,508.8924,0.7219175
249,510.7574,0.7221472
250,513.5181,0.7218389
251,515.0975,0.7220075
252,517.9237,0.7224899
253,519.5656,0.7223337
254,521.3362,0.7222234
255,524.1313,0.7216114
256,526.0019,0.7211024
257,527.9057,0.7211464
258,530.7244,0.7213425
259,532.5007,0.7212542
260,534.2369,0.7215059
261,536.9288,0.7219401
262,538.8938,0.7222138
263,541.0514,0.7227165
264,542.912,0.7232167
265,545.6726,0.7235883
266,547.552,0.7238321
267,549.582,0.723948
268,552.4126,0.724223
269,554.2801,0.7243257
270,555.8052,0.7240463
271,558.7371,0.7240281
272,560.549,0.7238842
273,562.4565,0.7240863
274,565.2371,0.7241111
275,567.2421,0.724072
276,569.3196,0.7240523
277,571.1627,0.7239291
278,573.969,0.7234221
279,575.7722,0.7232053
280,578.444,0.7227362
281,580.0459,0.7227791
282,582.859,0.7222868
