Iteration,Time,AUC
1,6.200062,0.6067377
2,6.609451,0.6067858
3,6.983122,0.6067869
4,7.326924,0.6068035
5,7.729415,0.6068051
6,8.11189,0.6068202
7,8.530008,0.6068284
8,8.93254,0.6077573
9,9.32501,0.607759
10,9.728818,0.6077508
11,10.02567,0.6077481
12,10.39251,0.6077456
13,10.70385,0.6077465
14,11.0663,0.607746
15,11.39439,0.6091505
16,11.7513,0.6091513
17,12.1282,0.6100993
18,12.43941,0.6101004
19,12.76627,0.6101018
20,13.10439,0.6100893
21,13.42137,0.6100931
22,12.82356,0.6100954
23,13.25315,0.6508812
24,13.63571,0.6508846
25,14.06506,0.6508868
26,14.42443,0.6522692
27,14.76693,0.6522713
28,15.21318,0.6612378
29,15.6226,0.6610637
30,16.06195,0.6723334
31,16.59388,0.6723299
32,16.96885,0.6723367
33,17.33816,0.6723218
34,17.82319,0.672323
35,18.22943,0.6723161
36,18.65446,0.672292
37,19.07385,0.672201
38,19.49883,0.672204
39,19.00381,0.67222
40,19.46884,0.6722102
41,19.84384,0.6723185
42,20.28007,0.6728507
43,20.71509,0.672813
44,21.20568,0.6775885
45,21.76884,0.6801068
46,22.24947,0.6800892
47,22.72006,0.6802352
48,23.14071,0.6815611
49,23.54694,0.6815342
50,24.01757,0.6835608
51,24.54383,0.6826703
52,24.99445,0.6841028
53,25.53194,0.6841145
54,25.15827,0.6844473
55,25.62444,0.6844667
56,26.04948,0.6844769
57,26.8595,0.6843191
58,27.2957,0.6845233
59,27.69075,0.6844688
60,28.17259,0.6844537
61,28.57321,0.6844607
62,29.07384,0.685649
63,29.54134,0.6849716
64,30.0276,0.6872229
65,30.46828,0.6901356
66,29.88888,0.6906935
67,30.35511,0.6904101
68,30.84138,0.6893824
69,31.282,0.689867
70,31.73823,0.6898184
71,32.24699,0.6898453
72,32.71764,0.6900307
73,33.20386,0.6907903
74,33.65574,0.6912062
75,34.15201,0.6907017
76,34.60389,0.6906954
77,35.06016,0.6910415
78,35.5633,0.6917343
79,36.04513,0.6928817
80,36.61263,0.6962938
81,37.12021,0.6964455
82,37.59325,0.6961447
83,37.06513,0.6964656
84,37.54264,0.6981567
85,38.01456,0.6986344
86,38.59768,0.6987034
87,39.12202,0.6990572
88,39.61952,0.6991911
89,40.20705,0.7001622
90,40.70576,0.7053711
91,41.21461,0.7066085
92,41.71331,0.7070565
93,42.26202,0.7062974
94,42.72955,0.7064999
95,43.34078,0.7066537
96,43.80834,0.7069953
97,43.51265,0.7070962
98,44.03267,0.7075996
99,44.5627,0.7073223
100,45.04455,0.7076737
101,45.57767,0.7078493
102,46.09516,0.7082063
103,46.63705,0.7083987
104,47.26272,0.7084766
105,47.8271,0.7084969
106,48.2633,0.7091616
107,48.73086,0.7092115
108,49.21836,0.7094586
109,49.73143,0.7103832
110,50.3433,0.7102904
111,49.98332,0.7107126
112,50.47082,0.711057
113,51.08212,0.7114412
114,51.57519,0.7119474
115,52.05831,0.7127551
116,52.52583,0.7134575
117,52.99775,0.7139519
118,53.52646,0.7136469
119,54.10519,0.7134058
120,54.65085,0.7134886
121,55.14271,0.713435
122,55.67402,0.7130391
123,56.12582,0.7133838
124,56.64024,0.7138335
125,57.19895,0.7136556
126,57.80779,0.7135296
127,57.31647,0.7132652
128,57.79837,0.7130918
129,58.34714,0.7130739
130,58.85587,0.713747
131,59.33898,0.7139232
132,59.92209,0.7140629
133,60.40961,0.7140205
134,60.9071,0.713522
135,61.40464,0.7136548
136,61.92343,0.7155156
137,62.50341,0.7156899
138,63.01087,0.7164685
139,63.48277,0.7167464
140,64.02591,0.7168088
141,64.56588,0.7171356
142,65.04904,0.7172139
143,65.54213,0.717212
144,65.99962,0.7168566
145,65.48153,0.7175942
146,66.07338,0.7176316
147,66.60776,0.7174715
148,67.07963,0.7188022
149,67.71402,0.7189464
150,68.23592,0.7188276
151,68.65218,0.7187955
152,69.19968,0.7187599
153,69.70281,0.7181231
154,70.18905,0.7174535
155,70.71902,0.7177258
156,71.28215,0.7175487
157,70.76403,0.7176019
158,71.27716,0.7175757
159,71.79904,0.7175868
160,72.22094,0.7172337
161,72.62591,0.7172483
162,73.34157,0.717477
163,73.85465,0.7174105
164,74.34786,0.7181917
165,74.81404,0.7183947
166,75.32719,0.718811
167,75.71533,0.7188418
168,76.2928,0.718858
169,76.72218,0.7187906
170,77.10596,0.7184098
171,76.57659,0.7182925
172,77.02851,0.7185977
173,77.66718,0.7184051
174,78.05786,0.7183751
175,78.62531,0.7183762
176,79.03475,0.7183029
177,79.48219,0.7185859
178,79.91724,0.7185615
179,80.34218,0.7183793
180,80.7372,0.7181827
181,81.14097,0.7180587
182,81.6247,0.7182714
183,82.05094,0.7183548
184,82.5147,0.7182242
185,82.87159,0.718291
186,82.34224,0.7181695
187,82.62783,0.718107
188,82.98473,0.7181961
189,83.42096,0.7180062
190,83.73783,0.7182342
191,84.10721,0.7184073
192,84.51227,0.7181549
193,84.85472,0.7180145
194,85.18724,0.7177934
195,85.51847,0.7180236
196,85.92347,0.7182432
197,86.23596,0.7182137
198,86.5016,0.7181168
199,86.78159,0.7180891
200,87.22971,0.7180552
201,87.65476,0.7185175
202,87.92038,0.7186357
203,88.40661,0.7187237
204,88.81038,0.7189129
205,89.25099,0.7195343
206,89.66036,0.7195106
207,89.94161,0.7197639
208,90.29542,0.7196167
209,90.63788,0.7195772
210,91.05035,0.7195612
211,91.34605,0.719426
212,91.70289,0.719366
213,91.07662,0.7193275
214,91.49599,0.7193436
215,91.78164,0.7193407
216,92.09414,0.7193089
217,92.49917,0.7197152
218,92.98412,0.7198127
219,93.47036,0.7198224
220,93.75038,0.7200031
221,94.12728,0.7200263
222,94.53106,0.7200173
223,94.81099,0.7199787
224,95.04542,0.7197893
225,95.38793,0.7200071
226,95.64546,0.7200308
227,95.93356,0.7200855
228,96.32732,0.7203688
229,96.70104,0.7204807
230,97.07352,0.7203997
231,97.40604,0.7203577
232,97.69169,0.7203361
233,97.92604,0.7202909
234,98.44791,0.7201063
235,98.77605,0.7198405
236,99.0929,0.7198804
237,99.39415,0.7199423
238,99.6754,0.7199797
239,100.0023,0.7201517
240,100.3235,0.7201283
241,100.5935,0.7202987
242,99.87353,0.7203524
243,100.2461,0.7202859
244,100.7179,0.7201285
245,101.1373,0.7203382
246,101.5467,0.7205215
247,101.8935,0.7205359
248,102.1848,0.7204526
249,102.4505,0.7203164
250,102.7673,0.7204548
251,103.0786,0.7204755
252,103.4055,0.720533
253,103.7167,0.7206476
254,103.9555,0.7206333
255,104.2936,0.7208326
256,104.606,0.7208934
257,104.9542,0.7209731
258,105.2542,0.7208482
259,105.5286,0.7208798
260,105.8086,0.720939
261,106.063,0.7207982
262,106.3073,0.7207375
263,106.6355,0.7208252
264,106.9411,0.7209559
265,107.1854,0.7207859
266,107.5123,0.7208075
267,107.8249,0.7208081
268,108.0905,0.7208486
269,108.4417,0.7208178
270,108.9082,0.7208784
271,109.2661,0.7210412
272,109.4948,0.7209064
273,109.8899,0.7209479
274,110.2636,0.7212123
275,110.5648,0.7211936
276,110.8773,0.7212321
277,111.2611,0.7211292
278,110.5667,0.7211796
279,110.9505,0.7212207
280,111.263,0.7211865
281,111.6667,0.7209891
282,112.018,0.7209184
283,112.3392,0.7207629
284,112.6761,0.7208127
285,112.9417,0.7207171
286,113.3242,0.7207231
287,113.563,0.7205591
288,113.9792,0.7206199
289,114.2449,0.7205843
290,114.5774,0.7206997
