Iteration,Time,AUC
1,164.5789,0.5007907
2,176.3752,0.500729
3,186.2772,0.5009249
4,196.7678,0.502239
5,206.1841,0.5030124
6,215.9854,0.5033136
7,225.0417,0.5051998
8,235.5624,0.5061291
9,244.9168,0.5069069
10,253.5919,0.5068752
11,263.3569,0.5078018
12,272.6213,0.5088494
13,282.0488,0.5093034
14,291.4239,0.5101729
15,301.8308,0.5121424
16,311.6584,0.5134625
17,320.6984,0.5142395
18,332.0784,0.5152587
19,342.6279,0.5160835
20,352.2998,0.5170555
21,361.7848,0.5173527
22,372.4374,0.5183211
23,383.4644,0.519846
24,391.9688,0.5205602
25,401.6238,0.5211497
26,410.9889,0.5248814
27,421.652,0.525563
28,431.5789,0.5273086
29,441.1227,0.5274615
30,451.3616,0.5280698
31,462.1091,0.5280963
32,472.1104,0.5285076
33,481.0479,0.5316454
34,491.1767,0.5316536
35,500.5793,0.5326976
36,509.5356,0.5325656
37,519.0125,0.5326738
38,528.9345,0.532909
39,537.9989,0.5331307
40,548.3889,0.5333317
41,557.4721,0.5344041
42,565.9552,0.5345903
43,576.3252,0.5351347
44,585.3915,0.5353921
45,595.4041,0.5359768
46,605.0317,0.5356348
47,614.2649,0.5380298
48,623.3911,0.5397977
49,633.2993,0.5404578
50,642.5344,0.5413541
51,651.8275,0.541708
52,661.5338,0.5419354
53,671.0032,0.5428852
54,679.7339,0.5434084
55,689.8958,0.5435149
56,699.2358,0.5440656
57,709.5185,0.544293
58,719.5847,0.5447308
59,728.2241,0.5450213
60,737.3135,0.545291
61,747.5786,0.5453866
62,757.3643,0.5458609
63,766.7025,0.5475135
64,776.2837,0.547587
65,784.875,0.5488223
66,795.0501,0.5506598
67,803.7995,0.5517754
68,814.0802,0.5520142
69,822.5495,0.5532284
70,831.9715,0.5538547
71,841.0828,0.5555871
72,851.0197,0.5552575
73,860.1922,0.5560638
74,869.3273,0.5565929
75,879.5061,0.5568742
76,890.3149,0.5571585
77,899.7563,0.5574589
78,909.5763,0.5572971
79,919.6419,0.5575628
80,929.5451,0.5575374
81,939.7664,0.5580215
82,949.7545,0.5591333
83,958.754,0.5595976
84,968.2097,0.5598137
85,977.4097,0.5603323
86,985.8497,0.5602933
87,995.0492,0.5602831
88,1006.426,0.5600535
89,1016.442,0.560391
90,1026.319,0.5607264
91,1035.443,0.5611226
92,1043.833,0.5613165
93,1053.173,0.5619045
94,1062.803,0.5674219
95,1071.165,0.5674717
96,1081.46,0.5682476
97,1090.609,0.5684326
98,1099.785,0.5688905
99,1109.52,0.5696254
100,1118.267,0.5698654
101,1127.898,0.5697465
102,1138.305,0.5711058
103,1148.647,0.571328
104,1157.727,0.5715058
105,1168.765,0.5716426
106,1178.203,0.5717248
107,1187.883,0.5720147
108,1198.103,0.572558
109,1207.96,0.5729519
110,1218.551,0.5732178
111,1227.867,0.5734414
112,1238.587,0.5736215
113,1247.912,0.5737744
114,1256.977,0.573797
115,1266.351,0.574264
116,1275.395,0.5746674
117,1284.568,0.5749985
118,1293.709,0.5756182
119,1303.381,0.5771777
120,1312.098,0.5776484
121,1323.131,0.5777577
122,1332.522,0.5777378
123,1343.349,0.5777261
124,1353.13,0.577678
125,1361.532,0.5781334
126,1371.416,0.578313
127,1381.603,0.5785215
128,1390.882,0.5787637
129,1401.677,0.5789719
130,1411.148,0.5791453
131,1419.876,0.5793275
132,1428.789,0.5792563
133,1438.909,0.5791041
134,1447.864,0.5796737
135,1458.144,0.5798335
136,1467.41,0.5801077
137,1477.428,0.5803909
138,1487.039,0.5806049
139,1497.065,0.5815135
140,1506.44,0.5814161
141,1515.666,0.5817592
142,1525.457,0.5825404
143,1534.835,0.5826947
144,1544.822,0.5828952
145,1553.862,0.5832142
146,1563.635,0.5833026
147,1572.956,0.5835839
148,1583.408,0.5835896
149,1593.785,0.5840548
150,1603.548,0.5841452
151,1613.382,0.5844192
152,1622.397,0.5865737
153,1632.191,0.5868789
154,1640.87,0.5871812
155,1650.299,0.5874889
156,1660.35,0.5875939
157,1670.286,0.5880027
158,1679.241,0.5881755
159,1688.457,0.5883467
160,1698.806,0.5886898
161,1708.151,0.588675
162,1717.346,0.5891231
163,1726.616,0.5892412
164,1736.862,0.5893067
