Iteration,Time,AUC
1,189.1997,0.5085115
2,213.1524,0.5124112
3,235.9493,0.5150778
4,259.8931,0.5203818
5,282.7608,0.5281949
6,306.8741,0.5335317
7,329.7819,0.5349316
8,352.923,0.537553
9,376.645,0.5415981
10,400.6877,0.5466961
11,423.6409,0.5521282
12,447.8723,0.5541984
13,471.003,0.5570587
14,494.9387,0.5603009
15,518.2808,0.5636456
16,542.3571,0.5667405
17,566.451,0.5692547
18,589.3755,0.572178
19,613.4275,0.573261
20,636.4713,0.5796783
21,660.7033,0.5823629
22,683.7779,0.5854939
23,706.8942,0.589425
24,730.8624,0.5917222
25,753.5326,0.593539
26,777.2477,0.595814
27,800.3803,0.5974915
28,823.9554,0.5994324
29,847.0136,0.6003126
30,870.1919,0.6021727
31,893.1401,0.6033084
32,916.3971,0.6045832
33,939.0154,0.6052972
34,962.7498,0.6067322
35,986.4831,0.6083724
36,1009.453,0.609544
37,1032.301,0.6109059
38,1054.58,0.6112541
39,1078.017,0.6116763
40,1100.382,0.6127657
41,1123.377,0.613092
42,1146.859,0.6139476
43,1168.97,0.6143865
44,1191.846,0.6155364
45,1214.844,0.6157993
46,1237.305,0.6162988
47,1259.849,0.6175469
48,1282.803,0.618107
49,1305.05,0.6188466
50,1328.149,0.6188812
51,1350.44,0.6193661
52,1372.613,0.6199622
53,1394.883,0.6205915
54,1417.853,0.6207412
55,1440.224,0.6218545
56,1461.975,0.6221253
57,1483.962,0.6223292
58,1506.207,0.6237485
59,1529.166,0.6238619
60,1551.096,0.6241023
61,1573.477,0.6244233
62,1594.942,0.6245406
63,1617.643,0.624667
64,1639.502,0.625163
65,1661.541,0.6253299
66,1683.46,0.6252614
67,1706.305,0.625611
68,1728.399,0.6262173
69,1750.439,0.6267094
70,1772.223,0.6268334
71,1793.941,0.6268871
72,1816.863,0.626952
73,1838.645,0.6270516
74,1860.229,0.6271527
75,1882.176,0.6272829
76,1904.35,0.6276495
77,1926.994,0.6278741
78,1948.6,0.6277545
79,1970.054,0.6276329
80,1992.825,0.6281395
81,2014.505,0.6283649
82,2036.199,0.6283223
83,2058.133,0.628183
84,2079.897,0.6281097
85,2102.661,0.6283906
86,2124.526,0.6284686
87,2146.147,0.6283118
88,2167.474,0.6284214
89,2190.323,0.6286828
90,2211.544,0.6285211
91,2233.263,0.6283016
92,2255.764,0.6282069
93,2277.587,0.6280467
94,2299.49,0.6283489
95,2321.024,0.6284117
96,2343.338,0.6280821
97,2364.916,0.6282519
98,2386.583,0.6282214
99,2409.077,0.628145
100,2430.663,0.6279299
101,2452.24,0.6280224
102,2473.764,0.6280885
103,2496.325,0.6281053
104,2518.119,0.6284638
105,2540.116,0.628423
106,2560.968,0.628522
107,2583.555,0.6284424
108,2605.344,0.6283203
109,2627.281,0.6283768
110,2648.603,0.6285303
111,2670.196,0.6283474
112,2692.67,0.6282442
113,2714.125,0.6283486
114,2736.016,0.6282888
115,2758.009,0.6283018
116,2779.67,0.6283571
117,2801.668,0.6287158
118,2822.546,0.6287148
119,2844.997,0.628671
120,2866.59,0.6286559
121,2888.168,0.6286143
122,2909.907,0.6283115
123,2931.479,0.6283659
124,2953.074,0.6284079
125,2974.651,0.6283374
126,2997.073,0.6283669
127,3018.715,0.6280984
128,3040.157,0.628011
129,3062.017,0.6281322
130,3083.436,0.6278846
131,3105.949,0.6276208
132,3127.353,0.6277924
133,3148.858,0.6278107
134,3171.232,0.6278972
135,3192.917,0.6278577
136,3214.462,0.627788
137,3235.807,0.6277365
138,3257.448,0.6274432
139,3278.735,0.6275114
140,3300.542,0.6277975
141,3322.01,0.6279724
142,3344.606,0.6281801
143,3366.531,0.6281623
144,3388.156,0.6280681
145,3409.481,0.6279667
146,3430.983,0.6279982
147,3452.574,0.6280783
148,3474.123,0.6280197
149,3496.471,0.6278118
150,3517.558,0.6277361
151,3539.293,0.6274644
152,3560.608,0.627507
153,3582.807,0.6272914
154,3604.251,0.6273676
155,3625.814,0.6272749
156,3648.189,0.6272495
157,3669.768,0.6270372
158,3691.2,0.6271778
159,3712.56,0.6270468
160,3734.205,0.627041
161,3755.706,0.6270424
162,3777.364,0.6268494
163,3799.721,0.6267017
164,3821.38,0.6266634
165,3842.778,0.626647
166,3864.155,0.6264025
167,3886.474,0.6261728
168,3907.544,0.6262276
169,3928.798,0.6261923
170,3950.24,0.6262071
171,3972.717,0.6261741
172,3994.233,0.6262519
173,4015.741,0.6263322
174,4037.406,0.6262842
175,4058.921,0.6262977
176,4081.482,0.6262278
177,4102.844,0.6262955
178,4124.425,0.62633
179,4145.927,0.6264056
180,4167.563,0.6263614
181,4189.205,0.6265443
182,4210.732,0.6266391
183,4232.204,0.6266179
184,4253.767,0.626452
185,4275.499,0.6264034
186,4297.22,0.6263699
187,4318.927,0.6264602
188,4340.351,0.6265018
189,4361.829,0.6262665
190,4383.49,0.6260316
191,4405.594,0.6259846
192,4426.913,0.6260198
193,4448.44,0.6261365
194,4469.941,0.6261447
195,4492.203,0.6259429
196,4513.805,0.6259674
197,4535.43,0.6260487
198,4556.802,0.6259713
199,4578.804,0.6258064
200,4600.208,0.6258167
