Iteration,Time,AUC
1,180.1854,0.5007214
2,191.3866,0.5006027
3,203.2929,0.5009318
4,215.0566,0.5023489
5,226.0899,0.5035102
6,237.433,0.5050033
7,248.3906,0.5073791
8,261.3751,0.5074132
9,272.6439,0.5077988
10,284.3595,0.5091031
11,295.9321,0.5102588
12,307.4971,0.5097322
13,319.4353,0.5111304
14,331.1098,0.5123085
15,341.638,0.5132499
16,352.8461,0.5142146
17,364.8437,0.5144545
18,376.7768,0.5160209
19,387.855,0.5166808
20,399.6226,0.5176561
21,411.2208,0.5189433
22,421.8102,0.5198669
23,433.6184,0.5212891
24,444.3279,0.5222229
25,455.9373,0.5232312
26,467.6373,0.5240257
27,478.6905,0.5272756
28,491.308,0.5271563
29,501.9056,0.5280084
30,512.8375,0.5280815
31,524.2644,0.5305415
32,536.2814,0.5308988
33,547.6889,0.5304305
34,559.2471,0.5323105
35,571.0809,0.5321423
36,582.6041,0.5335166
37,593.7285,0.5338028
38,605.1717,0.5338739
39,617.0942,0.5351992
40,627.863,0.5355062
41,638.5569,0.5356713
42,649.7357,0.5357038
43,662.1238,0.5356789
44,673.6233,0.5358125
45,684.9521,0.5371258
46,695.8302,0.5375634
47,706.6041,0.5380217
48,718.7028,0.538652
49,729.5417,0.540185
50,741.1898,0.5411326
51,752.9574,0.5419694
52,764.7606,0.5419155
53,776.0788,0.5435189
54,787.8482,0.544135
55,800.2208,0.5444194
56,812.704,0.5450183
57,823.3859,0.5468891
58,835.8085,0.5486307
59,846.4016,0.5492901
60,857.4998,0.5501039
61,869.683,0.5501532
62,881.2317,0.550869
63,892.905,0.5542877
64,904.05,0.554516
65,915.3882,0.5546998
66,926.967,0.5549217
67,937.0445,0.555157
68,948.4228,0.5554836
69,959.8115,0.5559111
70,970.7697,0.5563305
71,981.3485,0.5577005
72,992.3711,0.5580892
73,1004.749,0.5582313
74,1016.044,0.5583005
75,1026.857,0.5596254
76,1038.237,0.560227
77,1049.216,0.560813
78,1062.115,0.561213
79,1072.797,0.5625233
80,1083.896,0.56257
81,1095.357,0.5630109
82,1106.701,0.5629197
83,1118.362,0.5693009
84,1128.766,0.5693934
85,1140.894,0.5702484
86,1153.032,0.570431
87,1164.767,0.570261
88,1175.91,0.5701688
89,1187.486,0.5706138
90,1199.157,0.570765
