Iteration,Time,AUC
1,5.123802,0.7408133
2,9.024392,0.7511284
3,12.83694,0.7592864
4,16.60254,0.7658136
5,20.4038,0.7717197
6,24.32565,0.7752359
7,27.83003,0.7800535
8,31.70501,0.7841792
9,35.33006,0.7867737
10,38.98627,0.7887914
11,42.83006,0.790703
12,46.25199,0.7925772
13,49.79876,0.7939933
14,53.47065,0.7954738
15,56.42379,0.7968433
16,59.97061,0.7979558
17,63.51198,0.7987893
18,67.00068,0.7997336
19,70.64131,0.8006188
20,74.11006,0.8012463
21,77.01627,0.8018052
22,80.13567,0.8023765
23,83.76069,0.803027
24,86.80756,0.8034518
25,90.21379,0.8041523
26,93.62006,0.8048057
27,96.27626,0.8051327
28,98.63569,0.8053688
29,101.3388,0.8056832
30,104.792,0.8061034
31,108.1825,0.8067753
32,111.2138,0.8071135
33,114.562,0.8074028
34,117.5932,0.8080457
35,120.4682,0.808377
36,123.6244,0.8087373
37,127.1244,0.8090744
38,129.7338,0.8093856
39,133.1244,0.8099013
40,136.9838,0.8104743
41,140.2182,0.8108029
42,142.9937,0.8109794
43,145.0919,0.8110706
44,148.7325,0.8113207
45,152.1544,0.8115452
46,155.842,0.8123272
47,157.9869,0.8126526
48,160.4869,0.8127462
49,163.4088,0.8130398
50,166.3619,0.8132532
51,169.6744,0.8135756
52,171.6432,0.8136572
53,174.7682,0.8139667
54,178.0338,0.8141515
55,180.6063,0.8142741
56,182.9032,0.8143304
57,186.0014,0.8146848
58,189.0638,0.8148488
59,192.1419,0.8152435
60,194.4232,0.8153315
61,196.7044,0.8153878
62,199.1106,0.8154838
63,202.2044,0.8157717
64,204.8706,0.8160037
65,207.9644,0.8162948
66,211.3594,0.8165462
67,214.9844,0.8168284
68,218.1407,0.8170904
69,220.5469,0.8172063
70,223.885,0.8175421
71,227.7132,0.8178776
72,231.4163,0.8181455
73,233.9163,0.8182478
74,236.0457,0.8183223
75,238.3894,0.8183695
76,241.4831,0.8185473
77,243.9619,0.8186826
78,246.0401,0.8187136
79,249.3994,0.8188825
80,252.0288,0.8189681
81,254.0913,0.8190185
82,256.3257,0.8190902
83,258.8413,0.8191774
84,261.9038,0.8193497
85,264.9706,0.8195626
86,267.5332,0.8195907
87,270.0176,0.8196797
88,273.0332,0.8199029
89,275.0488,0.8199219
90,277.5175,0.8199912
91,280.1738,0.8201125
92,282.6894,0.8202013
93,285.2675,0.8202726
94,287.9238,0.8204988
95,290.5175,0.8205776
96,294.512,0.8208385
97,298.215,0.8211078
98,300.8869,0.8211246
99,303.6413,0.8212178
100,305.7763,0.8212747
101,309.0419,0.8214037
102,312.1669,0.8215535
103,314.8232,0.8216044
104,318.4169,0.821834
105,320.6513,0.8218842
106,322.8388,0.821937
107,325.6869,0.8220264
108,327.7963,0.8220713
109,329.7026,0.8220931
110,332.9525,0.8222764
111,335.3844,0.8223447
112,338.6813,0.8224527
113,340.7125,0.8224835
114,342.7438,0.8225119
115,344.9001,0.822558
116,348.4938,0.8227242
117,352.322,0.8228928
118,355.6344,0.82305
119,359.2013,0.8231888
120,362.5138,0.8233737
121,366.0763,0.8235159
122,368.5338,0.8235739
123,370.8619,0.8236546
124,373.1119,0.8237163
125,375.3775,0.823769
126,377.6119,0.8238018
127,379.7057,0.823824
128,382.3151,0.8239477
129,385.7982,0.8240989
130,387.5651,0.8241238
131,390.2769,0.8241872
132,394.1832,0.8243255
133,397.0782,0.8243702
134,399.2969,0.824381
135,402.6194,0.8245217
136,405.4788,0.8245773
137,408.4319,0.8246935
138,410.7756,0.8247222
139,413.8538,0.8248309
140,416.4989,0.8248776
141,419.6394,0.8249692
142,422.7119,0.8250446
143,425.2744,0.8251125
144,427.4306,0.8251527
145,429.8838,0.8252149
146,433.6694,0.8253107
147,436.7163,0.8253792
148,438.8413,0.8254086
149,440.8144,0.8254168
150,443.1738,0.8254633
151,446.4494,0.8255958
152,448.965,0.8256787
153,450.9651,0.8256863
154,453.3401,0.8257118
155,456.2975,0.8258115
156,459.0632,0.8259084
157,462.8132,0.8261813
158,465.8288,0.8262875
159,469.235,0.8264051
160,472.7194,0.8265554
161,474.9851,0.826582
162,477.5632,0.8266176
163,480.8132,0.8267505
164,483.2662,0.8268117
165,485.4851,0.8268204
166,488.5319,0.8268848
167,491.0632,0.8269223
168,493.6101,0.8269439
169,496.5944,0.8270753
170,499.5007,0.8271558
171,502.8232,0.8272311
172,504.792,0.8272458
173,507.1982,0.8272641
174,509.6201,0.8272906
175,513.1044,0.8274231
176,515.6044,0.8274445
177,517.5732,0.8274659
178,519.5731,0.8274852
179,522.0263,0.8275284
180,525.1669,0.827598
181,527.4794,0.8276641
182,529.7294,0.8276901
183,531.6982,0.8276974
184,533.5732,0.8277129
185,536.7337,0.8277545
186,539.6401,0.8278626
187,543.0151,0.8280144
188,546.1969,0.8280545
189,548.6188,0.828143
190,551.6188,0.8282576
191,554.1344,0.8282831
192,556.1345,0.8283054
193,558.2169,0.8283117
194,560.2794,0.8283458
195,563.2951,0.828382
196,565.3888,0.8283946
197,568.5806,0.8284668
198,570.5025,0.828475
199,572.5963,0.8285004
200,574.3307,0.8285019
201,577.6588,0.8285747
202,580.2057,0.828606
203,583.5494,0.8287151
204,587.0653,0.8288315
205,590.2369,0.8289049
206,593.9244,0.8290288
207,596.3932,0.8290442
208,599.5594,0.8291151
209,602.8562,0.8292141
210,606.5126,0.8292937
211,609.4813,0.8293518
212,612.345,0.8293966
213,614.8607,0.8294194
214,618.0638,0.8295377
215,621.0894,0.8295664
216,624.2457,0.8296153
217,626.5581,0.8296468
218,629.23,0.8296658
219,631.2613,0.8296913
220,633.2457,0.8297065
221,635.9332,0.829748
222,637.7769,0.829763
223,639.5738,0.8297665
224,643.2769,0.8299384
225,646.0894,0.8300291
226,648.9489,0.8300688
227,652.0894,0.8301221
228,655.7188,0.8302361
229,658.9688,0.8303105
230,661.7032,0.8303567
231,665.25,0.8304375
232,667.8594,0.830501
233,671.0156,0.8305828
234,673.9844,0.830593
235,676.7813,0.8306385
236,679.8126,0.8307012
237,683.1407,0.8307627
238,685.8282,0.8307976
239,687.9688,0.8308185
240,690.6038,0.8308805
241,693.1081,0.8309
242,695.1082,0.8309211
243,698.0457,0.8309815
244,699.9463,0.8309857
245,703.0088,0.8310612
246,706.6381,0.8311261
247,710.1538,0.8311868
248,713.8416,0.8312467
249,716.3301,0.8312812
250,718.4863,0.8312924
251,720.9963,0.8313087
252,724.2463,0.8313663
253,727.2307,0.8313994
254,729.4963,0.8314046
255,731.4025,0.8314189
256,733.9025,0.8314548
257,736.2038,0.8314986
258,739.9538,0.8316251
259,742.0163,0.8316433
260,743.8131,0.8316431
261,747.1569,0.8317403
262,749.1413,0.8317336
263,751.2976,0.8317394
264,754.0107,0.8317681
265,756.9951,0.8318144
266,760.4329,0.8319352
267,763.2138,0.831995
268,766.5888,0.8320307
269,768.6044,0.8320394
270,770.7763,0.8320602
271,773.9794,0.8321194
272,776.9482,0.8321526
273,779.2294,0.832172
274,782.4169,0.8322442
275,784.7606,0.832265
276,786.5419,0.8322672
277,790.2451,0.8323524
278,793.0263,0.8323939
279,795.4013,0.832416
280,797.5576,0.8324329
281,799.3119,0.832442
282,802.062,0.8324857
283,805.2807,0.8325285
284,807.0932,0.8325375
285,809.2338,0.832573
286,811.8276,0.8326254
287,814.9626,0.8326792
288,817.5719,0.8327204
289,820.3219,0.8327369
290,822.0609,0.8327387
291,824.4825,0.8327624
292,827.4669,0.8328242
293,830.0919,0.8328599
294,832.0138,0.8328756
295,835.5607,0.8329376
296,837.6119,0.8329543
297,840.5807,0.8329953
298,843.6276,0.8330591
299,846.2213,0.8330813
300,848.1275,0.8330808
301,850.0594,0.8330971
302,852.9188,0.8331304
303,855.6232,0.8331514
304,858.8407,0.8332066
305,861.0169,0.8332218
306,862.8137,0.8332183
307,865.6888,0.8332632
308,869.4232,0.8333475
309,872.3294,0.833374
310,874.892,0.8334266
311,877.9388,0.8334697
312,880.5013,0.8335
313,882.4232,0.8335093
314,885.3138,0.8335475
315,888.2513,0.8336056
316,890.47,0.8336263
317,893.23,0.8336559
