Iteration,Time,AUC
1,3.436235,0.7349705
2,5.617489,0.7456476
3,7.748679,0.7553993
4,8.823111,0.7614453
5,10.96561,0.7656606
6,13.13373,0.7720946
7,15.12123,0.7764907
8,17.14872,0.7806742
9,19.2331,0.7832383
10,21.39532,0.7856158
11,23.41436,0.7877338
12,25.55998,0.7894439
13,27.61993,0.791446
14,29.62312,0.7932268
15,31.69749,0.794437
16,32.75061,0.7956102
17,34.79493,0.7966923
18,36.87368,0.7977364
19,38.85997,0.7986768
20,40.92305,0.799641
21,42.83069,0.8002125
22,44.71368,0.8011199
23,46.63618,0.8018718
24,48.61801,0.8026115
25,50.62431,0.8030571
26,52.73118,0.8036861
27,54.85681,0.8043575
28,55.90432,0.8048861
29,58.06429,0.8054288
30,59.88992,0.8059388
31,61.71305,0.8064427
32,63.71121,0.8069548
33,65.74305,0.8074047
34,67.65555,0.8080653
35,69.62492,0.808461
36,71.6493,0.8088883
37,72.68243,0.8093133
38,74.62618,0.8096035
39,76.82619,0.809929
40,78.80681,0.8103276
41,80.90555,0.8106796
42,83.02993,0.8109336
43,85.00116,0.8111232
44,85.85553,0.811398
45,87.82809,0.8117504
46,89.87555,0.8120243
47,91.80494,0.8123448
48,93.79552,0.8126985
49,95.76054,0.8129711
50,97.4543,0.8131944
51,99.17243,0.8134283
52,100.4924,0.8135758
53,102.0724,0.8137371
54,103.6537,0.8140523
55,103.8531,0.814207
56,105.6206,0.8144584
57,107.5331,0.8147878
58,109.3912,0.8150338
59,111.0606,0.8152356
60,112.4218,0.8153812
61,114.0131,0.815587
62,115.9768,0.8157751
63,117.3581,0.8159097
64,119.1424,0.8161157
65,120.5874,0.8162916
66,122.1687,0.8163884
67,122.7049,0.816626
68,124.5418,0.8168656
69,126.5637,0.8170859
70,128.2274,0.8172554
71,129.9499,0.8173771
72,131.3993,0.8175012
73,132.5162,0.8175896
74,134.0281,0.8177192
75,135.4318,0.8177988
76,137.0743,0.8179608
77,138.4312,0.8180281
78,140.4987,0.8181231
79,141.0421,0.8182513
80,142.5749,0.8183375
81,144.0087,0.8183953
82,145.5149,0.8185161
83,146.6799,0.8185965
84,148.1193,0.8187
85,150.1668,0.8188173
86,151.6262,0.8189006
87,153.1024,0.8190028
88,155.2137,0.8192123
89,156.6093,0.8192769
90,157.9518,0.8193442
91,158.4837,0.8195174
92,159.4668,0.8195627
93,160.5637,0.8196225
94,161.9462,0.8197036
95,163.5149,0.8198149
96,165.2431,0.819974
97,166.2337,0.8200167
98,168.0481,0.8201429
99,169.6024,0.820264
100,171.0774,0.8203536
101,172.2499,0.8204064
102,172.5487,0.8204702
103,174.0874,0.8206589
104,175.1518,0.8207004
105,176.8431,0.8207889
106,177.9643,0.8208518
107,179.5087,0.8209463
108,180.5287,0.8209969
109,181.9156,0.821043
110,183.6074,0.8211213
111,184.6418,0.8211735
112,185.9206,0.8212172
113,186.0474,0.8212376
114,187.2937,0.8213126
115,188.3993,0.8213878
116,190.3562,0.8215973
117,191.3212,0.8216345
118,192.7193,0.8217185
119,194.2443,0.8218006
120,195.2518,0.8218269
121,196.9481,0.8218914
122,198.2168,0.8219556
123,199.7799,0.8220439
124,199.9224,0.8220992
125,201.6956,0.8222148
126,202.6874,0.8222368
127,203.8375,0.8222863
128,205.6018,0.8223914
129,206.9706,0.8224375
130,208.7893,0.8226158
131,210.0112,0.8226744
132,212.1043,0.8227978
133,213.8918,0.8229534
134,214.3556,0.8230043
135,215.6643,0.8230436
136,217.3412,0.8231124
137,218.6712,0.8231671
138,220.4174,0.8233216
139,221.5868,0.8233606
140,222.8243,0.8233783
141,224.0149,0.8234102
142,225.53,0.8234873
143,226.9549,0.8235993
144,228.873,0.823696
145,230.4687,0.8238106
146,231.4637,0.8239524
147,233.2481,0.8240842
148,235.2274,0.8241909
149,236.2962,0.8242014
150,237.403,0.8242268
151,239.0599,0.8243106
152,239.9468,0.8243401
153,241.3705,0.8244329
154,243.1055,0.8245175
155,244.0731,0.8245578
156,245.5393,0.8246554
157,246.4856,0.8246931
158,247.5456,0.8247153
159,248.0774,0.8247944
160,249.2468,0.8248333
161,250.7743,0.8249108
162,252.6688,0.8249802
163,253.9974,0.8250583
164,255.0574,0.8250937
165,256.4074,0.8251476
166,258.0912,0.8251952
167,259.6043,0.8252581
168,261.1799,0.8253181
169,262.0937,0.8253246
170,262.1043,0.8253328
171,263.0762,0.8253604
172,264.5781,0.8254363
173,265.6524,0.8254542
174,266.6968,0.8254897
175,267.7656,0.8255041
176,269.5587,0.8255348
177,271.1543,0.8255743
178,272.5881,0.8256474
179,273.4818,0.8256679
180,275.1231,0.8257211
181,276.9349,0.8257967
182,277.7012,0.8258615
183,279.0124,0.8259004
184,280.3056,0.8259434
185,281.6499,0.8260049
186,283.5156,0.8260917
