Iteration,Time,AUC
1,3.045639,0.6483123
2,4.042546,0.6483072
3,3.76192,0.648309
4,4.51688,0.6636212
5,5.230585,0.6634965
6,6.125636,0.663492
7,6.77689,0.6634865
8,7.516263,0.6634902
9,8.167513,0.6634961
10,7.871259,0.6634912
11,8.482504,0.6652415
12,9.15626,0.6652403
13,9.793126,0.6652353
14,10.52683,0.665238
15,11.20372,0.6716124
16,11.90746,0.6716157
17,12.69126,0.6716157
18,12.40812,0.6716147
19,13.11189,0.6716104
20,13.79564,0.6715968
21,14.6063,0.671595
22,15.31563,0.6713125
23,16.03501,0.6710404
24,16.81002,0.6708
25,17.53501,0.6710614
26,17.36125,0.6734456
27,18.09188,0.6741513
28,18.99629,0.676183
29,19.83251,0.6765468
30,20.55752,0.6769558
31,21.39251,0.6783446
32,22.18873,0.6782716
33,21.90376,0.6790672
34,22.87376,0.6795441
35,23.64438,0.6824026
36,24.45064,0.682413
37,25.17564,0.6823435
38,25.98187,0.6834986
39,25.87812,0.6834297
40,26.6444,0.6839786
41,27.395,0.68398
42,28.13564,0.6842005
43,28.93627,0.6846818
44,29.81375,0.6849733
45,30.63568,0.6849357
46,30.5288,0.6848665
47,31.2663,0.6848291
48,32.1107,0.6906342
49,33.06501,0.691027
50,34.07882,0.6908166
51,34.95752,0.6911293
52,35.87067,0.6908838
53,35.76596,0.6913568
54,36.59686,0.6919502
55,37.42439,0.6942136
56,38.35751,0.6948953
57,39.15629,0.6950628
58,40.12189,0.6968589
59,40.19126,0.6983337
60,41.03124,0.6986222
61,42.02686,0.6986601
62,42.9963,0.6988505
63,44.01192,0.6990544
64,44.91756,0.699025
65,44.90876,0.6989055
66,45.91007,0.6988683
67,46.87563,0.6987377
68,47.84688,0.6982864
69,48.73255,0.6982341
70,48.77062,0.6982992
71,49.74504,0.6982534
72,50.73067,0.6982413
73,51.72188,0.6981965
74,52.67317,0.6981507
75,52.68442,0.6979524
76,53.63689,0.6978545
77,54.57379,0.698091
78,55.48503,0.6981709
79,56.48193,0.6981309
80,57.53252,0.6980892
