Iteration,Time,AUC
1,2.204895,0.6050165
2,3.006146,0.6064035
3,2.552391,0.6064437
4,3.098664,0.6083371
5,3.639336,0.6077827
6,4.191165,0.6077801
7,4.787408,0.607766
8,5.388024,0.6077827
9,5.004282,0.6077826
10,5.739927,0.6077202
11,6.326161,0.6077996
12,7.077407,0.6078006
13,7.69366,0.6077426
14,7.209903,0.607714
15,7.831759,0.6058572
16,8.468759,0.6064851
17,8.969881,0.6064837
18,9.616401,0.6064832
19,10.1424,0.6064912
20,10.62864,0.6064904
21,10.43991,0.6064858
22,10.96616,0.6064819
23,11.68742,0.6064797
24,12.25364,0.6083664
25,12.84991,0.6083687
26,12.39615,0.6083691
27,12.98803,0.6083693
28,13.58427,0.6083695
29,14.08053,0.6083682
30,14.67241,0.6083698
31,15.26428,0.6083667
32,15.82616,0.6493257
33,15.73866,0.6493273
34,16.35053,0.6493272
35,17.11177,0.6493171
36,17.62362,0.6493181
37,18.12552,0.6494896
38,17.69303,0.6603078
39,18.26491,0.6604922
40,18.82678,0.6602664
41,19.45428,0.6615474
42,20.06176,0.6615484
43,20.67365,0.6602622
44,20.31116,0.6615521
45,21.20804,0.6614964
46,21.80114,0.6614892
47,22.32866,0.6612291
48,23.01616,0.661579
49,22.78176,0.6628552
50,23.31928,0.6628582
51,23.98929,0.6627287
52,24.70489,0.6627209
53,25.31239,0.6627216
54,25.26304,0.662722
55,25.95053,0.6627227
56,26.74591,0.6627246
57,27.53178,0.6701466
58,27.26741,0.6701465
59,28.03302,0.6701443
60,28.87865,0.6701434
61,29.56865,0.6701408
62,29.42366,0.6701471
63,30.23616,0.6701219
64,30.90615,0.6701289
65,31.74741,0.6701313
66,31.42302,0.670148
67,32.15428,0.6701405
68,32.87991,0.6701461
69,33.69116,0.6701469
70,34.35679,0.6701603
71,34.03239,0.6699722
72,34.75363,0.6715481
73,35.50491,0.6699967
74,36.20053,0.6715733
75,36.86178,0.6712549
76,36.70302,0.6712562
77,37.44428,0.6712562
78,38.16114,0.6712634
79,38.84241,0.6710878
80,39.56929,0.6711004
81,40.39558,0.6712391
82,40.20928,0.6712448
83,40.95616,0.6754122
84,41.79866,0.6768554
85,42.58115,0.6768582
86,42.38803,0.6769149
87,43.11053,0.6769172
88,44.01427,0.6772813
89,44.8124,0.6772676
90,44.61488,0.6808484
91,45.4674,0.6813007
92,46.25554,0.6813023
93,47.15366,0.6822584
94,46.93615,0.6821846
95,47.81863,0.6822452
96,48.82349,0.6823969
97,49.61425,0.6824246
98,49.41238,0.6826226
99,50.40737,0.6826225
100,51.25678,0.6824698
101,52.0805,0.6845975
102,51.87425,0.6845971
103,52.70365,0.6842208
104,53.4274,0.684222
105,54.31238,0.6842773
106,54.14618,0.6860374
107,54.94114,0.6842725
108,55.70052,0.6860156
109,56.54551,0.6860013
110,57.41052,0.6859927
111,57.23992,0.6859947
112,58.44301,0.6856478
113,59.34241,0.6856529
114,59.23302,0.6877291
115,60.09803,0.6886582
116,60.92303,0.6886625
117,61.84364,0.6901315
118,61.90991,0.6907766
119,62.85054,0.690793
120,63.62552,0.6907983
121,64.57616,0.6910972
122,64.40678,0.6909203
123,65.23737,0.6909125
124,66.20807,0.6908455
125,67.12423,0.6908349
126,66.93927,0.6907716
127,67.93991,0.6907314
128,68.84174,0.6904897
129,69.7324,0.6904902
130,69.78803,0.6912102
131,70.67428,0.6917552
132,71.66053,0.6919953
133,71.54678,0.6919843
134,72.44301,0.6918672
135,73.27927,0.6918937
136,74.20115,0.692557
137,75.03741,0.6924599
138,74.92463,0.6924361
139,75.84866,0.692555
140,76.62365,0.6935177
141,77.52992,0.6926443
142,77.37492,0.6926356
143,78.28117,0.6930232
144,79.14303,0.6932654
145,80.11367,0.6940125
146,80.19377,0.6948116
147,81.16115,0.6950254
148,82.08303,0.6952032
149,82.99053,0.695234
150,82.87364,0.6951724
151,83.84678,0.6954605
152,84.85875,0.6960831
153,85.77053,0.6962085
154,85.72241,0.696381
155,86.62427,0.6966663
156,87.40616,0.6965894
157,88.34366,0.6968726
158,89.22115,0.6971585
159,89.09864,0.6969643
160,90.04615,0.6974349
161,90.95371,0.6975661
162,91.11616,0.6972053
163,92.05053,0.7022211
164,93.08053,0.7022762
165,94.08052,0.7023079
166,94.97489,0.702269
167,94.8737,0.7023925
168,95.81675,0.7050414
169,96.84238,0.7051304
170,97.73238,0.7053559
171,97.81802,0.7059285
172,98.84374,0.7058071
173,99.91928,0.7058955
174,100.8324,0.7059238
175,101.7524,0.7059037
176,101.7537,0.7058767
177,102.7824,0.7045023
178,103.998,0.7045394
179,104.1137,0.7046322
180,105.2518,0.7046482
181,106.2386,0.7065795
182,107.2168,0.7089926
183,107.3149,0.708355
184,108.2637,0.7083429
185,109.2793,0.707582
