Iteration,Time,AUC
1,2.058749,0.6511604
2,2.962499,0.6530157
3,3.71244,0.6735421
4,3.32687,0.6752117
5,4.202445,0.67543
6,4.901189,0.6770658
7,4.90499,0.6770347
8,5.638122,0.676189
9,6.342412,0.676205
10,6.372433,0.6761874
11,7.310625,0.6770482
12,8.060584,0.6770342
13,7.809318,0.677032
14,8.558064,0.6782325
15,9.306818,0.677426
16,10.02557,0.6782258
17,9.808696,0.6773957
18,10.66741,0.6782213
19,11.3862,0.6773874
20,11.19932,0.6782145
21,11.79679,0.6782276
22,12.71931,0.6782102
23,13.47929,0.6781716
24,13.32243,0.6782053
25,14.01556,0.6785767
26,14.74868,0.6787278
27,14.52619,0.6829562
28,15.27932,0.6829846
29,16.03243,0.6829872
30,15.7612,0.6827034
31,16.48431,0.6826391
32,17.23182,0.6829246
33,18.01495,0.682674
34,17.73243,0.6829519
35,18.41556,0.6826738
36,19.33813,0.6829007
37,19.09124,0.6829123
38,19.88552,0.6828993
39,20.51307,0.6829288
40,21.21187,0.682901
41,20.88929,0.6829242
42,21.70197,0.6826667
43,22.525,0.6829235
44,23.21938,0.6826612
45,22.93807,0.6826284
46,23.61126,0.6828859
47,24.37557,0.6826545
48,24.14313,0.6826634
49,25.20561,0.6829139
50,25.96875,0.6829157
51,25.74744,0.6828918
52,26.47058,0.68292
53,27.25932,0.6829072
54,27.01245,0.6828488
55,27.8412,0.6828475
56,28.73115,0.6830095
57,28.48556,0.6830324
58,29.21994,0.6830369
59,30.00871,0.6829389
60,30.72744,0.6827492
61,30.50183,0.6840425
62,31.34619,0.6840453
63,32.14052,0.6839521
64,31.95494,0.683967
65,32.67369,0.6841045
66,33.71431,0.6840838
67,33.48433,0.6839653
68,34.34563,0.6842133
69,35.15117,0.6845065
70,35.00249,0.6843714
71,35.76244,0.684202
72,36.54804,0.6841892
73,37.35808,0.684235
74,37.10682,0.684143
75,37.93678,0.6840726
76,38.62244,0.6839354
77,39.4966,0.6838217
78,39.29872,0.6838374
79,40.03994,0.6838251
80,40.80994,0.6838268
81,40.73557,0.6837718
82,41.5912,0.6837701
83,42.27683,0.6837636
84,43.0168,0.6844142
85,42.83931,0.6846674
86,43.64059,0.6845063
87,44.46618,0.6845436
88,44.45306,0.6842701
89,45.2612,0.6850806
90,46.24803,0.6849712
91,46.29432,0.6850266
92,47.25244,0.6840077
93,48.24687,0.6827413
94,48.06306,0.6827264
95,49.06119,0.6831357
96,49.99932,0.6844549
97,49.90745,0.6851147
98,50.96814,0.6851009
99,51.8262,0.6853146
100,51.74875,0.6852461
101,52.86118,0.6852487
102,52.55806,0.6858084
103,53.41494,0.6855924
104,54.63813,0.6866038
105,54.46743,0.6869862
106,55.35557,0.6867776
107,56.15806,0.6866996
108,57.06181,0.6866706
109,57.2212,0.6868563
110,58.18494,0.6870145
111,58.15439,0.687227
112,59.1337,0.6870789
113,59.18305,0.6871396
114,60.07119,0.6872062
115,61.07618,0.687246
116,61.18118,0.6872835
117,62.23178,0.6871169
118,63.23241,0.687279
119,63.24304,0.6876057
120,64.29932,0.6876295
121,64.43938,0.6876389
122,65.38994,0.6877749
123,66.40619,0.687986
124,66.5925,0.6878735
125,67.67305,0.687822
126,67.63369,0.6877707
127,68.79556,0.6879277
128,69.76616,0.688119
129,69.81365,0.6936376
130,70.88554,0.6937834
131,70.94865,0.6939959
132,72.17432,0.6940246
133,72.4018,0.6961244
134,73.58932,0.6962711
135,74.62679,0.6972695
136,74.62557,0.6974878
137,75.76307,0.6976583
138,76.71619,0.6978448
139,76.75931,0.6978612
140,78.04681,0.698025
141,78.13994,0.6981175
142,79.07181,0.6983384
143,80.24495,0.6984866
144,80.40683,0.6987559
145,81.42845,0.6989232
146,81.71994,0.6993853
147,82.73,0.6995305
148,83.79432,0.6991668
149,83.90305,0.6992749
150,84.98616,0.699395
151,86.00932,0.7019795
152,86.12243,0.7029553
153,87.33938,0.7028409
154,87.45501,0.7034982
155,88.52493,0.7036053
156,88.78368,0.7036625
157,89.74803,0.7069117
158,90.98118,0.7069588
159,91.15499,0.708701
160,92.29494,0.7089101
161,93.51368,0.7088232
162,93.68803,0.709785
163,94.78243,0.7101708
164,94.85682,0.7099366
165,95.89243,0.7115305
166,97.24807,0.7115165
167,97.30807,0.7116628
168,98.45369,0.7120732
169,98.66494,0.712356
170,99.73493,0.7124586
171,100.9349,0.7098151
172,101.0493,0.7097761
173,102.2306,0.7104289
174,102.3406,0.7120446
175,103.3718,0.7119694
176,104.6824,0.7119417
177,104.9062,0.7117322
178,106.1655,0.7117882
179,107.368,0.7119154
180,107.5249,0.7120012
181,108.7787,0.7118312
182,109.0324,0.7118414
183,110.2781,0.7124546
184,111.3437,0.7122419
185,111.4493,0.7120766
186,112.6962,0.7120844
187,113.0881,0.7117739
188,114.2005,0.7117275
189,115.4338,0.7116461
190,116.5262,0.711739
191,116.6418,0.7117301
192,117.6687,0.7116959
193,118.0781,0.7114311
194,119.2918,0.7115759
195,120.4956,0.7120307
196,120.7449,0.7118425
197,121.9518,0.7116905
198,122.3524,0.7117578
199,123.5306,0.7121633
200,124.9068,0.712225
201,125.3556,0.7122595
202,126.5293,0.7121999
203,126.8599,0.7125785
204,128.2762,0.7127295
205,128.5569,0.7126937
206,129.7518,0.7125702
207,131.2024,0.7132755
208,131.7469,0.7135532
209,133.0743,0.7144921
210,133.525,0.7145676
211,134.0493,0.71482
212,135.3569,0.7148124
213,136.6556,0.7149628
214,137.1694,0.7149347
215,138.5756,0.7152532
216,139.763,0.7156194
217,140.1262,0.7156445
218,141.4012,0.7160888
219,141.7963,0.7166192
220,143.1206,0.7170662
221,143.5924,0.717294
222,144.9699,0.7175436
223,145.5431,0.7176089
224,146.9937,0.7179863
225,147.4181,0.7182911
226,148.7599,0.7182432
227,149.0962,0.7187902
228,150.4683,0.7194674
229,151.8412,0.7200108
230,152.2831,0.7201702
231,153.8756,0.7202708
232,154.4037,0.7202318
233,155.775,0.7204598
234,156.3287,0.7201484
235,157.6031,0.7198648
236,159.0619,0.7195838
237,159.4162,0.7197527
238,160.9387,0.7200132
239,161.5481,0.7201224
240,162.9849,0.7201285
241,163.6187,0.7200514
242,165.3262,0.7201469
243,165.8118,0.7200399
244,167.2674,0.7202371
245,167.6218,0.7200995
246,169.3056,0.7201227
247,169.6831,0.7201792
248,171.2362,0.7203659
249,171.6393,0.7202451
250,173.0137,0.7197855
251,174.4224,0.7199134
252,175.0449,0.7199191
253,176.3725,0.7210797
254,176.7512,0.7210587
255,178.1556,0.7211702
256,178.6212,0.7213345
257,180.2162,0.7211162
258,180.8131,0.7213197
259,182.1418,0.7212995
260,182.6262,0.721241
261,184.1218,0.7217741
262,185.4949,0.7217382
263,186.2056,0.7215821
264,186.7212,0.7214859
265,188.0399,0.7214717
266,189.3618,0.7211032
267,189.9774,0.7218245
268,191.3875,0.7222021
269,191.9843,0.7225674
270,193.4156,0.7230143
271,193.9711,0.7230898
272,195.4499,0.7230389
273,196.0143,0.7233221
274,197.4043,0.7233413
275,197.8612,0.72352
276,199.2174,0.7238627
277,199.7643,0.7240518
278,201.0319,0.7240715
279,202.4231,0.7236939
280,202.9474,0.7233741
281,204.2906,0.7234613
282,204.8306,0.7232469
283,206.4174,0.7231444
284,206.9387,0.7229047
285,208.3775,0.7227963
286,209.0456,0.7227423
287,210.3731,0.7228391
288,211.0443,0.723074
289,212.5743,0.7229423
290,212.9387,0.7227244
291,214.2662,0.7229031
292,214.5024,0.7230476
293,215.8287,0.7228749
294,217.1506,0.7227391
295,217.6737,0.7227206
296,219.0268,0.72262
297,219.4519,0.722782
298,220.8249,0.7226267
299,222.3062,0.7227779
300,222.6712,0.7224206
301,224.2606,0.7224398
302,224.7175,0.7228137
303,226.2994,0.7227705
304,226.8444,0.7231867
305,228.4069,0.7239064
306,228.9481,0.7238027
307,230.4619,0.7240655
308,231.8119,0.7239684
309,232.2475,0.7240458
310,233.8769,0.7240164
311,234.5407,0.7239633
312,235.1093,0.7239897
313,236.7337,0.7241918
314,237.1499,0.7243064
315,238.4487,0.7242781
316,239.1412,0.7241871
317,240.5599,0.7242582
318,241.2993,0.7240472
319,242.7306,0.7241578
320,243.385,0.7237118
321,244.8381,0.7235804
322,245.3437,0.7238198
323,246.7037,0.7236693
324,247.4156,0.7236755
325,248.8568,0.723954
326,249.4481,0.7242655
327,250.6899,0.723899
328,251.0906,0.7239397
329,252.5893,0.7237497
330,253.9806,0.7237695
331,254.6393,0.7237904
332,255.9824,0.7239249
333,256.3137,0.7238582
334,257.7124,0.7236764
335,258.2168,0.7234344
336,259.6412,0.7234521
337,259.9331,0.7230974
338,261.2662,0.7231503
339,262.4556,0.7231885
340,262.7787,0.7232716
341,264.3456,0.7230723
342,264.6718,0.7230787
343,265.9993,0.7229815
344,266.6118,0.7230459
345,267.918,0.7231279
346,269.4537,0.7228372
347,269.8993,0.7228824
348,271.3124,0.7226762
349,271.4774,0.7224649
350,272.9712,0.7221551
351,274.3756,0.722155
352,274.9212,0.7219977
353,276.3737,0.7218982
