Iteration,Time,AUC
1,1.169287,0.5994139
2,1.951164,0.6040052
3,2.428037,0.605373
4,2.809274,0.6090904
5,2.39181,0.6090742
6,2.90866,0.6091069
7,3.345531,0.6099424
8,3.762406,0.6099418
9,4.299276,0.6097413
10,3.781786,0.6097249
11,4.16864,0.6097189
12,4.655523,0.610327
13,5.20803,0.6556943
14,5.640518,0.6558743
15,6.346789,0.6558737
16,5.889274,0.6558757
17,6.427397,0.6558553
18,6.951162,0.6558551
19,7.453663,0.6558537
20,7.047396,0.6628194
21,7.639908,0.662817
22,8.208027,0.6656817
23,9.07554,0.6647788
24,8.659285,0.6654395
25,9.418658,0.6708159
26,9.986767,0.6707749
27,9.469267,0.6707759
28,10.04864,0.6707741
29,10.50116,0.6707476
30,11.02928,0.6707599
31,11.59641,0.6707578
32,11.12991,0.6707415
33,11.69362,0.6707578
34,12.22302,0.6709099
35,12.65553,0.6709221
36,13.20492,0.6708562
37,13.73427,0.671232
38,13.23239,0.6712132
39,13.98738,0.6731739
40,14.48552,0.6731737
41,15.01492,0.6764626
42,15.51991,0.6764549
43,15.02929,0.6767939
44,15.68989,0.6765218
45,16.34928,0.6772143
46,17.00429,0.6783364
47,16.79866,0.6794033
48,17.43927,0.6793432
49,17.96738,0.6792089
50,18.4524,0.6793344
51,19.03304,0.6791705
52,18.61242,0.6789328
53,19.20739,0.6790314
54,19.80239,0.6796157
55,20.4874,0.6795903
56,20.06802,0.6843209
57,20.68865,0.6849255
58,21.298,0.6854306
59,21.82616,0.685199
60,21.45113,0.6852295
61,22.10616,0.6851142
62,22.75116,0.6854737
63,23.59116,0.6852385
64,23.23178,0.6861307
65,23.82554,0.6862519
66,24.54741,0.685781
67,24.25365,0.686275
68,24.86548,0.6860777
69,25.48741,0.6875527
70,26.10928,0.6891613
71,26.71676,0.6888708
72,26.45429,0.6901155
73,27.17616,0.6901074
74,27.89365,0.6912909
75,28.59553,0.6908669
76,28.23741,0.6924399
77,28.94053,0.6922198
78,29.6625,0.6926329
79,30.28552,0.6938668
80,29.94301,0.6942357
81,30.6249,0.6978035
82,31.43639,0.6975607
83,32.12491,0.6979732
84,31.83238,0.6984782
85,32.61553,0.698607
86,33.37304,0.6987701
87,33.00614,0.6994917
88,33.76926,0.6991925
89,34.48363,0.6989318
90,35.21801,0.7000787
91,35.0024,0.7001531
92,35.78115,0.7001597
93,36.65804,0.70019
94,37.37802,0.7001229
95,37.10679,0.6996819
96,38.03367,0.7000756
97,38.84928,0.7005952
98,38.56364,0.7004008
99,39.44366,0.7008152
100,40.16241,0.7016338
101,39.9824,0.7018369
102,40.59429,0.7017153
103,41.37429,0.7037689
104,42.20865,0.7045603
105,41.87303,0.7040805
106,42.56305,0.7048196
107,43.31178,0.7050877
108,44.08177,0.7047086
109,43.78491,0.7041266
110,44.38803,0.703889
111,45.12239,0.7038061
112,45.89554,0.7057365
113,45.64553,0.7063799
114,46.46702,0.7064635
115,47.24678,0.7057924
116,48.28306,0.7073145
117,48.07742,0.7066916
118,48.75616,0.7063159
119,49.53054,0.7058875
120,49.25053,0.705569
121,49.93928,0.7060268
122,50.63928,0.7060422
123,51.4349,0.7065305
124,52.18491,0.7055932
125,51.89364,0.7054706
126,52.63801,0.7054448
127,53.45384,0.7052252
128,53.24905,0.7048111
129,53.98116,0.7046923
130,54.73557,0.7041757
131,54.63116,0.7040119
132,55.45676,0.7040823
133,56.28365,0.7045861
134,57.05929,0.704242
135,56.97436,0.7045345
136,57.77988,0.704929
137,58.48863,0.7049712
138,59.15301,0.7049413
139,58.95304,0.7058456
140,59.78677,0.7068486
141,60.59115,0.7067929
142,60.50116,0.7062938
143,61.20865,0.7065346
144,62.00553,0.7061298
145,62.73552,0.7064773
146,62.70617,0.7068728
147,63.45488,0.7068256
148,64.08366,0.7069084
149,64.02179,0.7068075
150,64.68488,0.7108581
151,65.61175,0.7110973
152,66.36051,0.7114299
153,66.09489,0.7118459
154,66.69114,0.7115473
155,67.34427,0.7116926
156,67.97491,0.7117371
157,68.56115,0.7119991
158,68.37241,0.7121031
159,69.20679,0.7121519
160,69.87429,0.7123086
161,69.5505,0.7123878
162,70.11115,0.7122998
163,70.82866,0.7130459
164,71.59615,0.712876
165,71.25553,0.7131294
166,72.03554,0.7137826
167,72.6843,0.7140147
168,73.39303,0.7141002
169,73.34242,0.7149555
170,74.07988,0.7145649
171,74.63052,0.7145907
172,75.18986,0.7145636
173,74.93865,0.7153843
174,75.67303,0.7149786
175,76.3749,0.7152069
176,77.00115,0.7152244
177,76.70615,0.7149211
178,77.42364,0.7146934
179,78.25362,0.7146538
180,77.98239,0.7149163
181,78.72426,0.7148158
182,79.45175,0.7144766
183,79.20801,0.7143628
184,79.98113,0.7142344
185,80.55178,0.714682
186,81.17804,0.7145673
187,80.96553,0.7149664
188,81.75,0.7150027
189,82.45865,0.7147901
190,83.15934,0.7149753
191,82.81554,0.7149541
192,83.54866,0.7145344
193,84.19052,0.7143906
194,84.80241,0.7146919
195,84.34429,0.7145824
196,84.97053,0.7147042
197,85.47426,0.7144304
198,86.09053,0.7144199
199,86.7394,0.7143911
200,87.3924,0.7142492
201,87.02992,0.7144746
202,87.81554,0.7143531
203,88.55989,0.7144275
204,89.20052,0.7143918
205,88.90679,0.7144718
206,89.54741,0.7144093
207,90.36304,0.7138511
208,90.00241,0.7138894
209,90.65302,0.7139566
210,91.23926,0.7139673
211,91.92366,0.7138486
212,92.65929,0.7141207
213,92.39115,0.7139339
214,93.08429,0.7142457
215,93.83178,0.7145973
216,93.57616,0.7145814
217,94.07553,0.7145252
218,94.83302,0.7144732
219,95.55053,0.7142785
220,95.29366,0.7139888
221,96.03553,0.7137726
222,96.82679,0.7142054
223,97.40616,0.7139948
224,96.91987,0.7138428
225,97.55302,0.7141872
226,98.24054,0.7139952
227,98.81553,0.7138115
228,99.43615,0.7141262
229,99.18928,0.7139749
230,99.89676,0.7137152
231,100.6255,0.7142859
232,101.2318,0.7144183
233,100.8968,0.7140848
234,101.5787,0.7142405
235,102.3162,0.7147381
236,101.8755,0.7148124
237,102.4105,0.7147562
238,102.9968,0.71487
239,103.7668,0.7145727
240,104.3561,0.7144232
241,104.1718,0.7145822
242,104.9249,0.7144808
243,105.4355,0.7143433
