Iteration,Time,AUC
1,3.038655,0.7772205
2,5.519278,0.785188
3,7.564261,0.7905179
4,10.04991,0.7948765
5,12.31366,0.7981782
6,14.74803,0.8011165
7,17.26922,0.8037783
8,18.70427,0.8058452
9,20.9749,0.8083029
10,23.19428,0.8100401
11,24.81616,0.8117897
12,26.56928,0.8131244
13,28.30177,0.8140435
14,29.65804,0.8152493
15,31.03052,0.8162825
16,33.41303,0.8172765
17,34.50679,0.8177853
18,36.39802,0.8188325
19,37.81425,0.8197683
20,38.89613,0.8204224
21,40.45803,0.8210327
22,41.78178,0.8214164
23,42.64616,0.821985
24,44.45614,0.8224234
25,44.71928,0.82279
26,47.15424,0.8235106
27,48.62549,0.8239847
28,49.2099,0.8244174
29,50.24054,0.8246002
30,51.81865,0.8249589
31,53.08552,0.8254206
32,53.92428,0.8256129
33,54.8499,0.8259541
34,56.05303,0.8261789
35,58.1874,0.8267882
36,58.95113,0.8270983
37,61.01678,0.8274693
38,61.38116,0.8276353
39,61.99991,0.8277204
40,64.09308,0.8283374
41,66.00116,0.8286035
42,66.78433,0.8288654
43,67.72178,0.8290356
44,69.64675,0.8294203
45,70.01992,0.8295467
46,71.96678,0.8298296
47,72.52303,0.8300532
48,73.30428,0.8301165
49,73.84428,0.8301873
50,75.67871,0.8305818
51,77.31053,0.8306864
52,78.10989,0.830975
53,80.21927,0.8312106
54,80.89802,0.8312775
55,81.56174,0.8314149
56,82.835,0.8314937
57,83.68615,0.8315317
58,84.64428,0.8316646
59,85.9749,0.8318231
60,87.56365,0.8321066
61,88.6074,0.8321748
62,89.94245,0.8323598
63,91.13058,0.832561
64,93.11431,0.8327419
65,93.76618,0.8328006
66,94.36183,0.8329072
67,96.6143,0.8332212
68,97.2562,0.833341
69,98.973,0.8333949
70,99.90621,0.833443
71,100.673,0.833468
72,101.1593,0.8336035
73,102.0368,0.8336922
74,104.0806,0.83399
75,105.2087,0.8340199
76,107.27,0.8342257
77,108.2261,0.8343078
78,108.6568,0.8343515
79,109.8812,0.8344983
80,111.4137,0.8345142
81,112.0543,0.8345532
82,113.8499,0.8347203
83,115.413,0.8348858
84,115.988,0.8348905
85,117.2724,0.8351116
86,119.2805,0.8353484
87,120.498,0.8356348
88,121.7349,0.8357757
89,122.2355,0.8358255
90,123.5049,0.8358218
91,124.3655,0.8359556
92,125.9412,0.8360645
93,126.7024,0.8361354
94,128.5468,0.8363615
95,130.4049,0.836516
96,130.6761,0.8365159
97,132.7799,0.8367081
98,133.1324,0.8367755
99,135.0793,0.836911
100,135.4136,0.8369651
101,136.9986,0.8369889
102,137.913,0.8371661
103,138.3924,0.8371734
