Iteration,Time,AUC
1,3.675545,0.7772723
2,5.333031,0.7851388
3,8.261795,0.7902348
4,10.26739,0.7947917
5,12.65865,0.7981328
6,14.8937,0.800883
7,16.8043,0.8034839
8,19.04496,0.8056243
9,21.66053,0.8080267
10,23.17614,0.8098255
11,25.23685,0.8115372
12,27.7524,0.8126137
13,29.04617,0.8137707
14,30.98116,0.8150186
15,32.93334,0.8159074
16,34.76745,0.8167256
17,36.23928,0.8174344
18,38.04427,0.8182912
19,40.28489,0.8190648
20,41.64051,0.819562
21,42.74616,0.820191
22,44.41802,0.8206452
23,45.04615,0.8213068
24,46.1874,0.821522
25,47.83989,0.8221773
26,50.10803,0.8227167
27,51.52677,0.8232632
28,52.85928,0.8237847
29,54.74935,0.8241283
30,55.42428,0.8243368
31,57.06428,0.8249434
32,59.09427,0.8254271
33,60.01492,0.8256247
34,62.19989,0.8261809
35,62.93868,0.826396
36,64.77991,0.8269277
37,65.7524,0.8271117
38,67.3399,0.8274137
39,68.04428,0.8275091
40,69.10928,0.8277643
41,70.90866,0.8281829
42,72.1749,0.8285237
43,73.09178,0.8288341
44,74.05929,0.8290257
45,74.7343,0.8290769
46,77.48182,0.8296714
47,79.56428,0.8300315
48,80.45553,0.8302309
49,82.20803,0.8304488
50,83.60927,0.8308067
51,85.01678,0.8311352
52,85.90739,0.8312763
53,87.6374,0.831499
54,89.31553,0.8317801
55,90.76637,0.8318974
56,92.77803,0.8323303
57,93.18367,0.8324274
58,93.75055,0.832485
59,95.0624,0.8326979
60,95.70553,0.8327693
61,96.39177,0.8328213
62,98.04677,0.8329674
63,99.12053,0.8330584
64,100.5303,0.8333284
65,101.7637,0.8336319
66,103.113,0.8337054
67,104.4812,0.8338213
68,104.403,0.8338825
69,106.6862,0.8341036
70,107.912,0.8341684
71,108.173,0.8342784
72,108.8018,0.8343411
73,110.8724,0.8345618
74,111.7612,0.8346022
75,113.2536,0.8347819
76,114.0324,0.8349179
77,114.88,0.8350943
78,116.5424,0.8351768
79,117.7624,0.8353827
80,119.0605,0.8356121
81,120.7349,0.8358167
82,121.0274,0.8358462
83,122.5186,0.8360538
84,124.4362,0.8361864
85,124.522,0.8362289
86,127.2005,0.8364574
87,127.7318,0.8366299
88,129.6537,0.8368389
89,130.5761,0.8369426
90,131.9693,0.8370455
91,132.2649,0.8371425
92,133.623,0.8371824
93,134.2237,0.8372324
94,135.6093,0.8372934
95,136.5655,0.8373549
96,136.7955,0.8373675
97,137.8449,0.8373789
98,139.022,0.8375419
99,140.7499,0.8376703
100,141.8912,0.8377692
101,142.1686,0.8377997
102,143.6718,0.8379811
103,145.9017,0.8381418
104,146.5037,0.8382024
105,147.1074,0.8382482
106,148.058,0.838289
107,149.5287,0.8384821
108,151.2499,0.8386158
109,152.5012,0.8387768
110,153.1249,0.8388178
111,154.1287,0.8389625
112,155.7005,0.8390192
113,157.2155,0.8393369
114,159.1762,0.8395292
115,159.6768,0.8396749
116,161.2387,0.839924
117,162.9086,0.840117
118,164.3474,0.8401896
119,165.9068,0.840271
120,166.8599,0.8402682
121,167.1074,0.8402963
122,167.483,0.8403145
123,169.083,0.8404048
124,170.6555,0.8404902
125,172.058,0.8406108
126,173.2324,0.8406458
127,173.4843,0.8406735
128,174.566,0.8406942
129,175.9955,0.8407957
130,176.2236,0.840826
131,177.1893,0.8408496
132,178.8399,0.8410432
133,180.1112,0.8410816
134,181.4693,0.8411218
135,182.513,0.8411705
136,183.9043,0.8413427
137,185.2674,0.841366
138,186.6555,0.8414465
139,187.5649,0.8415213
140,189.446,0.8415871
141,191.1736,0.8417146
142,192.0618,0.8418352
143,193.6137,0.8418842
144,195.0624,0.8419043
145,196.433,0.8419972
146,197.2937,0.8420321
147,198.518,0.8420465
148,198.9956,0.8420643
149,200.5905,0.8420823
150,201.3761,0.8420929
151,202.1687,0.8421316
152,203.6299,0.8422088
153,204.3706,0.8422467
154,205.7612,0.8422712
155,207.1268,0.8423141
156,207.684,0.8423385
157,209.0505,0.8424049
158,211.3012,0.8425043
159,212.5337,0.8425361
160,213.9486,0.8425868
161,214.7043,0.8426585
162,216.5193,0.8427322
163,217.223,0.8427925
164,217.5637,0.8428115
165,218.9505,0.8428322
166,219.2549,0.8428396
167,219.9412,0.8428557
168,221.1112,0.8428897
169,222.2962,0.8429235
170,223.6761,0.8429565
171,224.5799,0.8430691
172,225.3594,0.8430731
173,227.0043,0.8431225
174,227.0903,0.843134
175,228.6993,0.8432307
176,230.1261,0.8432588
177,231.253,0.8432621
178,231.6762,0.8433201
179,233.4218,0.8433788
180,234.738,0.8434763
181,236.3443,0.8435072
182,236.3893,0.8435216
183,238.3718,0.8435605
184,239.5318,0.8435572
185,239.8924,0.8435669
186,240.4974,0.8435991
187,241.6061,0.8436509
188,243.0361,0.8436516
189,243.6705,0.8436882
190,245.4024,0.8437074
191,245.44,0.8437203
192,246.7643,0.8437437
193,246.62,0.8437307
194,247.4374,0.8437338
195,248.6849,0.8437423
196,249.5768,0.8437372
197,249.3643,0.8437393
198,249.6368,0.8437393
199,249.8949,0.8437393
200,250.9574,0.8437393
