Iteration,Time,AUC
1,52.33999,0.5008462
2,55.3974,0.501328
3,58.26249,0.5024379
4,60.88624,0.5031439
5,63.38999,0.5034184
6,65.85743,0.5050422
7,68.17115,0.5060748
8,71.26059,0.5078043
9,73.83742,0.5087498
10,76.54554,0.5093899
11,79.12493,0.5097767
12,81.49867,0.5115859
13,84.55367,0.5114603
14,87.1824,0.5121067
15,89.44679,0.5125768
16,92.43303,0.5129895
17,94.44816,0.5152047
18,97.56,0.5157435
19,100.2744,0.5162042
20,102.9038,0.5175477
21,105.1831,0.5184954
22,107.9812,0.5186481
23,110.3824,0.5194289
24,113.138,0.5198635
25,115.9844,0.5201848
26,118.8737,0.5223983
27,121.4656,0.5224337
28,124.1712,0.522544
29,126.3393,0.5244794
30,128.9168,0.527935
31,132.0249,0.5293824
32,134.2643,0.5290534
33,136.9687,0.5300563
34,139.8981,0.5309477
35,143.1156,0.5307576
36,145.7631,0.5307424
37,148.6062,0.531115
38,151.0381,0.5319189
39,153.7955,0.5321297
40,155.8543,0.5331106
41,158.4781,0.5339232
42,161.2756,0.5343253
43,164.2749,0.5345548
44,166.8549,0.5342112
45,169.7737,0.5347989
46,171.7424,0.5348005
47,174.2262,0.5356015
48,176.7943,0.5359758
49,179.6074,0.5371288
50,181.9749,0.537852
51,185.5137,0.5384421
52,187.3893,0.5385006
53,190.6187,0.5386473
54,193.4199,0.5401013
55,195.8661,0.5406505
56,198.8512,0.5428859
57,201.1212,0.5429456
58,204.0899,0.5428391
59,206.9756,0.5438229
60,208.4005,0.5442658
61,211.2449,0.5447223
62,213.9774,0.5456085
63,216.8105,0.5466455
64,219.1812,0.547534
65,222.2412,0.548218
66,225.1624,0.550146
67,227.5455,0.5501573
68,230.1187,0.550471
69,232.7925,0.5508288
70,235.8734,0.5518645
71,238.6205,0.5523553
72,240.7655,0.5531592
73,243.2874,0.553381
74,246.7737,0.5530271
75,249.4294,0.5531881
76,252.2112,0.5535113
77,254.8582,0.5540368
78,257.67,0.5549977
79,259.4062,0.5555362
80,263.1199,0.555775
81,264.9994,0.55634
82,268.3712,0.5568654
83,270.633,0.5572345
84,272.9531,0.5577488
85,275.9919,0.5582591
86,278.8206,0.5591434
87,281.6668,0.5595823
88,284.2106,0.5598262
89,287.2162,0.5601918
90,289.8549,0.5602118
91,292.3868,0.5600768
92,295.5694,0.5603882
93,297.6555,0.5608765
94,300.1081,0.5609879
95,303.06,0.5612096
96,305.7612,0.5613626
97,308.07,0.5615317
98,311.228,0.56211
99,314.2312,0.5672424
100,316.1031,0.5671671
101,318.543,0.5673477
102,321.3074,0.5675567
103,323.8436,0.5675742
104,326.6161,0.5680149
105,330.0425,0.5683661
106,331.945,0.5683702
107,334.6693,0.568599
108,337.2012,0.5686671
109,339.9169,0.5691547
110,343.1674,0.5691873
111,345.9449,0.569164
112,348.6212,0.5703235
113,351.4124,0.5710453
114,353.9912,0.5710809
115,356.108,0.5717434
116,358.6661,0.5718698
117,360.9986,0.5721147
118,364.6244,0.5723823
119,366.8205,0.5727527
120,369.8749,0.5728311
121,372.6387,0.5749883
122,374.9781,0.5754336
123,377.9661,0.5758654
124,379.8069,0.5765671
125,382.6024,0.5774698
126,385.3567,0.5778599
127,388.4674,0.5780302
128,390.9824,0.5782696
129,393.9768,0.578644
130,396.6237,0.5788662
131,398.6687,0.5791459
132,401.7418,0.5802222
133,404.1336,0.5806452
134,406.85,0.580908
135,409.1349,0.5814719
136,412.7912,0.5818959
137,415.6318,0.5823543
138,417.6324,0.5825259
139,420.2594,0.5831574
140,422.9668,0.5830133
141,425.8661,0.5830956
142,428.6049,0.583391
143,431.7337,0.5834854
144,433.4049,0.5835946
145,437.0262,0.5843177
146,439.4194,0.5849324
147,441.8687,0.5853234
148,444.2461,0.5857626
149,447.1719,0.5862762
150,449.6649,0.5865684
151,452.9987,0.5867035
152,455.1319,0.5870686
153,457.5418,0.5873994
154,460.4969,0.5873822
155,463.3706,0.5877154
156,465.7443,0.5877754
157,468.3262,0.5881526
158,471.29,0.5883026
159,473.7124,0.5887465
160,476.28,0.5895166
161,479.0881,0.5898003
162,482.2418,0.5899965
163,484.373,0.5903851
164,487.1349,0.5903905
165,490.5094,0.5905701
166,492.5737,0.5906292
167,494.9812,0.5908419
168,498.0874,0.5909021
169,500.5081,0.5908771
170,503.155,0.5908713
171,505.8074,0.5909628
172,508.4144,0.5909632
173,511.515,0.5909746
174,513.6325,0.5914053
175,516.6487,0.5918476
176,519.6706,0.5923364
177,522.3124,0.5927231
178,524.8505,0.59338
179,527.8406,0.5935123
180,530.1318,0.5936721
181,532.618,0.593713
182,535.7481,0.59409
183,538.4012,0.5943766
184,540.5937,0.5944607
185,543.7312,0.5944034
186,545.7743,0.5946197
187,548.7437,0.5949482
188,551.3556,0.5949735
189,554.2743,0.5950939
190,556.9961,0.595075
191,559.7469,0.595041
192,561.81,0.5951796
193,564.3849,0.5952181
194,567.3043,0.5951509
195,570.135,0.5951061
196,573.2143,0.5952678
197,575.6387,0.5954368
