Iteration,Time,AUC
1,43.70317,0.5008911
2,46.81315,0.5007449
3,49.51629,0.5030822
4,53.20254,0.5028111
5,55.28813,0.5037372
6,58.56188,0.5057607
7,61.81189,0.5076261
8,65.09943,0.5082354
9,68.15447,0.5082567
10,71.81499,0.5091648
11,74.27188,0.5099429
12,76.98822,0.5122923
13,80.11627,0.5125506
14,83.3819,0.5127877
15,86.60937,0.5139022
16,89.75629,0.515745
17,92.91322,0.5167507
18,95.77129,0.5174314
19,99.19187,0.5178597
20,102.295,0.5188922
21,105.2563,0.5205077
22,108.3338,0.5203259
23,110.6781,0.5211431
24,113.8444,0.5215301
25,117.6763,0.5223774
26,120.1106,0.5269911
27,123.9119,0.5278946
28,126.9588,0.528513
29,129.9856,0.5290622
30,132.6757,0.5299574
31,135.9857,0.5304161
32,139.1126,0.5310718
33,142.125,0.5327782
34,144.5812,0.532771
35,148.2143,0.5333586
36,151.0163,0.5340091
37,154.3651,0.5343624
38,156.7819,0.534479
39,160.5651,0.5354423
40,163.5451,0.5356975
41,166.5463,0.5367265
42,168.8256,0.5373892
43,172.3282,0.5390294
44,175.2856,0.5386733
45,178.8644,0.5392218
46,181.2944,0.5409585
47,184.2512,0.5413043
48,187.4219,0.5422529
49,190.9725,0.5428244
50,193.8887,0.5431767
51,196.6094,0.5437381
52,199.46,0.5441044
53,202.5957,0.545803
54,205.58,0.5463445
55,208.5288,0.5460912
56,212.3444,0.5463509
57,215.0969,0.5496752
58,217.9094,0.5506632
59,221.1237,0.551413
60,223.4387,0.5517817
61,226.6082,0.5522566
62,230.2988,0.552088
63,233.1619,0.552994
64,236.0164,0.5532517
65,238.7519,0.5538805
66,242.4506,0.5561598
67,245.4225,0.556681
68,248.1144,0.5572249
69,251.6082,0.5581392
70,254.4675,0.5586601
71,257.3775,0.5583639
72,260.507,0.5588332
73,263.5982,0.5593336
74,266.2857,0.5596711
75,270.0525,0.5603482
76,272.5319,0.5603471
77,276.1763,0.5604657
78,279.4825,0.5610059
79,282.467,0.560996
80,284.6106,0.5667602
81,287.615,0.5674457
82,290.7863,0.567388
83,294.3013,0.5672017
84,297.6275,0.5675465
85,299.6007,0.567786
86,302.7032,0.5680409
87,306.2319,0.5681201
88,309.6475,0.5681533
89,312.3256,0.5689752
90,315.1263,0.5694529
91,318.7207,0.5697918
92,321.4707,0.5713204
93,325.0813,0.5717501
94,328.2225,0.5722014
95,330.6294,0.5727499
96,333.6912,0.5734006
97,336.5525,0.5732833
98,339.9263,0.5748422
99,343.155,0.575147
100,345.7707,0.575899
101,349.3163,0.5758698
102,351.6744,0.5758288
103,355.2382,0.5759344
104,357.71,0.5761066
105,361.2688,0.5766005
106,363.865,0.5774515
107,366.9538,0.5774903
108,370.765,0.5778336
109,372.9719,0.5783221
110,376.2844,0.5788239
111,379.5757,0.5793596
112,382.7256,0.579838
113,385.3488,0.5802344
114,388.9107,0.5805137
115,391.9819,0.5808739
116,394.3257,0.5813251
117,398.1544,0.5817339
118,401.0657,0.5841478
119,403.9856,0.5844326
120,407.2719,0.5850554
121,409.4075,0.5852226
122,413.1401,0.5854241
123,415.6282,0.5855123
124,418.6763,0.5859883
125,421.6319,0.5862221
126,425.3338,0.5863747
127,427.9913,0.5870293
128,431.3294,0.5875122
129,433.9357,0.5879624
130,436.6544,0.5882955
131,439.9914,0.5886943
132,442.9882,0.5887282
133,446.2475,0.5888852
134,448.7088,0.5894861
135,451.8163,0.5899293
136,455.4669,0.5901794
137,457.5826,0.5904358
138,460.9051,0.5912539
139,464.0338,0.5915895
140,467.5019,0.5938177
141,469.5538,0.5939482
142,472.6158,0.5939978
143,476.3463,0.5941854
144,479.35,0.5946136
145,482.2845,0.5952069
146,484.7026,0.5959363
147,487.7513,0.5962432
148,491.2826,0.5962596
149,494.2019,0.5966519
150,496.8769,0.5968903
151,500.0038,0.5975043
152,503.5344,0.597954
153,506.0445,0.5980693
154,509.3107,0.5981191
155,512.7094,0.59857
